measureName,abalone.csv,Absenteeism_at_work.csv,Acoustic Features.csv,acute-inflammation.csv,Acute-urinary.csv,Algerian_forest_fires_dataset_UPDATE.csv,Annealing.csv,auction.csv,audiology.csv,austrCredit .csv,austrlian statelog.csv,austrlian2.csv,Autism-Adult-Data.csv,balance-scaledata.csv,ballons.csv,BankNote_Authentication.csv,bankruptcy.csv,braest-cancer wincosin.csv,breast_cancer.csv,bridges1.csv,bridges2.csv,car_evaluation.csv,chess.csv,cirrhosis.csv,cmc.csv,connect4.csv,csv_result-caesarian.csv,csv_result-climate.csv,csv_result-column_2C_weka.csv,csv_result-column_3C_weka.csv,csv_result-MagicTelescope.csv,csv_result-phpV5QYya.csv,csv_result-ThoraricSurgery.csv,Customer Churn.csv,cylinder_bands.csv,dataR2.csv,dermatology.csv,diabetes.csv,diabetes_data_upload.csv,dressDataSet.csv,Dry_Bean_Dataset.csv,ecoli.csv,EEG_Eye_State_Classification.csv,electrical.csv,electricity.csv,faults.csv,fertility.csv,flags.csv,forestType.csv,German Credit Data.csv,glass.csv,haberman.csv,hapetitis.csv,hayes-roth.csv,hcvdat0.csv,heart.csv,heart_failure_clinical_records_dataset.csv,horse-ecolic surgical.csv,house_voting.csv,imageSegmentation.csv,Indian Liver Patient Dataset (ILPD).csv,indian liver.csv,indian_liver_patient.csv,ionospere.csv,Iris.csv,iymphography.csv,lenses.csv,librasMove.csv,lunCancer.csv,mammographic.csv,meta-data.csv,miceproteinNuclear.csv,molecular.csv,monksTest1.csv,monksTest2.csv,monksTrain1.csv,Movie_classification.csv,mushroom.csv,non-verbal tourist data.csv,NPHA-doctor-visits.csv,ObesityDataSet_raw_and_data_sinthetic.csv,ozonedet.csv,pageBlock.csv,parkinsons.csv,penReco.csv,phone.csv,planningRelax.csv,pop_failure.csv,postOpertaivePatient.csv,Qualitative_Bankruptcy.csv,Raisin_Dataset.csv,risk_factors_cervical_cancer.csv,seeds.csv,shuttle.csv,sobar-72.csv,somervilehappy.csv,soyabean-large.csv,Spam.csv,spec-heart.csv,sponge.csv,statlog-austr.csv,statlog-german.csv,statlog-heart.csv,statlog-heart2.csv,statloglandsat.csv,studenperf.csv,student-dropout.csv,teachingassper.csv,thyroid.csv,Thyroid_Diff.csv,tic-toe.csv,transfusion.csv,turkiye-student-evaluation_R_Specific.csv,vehicles.csv,waveform.csv,waveformDG.csv,Wholesale customers data.csv,wine.csv,wirelessloca.csv,yeast.csv,zoo.csv
mad.nanmean,269.5,4.5,93.9,2.2,2.2,34.4,0.8,2.5,1.4,19.1,19.1,19.1,2.3,1.5,0.4,458.3,1583.3,184.2,184.2,3.6,1.5,1.2,0.0,27.3,1.8,0.2,1.0,175.2,103.8,99.8,5262.3,0.1,4.6,121.5,7.4,36.4,0.8,39.0,0.8,14.5,4819.1,22.1,32.9,3706.5,403.6,179.6,1.2,5.2,45.7,18.6,32.9,6.2,5.5,11.0,81.3,8.1,16.6,8.4,0.5,53.4,15.9,15.9,15.9,60.6,10.0,0.7,0.4,67.1,0.0,3.9,13.7,384.1,21.1,23.9,24.0,1.0,95.4,1.1,1.5,0.3,222.3,94.4,199.3,60.9,32.0,94.3,64.5,175.7,0.4,14.5,333.3,0.8,66.2,15.2,3.4,1.2,0.6,21.0,5.7,0.6,19.1,18.6,8.1,8.1,15.3,1.1,16.3,5.3,20.6,1.4,1.5,7.4,1.5,19.9,162.1,132.7,130.0,31.6,7.2,72.5,2.4
max.nanmean,755.1,13.1,261.3,7.0,7.0,86.0,5.5,6.7,4.1,82.4,82.4,82.4,7.6,4.0,1.0,1254.0,4777.0,510.3,510.3,18.4,6.8,2.5,1.0,125.7,6.9,2.0,5.8,494.0,299.2,299.2,14709.7,1.3,20.8,403.5,50.5,99.0,4.6,155.8,4.1,48.8,13239.8,86.4,386.0,9999.0,2357.1,584.6,4.9,16.2,134.7,52.8,103.3,29.7,18.2,28.4,238.4,29.6,55.1,29.0,2.0,143.8,101.6,101.6,101.6,238.6,29.8,2.3,1.2,201.0,1.8,18.4,36.6,1020.8,55.8,63.1,63.1,1.8,269.4,4.3,4.7,2.5,596.2,344.7,908.2,177.7,99.4,260.8,174.4,494.2,2.0,37.3,898.4,9.3,181.3,111.2,9.3,3.8,2.8,263.8,24.6,4.4,82.4,52.8,28.5,28.5,75.3,4.4,78.0,19.2,65.8,6.4,2.0,42.8,4.2,78.4,713.0,623.6,360.7,97.2,41.1,207.2,7.0
mean.nanmean,369.6,6.0,128.3,3.5,3.5,42.3,2.3,3.1,1.7,28.1,28.1,28.1,4.1,2.0,0.5,629.8,2097.1,253.5,253.5,9.3,3.5,1.2,0.3,53.9,3.2,0.3,2.6,252.4,142.0,136.7,7137.9,0.8,8.8,133.8,24.0,49.3,1.5,62.2,1.9,23.7,6865.8,44.2,142.6,4999.5,989.9,266.4,2.3,6.2,65.8,25.4,48.2,10.5,9.7,13.9,116.7,13.9,26.1,15.0,1.4,68.9,32.7,32.7,32.7,110.5,13.0,0.9,0.7,102.1,0.8,9.3,17.9,505.5,27.3,31.6,31.6,0.9,140.2,2.3,1.9,1.2,282.4,178.0,319.5,80.4,50.1,126.4,87.7,251.8,1.2,18.7,449.2,2.7,88.8,47.0,5.1,2.4,1.0,38.0,14.1,2.5,28.1,25.4,13.5,13.5,35.9,1.8,23.4,8.5,28.7,2.8,1.2,11.1,2.3,34.2,349.2,308.1,176.7,47.3,18.8,100.9,3.7
median.nanmean,406.0,6.1,127.2,2.9,2.9,44.5,1.7,2.7,1.9,21.3,21.3,21.3,4.2,2.0,0.5,633.5,1972.3,253.2,253.2,8.5,3.4,1.0,0.2,48.7,3.2,0.1,2.2,253.5,139.2,128.7,7030.5,0.9,8.3,112.9,22.7,49.0,1.1,53.8,1.6,23.0,6925.1,46.4,136.9,4999.5,966.2,250.2,2.1,5.5,65.1,24.8,47.8,9.2,10.3,13.9,111.5,13.8,26.3,14.8,1.4,67.5,26.8,26.8,26.8,96.6,13.1,0.8,0.8,102.5,0.8,9.6,17.8,504.7,27.1,31.6,32.1,1.0,143.9,2.4,1.8,1.2,278.1,176.4,201.0,75.5,49.2,124.6,87.3,253.1,1.0,18.6,449.2,2.1,87.1,45.9,5.1,2.7,0.7,18.6,14.8,2.8,21.3,24.8,13.6,13.6,36.2,1.6,18.0,7.6,25.3,2.4,1.0,8.0,2.4,30.5,344.9,306.0,173.6,46.9,17.6,96.9,3.8
min.nanmean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nr_cor_attr,0.8,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.5,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.1,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.1,0.1,0.1,0.1,0.5,0.2,0.0,0.2,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.2,0.4,0.5,0.1,0.0,0.2,0.0,0.1,0.0,0.6,0.2,0.6,0.2,0.1,0.0,0.5,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.1,0.0,0.5,0.8,0.4,0.3,0.1,0.3,0.2,0.3,0.0,0.1
nr_disc,8.0,18.0,3.0,1.0,1.0,9.0,4.0,1.0,23.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,14.0,3.0,1.0,21.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,6.0,1.0,4.0,1.0,9.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,18.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,18.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,9.0,6.0
nr_norm,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nr_outliers,0.0,6.0,3.0,1.0,1.0,2.0,23.0,2.0,51.0,4.0,4.0,4.0,6.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,6.0,0.0,23.0,10.0,5.0,30.0,1.0,0.0,0.0,0.0,0.0,18.0,12.0,10.0,32.0,0.0,24.0,3.0,3.0,5.0,0.0,3.0,14.0,0.0,4.0,13.0,3.0,17.0,4.0,10.0,2.0,1.0,7.0,3.0,0.0,3.0,3.0,9.0,0.0,2.0,6.0,6.0,6.0,3.0,1.0,3.0,0.0,0.0,36.0,2.0,2.0,0.0,28.0,0.0,0.0,0.0,1.0,9.0,7.0,8.0,8.0,53.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,3.0,3.0,6.0,5.0,55.0,12.0,23.0,4.0,10.0,3.0,3.0,9.0,19.0,25.0,2.0,0.0,9.0,0.0,2.0,15.0,4.0,1.0,6.0,0.0,0.0,6.0,6.0,8.0
p_trace,2.7,4.8,1.8,1.0,1.0,5.5,3.2,0.2,17.2,0.6,0.6,0.6,0.8,0.7,0.8,0.9,0.7,0.8,0.8,3.3,3.1,0.6,0.6,1.1,0.2,0.1,0.2,0.5,0.5,1.0,0.4,0.7,0.2,0.6,1.3,0.4,4.3,0.3,0.7,0.0,3.3,3.7,0.1,0.7,0.3,1.0,0.3,2.3,2.6,0.3,2.1,0.1,0.5,0.6,2.1,0.5,0.5,0.5,0.8,3.9,0.2,0.2,0.2,1.4,1.3,2.4,1.5,7.5,3.0,0.4,0.3,5.7,1.0,0.2,0.0,0.3,0.1,0.7,3.4,0.1,1.9,0.5,2.4,0.7,4.6,1.0,0.0,0.6,1.5,0.7,0.6,0.8,1.5,2.1,0.8,0.1,14.2,0.7,0.7,2.0,0.6,0.3,0.5,0.5,2.4,4.0,0.7,0.3,1.2,0.7,0.1,0.2,0.2,1.5,0.9,0.9,0.1,1.7,1.9,2.9,5.3
range.nanmean,755.1,13.1,261.3,7.0,7.0,86.0,5.5,6.7,4.1,82.4,82.4,82.4,7.6,4.0,1.0,1254.0,4777.0,510.3,510.3,18.4,6.8,2.5,1.0,125.7,6.9,2.0,5.8,494.0,299.2,299.2,14709.7,1.3,20.8,403.5,50.5,99.0,4.6,155.8,4.1,48.8,13239.8,86.4,386.0,9999.0,2357.1,584.6,4.9,16.2,134.7,52.8,103.3,29.7,18.2,28.4,238.4,29.6,55.1,29.0,2.0,143.8,101.6,101.6,101.6,238.6,29.8,2.3,1.2,201.0,1.8,18.4,36.6,1020.8,55.8,63.1,63.1,1.8,269.4,4.3,4.7,2.5,596.2,344.7,908.2,177.7,99.4,260.8,174.4,494.2,2.0,37.3,898.4,9.3,181.3,111.2,9.3,3.8,2.8,263.8,24.6,4.4,82.4,52.8,28.5,28.5,75.3,4.4,78.0,19.2,65.8,6.4,2.0,42.8,4.2,78.4,713.0,623.6,360.7,97.2,41.1,207.2,7.0
roy_root,13.3,7.9,3.2,643371375338641.2,643371375338641.2,73790.4,26.5,0.3,643371375338641.2,1.5,1.5,1.5,3.3,2.1,3.2,6.8,1.9,3.8,3.8,16.8,15.0,0.8,1.8,1.0,0.2,0.1,0.2,1.1,1.0,3.0,0.6,2.4,0.2,1.3,10.1,0.5,65.4,0.5,1.9,0.0,12.2,17.9,0.1,2.3,0.4,inf,0.4,3.5,20.3,0.4,4.5,0.1,1.2,1.6,3.5,1.1,1.0,1.0,4.5,16.2,0.3,0.3,0.3,5.8,18.0,39.6,3.2,12.0,inf,0.8,0.4,2226088.5,1.2,0.3,0.0,0.4,0.1,2.9,22.6,0.1,22.2,1.0,4.3,2.3,6.9,11.2,0.1,1.4,8.4,2.9,1.4,4.2,5.3,55.6,3.4,0.1,110405.4,2.2,2.2,123.9,1.5,0.4,1.2,1.2,7.2,30.0,1.2,0.2,10.6,2.1,0.1,0.2,0.1,2.7,0.9,0.9,0.1,9.5,9.1,22.0,900719925474098.2
