Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,target
3,0,6,1,329,19,0,7,2,0,0,2,242,1
11,0,37,1,1000,74,10,19,2,0,0,2,1183,0
3,0,38,1,48,8,12,6,2,0,0,2,259,0
13,0,36,1,595,63,319,26,2,0,0,2,2497,0
13,0,37,1,974,69,6,37,0,0,0,0,1417,0
6,0,37,1,579,61,7,35,1,0,0,1,732,0
14,0,37,2,903,85,37,30,2,1,0,2,1512,0
7,0,37,1,570,42,274,20,2,0,0,2,2364,0
16,0,36,3,1450,124,146,45,2,0,0,2,2195,0
10,0,37,1,1603,172,5,46,2,0,0,2,1777,0
10,0,37,2,1017,86,7,27,2,0,0,2,1158,0
9,0,37,1,1141,98,12,14,2,0,0,2,1485,0
12,0,37,1,540,57,13,19,2,0,0,2,741,0
28,0,37,4,1662,216,59,34,2,0,0,2,2039,0
7,0,37,2,772,30,387,10,2,0,0,2,2634,0
12,0,36,1,1689,185,152,32,1,0,0,1,2427,0
6,0,36,2,1235,89,188,28,2,0,0,2,2256,0
3,0,36,1,185,17,5,13,1,0,0,1,265,0
5,0,37,1,145,17,18,10,2,0,0,2,483,0
3,1,36,1,5,3,5,2,1,0,0,1,80,1
6,0,36,1,1360,130,342,45,2,0,0,2,2556,0
10,0,36,2,1556,157,16,49,3,1,0,3,1576,0
11,0,36,2,1271,78,113,39,1,0,0,1,1985,0
26,1,32,1,207,50,21,19,2,0,0,2,636,1
24,1,35,9,1512,96,6,44,4,1,0,4,895,0
16,0,35,2,1128,101,31,26,1,0,0,1,1680,0
4,0,33,1,713,25,5,16,2,0,0,2,694,0
12,0,34,1,750,44,14,18,2,0,0,2,967,1
12,1,35,1,546,47,39,33,2,0,0,2,1328,1
3,0,35,1,19,5,5,4,2,0,0,2,96,1
4,0,35,1,388,28,5,8,3,0,0,3,220,0
6,0,32,2,1283,100,19,24,4,0,0,4,670,0
3,0,35,1,125,10,14,6,3,0,0,3,202,1
3,0,35,2,55,7,9,4,4,0,0,4,59,0
28,0,30,4,1731,229,5,82,1,0,0,1,1912,0
9,1,33,4,1308,119,260,35,2,1,0,2,2419,0
5,0,35,1,893,85,7,30,2,0,0,2,986,0
6,0,34,1,387,47,43,22,2,0,0,2,1293,0
9,0,35,1,695,56,177,25,1,0,0,1,2160,0
7,0,26,2,302,39,195,13,2,1,0,2,2034,0
7,0,25,1,364,42,35,70,3,0,0,3,652,0
14,0,26,1,143,28,15,9,2,0,0,2,409,0
3,0,25,1,171,13,26,5,3,0,0,3,386,0
13,0,24,1,276,35,24,15,1,0,0,1,890,0
5,0,24,1,805,64,13,25,2,0,0,2,1008,0
5,0,17,1,397,29,33,16,1,0,0,1,1229,0
19,0,16,2,1217,144,90,44,1,1,0,1,1842,0
15,0,14,1,1435,174,78,42,4,0,0,4,1348,0
11,0,15,4,716,48,36,21,2,0,0,2,1386,0
5,0,8,2,1003,43,217,12,2,0,0,2,2282,0
6,1,8,2,342,22,5,9,2,0,0,2,366,1
5,0,33,0,982,68,0,15,1,0,0,1,1074,0
0,0,34,0,27,2,2,2,1,0,1,1,64,0
7,0,32,0,564,57,309,22,1,0,0,1,2540,0
7,0,33,0,954,63,0,33,0,0,0,0,1240,0
0,0,33,0,548,55,0,31,0,0,0,0,663,0
8,0,33,0,884,79,27,26,2,0,0,2,1370,0
1,0,33,0,541,36,264,16,2,0,0,2,2347,0
10,0,32,1,1441,118,136,41,2,0,0,2,2136,0
4,0,33,0,1599,166,0,42,2,0,0,2,1765,0
4,0,33,0,1004,80,0,23,2,0,0,2,978,0
3,0,33,0,1125,92,2,10,1,0,0,1,1435,0
6,1,33,0,507,51,3,15,2,0,1,2,471,0
22,0,33,2,1653,210,49,30,2,0,0,2,1970,0
1,0,33,0,745,24,377,6,2,0,0,2,2614,0
6,0,32,0,1679,179,142,28,1,0,0,1,2401,0
0,0,32,0,1216,83,178,24,2,0,0,2,2209,0
0,0,32,0,155,11,0,9,1,0,1,1,127,0
0,0,33,0,116,11,8,6,1,0,1,1,269,0
0,0,32,0,0,0,0,0,1,0,1,1,0,1
0,0,32,0,1350,124,332,41,1,0,0,1,2619,0
4,0,32,0,1551,151,6,45,2,0,0,2,1732,0
5,0,32,0,1251,72,103,35,1,0,0,1,1916,0
20,0,28,0,174,44,11,15,1,0,1,1,410,1
18,0,31,7,1507,90,0,40,3,0,0,3,1384,0
10,0,31,0,1115,95,21,22,1,0,0,1,1620,1
0,0,29,0,678,19,0,12,2,0,0,2,540,0
6,0,30,0,720,38,4,14,1,0,1,1,777,1
6,1,31,0,514,41,29,29,2,0,1,2,1111,1
0,1,31,0,0,0,0,0,2,0,1,2,0,1
0,0,31,0,358,22,0,4,2,0,0,2,264,0
0,0,28,0,1264,94,9,20,3,0,0,3,1049,0
0,0,31,0,92,4,4,2,3,0,1,3,77,1
0,0,31,0,0,0,0,0,4,0,0,4,0,0
22,0,26,2,1724,223,0,78,1,0,0,1,1879,0
3,0,29,2,1291,113,250,31,1,1,0,1,2477,0
0,0,31,0,874,79,0,26,1,0,0,1,900,0
0,0,30,0,357,41,33,18,2,0,1,2,1078,0
3,0,31,0,659,50,167,21,1,0,0,1,2090,0
1,0,22,0,267,33,185,9,1,1,0,1,2109,0
1,0,21,0,332,36,25,66,3,0,0,3,470,0
8,0,22,0,114,22,5,5,1,0,1,1,200,0
0,1,21,0,144,7,16,1,3,0,1,3,237,1
7,0,20,0,241,29,14,11,1,0,0,1,568,0
0,0,20,0,776,58,3,21,2,0,0,2,710,0
0,0,13,0,366,23,23,12,1,0,0,1,962,0
13,0,12,0,1198,138,80,40,0,1,0,0,1958,0
9,0,10,0,1426,168,68,38,3,0,0,3,1673,0
5,0,11,2,680,42,26,17,2,0,0,2,1172,0
0,0,4,0,987,37,207,8,2,0,0,2,2241,0
0,0,4,0,315,16,0,5,2,0,0,2,226,1
9,0,39,1,1003,73,15,21,2,0,0,2,1284,0
1,1,40,0,55,7,17,8,2,0,1,2,375,1
11,0,38,1,601,62,323,28,2,0,0,2,2505,0
11,0,39,1,979,68,11,39,0,0,0,0,1497,0
4,0,39,1,584,60,12,37,1,0,0,1,896,0
12,0,39,2,905,84,42,32,2,0,0,2,1561,0
5,0,39,1,576,41,278,22,2,0,0,2,2369,0
14,0,38,3,1453,123,151,47,2,0,0,2,2215,0
8,0,39,1,1604,171,10,48,2,0,0,2,1790,0
8,0,39,2,1020,85,12,29,2,0,0,2,1257,0
7,0,39,1,1143,97,17,16,2,0,0,2,1533,0
10,0,39,0,544,56,18,21,2,0,1,2,884,0
26,0,39,4,1663,215,64,36,2,1,0,2,2068,0
5,0,39,2,779,29,391,12,2,0,0,2,2640,0
10,0,38,1,1691,184,157,34,1,0,0,1,2435,0
4,0,38,2,1237,88,193,30,2,0,0,2,2274,0
1,0,38,0,190,16,10,15,1,0,1,1,393,0
3,0,39,0,149,16,23,12,2,0,1,2,620,0
1,0,38,0,7,2,10,4,1,0,1,1,182,1
4,0,38,1,1361,129,346,47,2,0,0,2,2562,0
8,0,38,2,1557,156,21,51,3,0,0,3,1598,0
9,0,38,2,1275,77,117,41,1,0,0,1,2024,0
24,1,34,0,211,49,26,21,2,0,1,2,750,1
22,1,37,9,1513,95,11,46,4,0,0,4,946,0
14,0,37,2,1131,100,36,28,1,0,0,1,1701,1
2,0,35,1,718,24,10,18,2,0,0,2,829,0
10,0,36,0,753,43,19,20,2,0,1,2,1093,1
10,1,37,0,551,46,44,35,2,0,1,2,1420,1
1,0,37,0,22,4,10,6,2,0,1,2,181,1
2,0,37,1,395,27,10,10,3,0,0,3,289,0
4,0,34,2,1285,99,24,26,4,0,0,4,705,0
1,1,37,0,130,9,19,8,3,0,1,3,266,1
1,0,37,2,59,6,14,6,4,0,0,4,91,0
26,0,32,4,1732,228,10,84,1,0,0,1,1942,0
7,1,35,4,1310,118,265,37,1,1,0,1,2508,0
3,0,37,1,897,84,12,32,2,0,0,2,1105,0
4,0,36,0,394,46,48,24,2,0,1,2,1390,0
7,0,37,1,702,55,182,27,1,0,0,1,2188,0
5,0,28,2,306,38,200,15,1,1,0,1,2205,0
5,0,27,1,370,41,40,72,3,0,0,3,718,0
12,0,28,0,148,27,20,11,2,0,1,2,541,0
1,0,27,0,177,12,31,7,3,0,1,3,462,0
11,0,26,1,283,34,29,17,1,0,0,1,1039,0
3,0,26,1,810,63,18,27,2,0,0,2,1115,0
3,0,19,1,402,28,38,18,1,0,0,1,1335,0
17,0,18,2,1221,143,95,46,1,1,0,1,1870,0
13,0,16,1,1437,173,83,44,4,0,0,4,1385,0
9,0,17,4,721,47,41,23,2,0,0,2,1460,0
3,0,10,2,1006,42,222,14,2,0,0,2,2294,0
4,0,10,2,348,21,10,11,2,0,0,2,485,1
7,0,31,0,981,69,0,13,1,0,0,1,1070,0
0,0,32,0,0,0,0,0,1,0,1,1,0,0
9,0,30,0,558,58,305,20,1,0,0,1,2536,0
9,0,31,0,950,64,0,31,0,0,0,0,1236,0
2,0,31,0,542,56,0,29,0,0,0,0,656,0
10,0,31,0,879,80,22,24,2,0,0,2,1275,0
3,0,31,0,535,37,259,14,2,0,0,2,2341,0
12,0,30,1,1438,119,131,39,2,0,0,2,2106,0
6,0,31,0,1598,167,0,40,2,0,0,2,1764,0
6,0,31,0,1001,81,0,21,2,0,0,2,976,0
5,0,31,0,1124,93,0,8,1,0,0,1,1400,0
8,0,31,0,502,52,0,13,2,0,1,2,392,0
24,0,31,2,1651,211,44,28,2,0,0,2,1946,0
3,0,31,0,739,25,373,4,2,0,0,2,2605,0
8,0,30,0,1678,180,137,26,1,0,0,1,2392,0
2,0,30,0,1213,84,173,22,2,0,0,2,2191,0
0,0,30,0,150,12,0,7,1,0,1,1,123,0
1,0,31,0,111,12,3,4,1,0,1,1,148,0
0,0,30,0,0,0,0,0,1,0,1,1,0,1
2,0,30,0,1349,125,328,39,1,0,0,1,2610,0
6,0,30,0,1550,152,1,43,2,0,0,2,1726,0
7,0,30,0,1249,73,98,33,1,0,0,1,1895,0
22,0,26,0,168,45,6,13,1,0,1,1,285,1
20,0,29,7,1506,91,0,38,3,0,0,3,1378,0
12,1,29,0,1114,96,16,20,1,0,0,1,1582,1
0,0,27,0,673,20,0,10,2,0,0,2,530,0
8,1,28,0,715,39,0,12,2,0,1,2,581,1
8,0,29,0,509,42,24,27,2,0,1,2,1003,1
0,1,29,0,0,0,0,0,2,0,1,2,0,1
0,0,29,0,353,23,0,2,2,0,0,2,261,0
2,0,26,0,1260,95,4,18,3,0,0,3,970,0
0,0,29,0,0,0,0,0,3,0,1,3,0,1
0,0,29,0,0,0,0,0,4,0,0,4,0,0
24,0,24,2,1723,224,0,76,1,0,0,1,1877,0
5,0,27,2,1287,114,246,29,1,1,0,1,2467,0
1,0,29,0,871,80,0,24,1,0,0,1,888,0
2,0,28,0,352,42,28,16,2,0,1,2,955,0
5,0,29,0,654,51,162,19,1,0,0,1,2059,0
3,0,20,0,260,34,180,7,1,1,0,1,2077,0
3,0,19,0,329,37,20,64,3,0,0,3,391,0
10,0,20,0,107,23,0,3,1,0,1,1,100,0
0,0,19,0,0,0,11,0,3,0,1,3,94,0
9,0,18,0,238,30,9,9,1,0,0,1,418,0
1,0,18,0,769,59,0,19,2,0,0,2,646,0
1,0,11,0,361,24,18,10,1,0,0,1,805,0
15,0,10,0,1195,139,75,38,0,1,0,0,1917,0
11,0,8,0,1423,169,63,36,3,0,0,3,1655,0
7,0,9,2,676,43,21,15,2,0,0,2,1073,0
1,0,2,0,982,38,202,6,2,0,0,2,2220,0
2,0,2,0,309,17,0,3,2,0,0,2,222,1
13,0,41,1,1025,81,20,23,2,0,0,2,1406,0
5,0,42,0,95,15,22,10,2,0,1,2,536,0
15,0,40,1,657,70,328,30,2,0,0,2,2516,0
15,0,41,1,1005,76,16,41,0,0,0,0,1586,0
8,0,41,1,637,68,17,39,1,0,0,1,1082,0
16,0,41,2,939,92,47,34,2,0,0,2,1611,0
9,0,41,1,629,49,282,24,2,0,0,2,2383,0
18,0,40,3,1467,131,156,49,2,0,0,2,2243,0
12,0,41,1,1611,179,15,50,2,0,0,2,1801,0
12,0,41,2,1043,93,17,31,2,0,0,2,1387,0
11,0,41,1,1171,105,22,18,2,0,0,2,1589,0
14,1,41,0,591,64,23,23,2,0,1,2,1061,0
30,0,41,4,1677,223,69,38,2,0,0,2,2103,0
9,0,41,2,822,37,395,14,2,0,0,2,2647,0
14,0,40,1,1707,192,162,36,1,0,0,1,2455,0
8,0,40,2,1268,96,198,32,2,0,0,2,2292,0
5,0,40,0,237,24,15,17,1,0,1,1,589,0
7,0,41,0,195,24,28,14,2,0,1,2,779,0
5,0,40,0,28,10,15,6,1,0,1,1,346,1
8,0,40,1,1370,137,350,49,2,0,0,2,2568,0
12,0,40,2,1564,164,26,53,3,0,0,3,1623,0
13,0,40,2,1301,85,121,43,1,0,0,1,2065,0
28,1,36,0,255,57,31,23,2,0,1,2,940,1
26,0,39,9,1520,103,16,48,4,1,0,4,1009,0
18,0,39,2,1153,108,41,30,1,0,0,1,1725,0
6,0,37,1,759,32,15,20,2,0,0,2,1004,0
14,1,38,0,795,51,24,22,2,0,1,2,1224,1
14,1,39,0,599,54,49,37,3,0,1,3,1012,1
5,0,39,0,53,12,15,8,2,0,1,2,327,1
6,0,39,1,444,35,15,12,3,0,0,3,382,0
8,0,36,2,1310,107,29,28,4,0,0,4,770,0
5,0,39,0,172,17,24,10,3,0,1,3,364,1
5,0,39,2,101,14,19,8,4,0,0,4,132,0
30,1,34,4,1740,236,15,86,1,0,0,1,1979,0
11,1,37,4,1331,126,270,39,2,1,0,2,2441,0
7,0,39,1,928,92,17,34,2,0,0,2,1239,0
8,0,38,0,443,54,53,26,2,0,1,2,1486,0
11,0,39,1,746,63,187,29,1,0,0,1,2221,0
9,0,30,2,350,46,205,17,2,1,0,2,2099,0
9,0,29,1,415,49,45,74,4,0,0,4,434,0
16,0,30,0,192,35,25,13,2,0,1,2,702,0
5,0,29,0,224,20,36,9,3,0,1,3,578,0
15,0,28,1,327,42,34,19,1,0,0,1,1193,0
7,0,28,1,848,71,23,29,2,0,0,2,1255,0
7,0,21,1,451,36,43,20,2,0,0,2,1332,0
21,0,20,2,1250,151,100,48,1,1,0,1,1907,0
17,0,18,1,1452,181,88,46,4,0,0,4,1427,0
13,0,19,4,763,55,46,25,2,0,0,2,1528,0
7,0,12,2,1028,50,226,16,2,0,0,2,2310,0
8,1,12,2,395,29,15,13,2,0,0,2,660,1
3,0,29,0,949,61,0,11,1,0,0,1,1016,0
0,0,30,0,0,0,0,0,1,0,1,1,0,0
5,0,28,0,511,50,301,18,1,0,0,1,2532,0
5,0,29,0,919,56,0,29,0,0,0,0,1180,0
0,0,29,0,495,48,0,27,0,0,0,0,590,0
6,0,29,0,853,72,17,22,1,0,0,1,1268,0
0,0,29,0,490,29,254,12,2,0,0,2,2332,0
8,0,28,1,1424,111,127,37,2,0,0,2,2071,0
2,0,29,0,1591,159,0,38,2,0,0,2,1758,0
2,0,29,0,973,73,0,19,2,0,0,2,929,0
1,0,29,0,1108,85,0,6,1,0,0,1,1367,0
4,0,29,0,459,44,0,11,2,0,1,2,356,0
20,0,29,2,1640,203,39,26,2,0,0,2,1913,0
0,0,29,0,693,17,369,2,2,0,0,2,2596,0
4,0,28,0,1664,172,132,24,1,0,0,1,2379,0
0,0,28,0,1183,76,168,20,2,0,0,2,2153,0
0,0,28,0,105,4,0,5,1,0,1,1,95,0
0,0,29,0,65,4,0,2,1,0,1,1,61,0
0,0,28,0,0,0,0,0,1,0,1,1,0,1
0,0,28,0,1332,117,323,37,1,0,0,1,2600,0
2,0,28,0,1543,144,0,41,2,0,0,2,1721,0
3,0,28,0,1219,65,93,31,1,0,0,1,1852,0
18,1,24,0,126,37,1,11,1,0,1,1,130,1
16,0,27,7,1499,83,0,36,3,0,0,3,1356,0
8,1,27,0,1100,88,11,18,1,0,0,1,1509,1
0,0,25,0,616,12,0,8,2,0,0,2,487,0
4,0,26,0,663,31,0,10,1,0,1,1,621,1
4,1,27,0,466,34,19,25,2,0,1,2,828,1
0,0,27,0,0,0,0,0,2,0,1,2,0,1
0,0,27,0,0,0,0,0,2,0,0,2,0,0
0,0,24,0,1230,87,0,16,3,0,0,3,873,0
0,1,27,0,0,0,0,0,3,0,1,3,0,1
0,1,27,0,0,0,0,0,4,0,0,4,0,1
20,0,22,2,1711,216,0,74,1,0,0,1,1863,0
1,0,25,2,1260,106,242,27,1,1,0,1,2453,0
0,0,27,0,840,72,0,22,1,0,0,1,835,0
0,0,26,0,308,34,23,14,2,0,1,2,764,0
1,0,27,0,598,43,157,17,1,0,0,1,2014,0
0,0,18,0,215,26,175,5,1,1,0,1,2035,0
0,0,17,0,284,29,15,62,3,0,0,3,295,0
6,0,18,0,64,15,0,1,1,0,1,1,62,0
0,0,17,0,0,0,6,0,3,0,1,3,43,0
5,0,16,0,193,22,4,7,1,0,0,1,248,0
0,0,16,0,728,51,0,17,2,0,0,2,596,0
0,0,9,0,317,16,13,8,1,0,0,1,616,0
11,0,8,0,1164,131,70,36,0,1,0,0,1876,0
7,0,6,0,1408,161,58,34,3,0,0,3,1627,0
3,0,7,2,620,35,16,13,2,0,0,2,908,0
0,0,0,0,953,30,197,4,2,0,0,2,2193,0
0,1,0,0,258,9,0,1,1,0,0,1,218,1
10,0,38,0,1013,79,16,22,2,0,0,2,1321,0
2,0,39,0,76,13,18,9,1,0,1,1,491,0
12,0,37,0,633,68,324,29,2,0,0,2,2510,0
12,0,38,0,993,74,12,40,0,0,0,0,1529,0
5,0,38,0,614,66,13,38,0,0,0,0,1168,0
13,0,38,1,923,90,43,33,2,0,0,2,1580,0
6,0,38,0,603,47,279,23,2,0,0,2,2374,0
15,0,37,2,1459,129,152,48,2,0,0,2,2224,0
9,0,38,0,1607,177,11,49,2,0,0,2,1793,0
9,0,38,1,1035,91,13,30,2,0,0,2,1297,0
8,0,38,0,1158,103,18,17,2,0,0,2,1549,0
11,0,38,0,569,62,19,22,2,0,1,2,943,0
27,0,38,3,1671,221,65,37,2,0,0,2,2080,0
6,0,38,1,802,35,392,13,2,0,0,2,2643,0
11,0,37,0,1699,190,158,35,1,0,0,1,2440,0
5,0,37,1,1255,94,194,31,2,0,0,2,2281,0
2,0,37,0,215,22,11,16,1,0,1,1,448,0
4,0,38,0,173,22,24,13,2,0,1,2,668,0
2,0,37,0,17,8,11,5,1,0,1,1,228,1
5,0,37,0,1365,135,347,48,1,0,0,1,2648,0
9,0,37,1,1560,162,22,52,3,0,0,3,1605,0
10,0,37,1,1289,83,118,42,1,0,0,1,2035,0
25,1,33,0,237,55,27,22,1,0,1,1,941,1
23,0,36,8,1516,101,12,47,4,0,0,4,965,0
15,0,36,1,1143,106,37,29,1,0,0,1,1706,0
3,0,34,0,741,30,11,19,2,0,0,2,879,0
11,1,35,0,777,49,20,21,2,0,1,2,1126,1
11,1,36,0,578,52,45,36,2,0,1,2,1446,1
2,1,36,0,38,10,11,7,2,0,1,2,221,1
3,0,36,0,420,33,11,11,2,0,0,2,586,0
5,0,33,1,1299,105,25,27,4,0,0,4,723,0
2,0,36,0,153,15,20,9,3,0,1,3,293,1
2,0,36,1,82,12,15,7,4,0,0,4,105,0
27,1,31,3,1736,234,11,85,1,0,0,1,1953,0
8,0,34,3,1322,124,266,38,1,1,0,1,2511,0
4,0,36,0,912,90,13,33,1,0,0,1,1269,0
5,0,35,0,419,52,49,25,2,0,1,2,1422,0
8,0,36,0,727,61,183,28,1,0,0,1,2198,0
6,1,27,1,330,44,201,16,1,1,0,1,2214,1
6,0,26,0,395,47,41,73,3,0,0,3,751,0
13,0,27,0,169,33,21,12,1,0,1,1,683,0
2,0,26,0,204,18,32,8,3,0,1,3,495,0
12,0,25,0,308,40,30,18,1,0,0,1,1087,0
4,0,25,0,830,69,19,28,2,0,0,2,1160,0
4,0,18,0,428,34,39,19,1,0,0,1,1383,0
18,0,17,1,1236,149,96,47,1,1,0,1,1884,0
14,0,15,0,1444,179,84,45,3,0,0,3,1710,0
10,0,16,3,744,53,42,24,2,0,0,2,1487,0
4,0,9,1,1016,48,223,15,2,0,0,2,2299,0
5,0,9,1,373,27,11,12,2,0,0,2,538,1
6,0,32,0,962,63,0,12,2,0,0,2,912,0
0,0,33,0,0,0,0,0,1,0,1,1,0,0
8,0,31,0,532,52,304,19,2,0,0,2,2465,0
8,0,32,0,934,58,0,30,0,0,0,0,1211,0
1,0,32,0,516,50,0,28,0,0,0,0,623,0
9,0,32,1,865,74,21,23,2,0,0,2,1238,0
2,0,32,0,508,31,258,13,2,0,0,2,2336,0
11,0,31,2,1432,113,130,38,2,0,0,2,2094,0
5,0,32,0,1595,161,0,39,2,0,0,2,1762,0
5,0,32,1,988,75,0,20,2,0,0,2,950,0
4,0,32,0,1114,87,0,7,2,0,0,2,1250,0
7,0,32,0,478,46,0,12,2,0,1,2,374,0
23,0,32,3,1646,205,43,27,2,0,0,2,1934,0
2,0,32,1,717,19,372,3,2,0,0,2,2603,0
7,0,31,0,1670,174,136,25,1,0,0,1,2386,0
1,0,31,1,1196,78,172,21,2,0,0,2,2180,0
0,0,31,0,126,6,0,6,1,0,1,1,110,0
0,0,32,0,85,6,2,3,2,0,1,2,103,0
0,1,31,0,0,0,0,0,1,0,1,1,0,1
1,0,31,0,1340,119,327,38,1,0,0,1,2606,0
5,0,31,1,1547,146,0,42,3,0,0,3,1470,0
6,0,31,1,1232,67,97,32,1,0,0,1,1880,0
21,1,27,0,146,39,5,12,1,0,1,1,235,1
19,0,30,8,1503,85,0,37,4,0,0,4,809,0
11,1,30,1,1107,90,15,19,1,0,0,1,1559,1
0,0,28,0,640,14,0,9,2,0,0,2,503,0
7,0,29,0,687,33,0,11,2,0,1,2,548,1
7,1,30,0,488,36,23,26,2,0,1,2,953,1
0,0,30,0,0,0,0,0,2,0,1,2,0,1
0,0,30,0,329,17,0,1,2,0,0,2,240,0
1,0,27,1,1244,89,3,17,4,0,0,4,494,0
0,0,30,0,0,0,0,0,3,0,1,3,0,1
0,0,30,0,0,0,0,0,4,0,0,4,0,0
23,0,25,3,1717,218,0,75,1,0,0,1,1873,0
4,0,28,3,1272,108,245,28,1,1,0,1,2462,0
0,0,30,0,857,74,0,23,1,0,0,1,858,0
1,0,29,0,327,36,27,15,2,0,1,2,904,0
4,0,30,0,622,45,161,18,1,0,0,1,2044,0
2,0,21,1,237,28,179,6,1,1,0,1,2065,0
2,0,20,0,304,31,19,63,3,0,0,3,368,0
9,0,21,0,83,17,0,2,1,0,1,1,76,0
0,0,20,0,0,0,10,0,3,0,1,3,78,0
8,0,19,0,213,24,8,8,1,0,0,1,372,0
0,0,19,0,749,53,0,18,2,0,0,2,618,0
0,0,12,0,333,18,17,9,1,0,0,1,737,0
14,0,11,1,1178,133,74,37,1,1,0,1,1795,0
10,0,9,0,1417,163,62,35,3,0,0,3,1647,0
6,0,10,3,644,37,20,14,2,0,0,2,1023,0
0,0,3,1,967,32,201,5,2,0,0,2,2210,0
1,0,3,1,284,11,0,2,2,0,0,2,205,1
12,0,35,2,1062,81,26,32,2,0,0,2,1515,0
4,0,36,0,179,15,28,19,2,0,1,2,762,0
14,0,34,2,751,70,333,39,2,0,0,2,2529,0
14,0,35,2,1046,76,22,50,0,0,0,0,1665,0
7,0,35,2,735,68,23,48,1,0,0,1,1287,0
15,0,35,3,992,92,53,43,2,0,0,2,1667,0
8,0,35,2,727,49,286,33,2,0,0,2,2397,0
17,0,34,4,1483,131,162,58,2,1,0,2,2277,0
11,0,35,2,1623,179,21,59,2,0,0,2,1814,0
11,0,35,3,1071,93,23,40,2,0,0,2,1500,0
10,0,35,2,1229,105,28,27,2,0,0,2,1646,0
13,0,35,0,694,64,29,32,2,0,1,2,1246,0
29,0,35,5,1706,223,75,47,2,0,0,2,2158,0
8,0,35,3,879,37,399,23,2,0,0,2,2653,0
13,0,34,2,1729,192,168,45,1,0,0,1,2473,0
7,0,34,3,1316,96,204,41,2,0,0,2,2313,0
4,0,34,0,325,24,21,26,1,0,1,1,854,0
6,0,35,0,285,24,34,23,2,0,1,2,1028,0
4,0,34,0,102,10,21,15,1,0,1,1,605,1
7,0,34,2,1386,137,354,58,2,0,0,2,2583,0
11,0,34,3,1574,164,32,62,3,0,0,3,1660,0
12,0,34,3,1339,85,127,52,1,0,0,1,2121,0
27,1,30,0,345,57,37,32,2,0,1,2,1144,1
25,0,33,10,1535,103,22,57,4,1,0,4,1088,0
17,0,33,3,1212,108,47,39,1,0,0,1,1738,0
5,0,31,2,837,32,21,29,2,0,0,2,1198,0
13,1,32,0,863,51,30,31,2,0,1,2,1399,1
