Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,target
95,0,4,2,0,2,0,0,2,0,0,1,3,2,2,2,2,2,1,4,2,4,1,4,4,4,1,4,0,4,2,2,4,0,2,2,1,0,4,2,1,4,4,0,2,1,0,2,1,1,1,1,0,0,0,1,4,1,0,4,2,0
96,4,1,0,2,0,3,2,3,1,0,3,2,3,0,1,0,1,1,2,0,1,4,2,2,0,0,0,0,0,2,2,4,0,0,0,1,2,1,0,0,2,2,2,0,4,4,2,2,0,1,0,4,4,2,1,1,1,0,1,1,0
117,3,0,3,1,1,2,1,1,2,1,1,1,2,4,1,1,0,1,0,1,1,1,2,1,1,2,1,1,0,2,2,4,0,0,2,1,1,1,2,2,1,1,0,2,1,1,2,0,1,1,2,2,2,2,1,0,4,2,1,2,0
113,1,1,1,3,1,1,0,3,1,2,3,2,2,2,2,1,2,1,1,1,1,0,2,2,1,0,1,1,0,2,2,4,0,2,2,2,2,0,2,1,4,2,2,1,4,2,2,2,4,2,2,2,2,1,0,2,1,1,1,1,0
114,1,1,1,0,0,2,2,1,1,0,0,1,1,2,1,2,0,2,0,0,2,0,4,2,0,1,1,1,0,2,2,4,2,0,2,5,2,2,1,1,1,2,1,4,0,1,1,4,1,4,4,1,4,2,2,4,2,2,1,1,0
115,1,4,2,0,2,2,1,0,1,3,1,3,3,1,1,0,2,1,1,4,4,1,1,4,4,1,1,4,2,2,2,4,2,0,2,5,2,2,0,2,0,1,4,2,4,1,4,1,1,1,2,2,1,4,1,4,2,1,1,4,0
116,3,1,1,1,3,2,2,1,0,1,1,1,0,2,1,0,1,0,0,4,2,0,0,2,0,4,1,0,0,2,2,4,2,2,2,5,2,4,1,4,4,4,1,1,4,2,1,1,4,2,0,2,1,4,2,0,1,1,4,2,0
128,3,0,3,1,1,2,1,1,2,1,1,1,2,4,1,1,0,1,0,1,1,1,2,1,1,2,1,1,0,2,2,4,0,0,2,1,1,1,2,2,1,1,0,2,1,1,2,0,1,1,2,2,2,2,1,0,4,2,1,2,0
124,1,1,1,3,1,1,0,3,1,2,3,2,2,2,2,1,2,1,1,1,1,0,2,2,1,0,1,1,0,2,2,4,0,2,2,2,2,0,2,1,4,2,2,1,4,2,2,2,4,2,2,2,2,1,0,2,1,1,1,1,0
125,1,1,1,0,0,2,2,1,1,0,0,1,1,2,1,2,0,2,0,0,2,0,4,2,0,1,1,1,0,2,2,4,2,0,2,5,2,2,1,1,1,2,1,4,0,1,1,4,1,4,4,1,4,2,2,4,2,2,1,1,0
126,1,4,2,0,2,2,1,0,1,3,1,3,3,1,1,0,2,1,1,4,4,1,1,4,4,1,1,4,2,2,2,4,2,0,2,5,2,2,0,2,0,1,4,2,4,1,4,1,1,1,2,2,1,4,1,4,2,1,1,4,0
127,3,1,1,1,3,2,2,1,0,1,1,1,0,2,1,0,1,0,0,4,2,0,0,2,0,4,1,0,0,2,2,4,2,2,2,5,2,4,1,4,4,4,1,1,4,2,1,1,4,2,0,2,1,4,2,0,1,1,4,2,0
145,1,1,2,1,1,1,1,3,1,1,2,1,1,2,3,1,2,1,2,4,4,4,1,4,1,4,2,1,1,2,2,4,2,0,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,4,2,0,2,1,4,2,2,0
141,1,1,3,3,1,1,0,3,1,2,3,1,2,2,2,1,2,1,1,1,1,0,2,0,1,0,1,1,0,2,2,4,2,0,2,5,2,2,0,4,2,2,1,2,1,1,2,1,2,2,2,2,1,4,1,1,4,2,2,2,0
142,1,1,1,0,0,2,2,1,1,0,0,1,0,2,0,2,0,2,0,0,2,0,4,2,0,1,4,1,0,2,2,4,2,0,2,2,1,4,1,2,2,1,1,2,0,1,2,1,1,1,2,4,2,1,4,1,1,4,1,1,0
143,1,3,2,0,2,2,1,2,1,3,2,3,3,1,1,0,2,1,1,4,4,1,1,4,4,1,1,4,2,2,2,4,0,2,2,5,2,4,4,2,4,2,0,2,1,4,0,0,0,2,2,4,4,4,1,4,0,1,4,1,0
144,3,1,1,1,3,2,2,1,2,1,1,1,0,2,1,0,1,1,0,4,2,0,0,2,0,4,1,0,0,2,2,4,2,0,2,5,1,2,0,2,2,2,2,4,4,2,2,4,2,2,1,1,1,4,1,4,2,1,1,4,0
170,3,1,1,1,0,2,0,1,2,1,1,1,2,1,1,3,3,1,2,0,1,0,0,2,1,1,1,0,0,0,2,4,2,0,2,1,2,1,2,1,2,1,2,2,2,2,2,1,4,1,1,2,2,2,2,0,1,2,2,2,0
160,1,0,0,2,1,1,3,2,0,0,0,1,1,0,3,1,3,3,0,4,0,1,4,0,4,2,2,1,0,2,2,4,0,0,2,5,1,1,0,4,0,1,0,2,0,0,2,0,2,1,1,1,4,1,4,1,4,1,1,1,0
161,1,0,0,2,3,3,3,2,0,1,3,0,1,4,0,1,0,3,2,1,1,4,2,1,4,0,4,1,2,1,2,4,2,0,2,5,4,2,1,1,1,1,1,0,0,1,1,1,0,1,0,2,2,4,1,1,4,0,2,2,0
162,0,3,3,2,2,0,2,1,1,0,0,3,1,1,1,1,3,2,2,0,0,1,1,0,2,2,1,4,2,0,2,4,2,0,2,5,2,0,4,2,2,2,1,1,4,2,2,0,0,2,2,2,2,1,1,0,4,2,1,4,0
163,1,1,0,3,1,1,3,2,3,2,1,3,2,1,0,3,2,1,2,1,1,0,1,1,0,2,1,1,1,0,2,4,2,0,2,5,0,2,2,0,4,1,0,1,1,2,1,1,1,4,2,1,1,1,0,2,2,2,1,1,0
164,1,4,1,3,3,2,1,1,3,2,2,0,1,0,3,2,3,1,1,0,2,2,1,1,4,0,1,1,0,2,2,4,2,2,2,5,1,1,4,2,4,2,0,2,0,0,2,2,0,0,4,2,2,0,2,0,2,2,1,4,0
165,3,0,2,2,3,2,2,2,1,3,1,2,2,1,1,2,0,0,2,4,0,2,4,0,0,0,0,2,0,2,2,4,2,0,2,2,2,1,1,4,2,2,2,1,4,2,2,1,1,0,4,2,2,2,2,4,1,1,1,4,0
166,0,3,2,1,3,2,1,2,2,1,0,2,2,0,0,0,0,1,0,4,2,1,0,1,4,4,1,2,0,2,2,4,0,0,2,1,2,2,2,1,1,0,2,2,2,0,2,4,2,2,2,2,0,2,2,0,0,1,1,0,0
167,3,0,0,2,1,1,2,2,0,1,0,1,2,2,0,2,1,0,4,2,1,0,2,4,1,0,4,4,1,2,2,4,2,0,2,1,4,1,4,2,4,4,1,1,1,1,4,2,2,2,1,1,4,2,4,4,1,0,0,4,0
168,3,3,1,3,3,3,0,1,3,2,0,0,2,0,2,2,0,2,4,4,4,0,0,0,0,2,2,1,4,2,2,4,2,0,2,5,2,2,2,4,2,4,2,0,2,1,1,0,4,0,1,4,2,2,1,1,4,4,2,0,0
169,1,1,3,0,3,2,2,2,0,3,2,1,1,0,1,1,3,3,1,0,2,1,1,4,1,4,2,1,0,2,2,4,0,2,2,5,4,1,1,4,2,4,1,4,2,2,2,1,4,4,1,4,2,2,2,1,0,2,4,4,0
180,3,0,2,2,3,2,2,2,1,3,1,2,2,1,1,2,0,0,2,4,0,2,4,0,0,0,0,2,0,2,2,4,2,0,2,2,2,1,1,4,2,2,2,1,4,2,2,1,1,0,4,2,2,2,2,4,1,1,1,4,0
221,3,0,0,1,0,1,3,2,1,0,3,0,2,0,0,0,3,2,0,0,4,0,4,2,2,0,0,4,0,2,2,4,2,0,2,0,4,0,4,4,4,4,2,4,2,4,4,4,4,4,1,4,4,2,4,1,4,4,4,4,0
214,0,4,2,3,0,1,3,2,1,0,2,0,2,0,3,0,0,2,4,4,4,0,2,1,4,2,0,1,1,4,2,4,0,0,2,5,4,4,4,2,1,4,4,0,4,0,4,0,0,0,4,2,4,0,1,4,4,4,0,0,0
217,3,0,0,1,0,2,3,1,3,3,1,0,2,2,2,3,2,3,4,4,0,2,0,0,0,0,1,1,0,2,2,4,2,0,2,5,2,0,0,4,0,0,4,4,4,4,0,0,0,0,0,0,2,1,0,4,4,2,4,2,0
218,4,3,0,0,2,0,0,2,0,1,0,2,2,2,0,2,0,1,0,4,4,1,0,4,2,0,0,1,0,0,2,4,0,0,2,2,0,4,1,1,0,2,4,4,4,0,0,0,2,2,4,0,2,0,4,2,1,0,0,0,0
219,3,0,0,0,0,3,2,1,0,2,3,3,2,0,0,3,2,1,4,4,1,1,0,0,0,1,0,0,0,2,2,4,0,4,1,0,4,0,4,4,4,2,1,2,4,2,2,0,4,0,4,1,4,2,0,0,1,1,0,2,0
220,0,0,0,3,3,3,3,2,2,2,0,1,1,1,2,0,0,1,4,4,4,1,1,0,0,2,1,1,0,4,2,4,0,0,2,5,4,1,0,0,2,4,4,1,4,0,4,1,4,0,2,2,2,0,0,2,0,2,2,2,0
222,3,3,0,2,0,3,2,3,2,1,3,2,2,0,3,3,2,3,1,4,2,1,0,2,2,0,4,2,2,2,2,4,2,0,2,2,0,2,4,1,4,4,2,1,4,4,1,4,4,0,0,0,0,4,0,2,0,0,2,0,0
209,4,4,1,0,2,2,2,2,0,0,0,0,0,0,0,3,0,3,1,4,4,1,4,4,2,2,1,0,0,2,2,4,0,0,1,0,1,0,1,4,1,4,2,4,0,0,0,4,2,1,0,4,2,4,4,1,0,4,2,1,0
210,3,0,0,0,0,1,1,1,3,1,3,3,2,0,0,3,2,1,1,0,0,2,0,4,0,0,0,2,2,0,2,4,0,0,2,5,4,2,1,4,1,4,0,2,0,0,4,4,4,4,0,2,2,2,2,0,2,4,0,4,0
211,3,0,0,0,1,3,0,2,2,0,2,0,0,4,0,3,3,0,1,4,4,0,1,0,0,0,0,4,2,1,2,4,0,4,2,5,4,4,4,4,2,4,0,0,0,1,0,2,4,0,4,4,4,4,4,0,2,4,2,0,0
212,3,0,1,0,0,0,1,3,0,3,3,2,2,1,1,3,2,3,2,2,1,2,0,2,2,2,0,2,1,2,2,4,2,0,2,5,2,4,1,4,2,1,4,4,2,2,4,4,4,2,2,4,1,1,1,0,4,1,4,1,0
213,3,3,2,3,2,3,0,2,1,2,1,3,2,1,0,0,0,1,2,0,4,2,0,0,2,1,0,0,2,0,2,4,0,0,2,0,0,0,1,4,2,4,4,0,1,4,4,2,1,4,0,2,1,0,4,2,2,0,0,0,0
215,1,0,2,2,0,0,1,0,2,2,0,0,2,4,1,3,2,1,4,4,4,2,1,4,2,0,0,2,0,2,2,4,0,1,0,5,2,1,0,2,1,4,1,0,4,4,4,1,0,4,0,1,4,1,0,0,0,0,4,0,0
216,3,4,2,1,3,2,1,3,3,3,2,2,2,0,2,3,3,3,0,0,0,4,4,0,1,4,4,1,0,2,2,4,0,0,1,0,0,0,0,1,0,4,4,1,0,2,0,1,0,0,2,1,1,4,2,0,0,4,0,1,0
243,3,1,1,1,1,2,2,1,2,1,1,1,0,1,1,1,2,1,0,1,1,1,1,4,1,1,1,1,0,2,2,4,1,0,2,5,2,1,2,4,2,1,1,1,2,1,2,1,2,4,2,4,1,4,2,2,2,2,2,2,0
239,0,1,2,2,1,3,1,1,1,2,2,2,0,1,1,3,1,2,2,1,0,2,2,0,4,2,2,0,0,2,2,4,0,4,2,0,2,1,1,4,1,1,4,1,4,1,1,4,4,4,4,2,1,1,1,0,4,4,2,1,0
240,4,3,0,0,2,0,0,0,0,1,1,0,0,2,0,3,1,0,4,1,4,4,4,2,4,2,2,4,2,2,2,4,2,0,2,5,4,2,1,2,2,2,1,0,2,2,1,2,2,2,4,2,2,4,2,1,0,2,1,0,0
241,0,4,1,0,3,2,2,0,2,0,0,2,2,2,2,1,0,2,1,4,2,2,4,4,1,1,0,1,4,2,2,4,2,0,2,5,2,2,2,1,1,1,4,2,2,4,2,2,2,2,4,2,0,2,0,2,2,1,0,2,0
242,3,4,2,1,0,2,1,0,0,2,2,0,2,0,0,2,0,2,4,4,4,2,0,2,1,2,0,1,2,2,2,4,0,0,2,2,1,0,1,4,2,0,1,1,1,0,0,2,4,2,2,2,2,0,4,1,1,4,2,2,0
238,4,4,1,3,0,3,2,0,2,0,0,0,1,2,3,2,2,1,0,4,4,2,4,2,1,2,1,0,0,2,2,4,2,2,2,1,1,1,1,2,1,2,2,2,0,1,2,2,2,2,1,0,2,1,4,1,1,2,2,2,0
269,0,4,3,1,1,0,2,2,2,2,3,2,3,2,3,3,3,1,2,4,1,2,0,2,0,4,2,1,0,1,2,4,0,0,2,0,0,0,4,1,1,0,4,4,4,4,4,1,4,0,4,4,2,4,4,1,0,0,1,4,0
270,0,3,0,3,3,3,2,2,2,0,2,0,0,2,0,0,0,0,4,4,4,1,0,0,0,2,1,1,4,4,2,4,0,0,2,5,4,0,0,0,0,4,0,4,4,2,0,4,2,0,0,4,1,0,0,0,4,4,4,0,0
271,3,0,2,3,1,0,2,1,3,2,0,0,0,0,3,3,2,3,2,0,1,0,0,0,4,1,0,1,4,4,2,4,0,0,2,5,0,1,0,4,4,1,4,0,0,4,4,2,4,2,2,0,2,0,4,4,1,4,4,4,0
272,4,1,0,3,2,0,1,0,0,3,2,0,0,2,0,2,0,1,0,4,4,4,4,4,2,0,0,0,0,0,2,4,0,0,2,5,0,0,4,1,0,2,0,4,2,4,4,4,0,4,0,2,4,4,1,0,0,0,0,4,0
273,3,1,3,2,0,3,0,0,0,2,1,3,2,1,1,3,2,1,1,4,2,4,4,2,1,1,0,0,0,2,2,4,0,4,5,0,4,2,1,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,2,0,2,4,0
274,0,0,0,0,3,3,3,2,2,0,2,0,0,0,2,0,2,1,4,4,4,1,0,0,0,2,1,0,4,2,2,4,0,0,0,5,0,1,4,4,4,4,0,0,0,1,0,4,0,2,4,4,2,2,1,0,4,1,4,4,0
275,3,3,0,2,0,3,1,3,2,1,3,3,2,0,0,3,2,3,2,1,4,2,0,4,2,0,1,0,2,2,2,4,0,0,0,2,0,2,4,1,2,4,1,2,0,4,0,4,2,1,4,4,4,4,4,2,2,4,0,2,0
262,4,3,1,3,2,0,2,2,1,0,0,0,2,2,0,3,2,3,1,4,4,1,1,4,2,2,2,1,0,4,2,4,0,0,2,5,0,2,0,4,0,0,2,0,0,0,4,4,0,4,4,1,4,4,4,4,0,4,0,2,0
263,3,1,0,2,0,3,1,1,3,1,0,3,2,0,0,3,2,1,4,0,4,2,1,1,0,0,0,2,4,2,2,4,0,2,2,5,4,4,0,4,4,2,4,4,2,2,0,0,0,0,0,0,0,4,2,4,0,2,4,4,0
264,3,1,0,2,1,3,3,2,2,0,2,0,2,4,0,1,0,0,0,4,4,1,1,0,2,0,0,4,2,1,2,4,0,0,2,5,0,0,4,4,4,4,4,0,4,4,2,0,1,4,2,0,4,4,4,4,4,4,4,4,0
265,3,1,0,0,0,0,0,2,0,0,3,2,1,1,1,3,2,3,2,1,0,2,0,0,2,0,1,4,0,4,2,4,2,0,2,5,1,4,4,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,4,4,0,0,0
266,4,3,0,2,0,0,2,2,0,2,0,2,0,1,0,0,0,3,1,0,0,2,0,0,0,1,0,0,0,1,2,4,2,0,2,2,0,2,4,0,4,4,4,1,0,4,4,0,1,4,2,1,0,4,2,4,2,4,4,4,0
267,3,0,1,2,0,3,0,0,2,2,0,2,0,1,1,3,2,1,4,4,4,2,1,1,2,0,2,2,0,2,2,4,0,1,5,0,1,0,2,4,4,1,4,1,4,4,1,0,4,4,4,4,0,0,4,0,4,2,4,1,0
268,1,4,3,0,3,0,0,1,0,3,1,0,1,0,3,3,3,0,0,0,0,2,1,0,4,1,4,1,0,2,2,4,0,0,1,5,0,4,0,4,4,4,4,2,0,0,4,4,4,4,4,4,0,0,0,0,0,0,2,4,0
267,3,0,1,2,0,3,0,0,2,2,0,2,0,1,1,3,2,1,4,4,4,2,1,1,2,0,2,2,0,2,2,4,0,1,5,0,1,0,2,4,4,1,4,1,4,4,1,0,4,4,4,4,0,0,4,0,4,2,4,1,0
316,3,3,1,3,0,1,0,2,1,3,1,3,1,1,1,3,2,2,2,1,0,4,1,0,4,1,1,1,0,2,2,4,0,0,5,2,0,2,2,1,4,1,1,1,1,0,2,1,1,4,2,1,1,1,4,0,1,0,1,0,0
317,1,1,0,0,2,0,0,1,1,3,1,0,3,1,0,3,2,3,4,1,1,4,2,2,2,4,2,0,1,2,2,4,2,0,2,5,2,0,2,1,1,0,2,1,1,4,4,1,1,0,2,1,1,1,1,2,1,0,2,1,0
318,3,0,1,1,2,1,3,3,1,1,1,2,3,0,1,2,3,2,2,1,4,1,4,2,4,1,1,0,0,2,2,4,0,0,2,5,2,1,4,2,2,2,1,4,0,1,1,4,4,0,2,0,2,4,1,1,4,1,1,0,0
309,4,1,3,1,1,2,3,2,2,3,2,0,0,4,1,2,2,2,1,1,0,0,2,0,0,0,2,1,0,2,2,4,2,2,0,2,1,4,2,2,2,2,1,1,1,2,2,1,4,2,4,2,2,2,2,4,1,0,2,2,0
310,0,1,2,1,0,2,1,3,1,0,3,1,3,1,1,0,0,1,0,4,2,2,0,1,0,4,4,2,0,4,2,4,2,1,2,0,1,1,1,1,1,2,2,2,1,1,0,0,2,2,2,4,2,2,2,2,1,4,2,2,0
311,1,4,2,2,3,2,1,0,2,2,0,0,3,2,2,1,3,2,2,1,2,0,0,2,1,0,1,1,0,2,2,4,2,0,5,2,2,2,2,2,1,4,2,2,4,2,2,2,4,2,4,2,1,4,2,2,2,1,0,1,0
312,1,1,1,3,2,2,0,1,1,1,2,3,1,4,2,3,2,0,1,1,1,0,4,1,4,1,0,4,2,2,2,4,0,0,5,2,0,1,1,1,1,1,4,4,1,1,4,2,1,1,1,4,2,2,1,0,4,1,1,4,0
313,0,1,1,1,1,1,2,1,2,2,1,3,3,1,3,3,1,1,4,1,4,4,1,2,4,2,2,0,2,2,2,4,2,1,2,5,2,2,4,2,2,1,1,1,4,2,2,2,0,2,4,2,2,2,2,2,2,4,4,2,0
314,3,1,3,0,1,1,1,1,1,3,2,1,2,0,2,2,2,0,2,1,4,1,1,0,4,1,4,4,1,2,2,4,0,2,2,1,1,4,2,2,2,2,0,4,2,0,2,4,2,2,1,0,2,2,4,2,1,4,2,1,0
315,1,1,1,2,2,1,1,2,2,0,3,2,3,4,0,1,2,2,0,2,0,2,1,2,0,2,0,2,1,2,2,4,2,0,2,5,2,1,1,2,4,2,2,2,2,4,2,2,1,1,4,2,0,2,2,2,2,2,0,1,0
339,3,3,1,3,0,1,0,2,1,3,1,3,1,1,1,3,2,2,2,1,2,4,1,0,4,1,1,1,0,2,2,4,0,0,5,2,0,2,2,1,4,1,1,1,1,0,0,2,1,4,2,4,4,1,1,0,1,0,1,0,0
340,1,1,0,0,2,0,0,1,1,3,1,0,3,1,1,3,1,3,4,1,1,4,2,2,2,1,2,0,4,2,2,4,2,0,2,5,2,0,2,1,0,0,2,2,1,1,4,2,4,1,1,0,2,1,1,1,1,2,4,0,0
341,3,0,1,1,2,1,3,3,1,1,1,0,3,0,1,1,3,2,2,1,4,1,4,2,4,1,1,0,0,2,2,4,0,0,2,2,2,1,4,2,2,2,1,1,0,1,1,4,1,0,2,0,2,4,1,1,4,1,1,0,0
332,4,1,3,1,1,2,3,2,0,3,2,0,0,1,1,2,2,2,1,1,0,0,2,1,0,0,2,1,0,2,2,4,2,0,2,1,4,2,2,2,2,1,1,1,2,1,4,2,4,2,2,2,2,4,1,0,2,2,0,1,0
333,0,1,3,1,0,2,1,3,1,0,3,1,3,1,1,0,0,1,0,4,2,2,0,1,0,4,4,2,0,1,2,4,2,1,2,0,1,1,1,1,1,2,2,2,1,1,0,0,2,2,2,1,4,2,2,2,2,1,4,2,0
334,1,4,2,2,3,2,1,0,2,2,0,0,3,2,2,1,3,2,2,1,0,0,0,2,1,0,1,1,0,2,2,4,2,0,5,2,2,2,2,2,1,4,2,2,4,2,2,2,4,2,4,2,2,2,0,2,2,1,0,1,0
335,1,1,1,3,2,2,0,1,1,0,2,3,1,4,2,3,2,0,1,1,1,0,4,1,4,1,0,4,2,2,2,4,0,0,5,2,0,1,1,1,1,1,4,4,1,1,4,2,1,1,1,4,2,2,1,0,4,4,1,1,0
336,0,1,1,1,1,1,2,1,2,2,1,3,3,1,3,0,1,1,4,1,4,4,4,2,4,2,2,0,2,2,2,4,2,1,2,5,2,2,4,2,2,1,1,1,1,4,2,2,2,2,0,2,4,2,2,0,2,2,0,0,0
337,3,1,3,0,1,0,1,1,3,3,2,1,2,0,2,2,2,0,2,1,4,1,1,0,4,1,4,4,1,2,2,4,0,2,2,1,1,4,2,2,2,2,0,2,0,2,4,2,2,1,0,2,2,4,2,1,4,2,1,4,0
338,4,3,1,2,0,1,1,0,2,0,1,2,3,2,0,0,3,2,0,2,0,2,1,2,0,2,0,2,1,2,2,4,2,0,2,5,2,0,2,2,1,4,2,0,0,4,2,2,1,1,1,2,4,2,1,0,2,2,2,2,0
344,1,0,1,0,1,0,2,2,2,1,0,1,1,1,1,1,3,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
