Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),target
11,1,1,5,0
11,1,1,5,0
11,1,1,5,0
2,5,5,63,0
11,7,7,34,1
11,2,2,10,1
12,12,12,50,0
2,2,2,28,0
16,7,7,21,0
11,6,6,30,0
4,2,2,21,0
12,11,11,49,0
4,3,3,34,0
11,13,13,61,1
2,1,1,16,0
2,2,2,31,1
4,4,4,49,0
4,3,3,36,1
3,1,1,16,0
11,7,7,38,0
4,6,6,69,0
13,3,3,14,0
16,10,10,33,0
16,6,6,21,0
7,1,1,10,0
4,4,4,49,0
4,4,4,49,0
4,3,3,38,0
14,12,12,48,0
4,2,2,27,0
14,17,17,66,0
11,7,7,40,0
14,15,15,58,0
14,3,3,15,1
14,4,4,19,0
8,1,1,10,0
11,4,4,26,0
11,1,1,8,0
4,1,1,16,0
9,1,1,10,1
14,4,4,21,1
14,2,2,13,1
14,3,3,16,1
16,11,11,42,0
11,3,3,21,0
11,4,4,28,0
11,4,4,28,0
2,3,3,58,0
14,4,4,21,0
14,1,1,8,0
14,1,1,8,0
14,1,1,8,0
14,1,1,8,0
14,1,1,8,0
14,1,1,8,0
2,2,2,44,0
14,5,5,27,0
11,4,4,30,1
4,4,4,62,0
11,2,2,16,0
16,3,3,16,0
16,2,2,13,0
11,4,4,31,0
11,1,1,10,0
12,8,8,51,0
9,0,0,3,0
9,0,0,3,0
4,1,1,22,0
11,1,1,11,0
14,3,3,19,0
11,8,8,60,1
11,4,4,34,0
15,15,15,69,0
9,4,4,43,1
11,3,3,27,0
14,7,7,42,1
16,6,6,31,0
14,1,1,10,0
2,1,1,34,0
14,15,15,77,0
14,3,3,21,1
16,6,6,32,0
14,6,6,39,0
16,5,5,28,0
16,5,5,28,1
11,6,6,53,1
16,1,1,10,0
16,2,2,14,1
11,2,2,21,0
11,6,6,55,0
11,0,0,5,1
9,2,2,27,0
14,3,3,23,0
22,27,27,77,0
11,5,5,49,0
11,0,0,5,0
11,0,0,5,0
11,0,0,5,0
11,0,0,5,0
11,0,0,5,0
11,0,0,5,0
11,0,0,5,0
11,0,0,5,0
11,1,1,14,0
11,4,4,42,0
11,1,1,14,0
16,3,3,21,0
4,1,1,34,0
16,5,5,33,0
14,2,2,19,0
9,1,1,19,0
20,15,15,55,0
14,5,5,43,0
11,1,1,17,0
4,2,2,59,0
20,12,12,48,0
11,5,5,59,0
14,1,1,14,1
22,14,14,48,0
14,3,3,31,0
11,1,1,19,0
16,4,4,33,1
4,1,1,43,1
14,2,2,24,0
4,1,1,44,0
9,3,3,56,0
14,3,3,33,0
11,2,2,33,1
14,4,4,42,0
14,0,0,8,0
14,0,0,8,0
14,0,0,8,0
14,0,0,8,0
14,0,0,8,0
14,0,0,8,0
14,0,0,8,0
14,0,0,8,0
14,6,6,60,0
14,0,0,8,0
14,0,0,8,0
9,2,2,44,0
14,6,6,61,0
11,3,3,49,0
11,3,3,50,0
4,1,1,50,0
11,3,3,52,0
16,3,3,33,0
16,9,9,74,0
20,1,1,14,1
20,2,2,19,0
16,7,7,64,0
20,2,2,19,1
18,1,1,16,0
22,4,4,26,0
22,7,7,38,0
16,2,2,27,0
14,4,4,55,0
14,2,2,34,0
16,0,0,10,0
16,0,0,10,0
16,0,0,10,0
16,0,0,10,0
16,0,0,10,0
16,0,0,10,0
16,0,0,10,0
16,3,3,37,0
16,0,0,10,0
16,0,0,10,0
16,0,0,10,0
16,0,0,10,0
16,0,0,10,0
16,1,1,19,0
20,1,1,16,0
16,1,1,20,0
20,1,1,16,0
20,1,1,16,0
14,3,3,48,0
16,4,4,51,0
22,1,1,16,0
14,4,4,62,0
22,2,2,21,0
16,2,2,33,0
9,1,1,44,0
9,1,1,44,0
16,6,6,72,1
14,3,3,55,0
14,1,1,28,0
16,6,6,75,0
20,1,1,18,0
14,2,2,44,0
22,13,13,75,0
18,7,7,76,0
16,2,2,38,0
11,2,2,64,0
11,1,1,44,0
11,2,2,64,0
22,11,11,71,0
20,2,2,28,0
22,1,1,19,0
22,1,1,19,0
22,7,7,55,0
16,2,2,42,0
22,2,2,26,0
20,2,2,31,0
22,1,1,21,0
20,0,0,14,0
20,0,0,14,0
20,0,0,14,0
20,0,0,14,0
20,0,0,14,0
20,0,0,14,0
20,0,0,14,0
20,0,0,14,0
20,0,0,14,0
20,0,0,14,1
20,0,0,14,0
20,0,0,14,0
20,4,4,51,0
22,3,3,37,0
20,3,3,44,0
21,0,0,15,1
11,1,1,58,0
22,4,4,49,0
22,2,2,33,0
22,2,2,34,0
14,2,2,70,0
20,1,1,28,0
24,4,4,41,1
22,5,5,58,0
22,0,0,16,0
22,0,0,16,0
22,0,0,16,0
22,0,0,16,0
22,0,0,16,0
22,0,0,16,0
22,0,0,16,0
22,0,0,16,0
22,3,3,45,0
20,5,5,71,0
22,2,2,40,0
20,1,1,34,0
20,2,2,55,0
16,1,1,58,0
20,2,2,58,0
22,3,3,72,0
22,2,2,74,0
22,1,1,72,0
25,2,2,55,0
26,0,0,31,0
26,0,0,31,0
28,0,0,33,0
30,0,0,62,0
2,29,29,71,1
6,21,21,21,1
2,26,26,65,1
2,30,30,77,0
0,24,24,64,1
2,28,28,77,1
3,20,20,35,1
2,10,10,16,0
2,20,20,44,1
2,12,12,25,1
4,3,3,2,1
2,10,10,19,0
2,10,10,21,0
3,13,13,28,0
4,15,15,31,1
4,5,5,8,0
3,4,4,6,1
4,25,25,77,1
3,9,9,26,1
4,9,9,21,1
2,10,10,33,1
2,10,10,34,1
4,12,12,32,1
1,9,9,36,1
4,8,8,21,0
2,3,3,5,0
2,4,4,10,1
2,14,14,55,0
5,23,23,67,0
2,5,5,15,1
4,4,4,10,1
2,3,3,8,1
4,7,7,21,0
2,3,3,8,0
2,5,5,19,0
4,4,4,10,1
2,6,6,25,1
2,5,5,19,1
2,7,7,31,1
2,1,1,2,1
2,5,5,21,1
2,9,9,44,0
4,15,15,58,1
4,1,1,2,1
1,13,13,76,0
4,1,1,2,1
7,13,13,40,0
2,2,2,5,0
2,11,11,58,1
4,6,6,25,1
4,3,3,10,0
2,5,5,28,1
4,5,5,21,1
2,2,2,8,0
2,3,3,16,0
4,3,3,12,0
5,5,5,21,0
4,5,5,23,0
14,4,4,8,0
3,7,7,42,0
4,10,10,55,1
4,8,8,44,0
4,15,15,77,1
7,9,9,39,0
4,13,13,71,0
2,8,8,63,0
4,5,5,28,0
4,8,8,47,0
4,5,5,28,1
2,5,5,37,0
2,5,5,39,0
4,1,1,3,0
2,1,1,5,1
2,1,1,5,0
2,1,1,5,1
4,5,5,31,1
3,3,3,22,1
9,8,8,31,0
11,4,4,12,0
2,2,2,14,0
2,0,0,0,0
2,0,0,0,1
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
11,10,10,31,0
2,2,2,15,0
9,10,10,41,1
5,10,10,63,0
3,4,4,31,0
3,0,0,1,1
4,5,5,36,0
2,2,2,17,0
12,10,10,32,0
2,1,1,8,0
4,5,5,38,0
9,2,2,8,0
14,7,7,19,0
4,1,1,7,0
4,10,10,76,0
2,6,6,65,0
2,6,6,65,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,1
4,0,0,2,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,1
4,0,0,2,0
4,6,6,53,0
4,0,0,2,0
4,3,3,27,1
11,5,5,21,0
13,2,2,8,1
7,4,4,28,0
9,8,8,46,0
11,1,1,5,0
2,4,4,54,0
7,10,10,74,0
8,8,8,55,0
2,1,1,15,0
6,2,2,19,0
12,14,14,59,0
13,2,2,10,0
11,15,15,74,0
4,4,4,49,0
14,6,6,28,0
11,3,3,20,0
7,8,8,74,1
11,7,7,44,1
7,4,4,44,0
11,5,5,34,0
10,4,4,31,0
14,1,1,8,1
14,1,1,8,0
14,1,1,8,0
2,1,1,26,0
11,2,2,16,0
14,7,7,38,0
9,0,0,3,0
16,4,4,20,0
14,3,3,19,0
4,1,1,23,0
14,2,2,14,0
16,15,15,65,0
4,1,1,24,0
14,7,7,42,0
11,2,2,19,0
14,6,6,37,0
15,4,4,26,0
16,1,1,10,0
16,2,2,14,0
11,7,7,60,0
11,0,0,5,0
11,0,0,5,0
11,0,0,5,0
11,0,0,5,1
11,0,0,5,0
2,2,2,63,1
2,2,2,65,0
16,3,3,21,0
16,14,14,72,0
16,13,13,70,0
16,9,9,53,0
16,2,2,16,0
14,2,2,19,0
22,18,18,53,0
11,6,6,63,0
14,2,2,21,0
19,13,13,57,1
4,1,1,38,0
11,1,1,18,0
11,2,2,30,0
16,3,3,26,0
20,6,6,31,0
13,6,6,64,0
16,5,5,42,0
14,2,2,26,0
14,0,0,8,0
14,0,0,8,0
14,0,0,8,0
14,0,0,8,0
14,0,0,8,0
14,0,0,8,0
17,6,6,49,1
14,2,2,28,0
14,2,2,28,0
16,6,6,55,0
20,1,1,14,0
16,2,2,28,0
16,0,0,10,0
16,0,0,10,0
16,0,0,10,0
16,0,0,10,0
16,0,0,10,0
14,1,1,22,0
11,3,3,62,0
11,1,1,31,1
20,5,5,40,0
22,1,1,16,0
22,5,5,37,0
14,1,1,28,1
16,5,5,68,0
16,3,3,49,0
16,4,4,59,0
20,1,1,19,0
20,2,2,28,0
20,2,2,28,0
22,7,7,57,0
20,2,2,31,0
22,2,2,28,0
20,2,2,33,0
22,1,1,21,0
20,0,0,14,0
20,0,0,14,0
23,5,5,42,0
20,0,0,14,0
20,0,0,14,0
22,2,2,32,0
20,1,1,26,0
14,2,2,67,0
22,0,0,16,1
22,0,0,16,0
22,0,0,16,0
22,0,0,16,0
22,0,0,16,0
22,0,0,16,0
22,0,0,16,0
22,3,3,44,0
22,0,0,16,0
22,6,6,73,0
16,2,2,71,0
22,1,1,31,0
20,1,1,44,0
22,2,2,53,0
27,0,0,32,0
29,0,0,60,0
14,7,7,42,1
2,2,2,31,1
2,2,2,2,1
16,2,2,14,1
2,0,0,0,1
4,9,9,21,1
14,7,7,42,1
0,24,24,64,1
4,5,5,34,1
4,2,2,18,1
21,0,0,15,1
11,4,4,30,1
14,3,3,21,1
2,5,5,28,1
3,9,9,26,1
2,11,11,58,1
2,12,12,64,1
0,12,12,21,1
4,2,2,18,1
2,1,1,5,1
4,4,4,10,1
4,25,25,77,1
4,9,9,21,1
2,0,0,0,1
2,2,2,10,1
4,8,8,19,1
11,16,16,67,1
4,8,8,31,1
4,4,4,19,1
11,7,7,44,1
2,2,2,2,1
17,6,6,49,1
5,6,6,19,1
11,0,0,5,1
4,7,7,33,1
2,1,1,4,1
3,9,9,26,1
5,6,6,19,1
4,12,12,32,1
4,9,9,21,1
11,3,3,10,1
4,3,3,27,1
4,11,11,27,1
4,9,9,21,1
11,16,16,67,1
2,5,5,34,1
2,2,2,2,1
2,5,5,9,1
11,7,7,34,1
2,12,12,64,1
4,25,25,77,1
4,0,0,2,1
11,13,13,61,1
4,1,1,43,1
11,0,0,5,1
2,9,9,21,1
17,6,6,49,1
4,7,7,19,1
4,0,0,2,1
3,0,0,1,1
4,3,3,8,1
14,3,3,21,1
4,9,9,21,1
0,12,12,21,1
2,10,10,34,1
4,4,4,16,1
11,6,6,53,1
2,19,19,37,1
4,4,4,16,1
2,5,5,21,1
2,3,3,10,1
2,0,0,0,1
2,2,2,2,1
14,3,3,15,1
4,1,1,2,1
2,2,2,2,1
2,3,3,8,1
4,0,0,2,1
4,1,1,43,1
2,12,12,64,1
2,11,11,39,1
4,10,10,55,1
3,20,20,35,1
4,16,16,59,1
2,1,1,5,1
2,2,2,2,1
4,5,5,16,1
4,1,1,3,1
11,16,16,67,1
2,0,0,0,1
2,5,5,9,1
4,2,2,18,1
3,4,4,6,1
1,9,9,36,1
4,7,7,40,1
4,4,4,10,1
4,0,0,2,1
1,9,9,36,1
9,10,10,41,1
9,10,10,41,1
4,4,4,8,1
2,28,28,77,1
2,6,6,8,1
4,16,16,59,1
2,12,12,45,1
4,12,12,32,1
2,0,0,0,1
2,14,14,41,1
2,0,0,0,1
4,4,4,8,1
4,1,1,2,1
4,6,6,25,1
4,7,7,38,1
2,7,7,28,1
14,3,3,16,1
11,0,0,5,1
14,3,3,21,1
4,7,7,19,1
11,8,8,60,1
17,6,6,49,1
3,9,9,26,1
2,32,32,77,1
2,6,6,8,1
2,6,6,25,1
14,7,7,42,1
4,6,6,15,1
2,4,4,10,1
2,2,2,2,1
11,7,7,34,1
2,1,1,2,1
3,20,20,35,1
4,7,7,40,1
9,1,1,10,1
4,7,7,27,1
9,1,1,10,1
4,9,9,21,1
4,6,6,25,1
2,5,5,19,1
14,1,1,8,1
2,4,4,10,1
2,6,6,21,1
2,5,5,9,1
3,3,3,22,1
2,0,0,0,1
4,0,0,2,1
2,12,12,45,1
4,2,2,10,1
11,7,7,44,1
4,5,5,16,1
4,7,7,38,1
2,10,10,34,1
2,12,12,45,1
2,12,12,45,1
11,0,0,5,1
2,3,3,10,1
4,0,0,2,1
4,19,19,57,1
4,5,5,34,1
4,15,15,31,1
11,13,13,61,1
3,4,4,6,1
2,26,26,65,1
4,6,6,15,1
2,26,26,65,1
20,0,0,14,1
1,15,15,28,1
14,7,7,42,1
4,15,15,77,1
2,4,4,10,1
4,7,7,38,1
4,0,0,2,1
5,6,6,19,1
11,0,0,5,1
2,5,5,28,1
4,4,4,19,1
24,4,4,41,1
3,3,3,22,1
9,1,1,10,1
20,1,1,14,1
4,7,7,38,1
4,7,7,27,1
2,14,14,41,1
2,2,2,3,1
4,25,25,77,1
3,9,9,26,1
20,1,1,14,1
11,8,8,60,1
20,1,1,14,1
4,0,0,2,1
20,1,1,14,1
0,12,12,21,1
4,25,25,77,1
4,4,4,16,1
8,7,7,44,1
3,4,4,6,1
4,15,15,58,1
2,12,12,25,1
4,25,25,77,1
2,12,12,64,1
11,0,0,5,1
3,3,3,22,1
3,3,3,22,1
2,6,6,49,1
2,28,28,77,1
2,1,1,2,1
4,4,4,10,1
2,11,11,39,1
2,0,0,0,1
20,0,0,14,1
14,2,2,13,1
4,4,4,10,1
2,7,7,31,1
14,4,4,21,1
3,20,20,35,1
2,0,0,0,1
2,2,2,31,1
1,15,15,28,1
4,1,1,2,1
3,0,0,1,1
4,15,15,58,1
11,7,7,34,1
4,15,15,58,1
4,1,1,2,1
9,1,1,10,1
4,7,7,27,1
2,0,0,0,1
13,2,2,8,1
4,15,15,31,1
2,2,2,3,1
4,0,0,2,1
14,3,3,21,1
3,4,4,6,1
2,13,13,40,1
22,0,0,16,1
4,6,6,25,1
4,5,5,31,1
2,1,1,2,1
14,3,3,16,1
5,31,31,77,1
2,7,7,31,1
11,7,7,34,1
11,2,2,33,1
2,5,5,34,1
20,1,1,14,1
0,12,12,21,1
3,4,4,6,1
4,1,1,2,1
2,3,3,8,1
2,7,7,28,1
3,3,3,22,1
2,5,5,9,1
14,3,3,16,1
4,15,15,58,1
4,1,1,2,1
3,9,9,26,1
4,1,1,2,1
2,5,5,28,1
4,4,4,16,1
6,21,21,21,1
2,0,0,0,1
2,5,5,28,1
20,0,0,14,1
4,5,5,34,1
20,1,1,14,1
3,0,0,1,1
4,0,0,2,1
14,3,3,21,1
4,0,0,2,1
11,2,2,33,1
14,3,3,16,1
4,5,5,21,1
2,2,2,31,1
2,5,5,21,1
4,15,15,31,1
16,4,4,33,1
4,0,0,2,1
4,4,4,16,1
9,10,10,41,1
7,8,8,74,1
2,0,0,0,1
2,6,6,49,1
4,4,4,8,1
2,6,6,25,1
4,9,9,21,1
4,1,1,2,1
4,1,1,2,1
4,15,15,31,1
1,9,9,36,1
4,12,12,32,1
2,1,1,2,1
4,15,15,31,1
4,4,4,8,1
11,1,1,31,1
16,6,6,72,1
2,29,29,71,1
4,8,8,19,1
2,1,1,5,1
4,4,4,10,1
14,1,1,14,1
5,6,6,19,1
2,9,9,21,1
4,6,6,15,1
4,6,6,15,1
4,9,9,21,1
4,19,19,57,1
14,4,4,21,1
2,12,12,45,1
4,1,1,43,1
2,4,4,26,1
4,1,1,2,1
4,15,15,58,1
2,19,19,37,1
4,7,7,19,1
4,8,8,31,1
2,5,5,10,1
11,0,0,5,1
2,1,1,5,1
2,5,5,21,1
21,0,0,15,1
2,8,8,15,1
14,3,3,16,1
3,20,20,35,1
2,7,7,28,1
2,11,11,39,1
2,2,2,31,1
2,5,5,21,1
14,3,3,15,1
14,3,3,16,1
20,0,0,14,1
3,3,3,22,1
2,0,0,0,1
2,1,1,5,1
4,15,15,31,1
4,11,11,27,1
4,5,5,10,1
4,4,4,16,1
2,2,2,10,1
2,1,1,5,1
14,3,3,21,1
19,13,13,57,1
2,11,11,39,1
20,2,2,19,1
2,10,10,38,1
17,6,6,49,1
4,0,0,2,1
4,6,6,25,1
4,3,3,2,1
4,15,15,77,1
4,25,25,77,1
2,5,5,10,1
14,3,3,21,1
2,0,0,0,1
2,4,4,10,1
2,1,1,2,1
11,1,1,31,1
2,2,2,3,1
11,7,7,44,1
2,13,13,48,1
14,3,3,16,1
4,3,3,8,1
4,5,5,21,1
2,5,5,28,1
2,5,5,9,1
2,5,5,34,1
4,12,12,32,1
2,10,10,67,1
2,6,6,21,1
2,2,2,63,1
4,9,9,21,1
4,1,1,3,1
2,9,9,21,1
2,7,7,31,1
2,6,6,25,1
16,6,6,72,1
2,5,5,19,1
11,13,13,61,1
14,2,2,13,1
4,2,2,10,1
2,10,10,38,1
4,0,0,2,1
5,6,6,19,1
4,5,5,21,1
4,7,7,40,1
2,20,20,44,1
2,11,11,58,1
2,2,2,10,1
2,2,2,10,1
4,0,0,2,1
4,8,8,31,1
11,7,7,44,1
2,0,0,0,1
2,2,2,2,1
