river,location,erected,purpose,length,lanes,clear-g,t-or-d,material,span,rel-l,target
0,35,2,1,1,1,0,1,1,0,0,4
2,51,2,2,1,1,0,1,1,0,0,1
2,45,2,1,1,1,0,1,1,0,0,1
0,39,2,2,1,1,0,1,1,1,0,3
1,9,2,2,0,1,0,1,1,1,0,4
2,43,2,2,0,1,0,1,1,0,0,4
0,23,2,1,1,2,0,1,1,0,0,4
0,36,2,2,0,1,1,0,1,0,0,2
0,30,2,2,0,1,0,1,1,1,0,4
0,29,2,3,1,1,0,1,1,1,0,5
0,28,2,1,2,2,0,1,1,1,0,0
0,31,2,1,0,2,0,1,1,1,1,0
0,26,2,1,2,2,0,1,1,1,2,5
0,25,2,1,2,2,0,1,1,1,2,5
2,48,2,1,1,1,0,1,1,0,2,1
0,37,2,1,1,1,0,1,1,1,1,0
1,4,2,1,0,2,1,0,1,1,2,1
1,0,2,1,1,2,0,1,1,0,0,1
0,29,2,1,0,2,0,0,1,1,0,0
1,19,2,1,0,1,0,0,1,1,2,1
0,24,2,1,2,2,0,1,1,1,2,5
1,16,2,1,0,1,0,1,1,1,1,4
2,42,2,1,1,2,0,1,1,0,0,0
2,44,2,1,1,2,1,1,1,0,0,0
1,5,2,1,1,2,0,1,1,0,0,5
1,10,2,1,1,2,1,0,1,0,2,2
0,33,2,1,1,2,0,0,1,1,0,1
0,40,3,1,1,2,0,0,1,1,2,2
0,41,3,2,2,1,0,1,1,1,2,4
0,38,3,1,1,1,1,0,1,1,2,2
2,50,3,1,0,1,0,1,1,0,0,1
3,53,3,1,1,1,0,1,1,1,1,0
3,52,3,2,1,1,0,1,1,1,0,4
1,22,3,1,1,1,0,1,1,1,2,4
1,21,3,1,2,2,0,1,1,1,0,2
1,13,3,1,0,2,0,0,1,0,0,2
1,18,3,1,1,2,0,1,1,0,0,1
0,36,3,1,0,2,1,0,1,0,0,2
2,44,3,1,2,1,0,1,1,1,0,4
2,49,3,1,1,1,0,1,1,0,0,2
1,0,3,1,1,3,0,1,1,0,0,0
0,32,3,1,2,2,0,0,1,1,2,2
1,8,3,1,0,2,0,0,1,0,0,2
0,23,3,1,2,3,0,1,1,1,0,0
2,46,3,1,0,3,0,1,1,0,0,0
1,6,3,1,2,3,0,1,1,0,0,0
2,45,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
2,42,2,1,1,2,0,1,1,0,0,0
0,31,2,1,0,2,0,1,1,1,1,0
1,6,3,1,2,3,0,1,1,0,0,0
0,23,3,1,2,3,0,1,1,1,0,0
2,44,2,1,1,2,1,1,1,0,0,0
1,6,3,1,2,3,0,1,1,0,0,0
0,37,2,1,1,1,0,1,1,1,1,0
2,42,2,1,1,2,0,1,1,0,0,0
1,0,3,1,1,3,0,1,1,0,0,0
0,28,2,1,2,2,0,1,1,1,0,0
2,42,2,1,1,2,0,1,1,0,0,0
0,23,3,1,2,3,0,1,1,1,0,0
0,23,3,1,2,3,0,1,1,1,0,0
2,44,2,1,1,2,1,1,1,0,0,0
0,37,2,1,1,1,0,1,1,1,1,0
0,31,2,1,0,2,0,1,1,1,1,0
2,44,2,1,1,2,1,1,1,0,0,0
2,44,2,1,1,2,1,1,1,0,0,0
0,28,2,1,2,2,0,1,1,1,0,0
0,29,2,1,0,2,0,0,1,1,0,0
0,37,2,1,1,1,0,1,1,1,1,0
1,6,2,1,1,1,0,1,1,0,0,0
2,44,2,1,1,2,1,1,1,0,0,0
2,46,3,1,0,3,0,1,1,0,0,0
0,29,2,1,0,2,0,0,1,1,0,0
1,6,2,1,1,1,0,1,1,0,0,0
2,46,3,1,0,3,0,1,1,0,0,0
0,37,2,1,1,1,0,1,1,1,1,0
1,2,1,1,1,1,0,1,1,1,1,0
2,46,3,1,0,3,0,1,1,0,0,0
1,0,3,1,1,3,0,1,1,0,0,0
1,4,2,1,0,2,1,0,1,1,2,1
0,33,2,1,1,2,0,0,1,1,0,1
0,33,2,1,1,1,0,1,1,1,0,1
1,18,3,1,1,2,0,1,1,0,0,1
1,18,3,1,1,2,0,1,1,0,0,1
2,50,3,1,0,1,0,1,1,0,0,1
2,51,2,2,1,1,0,1,1,0,0,1
1,0,2,1,1,2,0,1,1,0,0,1
2,45,2,1,1,1,0,1,1,0,0,1
0,33,2,1,1,2,0,0,1,1,0,1
2,51,2,2,1,1,0,1,1,0,0,1
2,48,2,1,1,1,0,1,1,0,2,1
2,51,2,2,1,1,0,1,1,0,0,1
1,0,2,1,1,2,0,1,1,0,0,1
2,48,2,1,1,1,0,1,1,0,2,1
0,33,2,1,1,2,0,0,1,1,0,1
1,0,2,1,1,2,0,1,1,0,0,1
1,1,2,2,1,1,0,1,1,0,0,1
2,45,2,1,1,1,0,1,1,0,0,1
0,33,2,1,1,2,0,0,1,1,0,1
1,1,2,2,1,1,0,1,1,0,0,1
2,50,3,1,0,1,0,1,1,0,0,1
0,33,2,1,1,2,0,0,1,1,0,1
2,50,3,1,0,1,0,1,1,0,0,1
2,48,2,1,1,1,0,1,1,0,2,1
1,1,2,2,1,1,0,1,1,0,0,1
2,45,2,1,1,1,0,1,1,0,0,1
1,0,2,1,1,2,0,1,1,0,0,1
1,19,2,1,0,1,0,0,1,1,2,1
2,51,2,2,1,1,0,1,1,0,0,1
0,33,2,1,1,1,0,1,1,1,0,1
2,45,2,1,1,1,0,1,1,0,0,1
1,1,2,2,1,1,0,1,1,0,0,1
2,49,3,1,1,1,0,1,1,0,0,2
0,38,3,1,1,1,1,0,1,1,2,2
1,10,2,1,1,2,1,0,1,0,2,2
1,13,3,1,0,2,0,0,1,0,0,2
1,13,3,1,0,2,0,0,1,0,0,2
1,8,3,1,0,2,0,0,1,0,0,2
0,38,3,1,1,1,1,0,1,1,2,2
1,13,3,1,0,2,0,0,1,0,0,2
1,10,2,1,1,2,1,0,1,0,2,2
1,8,3,1,0,2,0,0,1,0,0,2
1,10,2,1,1,2,1,0,1,0,2,2
1,8,3,1,0,2,0,0,1,0,0,2
0,38,3,1,1,1,1,0,1,1,2,2
2,49,3,1,1,1,0,1,1,0,0,2
0,36,3,1,0,2,1,0,1,0,0,2
0,32,3,1,2,2,0,0,1,1,2,2
2,49,3,1,1,1,0,1,1,0,0,2
1,21,3,1,2,2,0,1,1,1,0,2
1,10,2,1,1,2,1,0,1,0,2,2
1,21,3,1,2,2,0,1,1,1,0,2
2,49,3,1,1,1,0,1,1,0,0,2
1,8,3,1,0,2,0,0,1,0,0,2
0,32,3,1,2,2,0,0,1,1,2,2
0,32,3,1,2,2,0,0,1,1,2,2
0,36,2,2,0,1,1,0,1,0,0,2
0,32,3,1,2,2,0,0,1,1,2,2
0,36,3,1,0,2,1,0,1,0,0,2
0,32,3,1,2,2,0,0,1,1,2,2
2,49,3,1,1,1,0,1,1,0,0,2
0,36,2,2,0,1,1,0,1,0,0,2
2,49,3,1,1,1,0,1,1,0,0,2
2,49,3,1,1,1,0,1,1,0,0,2
0,40,3,1,1,2,0,0,1,1,2,2
0,36,2,2,0,1,1,0,1,0,0,2
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,39,2,2,1,1,0,1,1,1,0,3
0,26,2,1,2,2,0,1,1,1,2,5
0,24,0,1,1,1,1,1,0,1,2,5
0,24,0,1,1,1,1,1,0,1,2,5
0,27,0,0,1,0,1,1,0,2,1,5
1,5,2,1,1,2,0,1,1,0,0,5
0,25,1,1,1,1,0,1,1,1,0,5
0,24,2,1,2,2,0,1,1,1,2,5
0,29,2,3,1,1,0,1,1,1,0,5
0,24,2,1,2,2,0,1,1,1,2,5
0,25,2,1,2,2,0,1,1,1,2,5
0,29,2,3,1,1,0,1,1,1,0,5
0,25,2,1,2,2,0,1,1,1,2,5
0,26,2,1,2,2,0,1,1,1,2,5
1,2,0,1,1,1,1,1,0,2,1,5
0,27,0,0,1,0,1,1,0,2,1,5
0,29,2,3,1,1,0,1,1,1,0,5
0,29,2,3,1,1,0,1,1,1,0,5
0,26,2,1,2,2,0,1,1,1,2,5
0,25,1,1,1,1,0,1,1,1,0,5
0,24,0,1,1,1,1,1,0,1,2,5
0,26,2,1,2,2,0,1,1,1,2,5
2,50,2,1,1,1,0,1,1,0,0,5
1,5,2,1,1,2,0,1,1,0,0,5
0,24,0,1,1,1,1,1,0,1,2,5
0,27,0,0,1,0,1,1,0,2,1,5
0,24,0,1,1,1,1,1,0,1,2,5
0,25,1,1,1,1,0,1,1,1,0,5
0,24,0,1,1,1,1,1,0,1,2,5
0,27,0,0,1,0,1,1,0,2,1,5
0,25,1,1,1,1,0,1,1,1,0,5
0,24,2,1,2,2,0,1,1,1,2,5
0,29,2,3,1,1,0,1,1,1,0,5
0,29,2,3,1,1,0,1,1,1,0,5
0,32,0,1,1,1,1,1,2,1,1,6
0,39,0,2,1,1,1,0,2,1,1,6
0,23,1,1,1,2,0,1,2,2,1,6
0,23,1,1,1,2,0,1,2,2,1,6
1,5,0,1,1,1,1,1,2,1,1,6
1,5,0,1,1,1,1,1,2,1,1,6
0,27,0,2,1,1,1,1,2,1,1,6
0,28,0,1,1,1,1,1,2,1,1,6
0,39,0,0,1,0,1,1,2,1,1,6
0,23,1,1,1,2,0,1,2,2,1,6
0,26,2,0,1,0,1,1,2,2,1,6
0,39,0,0,1,0,1,0,2,1,1,6
1,2,0,1,1,1,1,1,2,2,1,6
0,28,0,1,1,1,1,1,2,2,1,6
0,28,0,1,1,1,1,1,2,1,1,6
0,26,2,0,1,0,1,1,2,2,1,6
0,28,0,1,1,1,1,1,2,2,1,6
0,31,1,1,1,1,1,1,2,1,1,6
1,22,0,1,1,1,1,1,2,1,1,6
0,39,0,0,1,0,1,0,2,1,1,6
0,39,0,0,1,0,1,0,2,1,1,6
0,28,0,1,1,1,1,1,2,1,1,6
0,23,1,1,1,2,0,1,2,2,1,6
0,32,0,1,1,1,1,1,2,1,1,6
0,28,0,1,1,1,1,1,2,1,1,6
0,28,0,1,1,1,1,1,2,2,1,6
0,28,0,1,1,1,1,1,2,1,1,6
0,26,2,0,1,0,1,1,2,2,1,6
2,45,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
0,27,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
2,45,3,1,1,1,0,1,1,1,0,7
