fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,class:
14747,16627,6879,348,269,16954,17719,17421,4695,4162,0
14653,14648,6672,580,389,17077,17431,15498,2444,13195,0
9063,6557,2343,2714,1651,10022,11666,10786,3705,12315,0
1494,2651,151,4683,2592,7959,7277,10110,13782,2955,0
15314,11838,4100,1902,1119,3050,16371,7509,2641,16454,0
6868,5794,1403,3749,2492,8471,3104,3984,13558,4549,0
9142,11600,3351,1889,1122,16383,12425,4606,6638,6301,0
15144,16018,5881,470,345,1852,17076,16935,449,14981,0
2155,813,261,5859,3799,7939,7288,8186,6385,8485,0
10606,8055,1474,2396,1343,17655,3075,10703,3084,8314,0
3971,2818,272,4574,2733,13899,10610,13332,15177,6971,0
16006,16114,6814,903,644,5315,15850,1219,1514,17244,0
15516,14346,5735,931,581,17165,17728,14270,8422,11796,0
11986,13694,3156,1837,1112,9630,8115,17057,7563,6763,0
14950,15195,5733,1030,703,3661,17243,6465,4976,17107,0
7914,8701,2781,2401,1329,8139,10632,6575,8134,5448,0
6471,9852,2643,2260,1305,7899,5998,11576,6099,8153,0
7075,12736,2494,2451,1475,7858,8258,1379,17676,699,0
5783,3371,643,4757,3390,14466,12080,13276,5070,10682,0
3546,3778,765,4588,2835,10754,10726,7674,5359,6497,0
2569,2384,242,4917,3245,7084,9665,5706,2731,1006,0
5525,1056,613,5115,4095,9495,12157,13100,5131,3419,0
2214,677,72,6099,3608,9410,4958,8228,17024,3689,0
5066,5354,1497,3774,2539,4628,4607,12159,2396,1978,0
12656,13129,5684,1212,837,16245,16124,16721,8195,8881,0
1712,793,202,6188,4053,7373,7594,9382,12252,2058,0
9083,8809,1899,2494,1575,13824,10464,12982,6066,4758,0
1181,3069,397,4980,2911,13445,7882,9801,16678,1678,0
5664,2269,309,3699,2143,11177,11025,10121,17270,8302,0
10753,10585,2487,2043,1206,17143,13915,16139,6267,16021,0
12010,9093,1962,3635,2475,1944,3002,13519,3180,17206,0
1109,3542,361,4640,2700,8634,6005,9882,13628,3067,0
13644,14440,4477,1500,922,2219,14495,7770,1946,16847,0
8410,8992,2070,2001,1229,4314,5006,7326,9051,13771,0
16476,14081,4646,822,572,442,17675,1920,3755,17314,0
2976,7101,1178,3497,2097,13583,8020,12669,11732,2786,0
7996,8162,1636,2595,1829,8056,11511,2875,2917,2121,0
8366,7123,1942,2457,1386,8541,5027,7325,7983,3901,0
4575,10267,1311,3577,2189,12296,9663,14815,11772,4573,0
3632,0,95,5825,3989,8253,6862,9108,13356,11621,0
3979,4829,558,5076,3747,11447,10307,13192,17874,6282,0
2905,534,30,5800,3517,13808,8303,10663,13250,5226,0
12005,9205,1566,1787,1045,2764,11997,15939,7380,4738,0
596,2879,136,6170,3564,5488,6491,14394,15776,3014,0
8609,9268,1498,2621,1667,11519,2386,12791,4166,12306,0
5901,9211,851,2945,1607,10915,8510,15627,6624,10155,0
299,3795,327,5919,3509,11961,6160,4078,11185,4965,0
6619,8103,766,3588,2277,14993,11388,11663,14060,2085,0
16246,14284,5603,1136,750,2537,16549,17083,2561,17156,0
10560,11571,2675,1367,788,17832,9342,2877,6691,4896,0
11618,15216,2684,1823,1127,2059,2073,16565,7924,16830,0
15216,9574,938,3384,1881,17608,15669,5051,9236,7291,0
3452,4972,408,3986,2324,3704,7513,12478,5619,5891,0
9570,11029,3889,1928,1098,15094,3980,12557,8828,3967,0
1325,5285,623,4732,3092,8897,5429,5532,12340,4367,0
6994,11752,2665,1979,1124,7774,3171,5750,7065,6816,0
5803,2199,734,4222,2372,16119,3923,10873,15579,526,0
15062,15475,2511,1547,997,690,16352,17147,5211,9865,0
199,4101,99,5797,3413,5398,7102,14049,9022,6704,0
11252,4974,1582,2648,1538,14872,13628,10515,2869,8725,0
16051,15750,5473,2136,1524,3920,1116,15796,3684,17980,0
11795,15870,5511,1102,765,16262,14361,17028,475,14849,0
6082,7661,930,4004,2862,7891,11344,7617,3064,9489,0
15967,13607,1627,2318,1279,779,17599,3078,1215,11567,0
15308,8118,1384,4924,3647,17431,16554,16157,7290,4317,0
7325,23,337,4969,3240,11711,9343,9106,9508,4786,0
9873,9521,2046,2248,1408,6279,2776,14567,4317,7344,0
1293,3119,352,4395,2631,8311,6495,8296,13274,5140,0
1846,1952,325,4838,2765,8280,6727,7918,12358,2026,0
5330,10164,1542,3361,1851,10876,3133,2261,12315,5667,0
4104,10181,1936,3162,2542,10245,9496,4892,12193,725,0
9508,10221,2692,2038,1361,14591,13446,12766,9930,3655,0
10430,5280,1124,2646,1467,13713,11881,7313,5020,5561,0
3633,2125,201,4820,2666,8876,4235,6373,1889,6972,0
3070,1424,573,5245,3477,7802,8780,5292,12811,2294,0
828,4354,823,5196,3122,8475,6370,7864,7888,479,0
7512,7987,2531,2624,1815,13518,11400,5388,89,6081,0
12070,12280,2792,1057,696,16650,12077,4414,7071,5383,0
9097,3353,1319,3177,1773,16707,12959,9337,6765,7583,0
12671,5572,2001,2536,1747,1539,1779,13764,2371,14351,0
3255,5891,1338,4306,2891,11285,5611,14039,8149,13665,0
4509,6145,492,3881,2168,14295,8339,10055,3554,15002,0
14082,6685,1838,2355,1374,17895,17018,12306,9675,2682,0
10581,11914,1806,1623,967,8638,11810,4884,8319,3088,0
2998,535,11,5672,3372,14005,7941,10734,11738,8978,0
16683,16790,6746,484,451,1378,16067,17476,3093,15631,0
10434,11315,3572,1792,1218,12915,13582,14991,5418,10748,0
4319,6531,1103,3913,2757,10751,10150,4600,7670,5273,0
155,4239,117,5721,3422,5335,7408,4672,13812,1871,0
16765,11206,3567,2422,1770,3380,1138,1951,1617,16721,0
753,4298,627,5421,3881,8510,6658,6156,15136,2821,0
11125,8556,2615,2930,1995,12435,14724,4316,7833,7219,0
5126,12666,2584,2654,1449,8692,8614,16566,15085,109,0
3484,2040,167,5243,3599,13166,10992,14117,5247,1276,0
7646,1393,544,4535,2651,16352,7782,4185,8822,7124,0
9731,9528,3180,2336,1549,13271,14305,5103,3679,12689,0
10962,10276,4094,1570,1002,16160,13850,4999,6476,6919,0
6207,13706,2298,2198,1315,6692,3413,14688,11287,8878,0
1637,2919,366,5683,3324,6596,9713,7045,13362,5858,0
99,4464,136,5566,3333,12322,5213,10975,6176,5030,0
10563,9226,2554,2407,1523,13825,13943,3828,4482,13187,0
8387,12225,1847,1656,964,6390,2215,12456,4902,10030,0
8284,3598,904,2953,1804,12233,11604,11197,6829,9950,0
8594,7552,1382,3255,1972,10603,12604,13103,6015,7389,0
9770,8092,1987,2946,2208,12516,4844,13393,7264,3454,0
6047,9029,1027,2519,1628,7342,10390,13878,15292,3736,0
14382,14981,3958,1470,938,17628,16928,17602,9034,12561,0
6936,3298,1058,3543,2211,10625,11705,12839,12336,746,0
5479,4627,872,4646,2780,13623,12037,12755,7843,10723,0
2413,3062,206,5231,2973,6853,9981,10274,16440,5111,0
6803,8458,1138,3053,2259,7688,4193,6854,7501,10434,0
11771,15089,6058,835,539,16510,14521,4202,6692,5188,0
5501,6600,682,2687,1720,6607,4246,12267,9708,3622,0
11534,9175,2061,2202,1306,7085,2265,4302,1021,14636,0
10795,4489,1795,2044,1209,6499,3258,6893,2702,13459,0
8922,9014,2966,1961,1216,15731,10156,11684,2329,6576,0
8582,13578,3107,1640,1124,13568,12044,4831,6503,3763,0
15383,15871,5787,762,590,17637,17707,1462,3141,7130,0
6876,11096,2726,2388,1547,11316,2925,13930,12803,1040,0
9277,10871,3229,1864,1059,10346,11735,2386,4724,9674,0
9299,6214,1243,3402,2247,15643,10120,10270,6016,13116,0
11642,4654,692,2624,1557,1596,13858,11526,9897,16424,0
11032,13568,4076,1227,804,15968,13441,13907,6297,2878,0
7231,7664,753,3467,2165,8465,12075,7607,641,6750,0
8519,1171,792,4883,3266,16122,10955,10959,1428,13341,0
9625,10940,3817,1501,1073,10214,11023,10262,7485,13212,0
375,2593,87,6033,4272,5977,6222,8232,1235,4726,0
15149,15984,6560,744,527,17717,17673,17736,1364,16469,0
891,3729,246,5159,3575,7795,6847,11691,16679,9978,0
1310,5517,1102,4889,2653,11216,8474,11416,7087,13013,0
8492,2566,1166,3788,2608,9219,6380,12321,7186,5792,0
16497,17008,7053,159,141,16567,18104,15785,1851,12389,0
12958,14309,3597,1778,1058,5460,949,15414,16291,4009,0
8380,10615,2069,2845,1694,12475,13575,2781,12566,5815,0
12884,6562,2334,2876,1899,2737,14616,7590,1203,16200,0
6683,6150,562,3442,2033,15923,10255,11299,8772,7412,0
13124,10400,2961,997,600,15191,2655,5692,7517,6163,0
3201,477,164,5550,3221,14256,7294,10860,15279,7366,0
12073,11454,3929,1313,814,3265,14501,2270,4855,5084,0
3660,10014,1095,3484,1871,8287,10763,3378,13999,1125,0
12371,14513,4657,782,501,12075,14072,6910,6143,11828,0
9317,1911,784,3775,2389,13297,11638,11073,5079,11816,0
5086,5681,413,4305,2860,6614,4648,3444,7938,2654,0
15799,15574,6042,435,328,12622,16963,1203,3717,14891,0
1197,2621,823,5395,3426,7538,7381,11443,15732,822,0
10471,6129,1669,3216,1941,11920,14655,9821,8738,11316,0
1069,3002,230,5373,3403,7426,7365,11510,17664,13611,0
852,3731,462,5359,3569,9267,6086,6410,14088,259,0
10392,15465,4391,877,621,6980,12458,17286,11699,2783,0
3046,4937,646,3785,2070,8107,6919,13391,298,7933,0
9250,10464,2732,2342,1739,11003,11532,16298,7003,9320,0
8953,63,721,6354,4320,10679,10753,9212,1387,18192,0
10513,12942,4107,1219,809,6063,3858,16270,7328,6870,0
13909,14955,5548,1063,654,3029,16888,17097,1807,16476,0
7465,8457,1401,3017,1943,2804,10667,4432,13480,912,0
12732,11121,4241,1594,967,1253,15580,2609,5066,13463,0
10446,9433,2450,3188,1933,15151,13538,15942,6916,16183,0
1036,3036,252,5218,3645,8512,6292,11703,11667,3495,0
13524,11840,4377,1043,662,17689,14233,10157,148,13978,0
15009,15995,5328,1905,1280,13955,14244,15737,3007,18004,0
15701,16522,6510,1056,645,16727,1431,17201,1120,18217,0
6011,12168,2725,2071,1262,6765,3727,4698,7832,8462,0
16333,16092,6835,476,340,18108,17830,1337,1661,16964,0
11103,9530,2932,2155,1367,7509,12899,3097,525,15685,0
1210,2717,462,5071,3455,8316,6531,6884,9129,498,0
6880,12541,2448,1680,1102,8553,10242,11455,1011,3158,0
13228,11787,4248,1443,931,10215,13002,8811,6562,14581,0
2771,615,6,5723,3240,8868,5312,10599,17735,3701,0
2328,3855,1153,4805,2816,9832,9575,9778,10829,1119,0
10058,12800,3393,1971,1530,14174,12744,16013,8405,3750,0
14591,11699,5081,952,632,16621,17086,5633,1904,10103,0
6702,7435,542,3329,1789,16124,5460,14477,9069,7719,0
16287,13266,2094,2287,1313,882,16993,15844,4153,13990,0
10490,6708,2352,2900,1952,16390,11882,12991,1284,9186,0
5995,5626,1865,3908,2511,12667,12014,9601,9974,5927,0
12578,10831,2461,1666,996,18367,1639,13456,3827,14549,0
334,3694,183,5952,3580,11921,6137,4122,16200,4443,0
373,1557,285,6347,4385,10812,7752,13029,11208,1493,0
2212,8664,777,4244,2740,6949,3936,4217,13777,1557,0
3435,3782,843,4564,2578,5957,3448,10478,12722,9616,0
11294,8807,4121,2036,1524,9626,10754,13369,1189,13717,0
1138,3379,516,4725,2963,8032,6976,7669,13275,5122,0
9796,10773,2029,1720,1037,3821,11522,15393,3023,4349,0
5235,12814,3687,2285,1594,6988,4878,16251,17247,888,0
6241,1088,739,5085,3684,14687,11899,11012,6955,11076,0
11339,12564,3157,1345,787,11047,14524,2775,5109,13991,0
10313,10706,3798,1458,962,10973,12890,3884,88,9412,0
176,4123,276,5675,3614,12140,5381,7244,16883,3176,0
13070,12875,5109,951,650,16844,16015,3672,4710,14772,0
12474,12976,3534,2465,1435,2339,14558,16664,5818,16263,0
13867,4100,2396,2838,2035,2352,14112,13763,1752,17000,0
10712,7711,2641,2087,1384,5856,2016,11207,3356,12029,0
500,1987,152,6276,4319,11063,7443,5071,5928,224,0
2559,4339,333,5193,3073,10543,11059,6220,5765,9973,0
13764,15864,6676,730,533,10260,14077,17508,4616,13414,0
9048,12242,2924,1617,1023,5682,3942,2266,9959,5072,0
4306,8689,2156,3391,1977,7782,10417,11728,7936,3885,0
12897,9333,1961,2397,1391,2842,14865,4570,3795,16315,0
10848,2639,1793,3830,2211,9214,1886,11779,3873,8650,0
780,4538,1052,5299,2968,7725,6801,9497,4123,5647,0
13990,14373,1435,3161,2022,1627,2901,13980,7580,17346,0
10504,8917,2929,1980,1618,15348,13426,7599,1664,4481,0
3096,466,18,5699,3544,13874,8276,7442,17258,14195,0
17367,4094,765,4970,3131,791,883,8744,5042,17174,0
1232,2918,366,5138,2922,13480,7897,7880,10462,12887,0
12815,12472,3267,1604,986,1448,13402,16295,6191,14786,0
9480,9860,2680,1926,1230,11880,7296,11235,1740,12438,0
8267,8186,1886,2709,1508,15718,2746,2663,6994,6560,0
5897,4597,1049,4172,3111,11023,10886,12276,10147,1608,0
4200,9,23,5732,3484,8674,5258,9108,15727,9806,0
4552,4952,552,3201,1970,6580,4944,8117,10940,12469,0
11410,11921,3750,1592,1066,17279,2679,15450,4758,8491,0
1361,5530,1002,4551,2764,8693,5614,6461,17853,212,0
16428,10480,4757,1006,627,17440,18195,14215,202,14128,0
6891,8897,518,4310,2377,13740,12713,4720,14918,3865,0
12447,12452,4339,1338,907,16885,14564,15626,1068,14944,0
12309,12449,4575,1100,701,6640,14400,2766,1466,13567,0
12970,8743,2697,1721,1257,7570,1741,13967,1412,7998,0
2180,0,173,6250,4363,8671,5850,9107,7579,2526,0
2663,5432,676,3422,1839,12286,6291,12205,16479,857,0
11574,14479,4041,1531,951,11989,13907,16999,3349,15698,0
15560,17215,7066,129,107,4800,17527,18180,3108,12028,0
12430,10820,4155,1319,942,17237,14642,3641,917,7414,0
13452,14907,5368,958,759,1502,16359,1043,7186,15125,0
10139,14215,3525,1444,966,11828,13425,14363,2105,6541,0
7824,6673,858,2802,1700,13099,12228,3971,10530,4729,0
15317,8499,2353,2940,1714,18446,16016,3472,3693,16743,0
7679,7891,1092,2766,1557,11816,12319,13036,8762,676,0
7363,13625,2169,2256,1279,5004,10257,16814,11991,13102,0
3641,278,176,5884,3406,14325,7066,7169,2667,10879,0
7700,6370,1038,3677,2387,9752,2867,2903,2780,4250,0
15704,13669,5049,856,559,2168,16562,14972,2181,15502,0
9408,8863,1444,2659,1540,12425,13134,4986,8404,12710,0
15744,14899,5874,1723,997,5052,1474,15729,613,18153,0
13714,6808,2061,3147,1720,17144,16775,6299,906,6072,0
7896,5631,768,4661,3371,3735,2575,4666,8082,5798,0
3843,5690,322,3608,2066,8694,5064,7872,10320,1627,0
11739,12178,3347,1715,1142,17133,15183,5400,9683,16659,0
2818,5226,977,3623,1992,3839,5175,12848,7736,7203,0
2355,9338,1435,3789,2681,7430,4492,15873,16156,3185,0
6511,7461,1793,2873,1603,5266,9160,5946,2011,5366,0
1671,8277,215,4804,2713,8016,5143,16180,11038,12383,0
12845,12505,2615,1197,714,17773,16103,3784,5817,14235,0
933,3433,523,5341,3546,7495,7096,11744,12172,5618,0
1269,5167,646,5077,2929,7303,8480,10891,13373,6195,0
5486,8945,777,3296,1912,8327,11192,5690,10739,12344,0
15239,16400,4471,1013,770,17917,18171,17760,9794,6206,0
4856,8107,1978,3035,1952,12737,6840,12416,662,5132,0
2534,2794,453,5218,3039,7009,9821,8128,10633,2049,0
9286,5709,1047,2630,1490,6047,2226,9231,6306,11830,0
7652,9097,1100,2774,1604,4020,5549,4498,5305,11108,0
7292,6080,553,2474,1390,11260,9492,8512,2363,4704,0
10261,11683,1711,2133,1361,17163,3622,14053,760,5772,0
9882,15183,6198,1551,958,13578,13902,1377,2786,1000,0
15614,15653,5919,424,306,1242,17452,1318,3711,13420,0
13998,12203,5442,1245,738,17752,16660,3180,4162,9678,0
14092,14391,1519,2029,1169,18065,16081,16347,7250,17010,0
2961,8418,1343,3907,2737,14639,5282,6823,2939,5960,0
13804,12109,3060,1393,956,17580,16656,4299,8085,8669,0
9907,10576,3632,2145,1252,10219,13964,3281,2179,11817,0
2275,4866,728,4107,2703,8698,5507,13578,12512,4286,0
10292,7762,1675,3289,2372,8054,2130,11250,1748,6681,0
7336,2784,455,4034,2209,2973,8423,10018,12628,4727,0
1385,2764,140,4833,2773,13761,7766,8398,13305,4943,0
11747,11391,3362,2997,1905,5077,1322,4500,3395,13704,0
1541,718,173,6302,4109,7140,7664,8767,4742,2128,0
2695,1195,397,5463,3857,4642,4324,9018,7311,4332,0
5723,5249,1127,4611,2668,9888,10569,2716,13809,2250,0
16644,6281,1140,2883,1615,4149,1508,9434,1325,15986,0
15033,15148,5819,856,659,12432,17247,1802,2281,14774,0
11050,11088,3045,1544,975,17189,14484,4270,7505,13169,0
4205,6064,1809,4297,2579,12967,11859,9779,11882,7254,0
14881,14388,6202,877,613,18077,17614,6026,2047,15349,0
15428,7015,1170,2237,1256,18519,1227,12226,8465,10839,0
15548,11905,3043,1504,1159,887,15314,15912,1282,11500,0
11314,12457,3648,2267,1688,15460,15468,1734,8844,11532,0
589,2264,189,6249,4213,5909,5887,13822,17705,7916,0
12209,10974,2505,2301,1329,9167,15385,1933,7634,11529,0
16898,16102,6918,373,284,1357,17643,2364,929,17142,0
4128,2115,1425,4861,2925,14405,11181,11499,9231,3927,0
13166,11777,4358,1960,1263,16379,15216,15798,2787,15509,0
2730,3525,521,4983,2952,11631,10451,10290,13109,1239,0
14740,9030,2898,2283,1750,17900,17575,5909,5504,14574,0
10953,5385,2309,2466,1428,14800,3333,6484,6130,8746,0
9675,9507,2666,1726,1008,3755,2691,11608,6391,6196,0
13155,11815,5582,1078,699,15036,13821,3384,435,12602,0
331,3375,186,5918,4015,11657,5869,6297,13078,5130,0
2369,697,72,5980,3546,7437,8017,8011,11869,13910,0
4951,7404,1911,3884,2598,7583,8257,3785,993,9399,0
13456,14812,3476,1387,944,17763,15821,17348,9896,13821,0
9551,6147,2240,3006,2253,6109,8345,13034,2129,12606,0
1992,7031,1143,4098,2558,7154,8668,6210,1949,336,0
10888,16019,3843,988,663,15801,14407,1100,9612,4807,0
2298,762,142,5913,3648,8960,5403,8051,9259,6676,0
10847,4371,1449,2898,1767,14885,14116,5903,4790,8395,0
6727,10781,2752,2632,1499,12272,11854,3170,8913,1050,0
10184,8232,2584,1832,1063,12290,3086,12331,4204,10418,0
7212,7062,1646,2991,1625,2504,12409,3176,2787,6538,0
3780,4536,477,4258,2756,3797,6726,5512,14585,2908,0
15303,14900,3687,1729,1016,4036,16070,923,1384,17681,0
10913,9930,2049,2017,1369,17056,13911,2826,2051,10139,0
6640,6111,1009,3254,1887,6695,9149,11971,6703,14386,0
16970,16630,6961,324,246,683,17256,685,295,17085,0
7532,2695,511,4101,2388,16331,4906,7329,15878,3305,0
11518,7016,1626,2968,1646,11157,12822,7314,995,9533,0
11803,6371,2448,2016,1342,11327,2708,5392,4074,7979,0
8812,10491,3342,2325,1446,7097,11584,14481,7205,10732,0
4325,3183,780,4077,2358,10844,10751,9458,11638,13197,0
5143,4667,1100,3626,2005,4621,6347,12659,6221,9759,0
2404,708,99,5935,3538,9099,5192,10287,12492,3991,0
12527,11011,5019,1255,851,17566,14867,5784,4612,6741,0
10608,15837,4844,1284,856,8761,13107,791,4306,2582,0
7433,11927,2574,1790,1149,6569,10325,14087,15530,404,0
5545,1551,482,4393,2490,15412,10513,7701,5640,4195,0
3894,5345,840,3570,1951,6253,7899,11131,1693,15283,0
14360,14310,5878,681,514,18024,16325,15799,38,11269,0
15047,14305,3839,1893,1453,4719,16638,16991,3440,17763,0
4619,9278,2089,2590,1538,14732,10372,11080,9719,12775,0
12461,12511,4499,1563,998,6269,16439,9833,713,5783,0
3041,1797,345,5428,3343,4653,3434,14022,2262,3628,0
9914,4490,1593,2611,1749,3792,2272,8809,4946,2508,0
10546,10510,2113,2709,1848,12607,13609,1628,3478,11493,0
7346,9441,2124,2483,1437,12649,11825,3481,6537,7868,0
11087,8010,2022,2856,1607,17549,2209,3624,114,11039,0
9658,8195,1297,3191,1896,9150,2412,1971,4734,11989,0
16774,16145,6811,518,396,3183,17299,558,604,17425,0
10775,8705,969,2421,1352,16598,2202,2289,1464,14685,0
4203,5426,641,3194,1777,6572,5857,10285,13070,2271,0
15573,13961,5365,1207,877,3055,16445,16637,2136,16502,0
12657,12456,4046,1149,694,16522,14295,14884,7802,1974,0
2764,647,15,5556,3283,8232,6858,7652,11598,5671,0
5240,9294,698,3046,2212,7520,2632,15516,11062,7711,0
14609,14430,5620,861,646,17299,17507,5831,280,9239,0
4236,7393,1473,3057,1881,11139,6444,14734,17445,995,0
1598,710,183,6292,4060,7121,7761,9318,12878,5267,0
3354,249,64,5903,4117,13240,9410,7334,16933,5716,0
755,4635,581,5366,3051,7658,6712,9747,13748,9797,0
10123,9094,2491,2633,1550,16092,14425,5486,8304,5187,0
7514,7566,1715,3092,2055,10330,12385,6603,6090,10423,0
11681,12560,2550,1971,1107,7878,10639,2699,10036,15584,0
1583,8772,373,3915,2266,11152,10123,14361,13617,13281,0
3776,6627,379,4072,2684,3533,9593,8408,13690,14097,0
8027,11595,1546,2914,1597,10043,5075,4138,11219,80,0
3414,3219,734,4867,3519,9770,10397,12260,8747,610,0
15353,15714,6574,923,646,3051,15980,2855,4715,16324,0
2959,576,39,5498,3110,8372,6207,10723,15067,11654,0
5024,2483,261,3698,2013,5944,3453,9947,15508,2827,0
13448,4760,1432,2604,1429,17584,17041,12358,4400,9864,0
3388,10313,1207,3411,2143,9588,7764,12962,15565,2352,0
12215,1472,630,4870,3014,13238,13140,6525,6752,16432,0
15473,17251,5796,854,639,17174,18145,18192,10442,4553,0
8763,8957,2037,2931,1907,9778,13171,14843,10388,5928,0
14054,12623,4310,1137,714,1557,16029,3406,4000,16039,0
8976,2429,698,4123,2284,3415,12901,7206,513,1042,0
15341,9489,3226,1526,963,18301,17332,2688,1935,14871,0
3050,317,212,5985,4070,13193,9316,7504,7076,3654,0
9330,9276,2642,1650,958,15508,11045,9657,2918,6393,0
12167,15625,6152,1134,751,3020,14308,16607,4047,16770,0
5430,1683,477,4099,2284,6352,8449,10907,2058,12758,0
5304,4668,777,3330,2052,15733,8445,8119,11713,1580,0
14844,12917,3246,1333,775,17999,16881,3270,5796,14977,0
11952,11226,4372,988,746,10042,11289,10368,125,6427,0
2939,4684,261,4158,2286,8754,5690,4725,8198,7151,0
14042,16024,6666,535,393,13101,16364,17112,1786,13431,0
6717,6034,1096,3558,2011,16481,3458,13816,1701,3208,0
12053,14908,6221,741,582,14450,14311,3571,5187,4997,0
12401,10316,3358,1341,1072,17278,13963,13573,5095,10460,0
13364,15386,5892,752,489,14948,16266,919,7720,6502,0
6734,7636,1285,2461,1368,5322,8645,6231,6513,9661,0
7394,5507,1536,3454,1923,10455,12259,6741,4615,6162,0
15660,15340,6259,945,626,2835,17006,1432,732,16714,0
8429,9001,1454,2473,1525,2510,8403,5433,12902,7940,0
4313,7135,1786,3292,1869,15640,8248,3721,6694,9078,0
15485,13856,3117,2475,1768,18419,16885,853,1525,14915,0
17354,18091,7214,19,28,17803,18141,18293,12309,15220,0
11886,6723,2095,3404,2193,10807,15453,13261,5318,15651,0
13139,15910,6599,645,443,16712,15527,1474,2966,9989,0
15150,16030,2797,2427,1715,5454,1199,17778,5275,17499,0
13317,11427,3377,2105,1227,14831,16746,2666,6977,9927,0
3252,8930,818,3208,1913,14985,4775,5356,9526,659,0
14194,9453,3516,1412,946,16181,16281,2563,4609,13255,0
