id,IR,MR,FF,CR,CO,OP,Class
90,0,0,0,2,2,2,1
91,2,0,0,2,2,2,1
92,0,1,1,2,2,0,1
93,0,0,1,2,2,2,1
94,2,0,2,1,2,1,1
95,2,2,2,0,2,1,1
96,2,0,2,1,2,1,1
97,2,0,0,2,2,1,1
98,2,2,0,2,2,2,1
99,2,0,2,0,2,2,1
100,2,2,0,0,2,1,1
101,0,0,0,0,0,2,1
102,2,2,0,2,2,1,1
103,0,2,1,2,0,2,1
104,2,0,0,0,2,0,1
105,0,2,0,2,0,2,1
106,0,2,1,2,0,2,1
107,0,2,0,2,0,2,1
108,2,2,0,0,0,2,1
109,1,1,0,0,0,1,1
110,0,0,0,0,0,0,1
111,2,2,2,2,2,2,1
112,1,1,2,2,2,1,1
113,0,0,2,2,2,0,1
114,2,2,0,2,2,2,1
115,2,2,2,0,0,2,1
116,2,2,0,2,0,2,1
117,2,2,0,0,2,2,1
118,2,2,2,2,0,2,1
119,2,2,2,0,2,2,1
120,1,1,0,2,2,1,1
121,1,1,2,0,0,1,1
122,1,1,0,2,0,1,1
123,1,1,0,2,0,1,1
124,1,1,0,0,2,1,1
125,1,1,2,2,0,1,1
126,1,1,2,0,2,1,1
127,0,0,0,2,2,0,1
128,0,0,2,0,0,0,1
129,0,0,0,2,0,0,1
130,0,0,0,0,2,0,1
131,0,0,2,2,0,0,1
132,0,0,2,0,2,0,1
133,2,1,0,0,0,2,1
134,1,2,0,0,0,1,1
135,2,1,0,0,0,1,1
136,2,1,2,2,2,2,1
137,1,2,2,2,2,1,1
138,2,1,2,2,2,1,1
139,1,1,0,2,2,2,1
140,2,1,2,0,0,2,1
141,1,2,0,2,0,2,1
142,1,2,0,0,2,1,1
143,0,1,1,1,1,0,0
144,2,1,1,1,1,1,0
145,1,2,1,1,1,1,0
146,0,2,1,0,1,1,0
147,1,1,1,1,1,1,0
148,1,1,1,0,1,0,0
149,1,1,1,1,1,2,0
150,1,1,1,1,1,0,0
151,1,1,1,0,1,2,0
152,1,1,1,0,1,1,0
153,1,1,0,1,1,1,0
154,2,1,1,1,1,1,0
155,0,1,1,1,1,1,0
156,1,1,1,1,1,1,0
157,2,1,1,1,0,0,0
158,0,1,1,1,1,0,0
159,0,1,1,1,1,0,0
160,0,0,1,1,1,2,0
161,0,1,1,1,1,1,0
162,2,0,1,1,1,0,0
163,2,1,1,1,1,2,0
164,2,0,1,1,1,1,0
165,2,1,1,1,1,1,0
166,1,0,1,1,1,2,0
167,1,1,1,1,1,0,0
168,0,0,1,1,1,1,0
169,0,0,1,1,1,1,0
170,2,2,1,1,1,1,0
171,0,2,1,1,1,1,0
172,2,0,1,1,1,1,0
173,0,1,1,1,1,1,0
174,1,1,1,1,1,1,0
175,1,0,1,1,1,1,0
176,2,1,1,1,1,1,0
177,1,2,1,1,1,1,0
178,0,2,1,0,1,1,0
179,1,1,1,2,1,2,0
180,1,1,1,1,1,1,0
181,1,1,1,0,1,0,0
182,1,1,1,2,1,1,0
183,1,1,1,1,1,2,0
184,1,1,1,1,1,0,0
185,1,1,1,0,1,2,0
186,1,1,1,0,1,1,0
187,1,1,0,1,1,1,0
188,2,1,1,1,1,1,0
189,0,1,1,1,1,1,0
190,1,1,1,1,1,1,0
191,2,1,1,1,0,0,0
192,2,1,1,1,0,0,0
193,0,1,1,1,1,0,0
194,1,1,1,1,1,0,0
195,1,2,1,1,1,1,0
196,0,2,1,0,1,1,0
197,1,1,1,1,1,1,0
198,1,1,1,0,1,0,0
199,1,1,1,2,1,1,0
200,1,1,1,1,1,2,0
201,1,1,1,1,1,0,0
202,1,1,1,0,1,2,0
203,2,1,1,1,1,2,0
204,2,0,1,1,1,1,0
205,2,1,1,1,1,1,0
206,1,0,1,1,1,2,0
207,1,1,1,1,1,0,0
208,0,0,1,1,1,1,0
209,0,0,1,1,1,1,0
210,1,1,1,0,1,1,0
211,1,1,0,1,1,1,0
212,2,1,1,1,1,1,0
213,0,1,1,1,1,1,0
214,1,1,1,1,1,1,0
215,1,0,2,0,1,2,0
216,2,1,1,1,1,1,0
217,1,0,1,1,1,2,0
218,1,1,1,1,1,0,0
219,0,0,1,1,1,1,0
220,0,0,1,1,1,2,0
221,0,1,1,1,1,1,0
222,2,0,1,1,1,0,0
223,2,1,1,1,1,2,0
224,2,0,1,1,1,1,0
225,2,1,1,1,1,1,0
226,1,0,1,1,1,2,0
227,1,1,1,1,1,0,0
228,0,0,1,1,1,1,0
229,0,0,1,1,1,1,0
230,0,2,1,1,1,1,0
231,2,0,1,1,1,1,0
232,0,1,1,1,1,1,0
233,1,1,1,1,1,1,0
234,1,0,1,1,1,1,0
235,0,1,1,1,1,0,0
236,2,1,1,1,1,1,0
237,1,2,1,1,1,1,0
238,0,2,1,0,1,1,0
239,1,1,1,1,1,1,0
240,1,1,1,0,1,0,0
241,1,1,1,1,1,2,0
242,1,1,1,1,1,0,0
243,1,1,1,0,1,2,0
244,1,1,1,0,1,1,0
245,1,1,0,1,1,1,0
246,2,1,1,1,1,1,0
247,0,1,1,1,1,1,0
248,1,1,1,1,1,1,0
249,2,1,1,1,0,0,0
