RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,target
99,45,80,26,96,38,44,0,10,1
62,37,64,69,85,43,27,0,0,1
52,28,54,66,115,48,15,0,0,1
52,35,58,74,102,47,19,0,0,1
57,66,56,71,57,50,27,0,0,1
117,57,65,25,76,39,47,2,14,1
45,33,53,58,90,50,34,1,21,1
61,45,49,82,67,48,31,0,0,1
44,44,32,39,86,40,77,0,20,1
111,33,69,40,59,44,68,0,29,1
86,87,68,28,72,10,62,0,0,2
26,66,55,50,64,38,41,0,0,2
50,60,59,54,66,38,50,0,8,2
36,7,54,51,82,39,55,0,0,2
47,54,47,81,51,42,44,0,14,2
149,119,89,16,13,0,104,0,0,2
90,86,67,6,89,5,82,0,0,2
26,73,42,38,65,41,40,0,0,2
58,34,60,47,60,43,76,0,0,2
38,48,42,42,90,34,60,0,0,2
42,72,41,44,61,34,66,0,0,2
148,108,77,5,20,10,108,0,0,2
88,81,43,64,29,40,76,0,0,2
96,79,39,73,23,39,77,0,7,2
108,66,37,66,33,38,85,0,0,2
133,86,56,11,62,15,79,5,20,2
157,114,79,21,12,19,94,0,30,2
8,107,19,117,1,61,2,31,0,3
129,24,10,87,65,42,119,0,0,3
152,5,11,68,79,29,129,0,0,3
150,2,6,68,118,40,132,0,0,3
136,17,0,75,126,25,131,0,0,3
48,34,0,86,128,57,120,0,0,3
138,62,0,81,92,29,128,0,0,3
167,75,0,70,37,21,134,0,0,3
4,47,0,116,5,64,6,0,0,3
5,45,0,115,7,64,5,0,0,3
140,69,0,55,38,22,135,0,0,3
141,33,5,101,34,55,110,6,31,3
147,42,1,63,116,12,127,0,23,3
126,106,17,68,45,0,106,0,0,4
134,95,18,35,71,0,113,0,0,4
106,126,15,72,46,0,98,0,0,4
118,110,13,76,64,0,99,0,0,4
3,124,7,66,130,0,9,0,0,4
122,137,2,80,53,0,116,0,0,4
130,112,0,98,69,0,123,0,0,4
136,127,0,4,120,0,126,0,0,4
0,141,0,1,132,0,4,0,0,4
1,88,33,84,75,62,0,21,0,5
110,119,35,102,10,60,1,26,0,5
164,75,37,39,46,42,78,0,0,5
162,133,14,96,3,55,112,0,0,5
166,140,9,47,4,20,63,29,0,5
27,100,8,82,99,0,67,18,0,5
23,132,0,106,112,0,73,14,7,5
30,115,0,113,119,3,89,8,7,5
63,129,0,94,91,0,55,25,6,5
53,127,0,92,113,0,54,24,5,5
10,111,0,111,116,7,91,12,3,5
11,99,0,109,107,13,101,19,1,5
66,128,0,105,112,0,83,15,0,5
9,122,0,110,99,3,92,14,0,5
25,138,0,108,94,4,78,9,0,5
7,139,0,103,121,0,42,13,0,5
41,6,0,35,131,63,82,0,0,5
8,132,0,107,125,0,45,11,0,5
43,131,0,93,100,0,37,30,0,5
28,136,0,104,114,0,71,16,0,5
68,136,0,83,88,0,63,23,0,5
37,135,0,88,100,0,67,22,0,5
107,123,0,85,79,59,3,32,0,5
35,121,0,112,78,0,103,10,0,5
30,111,0,114,60,7,96,20,0,5
54,134,0,93,95,0,46,25,0,5
142,120,0,95,117,0,50,27,0,5
39,122,0,91,123,0,51,24,0,5
62,117,0,97,115,0,64,28,0,5
132,57,36,44,44,42,94,0,9,0
82,15,61,47,113,40,53,0,0,0
126,85,64,28,61,13,73,0,0,0
75,31,57,62,70,36,54,0,16,0
76,30,59,51,91,44,61,0,0,0
29,81,57,66,88,26,10,0,0,0
26,66,55,50,64,38,41,0,0,2
148,108,77,5,20,10,108,0,0,2
149,119,89,16,13,0,104,0,0,2
26,66,55,50,64,38,41,0,0,2
86,87,68,28,72,10,62,0,0,2
148,108,77,5,20,10,108,0,0,2
148,108,77,5,20,10,108,0,0,2
157,114,79,21,12,19,94,0,30,2
38,48,42,42,90,34,60,0,0,2
133,86,56,11,62,15,79,5,20,2
108,66,37,66,33,38,85,0,0,2
108,66,37,66,33,38,85,0,0,2
148,108,77,5,20,10,108,0,0,2
50,60,59,54,66,38,50,0,8,2
47,54,47,81,51,42,44,0,14,2
90,86,67,6,89,5,82,0,0,2
58,34,60,47,60,43,76,0,0,2
90,86,67,6,89,5,82,0,0,2
36,7,54,51,82,39,55,0,0,2
96,79,39,73,23,39,77,0,7,2
58,34,60,47,60,43,76,0,0,2
26,66,55,50,64,38,41,0,0,2
108,66,37,66,33,38,85,0,0,2
90,86,67,6,89,5,82,0,0,2
148,108,77,5,20,10,108,0,0,2
26,73,42,38,65,41,40,0,0,2
108,66,37,66,33,38,85,0,0,2
50,60,59,54,66,38,50,0,8,2
96,79,39,73,23,39,77,0,7,2
157,114,79,21,12,19,94,0,30,2
36,7,54,51,82,39,55,0,0,2
26,73,42,38,65,41,40,0,0,2
36,7,54,51,82,39,55,0,0,2
26,66,55,50,64,38,41,0,0,2
149,119,89,16,13,0,104,0,0,2
38,48,42,42,90,34,60,0,0,2
36,7,54,51,82,39,55,0,0,2
148,108,77,5,20,10,108,0,0,2
26,66,55,50,64,38,41,0,0,2
38,48,42,42,90,34,60,0,0,2
36,7,54,51,82,39,55,0,0,2
96,79,39,73,23,39,77,0,7,2
133,86,56,11,62,15,79,5,20,2
108,66,37,66,33,38,85,0,0,2
26,73,42,38,65,41,40,0,0,2
96,79,39,73,23,39,77,0,7,2
26,73,42,38,65,41,40,0,0,2
133,86,56,11,62,15,79,5,20,2
88,81,43,64,29,40,76,0,0,2
108,66,37,66,33,38,85,0,0,2
88,81,43,64,29,40,76,0,0,2
58,34,60,47,60,43,76,0,0,2
108,66,37,66,33,38,85,0,0,2
88,81,43,64,29,40,76,0,0,2
86,87,68,28,72,10,62,0,0,2
90,86,67,6,89,5,82,0,0,2
58,34,60,47,60,43,76,0,0,2
86,87,68,28,72,10,62,0,0,2
148,108,77,5,20,10,108,0,0,2
167,75,0,70,37,21,134,0,0,3
167,75,0,70,37,21,134,0,0,3
140,69,0,55,38,22,135,0,0,3
152,5,11,68,79,29,129,0,0,3
8,107,19,117,1,61,2,31,0,3
167,75,0,70,37,21,134,0,0,3
152,5,11,68,79,29,129,0,0,3
152,5,11,68,79,29,129,0,0,3
8,107,19,117,1,61,2,31,0,3
140,69,0,55,38,22,135,0,0,3
136,17,0,75,126,25,131,0,0,3
5,45,0,115,7,64,5,0,0,3
138,62,0,81,92,29,128,0,0,3
5,45,0,115,7,64,5,0,0,3
4,47,0,116,5,64,6,0,0,3
141,33,5,101,34,55,110,6,31,3
138,62,0,81,92,29,128,0,0,3
4,47,0,116,5,64,6,0,0,3
167,75,0,70,37,21,134,0,0,3
141,33,5,101,34,55,110,6,31,3
129,24,10,87,65,42,119,0,0,3
8,107,19,117,1,61,2,31,0,3
138,62,0,81,92,29,128,0,0,3
138,62,0,81,92,29,128,0,0,3
167,75,0,70,37,21,134,0,0,3
136,17,0,75,126,25,131,0,0,3
152,5,11,68,79,29,129,0,0,3
141,33,5,101,34,55,110,6,31,3
167,75,0,70,37,21,134,0,0,3
48,34,0,86,128,57,120,0,0,3
140,69,0,55,38,22,135,0,0,3
152,5,11,68,79,29,129,0,0,3
8,107,19,117,1,61,2,31,0,3
152,5,11,68,79,29,129,0,0,3
136,17,0,75,126,25,131,0,0,3
152,5,11,68,79,29,129,0,0,3
8,107,19,117,1,61,2,31,0,3
136,17,0,75,126,25,131,0,0,3
5,45,0,115,7,64,5,0,0,3
138,62,0,81,92,29,128,0,0,3
138,62,0,81,92,29,128,0,0,3
140,69,0,55,38,22,135,0,0,3
4,47,0,116,5,64,6,0,0,3
5,45,0,115,7,64,5,0,0,3
5,45,0,115,7,64,5,0,0,3
141,33,5,101,34,55,110,6,31,3
147,42,1,63,116,12,127,0,23,3
152,5,11,68,79,29,129,0,0,3
138,62,0,81,92,29,128,0,0,3
8,107,19,117,1,61,2,31,0,3
150,2,6,68,118,40,132,0,0,3
147,42,1,63,116,12,127,0,23,3
150,2,6,68,118,40,132,0,0,3
136,17,0,75,126,25,131,0,0,3
138,62,0,81,92,29,128,0,0,3
138,62,0,81,92,29,128,0,0,3
147,42,1,63,116,12,127,0,23,3
140,69,0,55,38,22,135,0,0,3
147,42,1,63,116,12,127,0,23,3
150,2,6,68,118,40,132,0,0,3
147,42,1,63,116,12,127,0,23,3
138,62,0,81,92,29,128,0,0,3
140,69,0,55,38,22,135,0,0,3
106,126,15,72,46,0,98,0,0,4
122,137,2,80,53,0,116,0,0,4
134,95,18,35,71,0,113,0,0,4
0,141,0,1,132,0,4,0,0,4
3,124,7,66,130,0,9,0,0,4
122,137,2,80,53,0,116,0,0,4
118,110,13,76,64,0,99,0,0,4
130,112,0,98,69,0,123,0,0,4
0,141,0,1,132,0,4,0,0,4
130,112,0,98,69,0,123,0,0,4
126,106,17,68,45,0,106,0,0,4
126,106,17,68,45,0,106,0,0,4
0,141,0,1,132,0,4,0,0,4
0,141,0,1,132,0,4,0,0,4
118,110,13,76,64,0,99,0,0,4
0,141,0,1,132,0,4,0,0,4
106,126,15,72,46,0,98,0,0,4
130,112,0,98,69,0,123,0,0,4
122,137,2,80,53,0,116,0,0,4
136,127,0,4,120,0,126,0,0,4
0,141,0,1,132,0,4,0,0,4
3,124,7,66,130,0,9,0,0,4
126,106,17,68,45,0,106,0,0,4
106,126,15,72,46,0,98,0,0,4
136,127,0,4,120,0,126,0,0,4
122,137,2,80,53,0,116,0,0,4
136,127,0,4,120,0,126,0,0,4
0,141,0,1,132,0,4,0,0,4
118,110,13,76,64,0,99,0,0,4
126,106,17,68,45,0,106,0,0,4
126,106,17,68,45,0,106,0,0,4
118,110,13,76,64,0,99,0,0,4
130,112,0,98,69,0,123,0,0,4
134,95,18,35,71,0,113,0,0,4
106,126,15,72,46,0,98,0,0,4
126,106,17,68,45,0,106,0,0,4
3,124,7,66,130,0,9,0,0,4
126,106,17,68,45,0,106,0,0,4
136,127,0,4,120,0,126,0,0,4
126,106,17,68,45,0,106,0,0,4
126,106,17,68,45,0,106,0,0,4
134,95,18,35,71,0,113,0,0,4
134,95,18,35,71,0,113,0,0,4
122,137,2,80,53,0,116,0,0,4
130,112,0,98,69,0,123,0,0,4
3,124,7,66,130,0,9,0,0,4
126,106,17,68,45,0,106,0,0,4
126,106,17,68,45,0,106,0,0,4
106,126,15,72,46,0,98,0,0,4
134,95,18,35,71,0,113,0,0,4
3,124,7,66,130,0,9,0,0,4
122,137,2,80,53,0,116,0,0,4
130,112,0,98,69,0,123,0,0,4
118,110,13,76,64,0,99,0,0,4
130,112,0,98,69,0,123,0,0,4
136,127,0,4,120,0,126,0,0,4
126,106,17,68,45,0,106,0,0,4
122,137,2,80,53,0,116,0,0,4
136,127,0,4,120,0,126,0,0,4
3,124,7,66,130,0,9,0,0,4
118,110,13,76,64,0,99,0,0,4
134,95,18,35,71,0,113,0,0,4
122,137,2,80,53,0,116,0,0,4
122,137,2,80,53,0,116,0,0,4
126,106,17,68,45,0,106,0,0,4
0,141,0,1,132,0,4,0,0,4
122,137,2,80,53,0,116,0,0,4
7,139,0,103,121,0,42,13,0,5
62,117,0,97,115,0,64,28,0,5
164,75,37,39,46,42,78,0,0,5
28,136,0,104,114,0,71,16,0,5
39,122,0,91,123,0,51,24,0,5
142,120,0,95,117,0,50,27,0,5
162,133,14,96,3,55,112,0,0,5
43,131,0,93,100,0,37,30,0,5
54,134,0,93,95,0,46,25,0,5
164,75,37,39,46,42,78,0,0,5
43,131,0,93,100,0,37,30,0,5
28,136,0,104,114,0,71,16,0,5
23,132,0,106,112,0,73,14,7,5
28,136,0,104,114,0,71,16,0,5
63,129,0,94,91,0,55,25,6,5
1,88,33,84,75,62,0,21,0,5
30,115,0,113,119,3,89,8,7,5
23,132,0,106,112,0,73,14,7,5
8,132,0,107,125,0,45,11,0,5
30,115,0,113,119,3,89,8,7,5
1,88,33,84,75,62,0,21,0,5
10,111,0,111,116,7,91,12,3,5
39,122,0,91,123,0,51,24,0,5
30,111,0,114,60,7,96,20,0,5
30,111,0,114,60,7,96,20,0,5
8,132,0,107,125,0,45,11,0,5
107,123,0,85,79,59,3,32,0,5
53,127,0,92,113,0,54,24,5,5
164,75,37,39,46,42,78,0,0,5
23,132,0,106,112,0,73,14,7,5
39,122,0,91,123,0,51,24,0,5
7,139,0,103,121,0,42,13,0,5
54,134,0,93,95,0,46,25,0,5
7,139,0,103,121,0,42,13,0,5
30,111,0,114,60,7,96,20,0,5
28,136,0,104,114,0,71,16,0,5
39,122,0,91,123,0,51,24,0,5
41,6,0,35,131,63,82,0,0,5
110,119,35,102,10,60,1,26,0,5
1,88,33,84,75,62,0,21,0,5
7,139,0,103,121,0,42,13,0,5
11,99,0,109,107,13,101,19,1,5
166,140,9,47,4,20,63,29,0,5
166,140,9,47,4,20,63,29,0,5
142,120,0,95,117,0,50,27,0,5
107,123,0,85,79,59,3,32,0,5
63,129,0,94,91,0,55,25,6,5
