REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN,class
43,112,0,0,0,132,191,151,194,111,81,95,74,85,82,69,95,45,83,4
49,107,0,0,0,89,108,140,171,141,107,122,101,57,124,18,122,72,111,4
117,99,0,0,0,143,86,156,189,118,85,104,84,59,105,64,104,67,50,4
108,110,0,0,0,63,124,135,132,146,113,127,105,58,128,12,127,68,125,4
103,114,0,0,0,73,113,129,162,134,103,117,93,69,117,15,117,74,129,4
68,117,0,0,0,141,171,133,167,155,118,136,112,38,145,3,136,82,102,4
98,113,0,1,0,142,159,91,120,133,101,117,94,65,119,17,117,73,126,4
83,100,0,0,0,116,164,159,195,116,84,100,86,53,92,89,100,40,3,4
61,122,0,0,0,148,172,144,173,140,105,121,102,50,123,25,121,65,88,4
74,109,0,0,0,106,178,137,187,112,82,98,76,81,91,57,98,57,116,4
2,124,0,0,2,129,149,147,174,145,110,129,106,40,131,16,129,80,85,4
130,121,0,0,0,97,135,109,117,130,99,114,92,52,116,33,114,62,86,4
91,115,0,0,0,145,162,139,129,152,115,134,111,35,134,15,134,63,77,4
137,105,0,0,1,96,118,136,137,144,110,130,103,41,133,10,130,86,94,4
136,119,0,0,0,100,123,111,150,138,104,120,100,55,124,20,120,71,108,4
95,112,0,0,0,127,153,131,159,136,102,118,97,60,122,21,118,70,114,4
125,120,0,0,0,147,163,141,158,131,100,115,95,56,115,30,115,59,93,4
3,125,0,0,1,121,148,142,165,142,108,124,102,49,130,13,124,85,109,4
63,107,0,0,0,115,139,131,112,135,103,116,98,68,111,29,116,52,118,4
47,118,0,0,0,138,147,109,144,158,122,139,117,29,148,11,139,69,72,4
111,95,0,0,0,23,30,98,63,100,61,72,73,43,41,138,76,106,201,3
40,107,0,1,0,71,69,128,146,94,63,65,71,75,16,142,74,89,194,3
33,108,0,1,0,97,125,121,154,83,60,60,66,99,10,133,64,56,182,3
58,128,0,0,0,51,80,106,116,64,41,51,54,78,16,136,53,125,193,3
50,131,0,0,0,84,140,81,131,60,39,46,54,83,11,144,53,131,187,3
6,123,0,0,0,98,92,76,78,65,49,43,57,115,0,142,54,116,174,3
109,138,0,0,0,123,136,81,108,52,21,27,37,97,8,136,42,163,183,3
89,101,0,0,0,103,120,117,111,72,44,57,62,66,17,146,61,132,195,3
100,103,0,0,0,88,98,104,149,74,50,55,63,80,12,145,62,108,188,3
1,137,0,0,0,109,160,132,177,40,20,17,25,138,19,125,21,17,172,3
34,132,0,0,0,126,187,89,163,43,17,12,27,113,6,129,34,169,177,3
134,110,0,0,0,90,107,107,143,67,46,46,60,96,2,148,57,119,178,3
109,127,0,0,0,95,109,143,166,96,60,67,75,48,18,149,80,120,198,3
30,106,0,0,0,58,68,80,139,82,55,61,68,77,14,143,65,99,192,3
35,130,0,0,0,135,197,138,184,49,21,20,30,116,10,128,40,141,179,3
62,133,0,0,0,134,169,130,172,87,54,59,72,62,4,150,75,129,186,3
129,126,0,1,0,128,188,89,140,68,45,54,52,90,21,127,51,93,197,3
128,104,0,0,0,70,79,123,156,67,45,50,58,92,9,141,55,104,184,3
17,120,0,0,0,14,45,25,73,70,52,49,59,117,3,134,56,94,175,3
35,124,0,0,0,88,105,47,62,48,20,14,30,118,5,129,40,154,176,3
53,134,0,1,0,104,170,99,100,56,35,39,45,91,10,140,46,133,185,3
41,117,0,1,0,77,62,131,179,66,43,53,51,88,20,128,50,96,196,3
28,102,0,0,0,26,55,48,44,102,68,71,77,54,22,147,85,95,199,3
129,111,0,0,0,22,8,35,87,54,36,38,41,107,7,131,45,114,181,3
132,117,0,0,0,60,33,84,106,46,18,13,29,109,8,130,37,150,180,3
20,136,0,1,0,110,154,100,77,58,37,44,49,82,13,139,49,135,189,3
100,129,0,0,0,69,87,62,71,59,39,47,48,89,15,132,48,112,190,3
107,134,0,0,0,125,189,134,186,71,48,58,50,91,26,126,50,61,200,3
115,135,0,1,0,65,100,115,181,61,41,48,51,87,14,135,50,121,191,3
121,112,0,0,0,21,40,113,153,57,42,37,47,120,1,137,47,130,173,3
