Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,target
10925,12007,12372,12195,10262,10262,10979,10925,12151,2649,4449,3260,1363,2514,3260,2064,2
9482,10204,10651,10773,10027,10027,9517,9482,11931,4758,5832,3455,2810,3623,3455,1475,2
9461,10655,10557,10764,9928,9928,9487,9461,1301,8325,3129,3596,2766,3709,3596,2607,2
10295,11548,11947,11325,10844,10844,10385,10295,8076,1233,3104,2650,2280,2521,2650,1085,2
11311,12343,12602,12788,8994,8994,11355,11311,8330,5804,6707,4601,739,2831,4601,5921,2
10994,12184,12626,12080,10983,10983,11051,10994,13025,1668,3673,2510,1544,1748,2510,744,2
9801,10628,11105,10930,10334,10334,9843,9801,3279,5877,5080,3287,2555,3366,3287,5263,2
8945,9757,9780,10278,9860,9860,8983,8945,10037,6079,4582,3628,3312,4018,3628,1983,2
10156,10956,11447,11351,10188,10188,10161,10156,12628,11490,5590,3458,2119,3275,3458,6995,2
11337,12586,12774,12763,9785,9785,11387,11337,10647,3597,3746,3632,803,2136,3632,1034,2
11322,12684,13003,11828,12339,12339,11384,11322,1526,1495,1852,1123,1823,271,1123,538,2
8493,9269,9313,9760,10134,10134,8560,8493,5812,2111,4629,3311,3906,4117,3311,1013,2
9456,10423,10857,10640,10489,10489,9597,9456,2741,508,4125,2919,3013,3323,2919,532,2
10900,12128,12485,11954,10871,10871,10916,10900,11520,11220,3349,2707,1570,2060,2707,3034,2
9661,10622,11237,10699,10826,10826,9748,9661,4788,1699,4271,2632,2939,2952,2632,733,2
9890,10605,11257,10924,10541,10541,9901,9890,8979,11834,5887,3135,2519,3224,3135,8646,2
10739,11401,11796,12252,9052,9052,10730,10739,12611,13462,7281,4529,1247,3462,4529,5338,2
9478,10912,11509,10178,11639,11639,9530,9478,1392,3230,2202,1939,3382,2243,1939,2866,2
11143,12107,11993,12789,7149,7149,11213,11143,3473,1107,5952,6246,766,3757,6246,2209,2
11227,12299,12632,12627,9839,9839,11272,11227,11589,6869,5455,3668,925,2398,3668,2370,2
9823,10673,10473,11649,8155,8155,9942,9823,13361,705,4991,5163,1950,4130,5163,1170,2
9248,10235,10821,10177,11170,11170,9273,9248,10646,12361,3902,2460,3356,3088,2460,5343,2
8736,9753,9634,9908,10349,10349,8774,8736,981,6400,3193,3219,3663,3953,3219,2857,2
11431,12696,12919,12889,9961,9961,11494,11431,3612,384,4163,3325,694,1558,3325,287,2
11455,12758,12975,12903,10386,10386,11511,11455,1949,1908,3753,2990,668,1164,2990,456,2
9810,10607,11084,10933,10318,10318,9820,9810,7924,12167,5291,3350,2515,3404,3350,8510,2
9504,10663,11200,10419,11144,11144,9590,9504,11509,1996,3293,2390,3159,2783,2390,1394,2
10760,11963,12354,11752,10901,10901,10786,10760,808,5154,3480,2749,1721,2245,2749,7982,2
10113,11117,11821,11101,10930,10930,10207,10113,1486,1421,4284,2530,2564,2534,2530,571,2
10063,10696,10669,11862,8010,8010,10098,10063,3557,6166,6687,5471,1669,4119,5471,3646,2
11375,12536,12722,12886,8693,8693,11438,11375,11192,811,5606,4695,673,2700,4695,1462,2
11020,12104,12701,11989,11242,11242,11072,11020,3555,3075,4513,2300,1584,1506,2300,1610,2
11166,12126,11480,12929,4291,4291,11201,11166,4451,11757,6236,9182,608,4436,9182,4429,2
10625,11663,12314,11631,10994,10994,10728,10625,5332,417,4211,2481,2027,2078,2481,601,2
10835,12179,12733,11309,11790,11790,10861,10835,7470,9682,2711,1791,2192,996,1791,4059,2
10965,12100,12728,11662,11604,11604,10967,10965,12891,13483,3987,2007,1826,1242,2007,6176,2
9966,11563,12309,10254,12025,12025,9977,9966,12797,10968,1551,1557,3286,1169,1557,4736,2
11388,12712,12925,12702,10883,10883,11441,11388,1442,3040,2710,2628,856,1197,2628,1389,2
10697,11735,12587,11242,11676,11676,10708,10697,13076,12788,4397,1932,2248,1333,1932,5229,2
9477,10395,10560,10785,9903,9903,9526,9477,1396,3434,4414,3622,2746,3715,3622,2721,2
10569,11670,11807,11915,9780,9780,10604,10569,2726,5553,3782,3757,1619,3212,3757,3124,2
10167,11056,11356,11567,9754,9754,10240,10167,10970,1754,4962,3690,2024,3407,3690,1390,2
10176,11059,11418,11397,10059,10059,10164,10176,5734,13157,4998,3571,2070,3337,3571,6891,2
9368,10688,10551,10504,10359,10359,9374,9368,11651,11106,2527,3289,2990,3599,3289,7210,2
9858,10827,10893,11298,9546,9546,9919,9858,7736,3255,4351,3940,2253,3676,3940,2201,2
11322,12684,13003,11828,12339,12339,11384,11322,1526,1495,1852,1123,1823,271,1123,538,2
11370,12606,12947,12586,11330,11330,11435,11370,2760,915,4421,2202,980,883,2202,1342,2
9058,9856,10412,10070,10954,10954,9123,9058,5256,2381,4855,2620,3505,3397,2620,2675,2
10516,11366,11674,11997,9428,9428,10592,10516,10549,1764,5264,3985,1608,3354,3985,1169,2
11318,12538,12831,12616,10631,10631,11374,11318,5589,3049,4036,2950,926,1661,2950,2896,2
9330,10678,11227,10141,11535,11535,9384,9330,7223,3522,2443,2011,3483,2475,2011,1239,2
9475,10455,10633,10715,10111,10111,9496,9475,821,9596,4063,3466,2806,3630,3466,3819,2
10605,11469,11961,11839,10186,10186,10609,10605,12556,12877,5327,3393,1695,2904,3393,3436,2
10386,11224,11926,11442,10654,10654,10413,10386,6730,6232,5385,2911,2091,2688,2911,2350,2
10884,11861,12249,12262,9881,9881,10937,10884,8643,2679,5143,3521,1326,2741,3521,926,2
10113,11117,11821,11101,10930,10930,10207,10113,1486,1421,4284,2530,2564,2534,2530,571,2
9451,10228,11057,10408,11050,11050,9472,9451,2881,10180,5472,2544,3132,3006,2544,3082,2
10287,11807,12201,11287,11186,11186,10537,10287,5120,62,1943,2097,2603,1878,2097,73,2
11311,12343,12602,12788,8994,8994,11355,11311,8330,5804,6707,4601,739,2831,4601,5921,2
10703,11637,11849,12296,9043,9043,10817,10703,5520,416,5092,4215,1347,3346,4215,437,2
10001,10906,10608,11866,7885,7885,10120,10001,7909,542,4765,5365,1756,4115,5365,806,2
9755,10968,11254,10688,10847,10847,9774,9755,7953,8955,3201,2786,2792,3047,2786,6253,2
11060,12160,12478,12397,10102,10102,11110,11060,1285,2613,4423,3351,1191,2423,3351,1148,2
9733,11050,11111,10889,10395,10395,9838,9733,2481,1079,2791,3093,2698,3286,3093,1322,2
11095,12155,12588,12291,10587,10587,11123,11095,12372,12155,4891,3050,1214,2134,3050,5417,2
10301,11256,11185,12055,8524,8524,10465,10301,10835,249,4701,4701,1606,3783,4701,550,2
10349,11042,11165,12032,8531,8531,10369,10349,10667,7888,6593,4967,1499,3848,4967,3407,2
10841,11776,12397,11951,10710,10710,10846,10841,13036,12910,5397,2854,1589,2259,2854,2431,2
10078,11001,11443,11249,10338,10338,10141,10078,6132,3098,4819,3265,2264,3195,3265,4105,2
9334,10837,11848,9623,12122,12122,9394,9334,11969,3068,1801,1450,3926,1361,1450,5104,2
11232,12551,12972,11865,12047,12047,11324,11232,9928,283,2730,1426,1853,415,1426,241,2
10980,12001,12505,12200,10571,10571,11030,10980,12828,3220,4977,2902,1420,2145,2902,860,2
9536,10656,10763,10819,10093,10093,9639,9536,12270,1013,3411,3316,2809,3525,3316,734,2
10247,11378,11382,11723,9516,9516,10301,10247,1404,3814,3647,3935,1861,3468,3935,1662,2
11467,12789,12998,12922,10781,10781,11523,11467,967,9852,3042,2754,632,859,2754,2009,2
9144,10454,11079,9783,11711,11711,9221,9144,5800,1494,2138,1878,3796,2394,1878,3171,2
8659,9970,10881,8524,12101,12101,8767,8659,7643,658,1716,1383,5430,1826,1383,404,2
10308,10831,10944,12049,8079,8079,10315,10308,11554,12264,8000,5589,1427,4048,5589,11385,2
11131,12319,12717,12281,10907,10907,11162,11131,6597,7773,3805,2603,1296,1691,2603,1208,2
9118,10026,10155,10287,10336,10336,9136,9118,10956,11123,4188,3344,3209,3794,3344,9882,2
9756,10486,10953,10977,10075,10075,9797,9756,9940,5417,5620,3479,2531,3503,3479,3258,2
9853,11034,11236,11038,10362,10362,9997,9853,5487,407,3379,3092,2572,3220,3092,985,2
11155,12573,12964,11339,12317,12317,11214,11155,9517,2429,1639,1254,2165,371,1254,3561,2
10781,11790,12420,11880,10836,10836,10852,10781,7913,1701,4789,2604,1765,2071,2604,592,2
9697,10820,11645,10507,11389,11389,9763,9697,8599,2889,3537,2063,3145,2270,2063,352,2
10331,11193,11808,11553,10387,10387,10411,10331,12811,1828,5240,3088,2071,2865,3088,1136,2
9274,10870,10805,10384,10846,10846,9449,9274,1259,133,1380,2554,3290,3159,2554,347,2
11267,12588,12949,12057,11850,11850,11306,11267,2201,10475,2747,1719,1501,578,1719,2214,2
9705,10815,11033,10902,10285,10285,9808,9705,10598,1309,3599,3190,2690,3362,3190,1287,2
9618,10707,10704,10886,9890,9890,9636,9618,2160,8046,3574,3665,2620,3678,3665,3893,2
10186,11209,11986,10989,11216,11216,10242,10186,6605,2323,4123,2287,2621,2213,2287,965,2
11457,12723,12967,12915,10256,10256,11514,11457,3476,2248,5178,3200,648,1292,3200,1076,2
8784,9704,9704,10066,10158,10158,8905,8784,1998,400,3664,3212,3622,3929,3212,516,2
11417,12695,12906,12875,9913,9913,11488,11417,7957,202,3716,3366,713,1653,3366,289,2
10638,11743,11949,12094,9699,9699,10746,10638,3500,373,3898,3557,1605,3011,3557,282,2
10126,11018,11349,11446,9897,9897,10146,10126,4586,8735,4928,3587,2104,3365,3587,1874,2
9785,11179,11569,10626,11198,11198,9869,9785,1034,1623,2387,2321,2989,2543,2321,1059,2
11019,12385,12858,11609,11829,11829,11094,11019,8708,1400,2364,1691,2032,730,1691,707,2
11384,12669,12941,12704,11006,11006,11456,11384,3694,381,3287,2360,923,974,2360,186,2
10803,11916,12085,12175,9765,9765,10810,10803,12363,12034,4104,3779,1349,3017,3779,3508,2
10540,11218,11209,12289,7872,7872,10608,10540,4498,2250,6699,5579,1246,3950,5579,3000,2
9534,10832,11300,10453,11190,11190,9650,9534,2508,809,2745,2273,3175,2654,2273,567,2
10705,11753,11980,12064,9830,9830,10741,10705,1169,5009,4396,3714,1474,3061,3714,3096,2
8459,9434,9845,9056,11476,11476,8521,8459,6125,2255,3264,2069,4691,3331,2069,1101,2
11114,12330,12792,12074,11390,11390,11178,11114,886,2378,3586,2129,1522,1226,2129,1088,2
10039,11416,12109,10742,11562,11562,10231,10039,10291,158,2502,1893,3001,1741,1893,200,2
9127,9707,9096,11341,5660,5660,9170,9127,11413,7321,6712,7694,2217,5136,7694,2062,2
11412,12692,12944,12735,10926,10926,11461,11412,11942,11629,3678,2672,798,1136,2672,3448,2
9330,10678,11227,10141,11535,11535,9384,9330,7223,3522,2443,2011,3483,2475,2011,1239,2
9828,11447,11798,10698,11323,11323,10033,9828,10445,119,1463,2047,3079,2154,2047,134,2
10188,11132,11739,11313,10609,10609,10278,10188,1152,1036,4590,2852,2319,2772,2852,742,2
9840,10716,11516,10745,11014,11014,9895,9840,11854,4379,4885,2567,2800,2742,2567,2595,2
10338,11473,11990,11345,10895,10895,10349,10338,8432,11482,3667,2615,2254,2448,2615,1200,2
8923,9635,9828,10123,10227,10227,8935,8923,5972,12892,5243,3410,3392,3942,3410,6025,2
9156,10031,9877,10571,9328,9328,9189,9156,7032,11690,4570,4275,2930,4140,4275,6045,2
10797,12063,12579,11532,11488,11488,10799,10797,6490,12185,3141,2133,1969,1539,2133,4783,2
9088,9582,9232,10974,6986,6986,9110,9088,4335,10793,7655,6531,2491,4857,6531,5803,2
11455,12758,12975,12903,10386,10386,11511,11455,1949,1908,3753,2990,668,1164,2990,456,2
9869,11153,11287,11195,10214,10214,10081,9869,2541,107,2926,3033,2578,3164,3033,174,2
11464,12774,13015,12835,11481,11481,11520,11464,5660,11209,4051,2125,701,532,2125,3579,2
10971,12051,12439,12243,10312,10312,11032,10971,6877,2056,4528,3162,1337,2377,3162,1128,2
10338,11473,11990,11345,10895,10895,10349,10338,8432,11482,3667,2615,2254,2448,2615,1200,2
10721,12082,12743,11048,11921,11921,10757,10721,6263,4966,2589,1603,2552,803,1603,1168,2
10728,11973,12163,11910,10374,10374,10738,10728,4854,10633,3265,3239,1590,2671,3239,4746,2
9713,10403,10997,10880,10275,10275,9753,9713,8441,5657,5949,3292,2647,3422,3292,3180,2
9658,10348,10363,11378,8558,8558,9709,9658,11475,4989,6020,4833,2183,4102,4833,1562,2
9850,11002,10713,11559,8837,8837,9975,9850,1318,625,3522,4443,2112,3888,4443,554,2
9703,10394,10538,11315,8997,8997,9810,9703,5981,1215,5964,4437,2257,3952,4437,1573,2
10200,10939,10352,12305,6024,6024,10242,10200,11080,4463,6095,7399,1226,4551,7399,3406,2
9740,10488,10759,11126,9600,9600,9752,9740,11498,10575,5549,3963,2376,3747,3963,3784,2
9618,10707,10704,10886,9890,9890,9636,9618,2160,8046,3574,3665,2620,3678,3665,3893,2
10158,11417,12138,10708,11603,11603,10230,10158,4861,1978,2992,1975,2822,1823,1975,3614,2
11417,12695,12906,12875,9913,9913,11488,11417,7957,202,3716,3366,713,1653,3366,289,2
11425,12690,12948,12780,10795,10795,11475,11425,927,5140,4084,2787,763,1194,2787,3458,2
9617,11067,11620,10283,11621,11621,9637,9617,11455,7907,2142,1956,3268,2201,1956,3365,2
9478,10912,11509,10178,11639,11639,9530,9478,1392,3230,2202,1939,3382,2243,1939,2866,2
10757,11658,12106,12014,10106,10106,10767,10757,5990,10839,5382,3524,1476,2866,3524,7090,2
10219,11275,10844,12040,7890,7890,10253,10219,5420,7084,4094,5551,1502,4082,5551,2868,2
10728,11973,12163,11910,10374,10374,10738,10728,4854,10633,3265,3239,1590,2671,3239,4746,2
10882,12148,12442,12024,10704,10704,10925,10882,10411,3851,3124,2830,1546,2189,2830,1687,2
10041,11278,11908,10942,11173,11173,10198,10041,1894,341,3148,2212,2781,2232,2212,227,2
9248,10235,10821,10177,11170,11170,9273,9248,10646,12361,3902,2460,3356,3088,2460,5343,2
11482,12801,12982,13013,8312,8312,11540,11482,1807,3557,4387,5089,531,1951,5089,2007,2
11113,12272,12465,12505,9784,9784,11145,11113,7240,9254,4085,3724,1045,2624,3724,2523,2
9562,10305,10377,11072,9127,9127,9580,9562,1151,8886,5497,4407,2436,4000,4407,3649,2
11461,12762,12996,12880,11000,11000,11518,11461,12788,10336,4469,2579,671,794,2579,2502,2
8528,9465,9120,9980,9324,9324,8643,8528,3091,513,3534,4117,3642,4400,4117,1393,2
10697,11735,12587,11242,11676,11676,10708,10697,13076,12788,4397,1932,2248,1333,1932,5229,2
11049,12229,12664,12237,10829,10829,11146,11049,2478,340,3744,2542,1463,1725,2542,249,2
10973,12210,12642,11952,11151,11151,11019,10973,1446,3625,3351,2373,1635,1639,2373,1363,2
8990,10301,10071,10139,10487,10487,9051,8990,10727,2859,1899,3096,3410,3742,3096,3328,2
10579,11421,11757,12039,9489,9489,10651,10579,9307,1781,5372,3901,1563,3284,3901,1091,2
10266,11396,11933,11211,10950,10950,10293,10266,12440,9012,3657,2618,2327,2513,2618,2482,2
10882,12148,12442,12024,10704,10704,10925,10882,10411,3851,3124,2830,1546,2189,2830,1687,2
11164,12097,12323,12677,8744,8744,11193,11164,13229,12504,6541,4828,852,3232,4828,5301,2
9570,10544,10725,10815,10055,10055,9603,9570,4656,5271,4099,3474,2729,3597,3474,2472,2
11310,12569,12934,12222,11698,11698,11340,11310,2117,13422,3513,1940,1236,754,1940,12573,2
9763,10384,10114,11703,7329,7329,9764,9763,8657,12421,6504,6241,1790,4433,6241,6010,2
10327,11712,12266,11123,11416,11416,10459,10327,10734,441,2546,2021,2615,1758,2021,233,2
10052,11217,11994,10721,11503,11503,10100,10052,9828,3545,3417,2057,2873,1996,2057,1448,2
11469,12790,13004,12890,11107,11107,11524,11469,850,9022,3215,2527,649,697,2527,6055,2
10104,11335,11527,11335,10313,10313,10241,10104,5815,440,3131,3146,2279,3098,3146,973,2
10113,11117,11821,11101,10930,10930,10207,10113,1486,1421,4284,2530,2564,2534,2530,571,2
11068,12222,12180,12641,8551,8551,11090,11068,12411,11017,3986,4744,942,3305,4744,837,2
8779,9779,10154,9556,11347,11347,8798,8779,12147,10363,3290,2318,3965,3343,2318,8674,2
8801,9697,9744,9988,10331,10331,8838,8801,3443,5333,3808,3171,3615,3898,3171,1569,2
9270,9942,9950,10814,8946,8946,9313,9270,4028,5976,6299,4609,2694,4194,4609,4359,2
8074,8970,8862,9185,10066,10066,8165,8074,12403,1808,3433,3380,4509,4343,3380,1107,2
10312,11239,11758,11464,10424,10424,10328,10312,3981,10871,4856,3145,2065,2929,3145,2883,2
11145,12206,12690,12288,10823,10823,11152,11145,6737,13453,5082,2788,1224,1839,2788,4737,2
9093,9910,9878,10468,9541,9541,9120,9093,9826,9536,4707,3962,3093,4073,3962,2509,2
9823,10700,11240,10864,10614,10614,9848,9823,8798,9936,4843,2997,2652,3172,2997,4124,2
9529,10925,11662,10086,11771,11771,9546,9529,7617,8847,2400,1833,3426,1989,1833,7032,2
10102,11599,12345,10390,11925,11925,10113,10102,571,11405,1974,1675,3115,1278,1675,7511,2
11292,12697,12978,12031,11972,11972,11381,11292,4577,238,1214,1538,1598,447,1538,817,2
11165,12252,12714,12334,10813,10813,11189,11165,13096,13467,4949,2798,1185,1801,2798,4882,2
10759,11817,12110,12109,9947,9947,10816,10759,8386,2389,4431,3512,1477,2856,3512,1524,2
9149,10130,10584,10179,10984,10984,9244,9149,9282,839,3793,2555,3423,3264,2555,1442,2
10206,11976,12640,10329,12225,12225,10342,10206,443,409,849,1261,3314,658,1261,638,2
11069,11931,12427,12436,9866,9866,11111,11069,4157,5401,6857,3673,1104,2650,3673,3298,2
10066,10964,11874,10971,11103,11103,10156,10066,12969,1644,4930,2335,2711,2339,2335,440,2
10916,11999,12625,11769,11339,11339,10921,10916,10661,12626,4410,2279,1744,1588,2279,4213,2
11085,12217,12578,12320,10508,10508,11103,11085,9891,12002,4216,3024,1238,2138,3024,2086,2
9785,11179,11569,10626,11198,11198,9869,9785,1034,1623,2387,2321,2989,2543,2321,1059,2
10468,11259,11890,11589,10447,10447,10449,10468,12866,13326,5790,3215,1884,2874,3215,7709,2
8977,9806,10309,10008,10929,10929,9053,8977,8549,1713,4496,2572,3631,3413,2572,1010,2
11375,12536,12722,12886,8693,8693,11438,11375,11192,811,5606,4695,673,2700,4695,1462,2
11242,12455,12879,12331,11341,11341,11313,11242,4760,961,3901,2156,1273,1075,2156,786,2
11427,12678,12958,12770,10957,10957,11478,11427,852,8330,4444,2612,779,1034,2612,2419,2
9901,10695,10600,11693,8315,8315,9966,9901,5307,2625,5408,4981,1910,4054,4981,1067,2
10913,11979,12092,12526,8867,8867,11021,10913,9656,425,4490,4247,1152,3200,4247,177,2
9880,11161,11872,10503,11561,11561,9917,9880,3342,6393,2929,2015,3048,2077,2015,2517,2
9722,10699,10954,11016,10024,10024,9785,9722,2692,3997,4257,3420,2587,3477,3420,1028,2
9751,10821,11245,10784,10723,10723,9813,9751,4052,2911,3768,2801,2789,3063,2801,1552,2
10564,11809,12552,11114,11697,11697,10650,10564,4362,1288,3187,1816,2554,1260,1816,510,2
10200,10939,10352,12305,6024,6024,10242,10200,11080,4463,6095,7399,1226,4551,7399,3406,2
11435,12735,13000,12619,11702,11702,11482,11435,13207,13383,3542,1904,905,515,1904,5376,2
9269,9978,10280,10691,9690,9690,9387,9269,8389,559,6052,3650,2965,3839,3650,563,2
9060,9455,8954,11264,5402,5402,9096,9060,8052,9093,8868,8168,2199,5318,8168,7826,2
9893,10766,11351,10947,10623,10623,9911,9893,8636,9538,4910,2949,2595,3091,2949,2598,2
9531,10271,10395,11028,9213,9213,9548,9531,7512,8548,5631,4252,2509,3960,4252,2249,2
10848,12188,12258,12132,10183,10183,10874,10848,745,10099,2698,3370,1424,2659,3370,2774,2
11451,12686,12891,12973,8816,8816,11508,11451,6981,4254,6089,4629,571,2265,4629,2020,2
9529,10412,10401,11078,9151,9151,9593,9529,12370,2770,4572,4242,2514,3955,4242,1259,2
9151,9778,9893,10551,9372,9372,9188,9151,12912,10368,6413,4198,2962,4122,4198,4618,2
10036,10894,11373,11240,10260,10260,10087,10036,13095,3887,5125,3295,2298,3239,3295,2847,2
10608,11612,12363,11403,11263,11263,10615,10608,12782,13105,4434,2332,2116,1929,2332,2815,2
9143,10205,10211,10360,10246,10246,9208,9143,5412,2416,3325,3322,3184,3759,3322,2953,2
10672,11858,12148,11903,10354,10354,10739,10672,5076,1206,3497,3081,1715,2610,3081,790,2
10249,11491,12222,10796,11605,11605,10282,10249,2425,7798,3200,1989,2717,1771,1989,4383,2
10429,11176,11073,12204,7862,7862,10461,10429,12347,4863,6069,5617,1319,4003,5617,3475,2
10624,11580,11828,12059,9554,9554,10633,10624,12398,11225,4720,3892,1520,3248,3892,1649,2
10604,11681,12436,11247,11514,11514,10614,10604,3603,12465,3975,2111,2239,1694,2111,5373,2
8620,9107,8969,10241,8314,8314,8620,8620,12667,13291,7297,5280,3276,4763,5280,6466,2
8300,9103,9440,9012,11114,11114,8417,8300,5766,458,4265,2408,4732,3719,2408,1184,2
9567,10496,10661,10938,9763,9763,9678,9567,3791,869,4310,3640,2683,3683,3640,939,2
11381,12734,12965,12531,11554,11554,11428,11381,497,5888,2011,2026,1016,713,2026,2427,2
8848,9752,9968,9861,10801,10801,8880,8848,8402,11283,3908,2840,3661,3680,2840,6825,2
11265,12623,12994,11812,12228,12228,11359,11265,3960,195,2260,1166,1953,307,1166,149,2
10933,11923,12705,11660,11564,11564,10945,10933,9018,11450,5162,2052,1855,1305,2052,4567,2
11220,12513,12845,12373,11171,11171,11301,11220,4699,471,2971,2256,1279,1208,2256,373,2
10571,11678,12339,11343,11296,11296,10599,10571,9032,6779,3762,2291,2179,1923,2291,3064,2
8163,9086,10041,7159,12042,12042,8262,8163,7493,846,3436,1465,6793,2477,1465,634,2
11417,12695,12906,12875,9913,9913,11488,11417,7957,202,3716,3366,713,1653,3366,289,2
10196,10901,10863,11959,8122,8122,10244,10196,5208,3518,6269,5336,1574,4024,5336,2701,2
10772,11920,12009,12145,9725,9725,10784,10772,6177,9217,3843,3878,1360,3115,3878,5869,2
10681,11896,12462,11526,11312,11312,10733,10681,8008,2267,3383,2184,2099,1712,2184,944,2
8659,9970,10881,8524,12101,12101,8767,8659,7643,658,1716,1383,5430,1826,1383,404,2
9974,11127,11050,11429,9501,9501,10062,9974,897,1532,3459,3916,2135,3609,3916,1359,2
10877,12109,12074,12356,9342,9342,10972,10877,6579,701,3313,4148,1200,3173,4148,2054,2
10789,11716,12045,12242,9529,9529,10849,10789,3817,2434,5290,3855,1339,3086,3855,1068,2
9514,10833,11613,10228,11659,11659,9655,9514,11115,534,2669,1875,3404,2074,1875,795,2
8958,9887,10307,9952,11003,11003,9028,8958,3067,2020,3788,2531,3664,3392,2531,1316,2
9713,10403,10997,10880,10275,10275,9753,9713,8441,5657,5949,3292,2647,3422,3292,3180,2
9987,10792,10846,11686,8765,8765,10122,9987,5790,433,5403,4531,1948,3861,4531,676,2
11051,12132,12366,12452,9703,9703,11081,11051,1421,6586,4511,3819,1098,2773,3819,2918,2
10087,11035,11246,11494,9716,9716,10193,10087,10622,1045,4619,3709,2100,3453,3709,1202,2
11222,12403,12768,12451,10788,10788,11263,11222,13460,9122,4149,2738,1118,1680,2738,1845,2
9994,10618,11446,11015,10620,10620,9972,9994,1692,13468,6575,3005,2462,3069,3005,4741,2
10432,11709,12623,10667,11978,11978,10517,10432,2103,1417,2986,1534,2950,880,1534,935,2
9381,10733,11391,10053,11687,11687,9432,9381,3391,4717,2487,1927,3491,2276,1927,5280,2
10678,11969,12248,11786,10711,10711,10745,10678,4204,1207,2953,2776,1820,2350,2776,1063,2
11322,12684,13003,11828,12339,12339,11384,11322,1526,1495,1852,1123,1823,271,1123,538,2
9961,11225,11578,10964,10821,10821,10060,9961,8932,1218,3010,2668,2653,2757,2668,1018,2
10147,11409,11731,11164,10772,10772,10163,10147,12867,9799,2985,2758,2403,2735,2758,1901,2
10695,11891,12421,11711,11055,11055,10780,10695,7654,851,3501,2380,1972,1892,2380,410,2
9239,10555,11311,9894,11731,11731,9267,9239,7328,11960,2425,1814,3728,2182,1814,1490,2
8969,10066,9661,10427,9282,9282,9075,8969,7663,628,2950,4075,3177,4166,4075,766,2
9782,10532,11421,10705,10986,10986,9794,9782,2867,11590,5538,2571,2868,2796,2571,1884,2
11360,12625,12954,12555,11454,11454,11421,11360,12166,1168,3809,2050,1054,767,2050,486,2
10522,11850,12054,11521,10755,10755,10561,10522,7603,5555,2831,2915,1933,2593,2915,8791,2
10540,11218,11209,12289,7872,7872,10608,10540,4498,2250,6699,5579,1246,3950,5579,3000,2
9938,11408,12199,10375,11863,11863,9991,9938,5214,3628,2063,1690,3218,1403,1690,1155,2
10253,11325,12046,11074,11204,11204,10272,10253,4625,11370,3978,2347,2485,2216,2347,1832,2
