Alcohol,Malicacid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,0D280_0D315_of_diluted_wines,Proline,class
31,12,7,39,1,44,57,10,20,61,57,106,35,1
73,4,37,22,30,60,35,32,1,28,47,30,68,1
24,13,3,21,51,32,34,1,93,21,70,79,63,1
27,35,24,41,24,1,28,19,45,26,35,26,78,1
103,29,63,56,7,79,94,5,70,34,73,85,17,1
80,39,27,54,8,33,53,10,19,40,43,63,29,1
57,40,58,62,50,90,96,5,74,33,71,107,86,1
16,9,33,45,22,91,64,0,56,29,44,83,81,1
9,55,7,13,18,19,43,17,26,41,66,38,21,1
58,2,2,13,7,38,59,7,45,60,63,49,14,1
14,87,26,29,32,25,37,24,15,17,41,52,33,1
28,6,9,8,49,35,54,18,95,35,51,44,68,1
44,110,41,51,22,74,82,24,73,14,63,83,25,1
17,3,12,35,7,55,70,13,42,13,74,82,0,1
45,51,23,33,7,46,81,9,64,44,60,84,62,1
20,11,50,54,1,40,44,21,39,9,71,58,51,1
59,109,35,49,6,22,45,36,53,63,28,33,36,1
14,1,56,29,15,46,67,6,89,26,24,80,37,1
42,5,27,29,20,46,56,13,45,16,66,85,24,1
21,35,34,50,11,28,49,24,50,12,72,41,32,1
8,40,60,58,9,36,47,21,34,15,73,90,41,1
7,64,47,47,5,38,49,28,35,20,45,61,58,1
20,18,33,53,0,46,45,23,38,1,52,90,50,1
20,52,35,31,3,18,42,30,55,11,53,42,30,1
17,29,43,48,7,11,33,29,54,38,50,55,24,1
43,31,29,43,2,7,41,34,53,26,41,35,32,1
27,86,25,29,9,56,69,8,77,8,59,94,1,1
6,61,31,29,19,83,70,2,35,30,60,74,6,1
35,30,23,35,52,59,71,15,99,15,60,54,84,1
12,66,69,46,48,18,27,1,50,13,40,41,50,1
27,23,10,13,6,61,78,12,64,22,66,60,21,1
31,8,15,31,9,94,129,7,73,59,49,62,54,1
27,93,24,29,9,75,103,26,96,10,75,66,15,1
20,65,1,26,18,48,65,9,39,32,69,74,61,1
40,19,6,31,9,11,38,12,35,12,49,62,41,1
29,75,47,45,19,62,62,17,33,20,25,100,23,1
13,44,5,38,7,59,48,19,41,5,39,46,18,1
36,45,10,42,6,46,55,15,46,23,49,112,55,1
32,78,30,48,11,23,53,38,41,18,30,94,3,1
26,45,16,35,2,22,59,19,54,35,45,86,35,1
45,46,31,49,5,7,51,28,54,32,32,45,31,1
25,17,8,35,13,52,60,20,81,18,30,76,2,1
5,20,66,40,15,71,99,12,92,17,41,92,58,1
3,105,4,38,28,86,83,7,100,22,20,64,41,1
37,74,21,45,9,61,71,9,27,4,34,63,4,1
10,83,76,40,24,27,59,35,21,41,66,50,47,1
1,0,49,45,9,58,58,23,43,27,55,44,22,1
20,22,49,49,5,62,72,24,20,22,38,88,13,1
0,29,23,46,6,57,65,30,78,2,77,69,16,1
13,26,11,44,7,39,46,13,47,3,40,96,32,1
32,35,22,49,29,40,61,17,52,5,51,74,6,1
46,99,10,13,2,21,33,24,10,35,16,37,10,1
17,99,12,35,8,40,48,19,70,0,38,78,42,1
2,73,43,40,17,78,93,15,67,30,25,101,50,1
4,63,78,61,38,86,131,27,70,88,38,117,26,1
32,123,68,59,23,46,63,24,61,6,37,82,9,1
59,132,17,46,7,65,87,13,78,15,18,81,12,1
15,121,40,45,4,76,105,5,97,20,20,116,12,1
19,69,21,45,6,63,87,19,35,19,30,93,11,1
33,31,32,46,7,71,110,20,64,46,15,67,7,1
11,67,71,61,13,45,68,34,63,25,42,46,27,1
31,36,33,55,9,47,77,21,71,7,33,63,5,1
18,120,39,48,2,43,50,23,35,15,24,53,44,1
52,20,35,29,41,14,33,5,14,49,21,1,51,2
54,89,41,40,25,5,32,7,10,75,19,5,38,2
48,70,41,54,19,2,29,10,10,84,12,4,40,2
44,101,37,46,27,24,31,2,11,66,23,1,46,2
36,15,28,26,6,40,10,35,29,77,20,8,53,2
40,76,23,31,15,20,15,37,14,101,18,11,60,2
26,126,53,45,10,7,1,31,8,43,20,0,64,2
38,130,61,56,17,29,11,37,23,66,27,19,36,2
80,103,22,38,9,20,2,34,13,84,26,26,44,2
50,88,59,54,22,50,11,31,9,65,33,39,45,2
55,85,66,45,17,15,4,31,7,60,22,44,46,2
74,79,36,40,10,9,4,19,4,80,16,48,71,2
83,93,67,52,18,16,6,29,2,54,33,35,37,2
86,127,36,40,13,40,22,27,18,57,36,34,39,2
26,111,23,31,32,7,21,12,25,111,11,32,77,2
63,102,19,45,23,13,7,24,32,48,7,18,73,2
105,128,26,40,2,0,0,21,5,64,5,3,18,2
53,125,48,46,7,24,14,27,12,107,1,28,50,2
72,94,39,46,13,37,20,26,29,112,2,14,53,2
61,112,37,46,33,10,39,17,25,121,4,3,39,2
81,92,60,54,42,9,43,6,29,114,6,2,33,2
47,82,48,48,32,12,38,7,30,129,0,6,30,2
62,57,70,57,35,46,34,9,50,101,8,3,20,2
66,97,31,31,19,30,23,36,70,127,3,8,56,2
39,17,15,40,24,12,10,31,39,106,5,9,52,2
64,129,35,48,14,26,13,36,49,110,7,7,65,2
102,118,39,38,10,30,23,28,50,118,4,16,30,2
34,90,61,60,18,35,10,37,25,105,13,21,79,2
120,41,66,56,19,73,36,31,94,131,4,31,54,2
79,40,61,49,10,63,30,30,87,130,4,24,49,2
30,107,39,45,9,49,25,29,20,107,3,11,37,2
91,95,53,40,28,31,8,29,8,87,41,26,58,2
51,96,56,48,27,22,11,35,16,79,31,36,43,2
56,100,36,31,27,8,18,21,14,73,14,23,56,2
99,84,33,48,11,6,16,22,19,122,16,18,48,2
94,122,29,49,9,4,1,30,26,96,23,23,37,2
78,104,58,51,31,24,25,24,45,128,29,10,60,2
49,98,33,38,9,12,15,21,17,126,17,23,59,2
85,80,65,55,26,16,24,20,48,115,19,25,68,2
76,124,74,56,32,39,26,10,24,113,13,29,51,2
23,90,35,35,17,3,3,21,6,78,12,27,35,2
46,72,31,38,7,8,5,28,4,124,4,15,28,2
113,77,48,40,12,23,18,25,28,123,9,20,54,2
92,131,46,42,16,23,12,30,22,108,10,22,67,2
76,113,48,51,23,30,19,24,40,104,16,10,68,2
68,119,29,40,39,17,17,24,35,125,6,10,74,2
64,81,38,40,39,22,16,31,45,120,7,14,75,2
112,117,69,55,17,42,20,33,35,119,8,13,40,2
