Sequence_Name,mcg,gvh,alm,mit,erl,pox,vac,nuc,target
214,30,28,16,30,0,0,28,14,6
215,41,42,22,34,0,0,32,11,6
213,26,16,40,9,0,0,20,8,6
212,33,31,23,42,0,0,32,8,6
1379,26,43,19,62,0,0,26,12,6
203,43,46,12,19,0,0,31,8,6
204,36,62,16,31,0,0,31,8,6
205,34,37,38,48,0,0,28,8,6
210,33,45,21,53,0,0,16,8,6
211,34,26,22,47,0,0,22,8,6
206,34,25,34,66,0,0,30,8,6
207,21,43,22,48,0,0,24,8,6
208,39,30,23,51,0,0,30,8,6
209,51,53,24,26,0,0,26,8,6
130,37,36,24,25,0,0,28,8,0
131,19,51,27,18,0,0,34,11,0
237,36,25,38,9,0,0,35,8,0
234,61,64,36,20,0,0,28,8,2
235,31,31,37,46,0,0,36,8,6
238,57,68,21,27,0,0,35,8,3
236,62,59,36,22,1,0,33,8,1
146,54,50,32,25,0,0,40,26,9
217,31,39,15,11,0,0,30,8,5
218,40,37,26,14,0,0,26,8,7
832,41,26,37,21,0,0,20,8,0
833,40,26,36,18,0,0,22,8,0
219,42,41,23,9,0,0,31,8,7
220,37,23,44,22,0,0,23,8,7
1432,18,21,32,8,0,0,16,7,7
221,53,46,16,24,0,0,32,8,4
134,21,38,38,16,0,1,22,8,8
138,25,30,31,14,0,0,31,11,7
222,15,31,32,49,0,0,30,20,7
224,20,22,11,11,0,0,37,17,5
178,66,63,27,20,0,0,26,8,2
179,66,60,32,20,0,0,26,8,2
135,25,36,36,12,0,0,25,13,0
640,22,36,50,14,0,0,35,8,0
640,22,36,50,14,0,0,35,8,0
227,37,29,29,30,0,0,32,8,6
230,30,39,48,12,0,0,39,8,6
231,24,41,26,11,0,0,27,8,6
168,37,38,38,10,0,0,29,8,6
232,26,42,49,19,0,0,37,8,6
913,29,12,35,33,0,0,32,5,0
226,4,11,30,11,0,0,33,30,0
239,35,38,33,11,0,0,31,8,0
225,28,53,23,48,0,0,32,27,6
240,11,24,44,8,0,0,24,8,6
244,39,27,12,27,0,0,32,8,5
245,18,27,8,20,0,0,33,8,5
572,28,38,30,20,0,2,31,8,8
241,43,43,34,18,0,0,34,19,7
242,23,13,24,9,0,0,21,8,7
243,40,28,32,13,0,0,30,8,7
247,20,53,16,5,0,0,33,11,9
248,11,21,38,30,0,0,17,17,7
249,19,25,37,19,0,0,27,23,7
250,26,17,28,18,0,0,31,8,7
251,7,5,31,17,0,0,24,8,7
252,39,39,34,19,0,0,30,23,7
257,20,9,27,13,0,0,31,8,7
258,22,33,37,19,0,0,26,8,0
287,64,31,28,12,0,0,33,8,0
286,44,41,25,17,0,0,30,24,7
263,25,9,32,23,0,0,21,8,7
267,31,50,32,59,0,0,33,22,6
269,27,24,32,11,0,0,27,8,7
271,34,36,30,6,0,0,28,11,7
272,37,46,30,18,0,0,35,16,7
273,38,27,19,13,0,0,32,8,4
1182,30,20,31,13,0,0,31,15,0
282,30,28,27,72,0,0,29,49,7
77,35,40,13,13,0,0,31,33,5
283,40,37,33,16,0,0,34,8,0
1228,45,15,37,9,0,0,29,13,7
284,21,38,24,20,0,0,27,8,7
285,67,43,11,1,0,0,33,8,4
294,23,30,31,15,0,0,34,8,0
297,36,39,28,18,0,0,28,16,0
302,19,24,35,8,0,0,28,8,7
83,20,34,8,19,0,0,32,17,5
304,62,55,10,20,0,0,33,8,3
305,39,31,31,8,0,0,32,34,0
306,29,41,32,29,0,0,37,8,0
307,29,41,31,29,0,0,37,8,0
308,13,28,18,12,0,0,33,8,5
310,36,60,15,11,0,0,26,8,5
311,55,41,17,24,0,0,32,8,4
312,42,45,21,9,0,0,35,8,5
1231,38,50,27,31,0,0,32,8,0
216,41,44,22,13,0,0,32,8,4
521,43,43,24,16,0,0,36,13,0
313,76,46,18,19,0,0,34,8,4
342,39,41,23,11,0,0,34,8,0
309,47,46,19,19,0,0,31,8,5
314,42,38,16,15,0,0,32,8,5
315,20,31,21,16,0,0,28,8,5
316,16,32,33,9,0,0,32,8,0
317,18,23,23,16,0,0,31,8,4
318,46,43,24,10,0,0,33,8,0
331,37,53,20,16,0,0,33,8,5
319,57,40,19,13,0,0,26,8,4
320,39,31,24,28,0,0,38,34,7
321,19,45,25,10,0,0,32,29,7
322,61,65,29,37,1,0,34,8,1
323,61,72,25,34,0,0,28,8,2
543,19,31,27,12,1,0,35,21,0
326,27,36,26,11,0,0,30,8,0
327,41,46,23,23,0,0,30,8,0
328,47,47,20,9,0,0,32,11,0
196,9,25,29,15,0,0,30,13,0
40,40,47,31,21,0,0,37,8,0
324,42,45,29,21,0,0,33,8,0
325,55,44,31,12,0,0,29,19,0
330,30,20,11,14,0,0,35,8,5
332,38,40,20,19,0,0,28,8,5
333,23,29,6,9,0,0,26,13,5
334,17,29,27,5,0,0,28,35,7
339,65,67,19,33,0,0,19,8,2
341,53,45,29,10,0,2,32,8,8
1230,30,33,22,18,0,0,35,8,8
338,19,21,35,14,0,0,32,8,0
336,58,57,25,22,0,0,37,8,3
337,38,42,30,16,0,0,39,53,7
343,26,37,18,14,0,0,30,12,5
344,75,62,12,44,0,0,32,17,3
1438,65,75,17,38,0,0,33,8,4
1184,29,25,34,11,0,0,34,8,0
1185,31,32,36,13,0,0,29,14,0
346,25,24,29,49,0,0,29,8,0
345,21,19,10,19,0,0,36,8,5
347,53,45,28,28,0,0,35,8,0
348,19,41,14,27,0,0,33,11,5
349,68,51,14,71,0,0,29,36,3
350,35,43,32,26,0,0,33,8,0
351,21,28,40,24,0,0,28,8,7
357,39,51,35,29,0,0,37,20,0
358,32,20,20,18,0,0,37,8,0
363,46,43,30,12,0,0,32,15,0
364,40,44,31,13,0,0,6,28,7
359,28,36,15,12,0,0,31,8,5
360,28,29,27,12,0,0,26,13,7
361,34,35,26,14,0,0,27,12,0
362,44,45,27,27,0,0,33,8,7
365,33,31,12,18,0,0,35,8,5
366,19,53,35,37,0,0,33,22,7
367,54,54,21,30,0,0,38,8,3
371,7,15,36,19,0,0,28,13,7
292,29,27,30,17,0,0,30,11,0
466,35,20,24,12,0,0,31,28,0
290,26,24,25,10,0,0,30,13,0
291,16,23,30,17,0,0,32,14,0
289,43,50,30,27,0,0,26,17,0
372,25,37,19,8,0,0,34,21,0
373,21,18,28,9,0,0,31,40,0
288,29,41,27,14,0,0,32,8,0
374,40,39,37,11,0,0,32,13,7
375,15,16,32,15,0,0,32,15,7
376,11,36,25,32,0,0,29,14,7
377,38,41,35,15,0,0,25,11,7
378,1,23,23,6,0,0,34,13,7
379,27,36,32,12,0,0,25,12,7
380,44,25,37,15,0,0,28,8,0
381,75,54,35,42,0,0,36,8,4
262,22,32,31,9,0,0,28,8,0
261,43,28,30,16,0,0,35,13,0
382,48,38,23,10,0,0,33,8,0
383,33,16,12,10,0,0,32,8,5
384,36,36,29,9,0,0,31,26,0
385,33,28,26,12,0,0,35,11,0
757,33,32,30,13,0,0,33,14,0
449,32,24,27,15,0,0,31,8,0
387,28,19,33,15,0,0,32,8,0
386,27,39,36,13,0,0,30,22,7
1198,33,27,32,14,0,0,30,22,0
388,18,51,29,13,0,0,27,19,7
390,4,19,11,7,0,0,28,17,5
1,58,38,28,5,0,0,35,17,0
393,53,33,16,12,0,0,35,8,4
368,14,35,25,8,0,0,26,8,0
394,28,36,26,35,0,0,32,8,0
737,15,30,28,14,0,0,29,8,0
745,39,26,34,18,0,0,32,8,0
734,24,19,30,14,0,0,27,37,7
1188,24,33,28,14,0,0,34,36,0
399,42,33,34,7,0,0,26,11,7
400,42,33,34,9,0,0,26,11,7
1294,42,30,26,21,0,0,32,23,0
1295,42,26,29,23,0,0,31,23,0
401,25,45,31,26,0,0,27,29,7
395,53,35,27,39,0,0,29,8,6
410,22,34,39,10,0,0,34,8,0
233,44,33,22,49,0,0,34,49,7
411,31,34,41,14,0,0,11,12,7
412,12,36,33,8,0,0,26,8,7
413,40,42,41,36,1,0,39,26,7
414,5,23,27,13,0,0,31,31,0
415,30,42,35,12,0,0,32,12,7
416,27,27,32,19,0,0,37,19,7
417,41,44,28,55,0,0,33,8,6
256,32,19,25,11,0,0,27,12,0
420,19,25,31,15,0,0,22,24,0
421,31,30,31,59,0,0,26,8,6
418,37,28,25,12,0,0,38,8,0
419,30,30,34,13,0,0,36,8,0
422,28,27,40,11,0,0,35,23,7
409,21,19,36,21,0,0,24,5,7
409,21,19,36,21,0,0,24,5,7
408,23,24,33,49,0,0,17,4,7
408,23,24,33,49,0,0,17,4,7
423,32,31,16,26,0,0,33,8,5
424,32,42,28,6,0,0,32,28,7
425,45,42,23,18,0,0,30,28,7
426,40,29,34,16,0,0,34,8,0
427,35,48,8,32,0,0,33,13,5
428,37,53,12,39,0,0,34,13,5
573,21,7,42,32,0,0,27,8,7
574,35,33,36,19,0,0,30,14,7
639,33,22,37,14,0,0,31,8,7
574,35,33,36,19,0,0,30,14,7
430,37,38,31,14,0,0,29,23,7
429,13,53,25,23,0,0,27,23,7
431,34,30,27,12,0,0,35,29,7
458,17,13,9,21,0,0,33,8,5
1421,69,70,8,28,0,0,35,28,3
432,27,24,29,25,0,0,20,8,7
444,45,39,27,13,0,0,34,28,0
445,18,20,39,16,0,0,32,11,7
177,39,38,34,26,0,0,28,8,6
402,50,47,30,14,0,0,29,8,0
433,28,26,36,17,0,0,37,11,0
434,21,47,12,22,0,0,31,8,5
435,29,41,29,61,0,0,34,8,6
446,22,31,30,69,0,0,30,12,6
443,45,39,27,16,0,0,34,33,0
404,28,38,30,34,0,0,30,8,7
405,28,38,30,34,0,0,30,8,7
406,16,19,39,14,0,0,32,18,7
407,18,19,39,15,0,0,32,18,7
1189,35,53,27,56,0,0,34,13,6
447,25,15,27,25,0,0,34,8,0
448,25,28,28,25,0,0,30,8,0
450,14,35,12,23,0,0,31,8,5
451,33,25,12,23,0,0,30,8,5
452,18,25,8,20,0,0,31,8,5
453,27,29,8,15,0,0,31,8,5
454,27,30,15,9,0,0,28,8,5
455,29,42,8,14,0,0,31,8,5
456,29,42,8,14,0,0,31,8,5
457,26,29,11,14,0,0,34,13,5
10,36,35,31,7,0,0,28,8,8
460,37,41,27,43,0,0,32,8,6
461,29,39,32,59,0,0,33,8,6
487,35,28,41,15,0,0,32,8,0
462,35,37,26,47,0,0,31,8,6
467,39,34,28,43,0,0,32,11,6
1190,34,31,30,13,0,0,32,12,0
1229,34,38,23,41,0,0,29,8,6
476,29,44,31,68,0,0,27,11,6
475,41,46,33,64,0,0,28,8,6
477,38,30,40,10,0,0,32,12,7
478,51,36,31,25,0,0,31,8,6
479,19,34,25,19,0,0,30,14,6
459,31,48,44,42,0,0,17,2,6
480,35,19,21,15,0,0,28,11,0
481,40,30,37,11,0,0,31,12,7
482,29,23,37,15,0,0,24,31,7
489,27,36,38,22,0,0,35,8,0
490,31,44,21,10,0,0,36,16,5
491,24,30,20,14,0,0,34,12,5
492,73,66,14,67,0,0,35,49,3
493,42,40,30,19,0,0,24,8,6
494,43,42,24,11,0,0,32,8,6
495,33,26,10,18,0,0,30,18,5
496,19,38,13,30,0,0,30,18,5
497,26,17,39,10,0,0,2,13,7
1414,34,31,20,29,0,0,36,41,5
1415,52,35,21,24,0,0,41,8,4
1416,34,30,27,27,0,0,27,26,7
14,30,26,28,41,0,0,33,8,6
1417,16,21,12,16,0,0,35,12,5
1418,24,36,20,10,0,0,25,11,5
1419,54,58,15,34,0,0,28,17,3
1420,65,61,10,34,0,0,31,8,4
1422,49,46,17,27,0,0,37,14,5
1423,31,28,13,29,0,0,34,8,5
498,26,10,38,11,0,0,25,8,0
507,7,19,19,25,0,0,30,13,7
397,69,41,11,35,1,0,35,11,1
508,18,16,38,34,0,0,30,16,7
514,43,38,25,23,0,0,33,17,7
515,51,48,12,38,0,0,40,19,3
516,54,58,16,33,0,0,34,8,3
688,38,36,32,49,0,0,27,11,6
689,37,35,32,53,0,0,29,27,6
517,68,48,16,20,0,0,33,8,2
518,73,62,14,31,0,0,24,8,2
522,32,28,23,14,0,0,28,23,5
523,20,20,25,19,0,0,24,17,5
519,41,34,26,13,0,0,31,8,7
524,27,37,31,49,1,0,29,8,0
525,22,34,32,77,0,0,30,13,0
1099,27,17,34,24,0,0,27,13,7
528,68,72,23,51,0,0,9,8,3
527,11,41,34,15,0,0,32,8,0
529,73,67,38,46,0,0,35,8,4
530,70,76,28,34,1,0,33,18,1
531,21,40,7,29,0,0,31,8,5
532,71,68,35,33,0,0,16,8,2
1191,27,30,32,11,0,0,30,17,0
533,36,33,32,25,0,0,34,8,7
535,61,45,20,30,0,0,37,8,4
536,60,59,34,31,0,0,31,16,4
537,42,61,18,34,0,0,34,16,4
538,77,45,11,46,0,0,34,8,4
627,20,29,35,15,0,0,22,8,6
539,26,36,17,19,0,0,29,12,5
111,36,33,36,52,0,0,28,8,0
45,26,17,26,13,0,0,35,8,9
540,27,23,29,21,0,0,26,19,7
690,32,42,30,58,0,0,31,8,6
541,67,38,30,17,0,0,28,11,4
542,20,19,24,16,0,0,32,8,4
545,35,28,25,16,0,0,32,23,0
546,38,39,27,11,0,0,36,8,0
547,28,26,22,10,0,0,29,28,7
544,36,47,32,16,0,0,30,8,6
548,30,25,16,15,0,0,29,8,5
549,52,35,33,62,0,0,26,17,6
551,37,29,25,19,0,0,33,8,7
268,32,33,28,44,0,0,35,8,6
553,30,1,14,18,0,0,30,11,5
554,34,30,26,14,0,0,30,12,0
552,28,38,21,14,0,0,34,61,7
555,30,32,24,13,0,0,31,8,0
562,36,34,35,54,0,0,31,8,7
563,46,49,34,17,0,0,28,19,7
564,30,17,36,14,0,0,41,11,7
603,62,33,25,27,0,0,33,33,4
604,33,47,43,15,0,0,26,29,7
565,34,19,40,16,0,0,37,8,0
559,23,22,11,20,0,0,33,12,5
558,23,22,34,12,0,0,30,13,0
557,17,22,32,25,0,0,33,13,7
561,23,22,11,20,0,0,32,12,5
560,17,23,31,23,0,0,32,13,7
46,32,36,35,21,0,0,30,8,0
616,34,47,32,63,0,0,29,8,6
615,31,39,32,45,0,0,33,12,6
694,56,43,20,25,0,0,28,8,6
570,25,26,29,16,0,0,37,8,6
696,65,50,30,38,0,0,37,12,6
575,34,34,30,17,0,0,23,38,7
577,2,33,24,9,0,0,0,11,7
578,10,23,30,33,0,0,28,42,7
579,37,36,29,8,0,0,29,27,7
582,42,34,28,38,0,0,37,8,6
581,46,45,25,13,0,0,33,8,0
583,52,43,29,16,0,2,34,8,8
584,24,37,31,49,0,0,31,8,6
585,35,32,19,41,0,0,30,8,5
586,56,41,18,23,0,0,31,12,4
587,33,29,23,19,0,0,31,8,0
580,16,32,33,22,0,0,29,8,6
588,30,42,30,25,0,0,32,8,7
299,37,33,23,41,0,0,29,13,6
300,33,33,24,60,0,0,32,8,6
589,54,38,20,19,0,0,31,14,7
39,52,53,27,12,0,0,33,8,2
590,31,45,13,18,0,0,32,8,5
591,39,34,23,15,0,0,29,8,7
592,24,38,39,18,0,0,28,19,7
1195,41,29,20,17,0,0,34,8,0
593,24,32,26,15,0,0,26,8,0
637,18,39,32,10,0,0,32,8,0
638,27,68,33,17,0,0,27,26,7
594,39,50,28,25,0,0,35,8,7
595,13,31,32,24,0,0,29,8,0
596,30,27,38,18,0,0,20,8,2
597,64,66,33,32,0,0,22,8,2
598,63,59,27,30,0,0,28,8,2
398,29,33,41,64,0,0,28,8,6
599,50,37,30,41,0,0,36,13,6
556,34,34,37,44,0,0,29,22,6
600,38,37,32,17,0,0,35,11,7
601,21,16,31,13,0,0,33,30,7
602,27,24,37,10,0,0,21,29,7
279,32,32,32,52,0,0,31,51,6
612,44,44,23,20,0,0,35,8,6
116,29,58,25,62,0,0,34,29,6
605,50,39,27,13,0,0,34,22,7
606,30,40,39,10,0,0,27,8,0
571,26,35,31,19,0,2,30,8,8
607,50,51,10,51,0,0,31,8,4
608,58,41,13,33,0,0,31,11,4
609,73,37,19,23,0,0,32,17,4
610,51,36,32,18,0,0,23,16,6
611,42,31,24,31,0,0,30,29,7
613,24,53,28,74,0,0,24,22,6
614,43,42,21,23,0,0,31,8,6
617,23,15,34,9,0,0,33,24,7
885,44,47,32,37,0,0,30,8,6
1013,20,25,31,45,0,0,28,8,6
1019,35,27,34,35,0,0,26,8,6
1020,25,39,36,17,0,0,32,8,6
1014,41,25,40,27,0,0,28,2,6
952,36,35,37,28,0,0,30,8,6
1015,26,38,31,61,0,0,27,8,6
954,34,31,42,33,0,0,29,8,6
936,44,36,38,35,0,2,32,10,6
1017,29,23,42,11,0,0,34,8,6
941,44,42,42,49,0,0,27,14,6
942,37,27,36,26,0,0,30,8,6
943,25,37,31,38,0,0,19,19,6
944,29,28,41,37,0,0,39,2,6
945,28,29,45,32,0,0,28,12,6
946,42,37,39,30,0,0,18,2,6
947,41,46,33,24,0,0,24,7,6
948,41,43,36,32,0,0,29,8,6
949,48,49,34,18,0,0,30,8,6
950,40,35,39,46,0,0,26,14,6
951,44,31,37,13,0,0,29,8,6
937,20,23,34,41,0,0,28,8,6
953,37,37,39,32,0,0,30,8,6
938,46,44,32,44,0,0,26,8,6
939,39,35,38,28,0,0,26,13,6
940,42,38,35,43,0,0,31,13,6
1021,49,38,33,49,0,0,27,13,6
1016,22,39,32,38,0,0,31,8,6
1018,42,38,28,50,0,0,27,17,6
619,45,31,29,34,0,0,31,8,6
620,39,44,25,61,0,0,34,19,6
621,38,49,28,10,0,0,29,8,6
622,24,59,27,13,0,0,31,8,6
626,60,61,13,24,0,0,24,8,3
1183,35,41,29,39,0,0,33,22,6
1186,27,17,28,26,0,0,30,8,6
628,33,29,23,52,0,0,28,8,6
629,16,30,22,17,0,0,35,19,7
630,35,45,29,23,0,0,34,8,7
631,33,31,20,43,0,0,35,8,7
1192,34,41,27,58,0,0,30,8,6
1196,35,33,29,40,0,0,29,8,6
632,36,23,40,9,0,0,21,14,7
633,37,25,35,9,0,0,33,18,7
634,35,41,40,21,0,0,32,37,7
635,47,45,28,24,0,0,35,8,6
1199,30,29,31,28,0,0,28,8,6
636,42,42,32,65,0,0,34,8,6
623,45,44,25,46,0,0,34,8,6
624,47,32,34,9,0,0,30,8,6
625,39,38,32,37,0,0,28,8,6
1202,25,32,36,59,0,0,30,8,6
1204,28,38,31,34,0,0,31,8,6
641,41,25,26,21,0,0,35,8,0
642,30,31,34,9,0,0,35,8,6
1025,31,31,33,25,0,0,24,32,7
1433,23,20,27,14,0,0,29,8,7
643,42,23,18,18,0,0,30,8,0
644,37,26,28,21,1,0,27,8,0
645,27,25,28,15,0,0,30,14,0
1447,25,44,24,16,0,0,16,8,2
1448,42,41,30,22,0,0,37,21,7
1449,35,50,31,16,0,0,29,8,2
1450,65,64,10,34,0,0,21,8,3
1451,28,26,7,18,0,0,29,8,5
648,33,45,33,14,0,0,24,8,0
649,40,48,30,17,0,0,14,12,7
650,26,13,35,15,0,0,22,8,7
651,35,31,32,38,0,0,33,8,6
1194,44,36,30,42,0,0,30,13,6
652,21,26,23,11,0,0,27,8,0
653,21,36,35,37,0,0,28,13,6
654,20,24,33,23,0,0,29,8,7
655,34,21,31,38,0,0,35,22,0
656,43,43,17,49,0,0,30,17,0
658,62,48,31,10,0,0,34,8,4
659,31,44,15,28,0,0,31,22,7
136,32,47,30,27,0,0,31,23,7
660,37,46,29,46,0,0,34,13,6
661,32,39,31,57,0,0,33,17,7
22,17,31,31,26,0,0,30,41,7
662,20,29,29,14,0,0,40,6,7
663,23,19,46,27,0,0,30,15,7
664,0,26,45,10,0,0,25,15,7
665,24,38,22,15,0,0,34,17,7
666,31,35,33,16,0,0,42,8,0
667,19,35,22,24,0,0,31,8,0
668,20,15,28,16,0,0,35,16,7
669,33,29,29,15,0,0,32,13,0
329,19,29,32,23,0,0,32,12,7
670,27,13,31,31,0,0,35,43,7
672,17,33,33,13,0,0,33,61,7
