battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range(class)
875,1,16,0,1,0,11,9,76,1,2,785,648,1250,12,1,13,1,0,0,3
1054,0,21,1,4,0,45,2,119,3,7,346,237,510,6,5,18,0,0,1,1
799,1,23,1,4,1,36,6,34,2,20,396,210,333,3,7,18,1,0,0,0
2,0,7,1,5,1,6,3,31,2,13,165,544,976,6,0,10,1,0,0,1
340,1,9,1,0,1,55,5,34,7,3,245,689,1059,13,9,5,1,1,1,2
16,1,11,1,7,1,49,2,52,3,19,470,101,1457,11,1,2,1,0,1,3
336,0,0,0,1,1,39,9,63,6,6,436,418,1253,12,8,10,1,1,0,3
694,0,11,1,12,1,50,2,16,1,18,154,592,887,5,1,8,1,1,1,2
261,0,0,0,3,0,19,3,120,4,7,906,559,100,7,7,8,1,0,1,0
783,1,0,1,0,0,3,1,8,6,9,1003,919,1352,12,11,10,0,0,1,3
775,1,0,0,16,0,31,9,70,7,20,352,109,111,0,1,4,1,1,1,0
597,1,4,0,3,1,39,8,27,0,18,69,473,814,13,5,1,1,1,1,1
590,1,17,1,0,1,49,5,20,3,0,145,1047,1489,2,0,10,1,1,0,3
110,1,22,0,0,0,20,6,77,7,3,261,282,428,7,1,13,1,0,0,0
171,0,8,1,16,0,58,3,80,7,17,885,547,453,5,4,13,1,0,0,1
67,1,18,1,1,0,59,5,80,3,10,363,230,768,8,7,0,1,0,1,1
888,1,11,1,6,1,4,4,39,1,18,516,588,1309,1,5,2,1,1,0,3
214,0,15,1,16,1,9,2,7,5,17,293,166,1204,1,1,0,1,0,1,2
46,0,0,1,15,0,48,2,79,1,20,1033,819,784,13,12,9,1,1,0,2
620,0,24,0,5,0,42,5,52,0,14,367,337,931,13,2,9,1,0,1,2
830,1,18,0,8,1,39,1,105,1,10,1106,1058,1274,13,10,17,1,1,0,3
552,1,0,1,5,1,3,1,72,1,19,580,155,678,10,0,2,1,1,0,1
838,0,5,0,5,1,32,0,86,2,7,723,707,583,10,12,12,1,1,0,1
512,1,23,0,1,1,18,7,30,1,14,1071,851,108,4,3,10,1,1,0,0
733,0,24,0,0,0,25,1,38,2,1,153,976,380,3,3,18,0,1,1,1
886,1,6,1,1,0,40,9,84,7,14,166,958,1378,5,5,1,1,0,0,3
403,1,13,1,3,1,38,7,116,6,10,24,202,843,11,12,10,1,0,1,1
58,1,21,1,2,1,55,1,82,7,8,822,688,430,10,3,3,1,0,1,0
74,0,16,1,9,0,62,7,31,7,15,726,1001,1230,11,13,8,0,0,0,3
758,1,25,1,2,1,12,6,118,2,19,830,988,745,0,0,13,1,0,1,2
911,0,9,1,5,0,61,7,47,7,19,1010,646,743,14,12,14,0,1,0,2
836,1,10,1,0,1,41,2,29,1,0,466,88,1178,7,5,8,1,1,0,3
697,0,14,1,1,1,14,2,22,2,10,815,572,513,12,8,10,1,0,1,1
419,1,0,1,0,0,49,4,65,6,0,585,222,1100,1,0,16,0,1,0,2
1045,0,16,1,10,1,44,5,24,2,20,567,391,964,9,7,11,1,0,0,2
240,1,22,1,13,0,58,4,68,7,19,681,700,281,9,11,15,1,1,1,0
358,0,8,1,0,1,59,3,27,2,9,495,235,1547,4,4,18,1,0,1,3
908,0,0,0,8,0,47,4,100,5,14,221,154,744,2,5,2,0,0,0,1
410,0,9,1,2,1,46,9,48,4,4,104,131,1101,10,13,7,1,1,1,2
711,0,25,0,3,0,10,5,54,2,5,746,338,521,9,4,18,1,1,0,1
220,1,18,0,1,1,61,7,64,7,6,304,342,71,10,6,4,1,1,1,0
477,1,7,1,0,1,48,7,79,1,0,271,35,96,2,0,13,1,1,0,0
883,0,15,0,15,1,53,4,88,1,18,628,623,783,9,2,3,1,1,1,2
150,0,21,1,2,1,7,6,61,2,3,431,791,1120,5,4,17,1,0,0,2
89,0,14,1,13,1,42,7,1,2,17,552,824,1284,13,8,11,1,1,0,3
628,1,0,0,11,1,34,2,75,3,14,1064,1003,1163,4,4,2,1,1,0,3
991,0,9,0,0,0,28,4,102,2,0,86,950,1483,11,11,6,0,0,0,3
546,0,6,1,0,0,8,5,85,1,1,389,525,338,6,1,2,1,0,1,0
487,0,10,1,0,1,41,7,0,3,1,169,73,1559,2,1,5,1,1,0,3
689,1,0,1,6,1,43,7,58,6,11,485,908,1290,8,11,0,1,1,1,3
659,1,19,0,1,1,20,6,24,3,4,907,519,801,4,7,11,1,0,1,2
81,0,5,0,8,1,7,0,62,2,16,128,382,56,10,6,2,1,0,0,0
392,0,7,0,3,0,41,6,61,0,5,4,95,1435,6,0,10,1,1,1,3
218,1,24,1,4,0,36,4,10,3,6,638,672,149,4,2,4,0,1,0,0
236,0,1,1,8,1,40,8,108,5,20,286,541,653,0,4,11,1,0,1,1
447,0,23,0,4,1,7,3,117,2,15,828,416,282,5,7,15,1,1,0,0
541,1,11,1,1,0,31,5,92,0,3,134,205,518,6,7,4,0,0,1,0
514,1,20,1,15,1,14,1,36,3,20,904,778,1319,12,13,8,1,0,1,3
439,0,5,1,6,0,27,6,31,5,8,800,730,663,3,7,14,0,1,1,1
790,1,1,1,0,1,56,8,5,6,7,268,512,1325,14,10,4,1,1,1,3
365,0,24,1,11,1,62,1,119,3,19,1016,822,980,9,11,14,1,1,0,2
730,1,4,1,2,0,43,8,100,4,3,598,929,1335,4,6,9,0,1,1,3
374,0,3,0,11,0,59,9,34,2,15,848,449,721,5,3,9,1,0,0,1
453,1,24,1,5,1,55,7,83,0,13,755,400,739,6,5,15,1,1,1,1
662,1,19,0,5,0,23,7,16,7,17,439,1026,254,10,9,2,0,0,1,1
721,1,15,1,4,0,40,4,102,4,5,78,175,259,11,0,5,0,1,1,0
426,1,24,1,1,1,62,7,98,2,11,822,447,1219,8,3,2,1,0,0,3
127,0,0,1,0,0,1,0,75,4,13,566,510,1044,4,5,6,1,1,1,2
589,0,6,1,0,0,31,4,20,3,14,476,664,866,5,1,9,1,0,1,2
887,0,15,1,2,1,55,4,97,2,5,1078,1051,1075,14,3,14,1,1,0,3
1076,1,15,1,7,1,52,9,91,6,18,943,541,711,13,7,12,1,1,0,2
288,0,18,1,0,1,13,3,23,6,0,644,221,498,11,10,3,1,1,1,0
284,1,20,0,11,1,12,6,3,5,15,342,439,43,11,10,0,1,0,1,0
600,0,12,1,6,0,5,7,60,2,9,144,1101,503,14,17,10,0,1,0,1
463,1,5,0,18,0,5,9,116,2,19,763,494,1393,8,5,10,1,1,1,3
626,0,18,0,10,1,21,1,52,4,16,552,292,272,14,4,6,1,1,0,0
847,1,0,0,3,1,58,1,114,5,18,1068,878,569,13,17,12,1,0,0,2
117,0,20,0,0,0,35,6,61,1,1,406,332,500,9,3,16,0,1,0,0
71,0,0,0,6,0,29,3,76,6,7,945,597,606,1,2,5,1,0,0,1
1004,1,0,0,3,1,8,2,66,5,13,690,919,983,11,8,18,1,0,0,3
894,1,6,0,4,1,10,7,39,7,9,683,282,447,11,7,9,1,0,1,1
32,0,0,0,0,0,55,6,112,4,4,332,350,904,12,14,13,1,0,0,1
1048,1,23,1,0,1,53,5,119,3,10,269,16,337,9,10,16,1,1,0,0
40,0,19,1,1,1,6,4,41,6,3,273,300,398,6,4,6,1,1,1,0
246,0,2,1,2,1,37,6,23,3,3,102,744,648,0,2,9,1,0,1,1
843,0,14,1,5,0,21,9,92,4,10,697,836,1019,7,6,9,0,1,1,3
839,1,19,0,3,0,40,0,118,4,16,1113,962,981,13,1,12,1,0,0,3
461,1,15,1,0,0,44,2,3,0,4,247,994,1149,14,17,7,1,1,1,3
920,1,10,0,3,0,39,0,83,0,7,1086,1008,873,14,13,12,1,1,1,3
210,0,13,1,0,1,41,9,26,2,4,924,719,724,11,4,16,1,1,0,1
90,1,18,0,0,0,30,4,119,6,20,643,276,810,13,13,5,0,0,0,1
275,0,9,1,0,1,2,6,55,5,1,55,1087,234,8,6,1,1,1,0,0
590,1,6,1,13,0,5,9,114,4,14,95,10,1208,3,4,3,1,1,0,2
941,0,0,0,9,1,20,5,73,6,19,899,543,1328,4,1,18,1,0,1,3
1019,1,18,0,1,1,16,1,9,6,9,839,859,1092,7,1,11,1,1,1,3
305,1,9,0,0,0,51,2,2,7,0,539,340,1211,7,9,2,1,0,0,2
427,1,21,0,3,1,38,8,27,2,11,271,199,702,10,4,8,1,1,0,1
588,0,8,1,8,0,44,8,119,0,12,231,352,102,0,3,7,0,1,0,0
923,0,0,0,0,0,13,4,22,2,0,1031,1072,407,0,0,12,1,0,0,1
870,1,11,1,3,0,8,2,114,7,7,470,610,982,7,9,4,0,1,0,2
204,1,19,1,1,1,8,4,0,3,2,949,898,1232,13,11,2,1,1,0,3
241,1,0,1,7,0,50,8,50,2,10,507,267,1354,5,4,4,0,1,0,3
642,0,6,0,5,1,34,7,120,1,7,459,641,1308,0,4,15,1,1,1,3
487,0,15,0,3,1,23,7,118,4,4,47,510,933,8,5,13,1,0,0,2
841,0,23,0,5,0,14,5,9,0,20,678,300,1237,14,14,7,0,0,1,3
242,1,19,1,0,1,56,2,8,3,1,146,209,1088,4,3,16,1,0,1,2
771,0,18,0,4,1,23,4,109,5,17,958,1080,538,1,4,5,1,1,1,1
1058,0,4,1,11,0,29,5,101,2,16,336,914,1475,7,0,5,1,0,1,3
777,0,9,0,0,1,17,0,20,5,1,602,660,178,7,10,11,1,1,0,0
664,0,15,1,2,0,52,7,19,6,3,218,241,1473,12,7,5,1,0,1,3
931,0,20,1,9,0,0,0,104,0,14,527,214,474,2,0,18,1,1,1,1
111,0,0,0,1,0,39,9,117,6,10,274,57,1122,7,9,2,1,1,1,2
127,0,24,1,7,0,28,1,115,7,12,445,406,899,5,5,5,1,1,1,1
834,1,6,1,1,0,34,6,9,3,5,263,560,870,7,8,18,0,0,0,2
526,1,0,0,0,0,14,4,28,4,0,188,546,1028,7,3,7,0,0,1,2
566,1,20,1,0,0,20,8,53,5,8,512,119,815,14,4,2,1,0,0,1
274,0,0,1,5,1,44,4,99,7,7,587,879,1480,7,11,0,1,1,1,3
27,0,19,1,12,1,1,2,102,6,14,1013,769,11,7,9,2,1,1,0,0
18,0,21,1,1,0,12,0,75,7,2,257,396,507,4,1,7,0,1,0,0
905,0,0,1,0,1,29,0,54,0,18,1074,1053,452,12,0,15,1,0,1,2
530,0,13,1,1,1,12,4,67,2,4,191,80,57,12,0,3,1,0,0,0
749,1,20,0,4,1,41,2,57,0,5,693,456,1422,13,17,15,1,1,1,3
211,0,17,1,0,0,31,4,61,6,6,433,885,895,7,11,3,1,0,1,2
856,0,16,0,3,1,62,8,54,2,11,368,26,9,14,0,8,1,1,0,0
950,0,9,1,1,1,7,3,61,1,2,631,209,1362,13,12,14,1,0,0,3
438,0,13,0,0,0,29,1,68,1,7,328,562,803,7,6,17,0,1,1,1
698,0,19,1,3,1,38,4,61,6,4,963,580,1473,11,1,2,1,0,0,3
528,0,25,0,4,0,45,3,119,2,7,1125,1082,831,8,5,2,0,1,1,2
4,0,11,0,6,1,39,7,79,0,7,721,381,1123,8,10,13,1,0,0,2
256,1,0,0,1,1,54,0,67,4,17,111,220,872,5,1,18,1,1,1,1
184,0,17,1,4,0,54,1,110,6,14,491,627,1363,11,11,10,0,1,1,3
863,1,16,0,3,1,59,8,96,5,12,786,1106,468,11,7,17,1,0,0,1
712,0,5,0,2,1,30,6,4,1,9,435,372,782,14,1,9,1,1,0,2
758,0,24,1,6,0,43,6,86,1,8,496,65,109,7,2,1,0,1,1,0
863,0,18,1,4,1,44,8,59,0,6,572,1052,489,11,10,4,1,1,0,1
104,0,18,0,3,1,58,7,17,3,4,880,1100,52,13,4,6,1,0,1,0
534,0,0,0,16,1,4,3,29,5,18,625,239,110,5,0,9,1,1,1,0
627,0,23,0,0,0,27,4,118,5,0,1079,1095,1430,12,0,17,0,0,0,3
971,0,0,1,12,0,32,6,62,0,16,261,774,353,3,0,8,0,0,0,1
708,1,2,1,4,1,35,5,16,4,13,94,765,1116,5,5,14,1,1,1,2
340,1,10,1,10,0,49,2,72,5,16,474,84,1132,10,6,5,1,1,1,2
582,0,4,1,0,1,12,4,44,4,3,672,563,104,2,1,2,1,1,1,0
510,0,4,0,11,0,24,4,86,0,20,616,912,125,12,14,2,1,0,1,0
683,0,16,1,11,1,1,0,38,7,17,491,416,856,11,4,5,1,0,1,2
14,0,9,1,3,1,31,7,103,3,8,560,341,1432,12,16,9,1,0,1,3
188,1,12,0,0,1,25,8,70,7,4,382,780,774,13,9,5,1,0,0,1
452,1,19,0,2,1,8,3,80,5,3,940,818,741,2,6,10,1,1,1,2
778,0,1,0,0,1,56,1,77,6,8,871,1061,922,7,8,8,1,0,0,3
776,0,23,1,17,0,42,2,30,3,20,37,1063,427,4,2,15,1,0,0,1
564,1,1,1,2,1,30,4,21,6,6,253,252,1460,0,3,11,1,1,0,3
983,0,25,0,2,1,6,0,21,4,5,432,87,681,12,4,18,1,1,0,1
95,1,7,1,5,1,8,1,103,3,8,539,249,1268,4,1,5,1,1,1,2
781,0,0,1,0,1,40,2,117,4,4,832,917,746,14,6,10,1,0,0,2
25,0,0,1,0,1,14,9,109,4,1,333,508,1529,11,12,18,1,0,0,3
329,0,12,1,8,1,23,7,63,5,15,551,920,794,2,5,11,1,1,1,2
139,0,0,0,2,0,27,7,13,6,10,366,104,211,9,8,2,0,0,1,0
1054,0,8,1,0,0,21,0,21,4,1,693,461,928,9,8,18,1,0,0,3
330,0,3,1,0,1,20,0,117,1,13,910,521,1080,11,12,0,1,0,0,2
221,1,17,1,2,0,61,3,85,6,4,551,281,577,12,4,17,0,0,1,1
151,1,22,0,12,1,28,2,33,0,20,181,412,528,9,7,5,1,0,0,0
486,1,19,0,11,0,39,1,98,5,12,482,243,225,14,12,13,1,0,0,0
425,0,3,0,0,0,36,0,118,7,5,797,503,869,1,1,15,0,1,1,2
339,1,21,1,15,0,18,9,4,3,19,479,833,1549,11,1,4,1,0,0,3
725,1,7,0,0,0,52,1,58,4,12,51,63,1424,12,14,14,1,1,0,3
643,1,16,1,1,1,2,7,12,2,13,357,0,239,8,2,13,1,1,0,0
561,0,0,0,0,1,3,0,15,5,9,1007,886,605,6,0,16,1,0,0,2
1043,1,21,1,0,1,44,0,23,0,17,525,581,1112,8,9,0,1,1,1,3
1022,1,0,0,3,1,4,4,71,0,5,699,297,556,4,5,8,1,1,0,1
964,0,9,1,2,0,41,8,70,4,5,518,644,1483,12,7,11,1,1,1,3
74,0,9,0,8,0,44,5,85,0,18,772,350,942,10,4,13,1,1,0,1
769,1,8,1,1,1,5,1,110,4,15,545,765,819,7,10,4,1,0,0,2
717,1,0,1,4,1,62,2,70,7,8,1022,714,1384,12,9,5,1,1,1,3
740,1,19,0,5,1,55,1,37,1,6,207,29,1554,13,12,8,1,1,1,3
106,0,1,0,0,0,18,0,83,3,15,600,494,1081,2,5,16,1,1,0,2
742,0,16,0,1,1,21,1,37,6,8,607,183,814,13,10,1,1,1,0,2
1085,0,20,1,0,1,39,7,14,2,13,865,739,598,12,9,10,1,1,1,2
588,0,14,0,0,1,59,6,26,2,7,47,518,1279,10,2,2,1,0,1,3
84,0,0,0,3,0,24,2,13,3,4,762,1067,671,6,10,12,1,1,1,1
1022,0,1,1,9,1,34,3,39,2,20,684,771,440,8,4,14,1,0,0,1
872,1,0,0,0,1,20,5,112,0,0,241,535,336,0,4,11,1,0,1,0
686,1,19,1,7,1,18,3,93,6,15,965,616,514,2,4,11,1,1,1,1
429,0,8,0,0,1,14,2,86,2,9,249,64,189,9,6,4,1,0,1,0
128,0,4,1,10,0,28,6,25,6,17,701,497,941,1,4,13,1,0,0,2
704,1,18,0,6,0,59,0,88,5,19,600,403,1020,14,15,6,1,0,0,2
198,0,0,1,0,1,45,2,35,7,1,967,684,819,6,7,2,1,0,1,2
827,0,0,1,16,1,6,2,91,5,17,105,275,1134,8,4,15,1,0,1,2
560,0,10,0,7,0,47,6,102,4,16,585,246,472,0,0,10,0,0,1,1
123,1,6,1,1,1,49,0,30,6,4,592,724,1399,14,15,4,1,1,1,3
570,1,0,1,0,1,33,3,62,5,6,260,710,1364,13,17,4,1,1,0,3
650,0,13,1,0,0,21,0,31,2,1,177,147,969,6,0,11,1,0,1,2
751,1,21,0,0,0,39,0,79,7,0,873,864,765,10,9,8,1,0,1,2
400,1,17,0,9,0,61,4,55,4,17,164,420,327,6,3,11,0,0,0,0
960,0,12,0,4,1,37,4,48,4,16,44,377,1081,9,9,8,1,1,0,2
300,0,5,1,0,1,48,3,11,0,0,944,535,200,4,5,8,1,1,0,0
1083,1,0,0,3,1,51,9,101,2,7,836,754,1180,13,5,6,1,1,1,3
476,0,7,1,0,1,47,1,101,7,2,462,740,313,0,3,5,1,0,1,0
612,0,4,0,5,1,15,1,114,4,9,44,60,673,8,1,14,1,1,1,1
1007,0,0,0,0,1,22,3,32,2,1,670,1075,388,11,7,18,1,0,1,1
761,0,6,0,4,0,49,0,8,4,6,1109,1105,1488,6,8,2,0,1,0,3
260,1,11,1,6,1,27,4,53,4,19,343,98,151,14,17,8,1,0,1,0
120,0,0,0,5,1,38,4,31,1,10,218,493,147,1,5,16,1,1,1,0
535,1,16,1,8,0,11,4,36,3,12,634,666,1485,7,11,9,0,0,0,3
693,1,0,1,1,1,23,8,43,5,11,34,395,1015,7,10,11,1,0,0,2
860,1,23,1,3,0,36,0,86,3,4,337,704,1121,9,11,0,0,0,0,3
822,1,9,0,1,1,15,1,120,1,5,780,873,1150,6,6,4,1,1,1,3
874,1,19,1,18,1,47,0,29,0,19,193,13,1293,1,4,14,1,1,1,3
474,1,24,1,0,0,29,5,48,7,1,820,785,889,13,8,11,0,1,0,2
782,0,14,1,2,1,35,0,58,3,19,350,526,919,14,16,1,1,0,1,2
862,0,13,0,17,0,22,2,47,2,18,773,509,1053,2,2,5,0,1,1,3
715,0,0,0,1,0,37,7,32,4,6,1056,847,1156,9,10,17,0,0,0,3
592,1,13,1,4,0,7,3,25,0,6,353,589,1470,6,10,4,0,1,1,3
879,0,5,1,4,1,29,4,3,7,17,542,821,163,12,6,11,1,0,0,0
684,0,5,1,0,0,25,0,112,2,19,192,134,814,1,5,18,1,1,0,1
21,0,12,0,12,1,4,7,62,1,15,488,94,1238,4,8,4,1,1,0,2
740,1,13,0,6,1,9,0,49,0,8,116,814,198,14,8,17,1,1,0,0
459,0,9,0,3,0,40,0,119,4,12,616,772,521,13,12,18,1,0,1,1
881,1,20,1,14,1,4,0,103,4,16,482,346,1452,2,1,6,1,1,1,3
606,0,0,0,0,0,36,9,103,6,1,974,696,623,4,0,9,1,0,1,1
937,1,0,0,0,0,47,3,27,3,2,537,646,206,7,2,9,1,1,1,0
100,1,17,0,0,1,47,0,59,7,1,451,368,1365,6,1,14,1,1,1,2
170,0,22,1,0,0,42,4,107,6,0,965,931,851,2,6,5,1,0,0,2
239,1,0,0,0,1,49,2,77,5,20,567,264,1490,5,1,1,1,0,0,3
1030,0,14,0,2,0,8,5,30,4,10,905,772,616,2,1,14,1,1,1,2
1011,0,23,0,7,1,35,3,49,6,14,137,441,1432,3,6,9,1,0,0,3
640,1,5,1,2,0,48,1,47,6,12,85,123,1474,3,3,12,1,0,0,3
270,1,3,1,3,0,21,3,85,1,15,660,933,9,11,3,9,0,0,1,0
567,0,5,0,3,1,46,3,19,3,15,419,287,635,13,15,9,1,1,0,1
337,1,20,0,4,0,5,7,27,4,10,925,729,664,7,5,5,1,0,1,1
810,1,8,1,3,1,28,6,25,1,4,206,393,251,4,0,8,1,0,0,0
293,0,20,1,0,0,53,5,103,1,1,354,324,1135,2,1,4,0,1,1,2
523,0,0,0,0,0,61,0,13,4,0,911,712,898,12,9,5,0,0,0,2
156,1,22,1,0,1,61,9,115,7,7,62,109,789,1,5,5,1,1,1,1
249,0,6,1,2,0,5,1,21,3,7,272,812,390,8,5,13,1,1,1,0
691,1,22,1,9,0,17,5,51,0,17,597,1016,141,10,9,10,0,0,0,0
350,1,10,0,5,1,55,1,110,6,16,387,982,1130,1,4,0,1,0,0,2
78,1,9,0,4,1,2,0,74,3,13,299,194,124,7,8,8,1,1,1,0
5,1,0,1,1,0,30,4,61,6,11,760,660,611,12,0,3,1,1,1,1
49,0,13,1,0,1,49,4,88,2,1,742,1092,349,9,8,13,1,1,0,0
766,1,11,1,6,1,4,4,82,5,17,146,784,1278,4,1,1,1,1,1,3
191,0,0,1,7,1,57,6,98,6,10,1133,1054,329,1,3,3,1,0,0,1
174,0,22,1,0,0,23,1,8,3,1,448,762,735,0,1,10,1,1,1,1
677,1,0,0,0,1,54,5,111,0,1,124,328,89,2,3,6,1,0,0,0
199,0,10,0,4,0,26,6,95,3,10,291,755,121,5,0,13,0,1,0,0
885,0,21,0,8,0,16,7,97,1,16,713,921,1246,9,0,13,1,0,1,3
1087,1,11,0,5,1,55,9,20,1,15,1062,809,156,4,3,2,1,1,1,1
999,0,0,0,10,1,38,2,6,5,14,466,786,946,5,8,14,1,1,0,3
403,0,6,1,10,1,36,3,56,5,12,862,522,603,13,4,12,1,1,1,1
575,1,11,1,4,0,45,8,13,4,5,314,137,1027,4,6,15,1,1,0,2
574,1,18,1,0,0,26,2,68,0,6,971,823,371,7,1,4,0,1,0,1
413,0,1,0,2,1,5,8,34,6,18,949,792,95,14,13,4,1,1,0,0
176,0,16,1,0,1,2,0,9,7,2,255,545,403,14,15,2,1,1,1,0
402,1,3,1,7,1,43,2,23,0,12,505,941,1170,12,6,3,1,1,1,3
806,1,0,1,11,0,1,5,18,2,14,256,155,567,3,4,7,1,0,1,1
215,0,5,1,5,1,28,8,53,1,15,1126,1060,865,12,13,12,1,1,1,2
532,0,24,0,3,0,60,4,45,3,8,342,1059,978,14,11,13,1,1,1,2
844,0,0,0,0,1,59,7,46,3,13,28,748,1454,4,5,11,1,1,1,3
574,1,23,1,3,1,6,2,64,3,19,501,329,666,3,2,7,1,1,0,1
29,0,3,0,12,1,0,7,97,6,13,195,116,64,3,4,7,1,0,1,0
240,1,0,0,0,0,37,3,107,7,4,535,289,16,8,9,9,0,0,1,0
895,1,23,0,3,1,34,9,39,5,20,300,20,1373,12,16,7,1,0,0,3
675,0,10,1,0,1,38,8,20,2,14,206,235,1537,6,7,16,1,0,1,3
970,1,7,0,9,1,52,4,120,6,11,405,736,291,14,10,16,1,0,1,1
119,0,22,0,6,1,4,4,30,2,7,838,1055,738,10,5,0,1,0,1,1
1055,1,16,1,7,0,54,0,78,7,9,475,193,866,6,5,2,1,0,0,2
491,0,14,0,0,1,25,6,84,0,3,514,431,530,7,0,4,1,0,0,1
86,1,14,1,6,0,14,2,22,6,7,1004,1023,1200,3,4,1,0,0,0,3
770,0,19,0,0,1,22,1,90,7,0,112,887,1413,2,5,3,1,1,0,3
509,0,8,1,16,1,24,7,4,0,20,577,131,570,9,3,7,1,0,1,1
88,1,0,1,0,0,40,5,83,5,4,84,862,809,2,4,16,0,0,1,1
1013,1,16,1,8,0,61,1,54,1,11,541,192,1479,9,3,16,0,1,1,3
770,0,12,1,10,0,14,0,71,6,13,349,53,1527,6,1,6,0,0,1,3
1090,1,14,0,6,0,7,7,59,5,18,1122,1078,397,9,12,16,1,1,1,2
735,0,0,0,6,1,46,5,63,4,14,664,732,1075,10,5,9,1,1,1,3
246,0,11,1,1,1,32,2,28,4,5,261,579,82,10,13,10,1,1,0,0
483,0,15,0,0,1,54,6,34,6,1,45,357,591,0,0,18,1,0,0,1
795,1,21,0,7,0,10,2,41,7,19,291,110,1388,10,1,14,0,1,0,3
605,1,5,0,1,0,50,8,101,5,2,837,708,413,3,6,4,1,0,1,1
321,1,0,1,11,0,54,6,0,7,13,184,542,178,14,10,3,0,1,0,0
838,1,0,1,8,1,36,0,25,6,17,432,15,539,7,8,17,1,0,1,1
1046,1,12,0,17,0,56,5,109,0,19,1107,941,1266,0,4,12,1,1,0,3
351,1,6,1,2,0,55,5,101,5,7,49,48,400,2,1,6,0,1,1,0
200,1,4,0,16,1,54,0,33,0,20,355,11,302,14,3,14,1,0,1,0
700,1,0,1,11,0,10,8,37,1,14,703,485,1530,0,3,13,0,1,1,3
495,0,4,0,1,1,27,3,111,1,8,145,283,26,13,5,17,1,0,0,0
621,0,15,0,18,0,50,2,18,2,20,1127,1063,304,13,11,5,1,1,1,1
1057,0,17,0,0,1,35,4,7,2,2,152,204,365,8,1,17,1,1,0,1
904,0,0,1,6,0,6,5,98,5,20,138,46,1126,3,6,15,0,0,1,2
745,0,15,0,11,0,40,7,97,5,13,385,1088,209,6,10,17,0,0,1,0
1092,1,13,1,1,0,38,4,105,3,8,714,517,593,2,6,13,1,0,0,2
664,1,10,1,5,0,42,4,100,1,6,36,447,1339,11,12,11,0,1,0,3
873,0,9,0,0,0,39,7,0,6,2,993,651,637,7,0,8,0,0,0,2
294,0,0,1,1,1,48,4,119,2,14,971,712,1392,8,0,4,1,0,1,3
111,0,7,0,6,1,39,6,104,7,17,620,455,202,13,2,11,1,1,0,0
484,0,23,1,0,0,47,5,75,1,0,443,184,1054,14,2,10,0,0,1,2
452,0,2,0,3,0,47,8,85,7,17,92,909,1446,9,1,11,1,0,0,3
832,0,2,0,6,1,62,7,90,3,9,896,1011,158,3,1,4,1,1,0,1
489,1,4,0,6,1,12,3,119,1,13,404,150,203,13,5,18,1,0,1,0
6,0,3,0,7,1,40,2,14,0,8,32,41,176,8,12,5,1,0,0,0
435,0,16,1,6,0,62,1,81,2,8,356,1043,619,9,5,7,1,0,1,1
174,0,12,1,0,1,3,5,21,1,20,497,203,253,11,0,3,1,1,0,0
1078,0,0,1,2,1,27,7,97,0,13,262,1039,1499,7,10,16,1,0,0,3
727,0,18,1,1,0,62,8,102,0,2,17,1050,1159,1,5,8,0,1,0,3
