col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,class
6,14,13,19,8,13,2,7,14,13,17,16,8,17,15,14,7,8,21,13,14,14,16,16,21,17,20,15,17,20,15,16,12,11,4,6,18,11,14,21,17,23,21,20,0
1,22,14,19,8,15,2,15,14,16,18,19,16,15,12,12,17,13,25,17,12,13,17,15,22,22,28,24,18,26,15,14,6,11,16,15,13,11,10,19,10,14,10,18,0
17,19,17,12,13,18,11,13,9,14,16,9,12,15,17,18,12,16,8,6,4,16,16,22,20,22,15,16,22,22,16,16,8,16,15,16,11,10,18,23,11,22,11,22,0
12,22,22,21,14,12,12,13,16,17,15,18,20,16,16,17,9,13,14,14,15,20,20,22,22,30,19,23,15,16,16,15,8,12,7,12,4,6,22,14,26,29,19,22,0
21,23,19,18,15,13,11,16,24,25,19,21,20,12,15,16,10,21,22,21,11,17,15,14,16,16,12,23,9,14,14,12,13,10,3,7,25,21,14,14,13,19,20,21,0
9,17,10,15,9,16,14,21,10,12,4,6,9,7,14,13,15,23,17,21,9,18,21,24,24,27,27,29,12,14,5,7,5,8,9,15,24,23,22,24,17,30,24,27,0
8,5,17,21,9,13,9,14,10,8,3,19,17,14,18,17,13,14,13,24,16,8,18,22,17,24,22,30,16,20,9,13,12,13,10,13,11,19,14,19,18,21,19,22,0
13,21,11,12,15,15,11,20,15,19,16,21,15,22,14,16,13,23,17,18,10,19,11,15,11,16,19,20,16,19,8,11,9,15,10,16,22,23,19,24,19,25,22,28,0
3,18,22,24,10,13,9,15,3,7,14,13,17,14,4,5,6,13,3,5,8,11,17,21,10,15,6,13,10,15,14,9,9,13,4,10,13,14,17,24,11,15,20,28,0
10,24,18,19,16,12,6,14,17,24,18,19,17,19,7,12,9,16,15,20,13,12,5,9,11,19,9,18,15,24,15,11,5,11,8,14,15,22,15,19,12,21,19,19,0
1,12,1,4,18,19,4,10,13,16,7,8,17,12,17,22,15,16,18,18,12,18,19,18,26,29,19,20,15,22,10,11,9,14,16,19,6,6,9,18,18,22,12,13,0
7,14,7,13,15,15,10,13,10,11,11,11,16,13,20,18,14,15,13,13,13,18,18,17,20,22,20,27,18,22,12,11,5,11,12,17,19,19,22,26,27,31,25,29,0
3,13,10,11,19,21,5,12,11,11,6,11,20,17,12,19,14,14,6,6,3,6,12,23,19,28,15,16,18,23,10,14,14,17,16,17,12,10,15,19,23,31,21,22,0
12,18,13,14,11,10,13,14,16,15,12,22,22,18,12,13,17,17,6,14,13,18,25,21,23,24,21,24,16,19,10,11,6,5,9,12,22,18,23,21,16,23,16,18,0
4,8,19,15,14,16,6,11,13,6,13,18,22,15,19,23,19,19,16,16,16,16,15,23,21,31,10,24,20,26,11,12,12,9,10,13,7,6,17,19,16,24,16,21,0
15,26,24,21,16,14,11,18,18,20,16,19,14,10,11,12,11,14,15,18,11,20,15,21,12,20,9,21,9,16,10,13,10,13,11,13,19,21,8,19,16,23,20,27,0
10,11,17,15,1,15,3,12,6,6,7,6,22,16,14,13,6,6,11,11,12,16,25,27,28,34,4,18,22,19,16,14,16,16,12,10,8,7,14,13,22,28,21,22,0
11,11,12,10,22,13,13,10,16,13,12,8,10,7,19,18,17,14,13,13,11,15,11,16,18,21,16,20,6,12,3,5,13,14,6,4,6,1,20,11,27,27,18,21,0
6,15,14,21,11,17,9,15,13,18,14,16,18,10,11,13,8,8,20,23,16,18,19,23,21,25,14,17,16,27,11,15,12,12,11,9,13,14,12,24,14,19,18,20,0
5,2,18,13,11,8,7,11,6,7,7,7,19,16,14,10,8,9,11,10,9,13,26,23,28,26,12,14,17,17,11,13,11,13,7,11,12,12,20,27,22,20,28,30,0
11,18,15,17,14,11,9,11,15,18,17,15,16,11,13,17,16,18,23,21,18,21,23,22,26,28,25,32,17,23,15,11,7,4,10,12,13,11,18,19,14,16,13,21,0
13,17,19,23,19,15,13,14,15,6,15,13,19,17,16,16,12,15,21,20,18,17,27,26,22,22,16,22,17,19,9,12,10,7,10,9,23,23,25,25,27,28,24,29,0
11,22,16,15,13,16,8,19,12,16,16,19,17,16,8,12,10,10,22,19,14,17,17,19,16,19,14,14,11,20,15,12,11,13,10,13,17,17,15,18,12,20,15,17,0
1,5,11,14,12,13,5,11,5,11,20,5,13,13,24,22,10,10,10,3,2,15,18,19,29,35,26,26,19,28,10,6,4,2,6,10,5,4,16,15,12,16,15,19,0
8,11,17,18,23,22,11,11,14,11,17,18,11,9,17,21,9,15,15,8,11,15,10,11,21,29,14,17,12,20,12,13,11,14,5,10,14,8,13,22,22,32,26,31,0
9,12,16,15,0,19,13,15,16,15,14,12,15,9,12,15,11,14,18,22,14,17,20,8,7,9,2,25,18,20,15,16,10,14,8,15,20,20,18,22,16,11,17,9,0
7,3,13,9,15,14,12,13,12,11,11,9,14,12,20,19,13,15,14,16,10,12,12,20,22,21,12,13,18,19,14,12,12,15,13,11,14,11,12,16,19,21,18,22,0
