tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab,class
5992,2140,1223,4909,3593,4293,3781,8842,1245,3773,2932,2143,896,0
5679,627,854,8713,6560,6245,4170,2455,8608,966,3086,6967,5250,1
239,6237,6072,302,1400,5414,8748,6416,4436,119,1809,6290,308,0
1376,6863,6502,4915,4622,5410,7872,2235,817,1159,1281,8298,3038,0
8983,601,5240,9381,3296,5578,2306,9413,2143,7670,2495,1806,1082,0
4187,1746,3238,1364,1508,3064,7451,9805,6869,3661,7737,6248,6506,1
3086,467,2973,7616,6852,3360,4008,5066,3778,3602,2956,6378,1872,0
4506,8371,2373,3947,6743,5638,5610,1336,140,9868,7809,2554,5343,1
9932,4112,6658,4584,6935,6913,3389,2034,9532,7763,6503,6180,9545,1
3367,7769,8201,1969,3141,9396,2805,5302,2374,337,6443,122,2616,0
9845,7032,1251,1268,357,8821,9929,5325,9511,6397,7771,343,5366,1
7066,3490,8806,6334,1098,2316,9685,9354,3873,89,5560,2783,5429,1
9642,4749,306,7302,5678,2118,6200,5770,3204,7673,2789,6193,5657,1
2086,2615,4667,1465,694,7264,7680,7576,2804,5777,2252,8824,2157,0
1044,9786,2160,7047,5494,990,3906,9443,7889,6361,2859,2303,1566,0
8141,8773,1157,7495,6131,2302,9332,1825,8022,987,9790,6358,5728,1
4591,5942,8749,9202,1687,2736,7904,9324,1826,1031,6714,8981,8201,1
3730,8671,417,8381,3953,2318,9441,4619,7658,4238,5132,7429,5417,1
3821,5791,1215,1103,1170,5681,6564,8934,7717,6900,3305,5977,4945,1
3543,2300,8199,4491,6023,8243,232,5114,7701,8235,8557,1981,7158,1
9194,5165,3433,4918,923,9663,2974,9174,6054,414,231,1290,2755,0
8309,5524,1550,5335,3115,8906,4337,4295,7706,3342,1775,875,4641,1
4054,4694,6978,3475,7471,2990,5220,3273,7886,6066,7482,4788,9501,1
7537,842,7522,6608,4557,4564,1159,9867,5250,1366,5035,7077,7573,1
9808,12,8514,5010,3252,5947,3475,7939,9276,5789,2543,3518,4504,1
4,675,6475,4239,7665,1677,1176,8291,835,1845,2766,6404,2212,0
6408,8476,6544,7807,5690,3891,8315,1867,5199,5629,9693,7128,9877,1
9248,581,2994,8727,3398,6735,8707,1726,8852,1361,6885,6907,7223,1
4894,6810,9899,615,7461,2919,6135,2445,6743,6656,7980,4539,7224,1
6573,2765,3607,7639,3312,7691,8744,840,7451,8234,3468,2028,6718,1
4452,8352,1797,8948,7192,702,6770,4467,5049,3650,5587,9779,7202,1
9968,5756,1939,2719,5107,3026,6901,4924,3969,9709,3551,8987,6621,1
2545,1045,8562,2936,5859,2794,8428,2584,2798,8082,7495,2400,1424,0
4721,5069,2234,6745,3939,9718,1001,5679,9528,1172,2822,9515,8735,1
7343,5485,7244,9344,1233,6271,8708,6058,1275,4857,8266,4936,8432,1
3673,9522,756,7215,6042,9418,3028,1119,4136,5917,2677,1577,2995,0
4271,4011,5382,9220,5512,6244,6994,1080,9738,9553,3538,4901,9387,1
4331,1001,992,4780,8237,2038,4588,3492,6096,1559,1036,3545,2038,0
5096,7303,7512,2961,7816,825,5901,4161,3461,8909,4505,7206,8701,1
9626,7792,8708,5772,5610,1469,4669,8041,9416,6408,621,4517,8866,1
9847,4767,4378,8751,9126,244,3267,4632,1471,9075,9940,6570,9330,1
5922,2065,5361,1306,4519,4834,4747,6057,5458,5526,2565,6800,2992,0
6328,600,3075,7252,4959,3293,5498,6256,7932,6146,7324,7693,7391,1
4504,6804,5334,5317,1617,3967,9508,6613,3476,1451,4293,3437,4476,1
5739,2910,7866,9410,6035,4737,3817,5021,737,517,1009,934,249,0
3705,495,3275,2713,3741,7870,6897,1927,5441,7243,9156,4056,5862,1
8833,2389,3818,8662,9282,1128,2148,4369,1543,1715,7081,7886,5791,1
8039,6359,476,7129,4242,5343,8839,1812,4306,9217,197,3183,7266,1
9363,1890,7312,2952,4674,6274,4348,4829,6109,3145,98,8207,2602,0
2564,3526,145,9226,3579,3166,4106,9656,7325,8982,329,7233,4520,1
6706,8767,330,1820,5438,1354,7943,5107,9748,5250,2768,549,5528,1
9164,8684,765,9247,8181,1674,8413,159,575,5623,1723,7252,5990,1
4336,2572,9969,1243,4964,5771,5457,3811,3339,494,9127,4985,3597,0
8980,5264,4522,640,9581,1054,3450,1872,8740,3025,5652,8135,4551,1
1978,1096,7023,1398,4754,7574,2823,4935,8730,9701,7006,9590,2317,0
2479,9971,4502,7792,6221,5496,4825,3031,8333,6107,1798,8165,7113,1
9242,8801,4315,8134,9011,4861,3592,27,8971,1872,9494,8144,9619,1
9634,8305,4866,410,2754,9423,3839,4856,8596,6427,9427,9880,6660,1
1112,8921,9892,7161,6709,8857,1017,2765,8845,122,6682,4619,3444,0
9789,3023,4796,5883,6648,8334,3317,1097,2429,3170,4220,7998,6249,1
576,7850,9249,6533,7463,6114,1072,4310,3866,8011,8253,7459,8864,1
8295,4347,1930,4667,408,8897,6985,7936,5375,1086,3355,1853,2176,0
7204,8447,6635,2542,1775,6544,8302,4964,7510,9052,9745,1020,9795,1
2982,5912,9348,9199,2159,4181,7361,7558,1842,300,4590,2220,3184,0
9992,2716,3118,4097,5955,3979,3664,6047,4893,3902,8910,41,2133,0
5239,1599,8458,4320,851,8692,9023,4285,2013,8836,1484,8597,4087,1
136,1043,3112,4743,8480,177,78,9351,2677,2593,1810,1346,101,0
7008,6705,2409,5367,2687,100,8644,9485,8568,4272,8883,6070,9181,1
386,2421,9023,5301,7297,5099,6414,295,7391,6033,5877,3305,2117,0
9557,3285,6633,7364,4602,5346,3565,6624,7104,7012,9423,6347,9675,1
9427,4343,7091,1203,8378,879,304,8625,6125,6547,8514,5790,7482,1
6683,3138,2222,1410,8241,689,778,8644,1855,6924,5394,7957,3243,0
766,1679,3449,8135,6119,3966,3675,5838,9308,2432,3479,1143,2877,0
4646,7976,4906,5972,4458,6253,1798,7668,3192,2771,5101,3314,5473,1
4645,6060,755,1868,2108,4400,6579,8221,3395,6832,1815,7180,3629,1
4210,4553,66,280,8392,2410,827,6548,4129,832,3168,6143,997,0
2179,5200,4185,9500,9010,1651,5807,1023,6975,7079,950,7215,5698,1
6617,1964,7668,5221,1257,6213,6213,8540,3050,1774,9478,6698,8289,1
1405,3542,6424,2288,5780,4756,7507,1677,9892,1495,5228,2325,1273,0
1534,3796,8071,4744,1973,5889,6469,7073,6100,9837,8920,745,6584,1
9386,5,2750,5869,2959,4256,5401,8123,5054,9670,4274,3844,736,0
1084,1264,822,9891,1448,9667,2698,8090,7289,768,7579,8415,355,0
2586,7883,3477,3198,8488,2942,2530,4118,6854,6282,2423,8424,6271,1
3030,4030,3661,4206,4187,2695,9086,4279,4704,912,1552,9565,5134,1
7877,4751,8770,627,6442,5070,1467,6506,7879,4409,6290,9514,5686,1
5027,5715,3499,2563,6805,4926,3974,3602,6776,6053,3818,6281,8292,1
4624,2253,5649,6490,2245,6230,3144,9574,4133,4349,256,342,724,0
6677,6061,9204,7838,7346,6426,6,5273,3623,6813,8699,3111,9165,1
6641,3679,7818,2196,1282,7788,6829,6279,4414,4741,6872,8512,7067,1
8050,5957,7031,1928,2418,9804,5668,3192,1899,3825,4935,6251,4482,1
6383,7804,8359,4345,7065,8859,480,2786,6422,3494,7852,9285,9643,1
5854,9751,1231,2027,9133,4699,1022,2403,4757,6747,3109,8653,3414,0
1982,7510,3623,3114,7020,8926,568,2709,4896,3080,3680,4809,2441,0
1578,1447,362,9997,9042,1259,5045,2070,9313,4763,6114,6332,1002,0
3732,1992,742,5556,5137,5893,2103,6820,2958,2557,3013,9358,3757,1
8884,7213,8131,8261,366,8253,9801,5936,6577,2619,6955,8708,9674,1
3566,5316,5633,3254,645,4461,8925,9303,4287,7658,3570,505,5803,1
3530,4140,1701,2606,3945,6893,6979,2514,8754,2672,818,2479,2950,0
7854,3558,7220,6859,4641,9989,823,4684,2751,3329,9458,8812,9476,1
8693,6424,5359,5187,5607,6215,7527,443,7714,8314,0,902,7542,1
559,8789,1330,2915,8699,6526,485,2177,2181,5069,6248,6618,1393,0
2596,8945,4363,3331,5049,7736,3165,4017,2809,7404,6666,6482,6799,1
3691,739,9717,3746,5882,6092,2191,5502,7163,1670,3237,7185,3468,0
8890,3525,4573,5982,9073,3705,3445,1131,4729,6742,9942,3622,8851,1
8513,6260,541,7500,7429,3978,2265,5324,398,4573,888,3307,2421,0
5423,5647,5025,7088,9558,818,5033,630,6773,7429,4609,5691,9633,1
256,7299,3822,6958,7307,4640,5114,2040,9442,4316,5900,2852,1784,0
2778,3433,7468,9608,3439,9652,7301,169,4657,2009,9621,1450,5667,1
5463,5585,6068,686,9951,889,1381,687,2328,7064,6981,9745,5894,1
3029,2365,6288,4927,8890,3664,863,4242,205,7246,3236,6793,4728,1
379,1849,2866,780,4410,7500,787,7505,789,2471,5623,6457,279,0
1533,4633,4064,4778,3284,4619,3190,9504,3991,4568,5470,3887,5032,1
1368,694,1293,7250,1956,4772,7271,7423,3820,8184,702,6539,32,0
2604,3691,9665,1467,4790,2593,9024,3674,2896,1953,1346,8881,992,0
848,6672,7238,1414,7993,1529,7008,2067,9986,3340,2752,3550,2902,0
4178,2621,4673,3901,6176,7186,3366,2859,3273,2969,708,1211,829,0
7391,6875,526,1495,8231,3376,2294,4457,7604,404,8630,4048,552,0
9390,2501,9752,2406,2490,5224,5890,7446,8172,904,7137,3678,6986,1
3208,7742,9356,8957,7453,8922,710,1897,7405,2725,6905,1913,6354,1
7156,1602,1947,2122,3539,9439,3625,3919,4687,378,1057,6137,1841,0
6020,8197,8926,6244,5628,581,8285,5286,31,7527,6096,8784,9267,1
2811,253,9873,683,9924,105,3143,198,73,7981,9025,809,1097,0
4007,3750,6160,8113,6154,6869,5038,1524,6689,5718,4118,6337,8390,1
2896,9216,37,8966,3582,1506,9043,6376,3830,9859,1312,4055,6043,1
7111,5181,2950,2228,917,9319,4997,7511,6352,4036,9463,8147,8156,1
7815,8431,4659,2697,2089,6356,6174,6696,6047,1507,3903,9802,5963,1
1998,3395,7070,6315,887,5157,8814,7949,47,8126,1549,9222,6836,1
2084,2556,1029,621,4218,7931,1262,6834,8973,262,1148,6015,2453,0
5118,3989,5994,5222,9320,2480,1852,3178,3833,4105,2302,5233,5910,1
7380,7516,6101,6495,9087,133,1363,6749,849,3304,7191,330,4876,1
578,5396,6044,2062,6283,1035,9814,2422,8472,35,3493,3219,1343,0
5050,574,6958,7786,2560,2453,7324,8670,4381,9873,2975,9503,5260,1
19,94,369,4290,3986,3738,7042,5568,7123,885,6281,1997,668,0
9627,3352,2606,7427,8965,2202,1085,5291,8042,9938,9385,6447,8567,1
3081,4318,5290,1196,4136,6994,6234,2905,8033,4250,9991,8058,8986,1
1250,4855,1423,1436,6586,428,9795,2607,3036,5746,9124,1818,884,0
6631,744,4023,1339,8729,5683,2693,739,4576,4128,7214,7497,2892,0
1884,2661,7969,5968,4377,5973,7860,2002,7743,7580,1939,1842,2080,0
1696,7954,6839,7708,6726,2664,9081,863,9269,7900,2315,271,4057,1
8218,388,3353,2280,8449,4271,1217,4194,5589,1137,5030,3424,1783,0
2344,8339,5582,348,7645,2464,839,7891,4528,5955,2627,464,2818,0
1016,6650,5605,4020,2618,8548,4684,5115,1304,8425,7225,3101,7648,1
4790,7596,197,2216,2575,6377,6900,5149,4609,9650,6197,5850,4342,1
5223,6063,7245,7382,3856,8196,4527,3798,7425,2261,4326,9169,9414,1
9695,2536,8618,219,3455,6141,5622,5337,5075,6420,8426,4511,4685,1
5560,4454,3466,3883,6670,2633,331,9744,5959,5304,1652,4018,6280,1
4966,6323,3724,768,1230,2347,9823,8873,3599,3589,7769,1730,4436,1
5877,3162,5187,4626,3887,9871,4979,1627,8356,3914,1651,1975,5725,1
7627,168,4778,5215,4185,1540,8672,5848,5911,8297,8250,4012,5101,1
5086,5903,5991,1599,884,9799,6357,5774,9374,9172,8755,8013,9952,1
2632,8706,4867,5334,8037,4217,755,5562,6647,3567,8956,7771,9160,1
3018,146,9206,8844,3509,6115,5404,5507,1896,8318,7444,8066,4722,1
252,7219,8834,2611,92,9006,7907,9421,4555,4951,1452,9165,1405,0
4793,8022,2088,3926,9814,1738,1934,1061,1499,2213,5589,5883,2447,0
4973,6851,42,3297,7118,1561,5867,4621,91,8730,4087,6830,3719,1
2092,7971,2340,9360,86,9788,9657,6961,3917,8291,7088,5043,5955,1
9817,561,7355,2900,5573,4192,4405,5646,4804,4061,194,8964,438,0
7662,5451,8556,8582,7742,2678,6336,2004,5295,2331,5896,1359,6969,1
9238,1983,6486,3193,7927,4704,4806,1193,290,156,8005,4980,3735,1
8133,6813,4929,5602,2030,4740,5124,9466,3286,9388,328,9434,9274,1
2153,7586,614,2693,2942,7260,7245,3300,621,9188,8151,3759,2066,0
107,107,9634,4041,4012,6567,5935,3807,5469,450,8144,2041,1543,0
4776,1718,157,7979,8509,490,4336,4711,3414,7949,6453,5209,1324,0
2167,8482,138,369,767,6200,7180,8854,9736,1231,7206,4544,912,0
9830,2619,4465,3015,1455,6608,4532,9304,8726,1170,3166,6699,4862,1
7236,9321,2303,3656,2200,3050,9401,6580,2742,567,8649,2528,1619,0
3241,4400,1911,6438,9163,2404,1699,3914,2137,921,8833,3474,2858,0
9981,680,9219,4450,9402,2564,1006,3606,7344,5574,4409,1373,4356,1
5278,8977,7444,5953,6474,1972,5185,5839,2583,153,2883,5483,4204,1
5912,3622,1912,2728,5675,1792,3328,8973,7691,7430,5789,9533,9388,1
8401,5931,5592,4612,8061,3571,3487,3416,9067,5388,4920,8577,9789,1
2825,1222,1309,5126,378,8490,6217,9226,2776,396,3880,6351,527,0
1096,653,7660,2254,7916,4120,5117,1488,2914,3067,2842,1393,183,0
9016,5864,7797,1493,3938,6840,8356,1207,2660,6730,9308,4285,7854,1
5690,1026,7954,7087,9985,616,1156,324,3881,4215,9626,8685,8859,1
8081,7705,8741,3309,6275,6658,4196,2427,8697,354,23,4921,4838,1
7873,5644,7264,2250,233,9208,9568,6142,4735,708,2167,2082,2725,0
7820,2344,2083,6883,1369,2101,9114,9428,445,4969,7067,7890,4117,1
2146,8541,5251,1004,4594,8395,1404,5743,9437,8515,6739,9288,4855,1
2139,6529,7907,2894,7478,4076,3612,3785,5319,7751,4881,1262,5830,1
3914,5853,8812,2852,5953,2138,6558,4995,9455,8059,7065,2411,9133,1
42,2163,3350,1230,3032,6863,3776,7018,5774,787,3341,915,237,0
631,5787,6831,1666,8310,7366,2451,163,2067,8447,5033,6669,5185,1
2810,502,5268,1936,995,6710,7697,7162,1654,5324,1012,9871,2486,0
6979,5042,6414,8653,940,5595,8573,7572,3334,9566,555,2168,6320,1
8080,379,7078,6062,7925,3486,1555,5669,6198,7472,1551,6581,4344,1
3380,1616,5195,1224,9410,1048,1519,4573,9420,7589,8423,6994,8739,1
7421,4274,3585,4551,4022,6132,5758,4407,3997,3197,3671,1719,3457,0
1750,6884,8106,7078,9027,3305,4748,379,8193,8066,6035,9551,9429,1
4053,656,5534,1734,6459,5658,626,6737,8910,9735,9618,7140,8098,1
687,839,5219,1490,496,8459,8466,6432,9716,7397,363,1517,2831,0
7827,9155,5795,2577,2682,7198,8535,2504,6811,7364,2670,1951,7657,1
8957,3672,8237,4386,2612,9410,4381,4568,8329,6020,7687,2855,8907,1
2045,2129,2139,3249,1911,7770,7942,3821,1295,6484,38,328,1629,0
3671,3659,4460,4738,8002,969,3696,5916,7432,7711,3296,8347,9783,1
1939,2143,9268,8699,5922,6264,4508,2964,4532,1685,7680,3916,4791,1
395,3347,7263,4194,2448,2937,8357,7331,1558,9891,4835,9556,8208,1
6837,7314,9936,1636,374,9523,4922,9495,2197,4527,9609,3059,7046,1
1766,9838,6371,7740,3406,7473,2053,7637,8203,2704,8400,2171,5183,1
9235,3392,3889,4434,594,6996,9094,6812,2354,8039,1758,3743,3632,1
763,9815,706,2646,1928,4212,8515,6775,8619,2505,5007,9594,2481,0
4783,9930,8622,6821,989,9563,3994,8023,9459,598,9569,8104,9734,1
1245,6805,9478,8456,8972,1153,1745,5652,8277,6288,3352,2000,3795,1
1056,383,8383,1553,4170,2293,9731,4064,7357,3660,3395,3687,692,0
1539,4336,5445,7954,8557,7599,1236,604,3651,8382,1847,3579,4438,1
1874,3246,8937,5259,8677,1733,2959,4533,5035,7162,205,7614,5200,1
5466,2648,5164,8045,4395,849,7491,7476,6020,8231,3732,3974,7225,1
2069,806,4858,2061,4093,7684,8184,310,7835,5606,5860,9457,6093,1
4392,9998,7578,6006,4381,6379,8671,781,3258,4739,514,9758,7250,1
1777,759,430,3440,9674,3402,1607,862,1276,1679,4671,6768,381,0
742,6836,5716,2130,9782,1633,2880,618,8546,1608,8403,7263,3484,0
2064,5515,3650,4279,4808,5422,2531,7315,1431,3468,7280,7789,7207,1
9325,7983,8384,6927,7465,4565,2055,4866,9907,6419,9258,1959,9842,1
400,1565,6932,954,1587,3053,9636,7466,7438,5134,3571,1187,1060,0
976,2793,7232,9482,7155,2517,7853,1614,1429,6324,2548,9835,5470,1
5116,7064,9570,7021,1813,4877,5671,9194,6227,5725,6898,871,8238,1
9860,9759,7678,8816,2503,9097,8853,589,8038,2706,7664,3632,9218,1
9823,2157,7800,7106,7807,1946,3218,5734,3215,2503,6551,6210,7263,1
805,8958,2859,5464,2596,996,9599,7793,5221,3013,7481,5507,2866,0
1803,8840,6327,7603,7893,2857,3757,4156,2270,5611,4001,1611,4677,1
2022,21,1574,3092,4734,924,9205,5229,8870,7731,7918,3525,3104,0
2117,5461,8603,6595,2107,4584,8310,6307,6215,4307,3771,1729,3758,1
2104,1196,7766,4393,9653,3674,2061,219,5308,4103,9193,3724,4597,1
3412,5774,3274,2827,3374,5423,6969,4795,8650,3922,380,5685,5482,1
5926,7680,6688,4079,2440,5592,5649,7402,3673,273,3302,5597,4359,1
2254,7597,4047,7253,711,3179,9930,9339,9141,2231,5322,1769,3619,0
7136,5096,575,9835,5302,6495,349,7732,848,234,5621,2859,54,0
6086,8951,2224,3580,8329,6545,3159,233,3731,9901,5203,2565,6560,1
6146,8699,6037,5179,8243,208,3784,6116,8207,9569,357,5746,9366,1
7209,9422,7501,5691,6946,1256,6398,4658,7716,6080,9036,2828,9701,1
2052,8170,7383,681,7411,546,1547,9508,8920,5041,4679,2561,3331,0
9709,9038,6380,9880,5333,8148,2943,3445,8637,3380,4440,1767,8245,1
6394,7377,3559,4996,7063,3006,493,8630,4240,8403,8158,7967,9804,1
6081,9238,1722,6252,236,6836,8861,9192,1379,3682,6741,2966,2384,0
2897,1165,260,3006,3143,9357,1616,6528,9992,7081,8156,4956,5045,1
653,3800,6890,2375,6063,1451,5374,6727,8142,2352,4630,4586,1863,0
1851,7361,8206,5980,6853,2588,7542,2302,2876,53,9280,6585,7003,1
6314,4872,8272,4760,8021,1107,7238,2207,467,7156,7913,4374,8047,1
8036,2387,4784,9423,2761,558,9259,8292,5624,6935,1000,670,2853,0
3157,6512,8760,2340,896,9897,9014,2979,5808,9162,7202,517,8100,1
1160,2234,3213,3861,5908,6256,4065,3436,6314,8191,6627,2953,5596,1
5780,5301,7973,7011,9459,4313,2482,178,9863,1306,5329,3960,8829,1
8271,1557,3301,722,1387,6054,6277,8278,6863,8507,6770,9217,611,0
7527,7566,8610,3284,1176,4708,7628,8828,9582,1410,6387,3937,8544,1
9479,597,6990,3086,2208,9581,5224,4207,7050,6769,1260,5693,1976,0
5937,9666,6892,9390,1917,4340,9210,5973,2,589,7896,3789,5543,1
7916,8532,7684,8037,6630,632,4427,7717,5300,5136,9141,6004,9768,1
6331,9743,5234,4047,620,9578,4198,9019,2968,7843,8491,2643,8307,1
6308,1119,4663,1144,5808,3774,1310,8812,5714,5546,6973,7518,4053,1
8112,4778,5057,2500,5737,4729,8502,774,3954,4965,8891,3509,7733,1
2898,7627,255,5513,8909,5646,1498,1583,7713,3530,4006,1552,1062,0
2209,215,3231,9101,5024,4427,1409,9122,8625,5496,7691,7751,2090,0
4183,9890,8323,7222,3926,4666,7473,4278,3135,6301,8813,5000,9141,1
7894,2534,3919,1440,6146,2191,5804,5448,9990,1353,1279,3042,4031,1
9202,1194,3039,4004,7362,3537,473,7671,6323,5283,7466,5889,3808,1
7062,1182,4509,1501,7472,1686,945,8852,1124,6513,6417,1724,1726,0
9153,9354,8154,4791,8479,4574,1232,3802,1400,8142,5847,2332,7941,1
4588,8643,7674,3672,3153,5716,8390,3382,1872,4892,9773,5318,8451,1
1634,5504,3185,6235,7756,5830,420,4743,5043,3427,2982,9178,6196,1
2180,5842,7115,4148,271,8599,6631,9446,5917,1078,3590,1555,1228,0
7843,5154,2195,477,6567,592,7514,4759,3308,3691,2234,655,1314,0
7046,7369,572,295,7217,685,1781,9439,1321,294,3602,750,80,0
5998,7119,3290,734,2019,4862,6825,7658,6749,3469,1090,1570,3501,0
8967,8555,4824,1624,2264,9866,1335,7723,1021,7095,199,3655,3125,0
4086,4707,9096,3080,9267,3652,1928,2124,8867,9416,2695,8635,9667,1
3131,8036,2583,9073,4066,5531,8395,2304,1560,5450,8737,3610,4661,1
8641,9486,7676,2412,4100,3176,9728,3267,3230,572,9538,7536,6609,1
3353,3187,2046,6283,4690,6655,3646,5126,5896,2181,242,3742,1782,0
4248,8946,3560,5146,4715,3374,4561,7454,4419,9513,101,3956,6933,1
1495,6153,1982,341,5653,8035,1740,4340,1968,4747,2059,2933,803,0
845,6385,5104,4022,4821,6195,4824,4231,6598,7326,8059,4059,7427,1
7852,2487,7854,1130,3662,1397,6639,8796,3636,8516,839,3834,1155,0
2105,196,4495,7669,1181,5890,9394,5867,9650,6231,7417,3468,2996,0
1168,3191,893,7588,4481,5607,2794,7282,1936,1236,8814,9721,2094,0
885,5970,4112,7836,6220,687,6136,6530,1169,8621,996,8446,7457,1
6229,1767,8150,6742,6691,4766,4108,3795,6392,1839,8243,9784,9564,1
2067,8711,2512,7276,1002,6763,9964,4826,65,3010,4004,7285,4446,1
1798,3809,9110,5314,6980,1593,9310,1352,1908,5481,8908,1115,5157,1
1487,1658,9772,4330,6483,2838,811,9329,1505,3542,5933,8256,3419,0
4580,6245,8285,81,6083,3111,6803,3617,9750,7525,3586,2567,7567,1
4518,2548,2794,7335,637,9260,6349,7113,3627,3272,4622,4025,3357,0
5115,4117,6515,9940,3309,7604,5143,4534,5813,9157,4340,5094,8694,1
3010,5075,7581,174,4787,1183,6389,7720,3442,7362,8996,2654,6632,1
3910,2302,3333,5587,3073,6067,8072,3462,7813,9089,4330,7072,9420,1
6076,2498,8306,2700,9318,3713,754,3050,4264,5226,8401,3889,6445,1
5174,7188,1453,2328,9496,2004,1838,2913,6593,4878,6767,7379,5656,1
1456,269,3439,3270,5704,8836,1245,3978,6219,6378,6962,8849,5838,1
4988,3484,9484,4299,8632,6240,260,2806,3605,5703,4421,5124,5717,1
879,4076,5613,4970,3786,2494,4986,9124,6808,1829,6687,1530,2137,0
1814,6367,3349,5748,709,9810,4433,8207,3560,7308,3731,140,3325,0
1657,3510,8025,4261,9770,4308,394,507,9934,7674,3201,491,2658,0
7169,3636,8944,1749,1354,7137,6261,7294,9494,1783,8397,1836,8140,1
5201,8472,9621,5612,3156,9678,5479,2328,7169,3878,5179,6142,8824,1
2559,5684,6885,9889,1939,8335,9450,1705,9620,8049,899,393,4913,1
952,2182,5037,9225,125,9408,7072,9389,6395,5059,1803,6875,2554,0
8061,8203,4401,913,3280,5186,6997,5139,710,8136,5136,756,5055,1
5146,2018,5529,7375,8454,2317,1185,6167,6764,1914,3390,9796,8548,1
5980,7643,2924,1802,1189,7817,3892,9427,4641,6139,7114,4213,5933,1
6375,5359,4075,3620,8921,1984,3956,2758,5163,2229,361,5292,3965,1
5074,8648,1090,3345,8273,6826,2094,1124,5361,2788,4899,7505,3809,1
2681,245,1131,3882,4255,8542,5600,1840,8382,107,6514,216,202,0
5794,9129,142,8491,6290,3747,5845,3675,4636,6059,8445,6970,5232,1
7541,1955,5531,9937,5740,8990,4939,66,8953,4966,8852,2080,8355,1
7505,5714,4246,4553,132,7160,9516,9123,3347,7072,2394,5506,7488,1
8188,2078,7730,7754,4202,8478,6785,775,6610,8143,1583,45,3461,0
5234,8171,7694,2067,3469,3549,7651,5880,212,7946,2164,3215,4450,1
445,4015,5916,809,8414,2117,3915,3710,1090,5685,2783,9298,1028,0
1957,5267,8542,3963,8476,564,5003,4045,7610,215,3483,3878,2275,0
4820,3881,9057,6690,9222,5910,1281,648,2857,6185,4054,982,4246,1
5332,7378,4775,4546,310,9500,6942,7966,825,9329,1562,458,4889,1
2631,3977,5315,9387,7920,941,7333,2447,1152,8484,9148,5001,8246,1
8787,9967,8619,699,6047,3362,2398,7803,276,2059,9584,7275,3912,1
2543,4215,6290,1728,5008,2416,8451,4113,759,5027,7125,252,3815,1
5756,6454,452,7453,1515,7279,9322,3708,7852,1867,2226,8218,7317,1
1597,3777,8095,5700,1618,8620,8691,2769,1614,1356,7215,3514,4375,1
6498,5090,3754,1535,1404,6338,4300,9935,6429,6623,7768,391,8101,1
3454,6798,9509,4063,2057,3155,9256,6864,5236,2372,9768,4909,7426,1
1946,7333,63,3330,9628,1817,1818,2479,1542,8901,4489,9439,4313,1
6302,9632,2821,966,6628,1911,6080,4785,4415,4406,4600,6408,2220,0
5954,1277,1786,6400,8401,1732,2652,5388,7008,1583,1034,1026,1526,0
5268,3518,8576,3863,7058,8545,2913,677,9777,9282,9243,2455,9711,1
74,9631,9595,9098,382,8816,6201,8912,411,8799,1972,7327,8083,1
2840,2341,5328,6578,5443,6497,6828,1071,6903,120,6373,7017,7187,1
3522,9952,5453,9813,8712,1462,4861,2838,6289,3186,8464,9674,9008,1
