col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,target
28,51,40,38,28,49,40,34,28,45,42,36,30,46,35,30,30,45,34,26,28,46,38,32,29,46,26,29,27,46,32,27,26,46,36,33,3
28,48,40,35,28,46,40,34,28,45,35,36,30,46,35,26,27,45,36,30,28,49,38,32,26,46,30,25,27,46,36,31,29,46,32,29,3
22,42,29,28,22,43,29,27,22,40,31,25,24,41,27,21,21,38,26,21,25,39,28,23,23,43,30,29,24,43,28,27,20,41,28,26,3
22,42,29,28,22,41,29,23,22,40,31,29,21,39,27,21,24,38,26,21,22,41,24,23,23,43,26,25,21,41,28,24,20,41,32,29,3
24,42,29,28,22,43,29,27,22,42,31,29,24,41,27,21,24,38,22,26,25,39,24,23,23,41,30,25,21,36,32,31,16,26,39,43,3
22,42,29,28,22,43,29,27,24,42,31,32,24,39,23,26,24,38,22,21,22,39,28,32,20,36,30,29,17,26,39,41,14,16,45,58,3
28,48,33,35,28,52,43,40,34,58,45,44,21,39,37,37,27,42,36,40,31,56,44,42,8,10,50,66,6,6,60,78,8,10,56,71,3
28,51,43,41,34,59,43,42,34,58,48,44,27,43,37,40,30,55,42,40,35,56,52,45,5,6,58,76,9,10,56,68,18,32,45,45,2
34,58,43,43,34,59,46,42,38,61,57,47,30,56,43,40,34,55,50,43,35,56,48,45,8,10,54,66,19,32,45,43,32,53,45,40,2
38,61,55,50,38,62,55,49,38,65,53,47,34,59,47,40,38,61,50,43,39,62,44,45,36,57,46,41,41,60,52,43,36,60,48,45,2
38,65,51,46,38,59,51,45,38,58,48,44,38,62,43,43,38,61,46,40,35,56,48,42,36,60,46,41,37,60,48,43,36,60,48,45,2
34,55,46,43,38,56,43,42,38,58,53,47,38,59,47,43,38,58,46,43,35,59,52,45,36,57,46,41,41,60,52,47,40,60,52,45,2
38,55,43,43,38,59,51,45,38,65,57,51,38,59,47,43,34,58,50,43,39,65,52,50,40,60,50,45,41,60,52,43,40,64,52,45,2
38,58,51,46,38,66,55,49,38,65,60,47,34,59,51,43,38,64,50,48,43,62,48,50,40,60,50,41,41,64,52,43,40,64,56,49,2
38,65,55,50,38,66,58,45,41,65,65,51,38,65,51,48,42,61,46,48,43,65,52,50,40,64,50,41,41,64,56,47,40,64,52,49,2
38,65,58,46,41,66,63,49,41,65,57,53,42,62,47,48,42,64,50,48,43,69,56,50,40,64,54,45,41,64,52,47,40,64,52,49,2
41,65,63,50,41,66,55,51,41,65,53,47,42,65,51,48,42,68,54,48,39,65,56,50,40,64,50,45,41,64,52,47,40,60,56,52,2
41,65,55,52,41,66,51,45,38,58,53,44,42,69,55,48,38,64,54,48,43,62,52,45,40,64,50,45,41,60,56,50,40,64,52,49,2
41,65,51,46,38,59,51,42,45,61,53,47,38,65,55,48,42,61,50,43,43,62,52,45,40,60,54,48,41,64,52,47,40,64,52,49,2
38,58,51,43,45,62,51,45,41,65,57,51,42,62,51,43,42,61,50,43,43,62,48,45,40,64,50,45,41,64,52,47,40,60,52,45,2
45,61,51,46,41,66,55,49,41,65,57,51,42,62,51,43,42,61,46,43,39,62,48,50,40,64,50,45,41,60,52,43,40,60,52,49,2
41,65,55,50,41,66,55,49,41,61,53,51,42,62,47,43,38,61,46,48,39,62,48,45,40,60,50,41,41,60,52,47,36,60,48,49,2
41,61,51,50,41,62,55,45,38,61,57,47,38,62,47,43,38,61,46,43,39,62,48,45,36,60,46,45,41,60,48,50,40,64,48,49,2
41,61,55,46,38,62,55,45,38,61,57,47,38,62,47,43,38,61,46,43,39,59,48,45,40,60,46,48,41,64,48,47,36,60,52,45,2
38,61,55,46,38,62,55,45,38,58,48,44,38,62,47,43,38,58,46,43,43,59,48,45,40,64,46,45,37,60,52,43,36,60,45,43,2
38,61,55,46,38,59,46,42,38,58,53,51,38,59,47,43,42,58,46,43,39,62,48,45,36,60,50,41,37,60,45,41,36,53,45,43,2
38,58,46,43,38,59,51,49,38,61,53,47,42,59,47,43,38,61,46,43,39,65,52,50,36,60,43,39,37,53,45,41,36,60,48,45,2
38,58,46,41,38,59,46,45,34,55,45,44,38,62,51,43,38,61,50,43,39,62,48,42,40,64,50,48,37,64,48,47,36,64,52,49,2
34,55,43,43,34,59,46,40,38,55,45,44,38,62,47,40,34,55,42,43,31,56,41,39,36,64,50,45,41,64,52,50,36,60,48,49,2
34,58,46,41,38,56,43,42,34,58,48,44,34,56,43,43,30,55,39,37,39,52,41,39,40,64,50,48,37,60,48,47,36,60,45,45,2
38,55,43,43,34,59,46,42,38,51,45,42,30,56,40,37,38,51,39,37,39,52,41,42,36,60,46,45,37,60,45,43,32,57,42,45,2
34,55,46,43,38,59,51,42,38,61,53,44,38,59,40,40,38,58,46,40,39,59,52,42,32,57,43,36,37,57,39,41,32,57,45,43,2
38,58,51,43,38,62,51,42,38,58,48,44,38,59,47,40,38,58,50,40,35,59,44,42,36,57,37,39,33,57,45,41,32,57,45,43,2
38,61,51,43,38,59,46,42,38,58,53,44,38,59,51,40,34,58,42,40,35,56,48,42,32,57,43,39,33,57,45,41,36,57,45,43,2
38,58,46,43,38,59,51,42,38,55,45,44,34,59,43,40,34,55,46,40,35,59,44,42,32,57,43,39,37,57,45,41,32,53,42,43,2
38,58,51,43,38,56,43,42,34,55,45,44,34,56,47,40,34,58,42,40,39,56,41,39,36,57,43,39,33,53,42,41,32,57,48,43,2
34,55,40,41,31,49,37,37,31,45,39,36,30,52,40,37,30,55,39,40,31,52,41,42,32,53,40,39,37,53,45,41,32,53,42,43,2
31,45,37,35,24,39,29,37,17,19,31,36,30,52,40,40,30,48,42,37,28,41,38,39,32,53,40,39,33,57,45,38,32,53,45,43,2
24,40,40,41,31,52,40,42,31,48,42,42,34,56,43,40,34,55,42,40,31,52,41,36,32,57,43,41,37,57,48,43,36,57,52,45,2
31,48,40,41,31,49,40,37,28,42,35,36,30,52,40,34,27,45,34,30,28,43,28,32,36,57,50,41,37,57,52,43,32,53,42,43,5
31,48,40,38,28,43,33,34,24,40,31,32,27,46,35,30,27,42,26,30,25,39,28,28,36,57,50,41,33,53,42,41,29,43,28,33,5
24,40,29,31,24,41,21,27,24,40,27,29,24,39,27,26,24,40,18,26,25,39,24,28,29,43,26,29,27,39,32,27,23,41,32,29,5
24,40,25,28,24,41,21,23,22,38,23,29,24,39,23,26,21,36,22,26,22,30,24,28,23,41,30,25,24,39,20,27,20,36,24,29,5
24,40,21,24,22,39,21,27,17,32,23,29,21,37,23,26,21,29,22,26,17,27,20,32,23,39,18,25,21,36,24,27,20,29,20,29,4
22,38,21,28,17,33,21,27,12,19,19,32,21,30,23,26,16,26,18,30,14,20,28,28,20,36,22,25,21,29,20,27,16,26,17,26,4
17,32,21,28,12,20,17,30,12,19,15,25,16,27,19,30,13,19,26,26,14,17,17,28,20,29,18,25,17,26,17,24,16,22,20,29,4
12,19,17,31,12,20,13,23,14,19,15,25,13,20,27,26,13,16,15,26,14,15,13,23,16,26,15,22,17,22,20,27,16,19,20,33,4
12,19,13,24,14,20,13,23,14,16,11,25,13,17,16,26,13,14,11,21,11,15,13,28,16,22,18,25,17,19,20,31,14,16,17,33,4
14,19,13,24,14,17,9,23,12,16,11,29,13,15,12,21,10,14,11,26,11,15,13,28,16,19,18,29,15,16,17,31,8,10,13,29,4
45,76,63,60,48,80,72,62,48,76,70,61,40,64,50,45,40,63,49,45,41,67,55,50,44,63,56,46,42,59,50,44,37,63,54,46,2
48,80,72,63,48,76,68,59,38,72,65,57,40,64,50,45,40,66,53,48,41,67,59,52,41,59,48,42,38,63,54,44,37,59,54,50,2
48,76,68,60,38,73,63,55,34,61,53,46,40,67,54,48,40,66,57,50,44,77,63,59,37,63,52,42,38,59,54,48,41,74,71,66,2
34,61,51,45,34,56,43,38,34,55,45,40,43,79,62,57,43,74,61,54,33,57,47,43,41,74,69,62,45,78,67,61,41,63,54,46,2
34,55,43,39,34,56,43,38,34,58,45,40,43,75,62,54,32,56,45,41,33,57,47,41,44,78,65,59,42,63,54,44,33,59,46,44,2
34,55,43,39,34,59,43,38,30,61,49,46,32,57,46,41,32,56,45,39,33,57,44,38,41,63,52,42,34,59,46,42,30,59,50,44,2
34,58,43,39,30,62,47,44,30,61,49,46,32,57,46,39,32,56,42,36,30,57,44,41,33,59,44,40,31,59,50,42,30,56,46,44,2
30,61,47,45,30,62,47,44,30,61,53,46,32,57,43,36,29,56,42,39,33,60,44,43,30,59,48,40,31,56,46,42,33,59,54,46,2
30,58,43,42,30,59,43,38,30,51,42,40,32,60,46,41,32,56,45,41,30,53,38,38,30,56,44,40,31,52,43,39,33,52,37,38,2
30,58,43,39,30,52,40,38,30,51,39,37,32,57,46,41,29,52,36,36,30,49,35,31,30,52,41,37,34,52,37,36,33,49,40,35,3
30,51,40,39,30,52,37,35,30,51,42,37,29,53,37,36,29,48,33,29,27,49,35,31,33,52,35,34,34,49,40,33,33,49,40,35,3
30,51,40,36,27,52,40,38,27,48,39,37,26,49,34,29,29,48,36,33,27,46,35,31,33,49,38,31,31,49,37,33,30,49,34,31,3
27,51,40,39,27,49,37,35,27,48,39,33,29,49,37,33,26,45,33,29,27,46,31,31,30,49,35,31,31,49,34,29,30,47,37,31,3
30,45,35,32,30,46,35,27,27,45,39,33,29,46,26,29,26,45,29,25,27,46,35,31,30,49,35,31,28,49,37,29,30,47,37,31,3
27,45,37,32,27,49,37,31,27,45,37,29,26,46,34,29,29,45,29,25,30,46,35,27,30,47,35,27,28,44,34,29,27,44,37,35,3
27,45,35,28,24,46,31,27,24,40,25,24,29,46,34,25,26,42,33,25,24,43,35,27,27,44,35,31,28,47,34,29,27,49,40,38,3
24,45,31,28,24,41,23,22,24,40,29,24,26,43,34,25,23,42,33,25,24,43,31,31,27,47,32,27,28,49,40,36,27,47,37,35,3
24,38,23,28,24,39,23,22,21,38,29,33,20,36,30,29,16,25,36,39,15,16,44,56,8,13,56,68,6,8,58,80,5,5,58,86,1
24,38,23,23,21,39,27,31,21,38,39,40,16,26,37,39,14,15,42,54,9,10,51,69,5,8,56,78,6,5,58,83,5,6,58,86,1
21,38,27,32,21,39,37,38,27,42,39,43,14,16,43,54,8,9,49,67,6,6,59,79,5,5,56,81,6,6,58,83,2,6,58,86,1
30,55,43,42,34,56,51,44,34,55,49,46,8,10,54,67,18,31,42,41,33,53,44,38,5,6,56,81,12,15,50,61,24,40,40,38,1
34,55,51,45,34,56,47,44,34,58,49,43,18,32,43,41,32,52,42,36,37,57,47,43,11,15,48,59,25,40,40,36,33,56,46,44,2
34,55,47,45,34,59,47,41,38,61,53,46,32,53,43,36,36,56,45,41,41,60,51,43,24,40,38,34,34,56,46,42,37,59,46,46,2
34,58,47,42,38,62,51,44,38,61,45,46,36,57,46,41,40,59,49,41,37,60,47,43,33,56,44,40,38,59,46,44,37,52,46,44,2
38,61,51,45,38,62,43,44,38,61,49,43,40,60,50,41,36,59,45,41,37,60,47,43,37,59,44,42,38,52,46,42,33,56,50,44,2
38,61,47,42,34,56,47,41,38,58,49,46,36,60,46,41,36,59,45,41,37,57,47,43,33,56,48,40,38,56,46,44,37,59,46,46,2
34,55,47,42,38,59,47,44,38,58,49,46,36,60,46,41,36,56,45,41,41,60,51,47,37,56,44,42,38,59,46,44,37,63,54,46,2
38,58,47,45,38,59,47,44,34,58,53,46,36,57,46,41,40,59,49,45,41,60,51,43,37,59,44,42,38,63,54,44,41,63,54,50,2
38,58,47,45,34,59,51,44,38,64,53,51,40,60,50,45,40,59,49,41,41,64,51,43,37,63,52,42,42,63,54,48,44,63,54,50,2
34,58,51,45,38,65,51,49,42,61,49,51,40,60,50,41,40,63,49,41,41,64,55,47,41,63,52,46,45,63,54,48,44,66,54,50,2
38,64,51,50,42,62,47,49,42,64,53,51,40,64,50,41,40,63,53,45,41,64,51,47,44,63,52,46,45,66,54,48,41,63,50,50,2
42,61,47,50,42,65,51,49,42,68,57,51,40,64,54,45,40,63,49,45,41,64,51,47,44,66,52,46,42,63,50,48,37,63,50,50,2
42,64,51,50,42,69,55,49,38,64,57,51,40,64,50,45,40,63,49,45,41,60,55,50,41,63,48,46,38,63,50,48,41,63,50,46,2
42,68,55,50,38,65,55,49,42,61,53,46,40,64,50,45,40,59,53,48,41,64,51,47,37,63,48,46,42,63,50,44,37,59,50,50,2
38,64,55,50,42,62,51,44,42,61,53,46,40,60,54,48,40,63,49,45,41,64,51,47,41,63,48,42,38,59,50,48,37,59,54,46,2
42,61,51,45,42,62,51,44,42,61,49,46,40,64,50,45,40,63,49,45,41,60,51,43,37,59,48,46,38,59,54,44,41,63,54,46,2
42,61,47,45,38,62,47,49,38,61,49,46,40,60,50,41,40,59,49,45,37,60,47,47,41,63,52,42,42,63,50,44,41,63,50,46,2
38,61,47,50,38,62,47,44,38,61,49,46,40,60,50,45,36,59,45,45,41,60,47,50,41,63,48,42,42,63,50,44,41,59,46,46,2
38,61,47,45,38,62,47,44,38,61,49,46,36,60,46,45,40,59,45,48,41,64,47,47,41,63,48,42,42,59,46,44,37,59,46,44,2
38,61,47,45,38,62,47,44,38,58,49,46,40,60,46,48,40,63,45,45,37,60,51,43,41,59,44,42,38,59,46,42,41,59,50,44,2
38,61,47,45,38,59,47,44,42,58,49,46,40,64,46,45,36,59,49,41,37,60,44,41,37,59,44,40,42,59,50,42,41,59,50,46,2
42,58,47,45,38,62,47,44,38,64,53,51,36,60,43,39,36,52,42,39,37,60,47,43,41,59,48,42,38,56,46,42,37,59,46,46,2
38,61,47,45,38,65,51,49,38,61,53,46,36,53,43,39,36,59,45,41,41,64,51,50,37,56,44,40,38,59,46,44,41,63,50,50,2
38,64,51,50,38,62,51,44,38,61,53,46,36,60,46,41,40,63,49,48,37,64,47,47,37,59,44,42,42,63,50,48,41,63,50,50,2
38,61,51,45,38,62,51,44,38,61,49,43,40,64,50,48,36,63,45,45,37,64,51,47,41,63,48,46,42,63,50,48,37,63,50,46,2
38,61,51,45,38,62,47,41,34,55,45,46,36,64,46,45,36,63,49,45,41,64,51,50,41,63,48,46,38,63,50,44,37,63,58,50,2
38,61,47,42,34,56,43,44,30,55,42,40,36,64,50,45,40,63,49,48,37,60,47,47,37,63,48,42,38,63,58,48,37,59,50,46,2
34,55,43,45,30,56,40,38,38,51,42,40,40,64,50,48,36,59,45,45,37,60,44,43,37,63,56,46,38,59,50,44,33,59,46,46,2
30,55,40,39,38,52,40,38,38,51,42,43,36,60,46,45,36,59,42,41,33,57,41,43,37,59,48,42,34,59,46,44,33,59,50,44,2
38,51,40,39,38,52,40,41,38,58,42,43,36,60,43,41,32,56,39,41,33,57,44,38,33,59,44,42,34,59,50,42,33,56,43,41,2
38,51,40,42,38,59,40,41,38,58,49,43,32,57,40,41,32,56,42,36,37,57,38,41,33,59,48,40,34,56,43,39,30,52,43,41,2
38,58,51,42,34,59,43,41,34,55,49,43,32,57,43,39,32,56,42,39,37,57,44,41,30,52,44,37,34,56,46,42,37,56,46,44,2
34,58,43,42,34,56,47,41,34,58,45,43,32,57,43,39,36,56,42,39,33,53,41,41,33,56,44,40,38,56,46,42,37,52,40,44,2
34,55,47,42,34,59,43,41,38,55,42,40,36,57,43,39,32,52,39,39,33,57,47,41,37,56,44,40,38,52,40,42,33,56,43,41,2
38,55,40,39,34,56,43,38,30,51,42,40,32,57,46,39,32,52,42,36,33,53,41,41,33,56,41,37,34,56,46,39,33,52,43,41,2
30,51,40,39,30,56,40,41,30,51,42,43,32,53,40,39,36,52,42,39,33,53,41,41,33,52,41,37,31,56,40,39,30,56,46,44,2
30,55,40,42,30,52,40,41,30,48,45,40,36,53,43,39,32,52,39,39,33,57,44,38,30,56,38,37,31,56,46,42,33,52,46,44,2
30,51,40,42,30,49,43,38,27,40,39,40,32,53,40,39,32,56,42,36,33,53,44,41,30,56,44,40,34,52,46,42,33,52,43,41,2
27,40,37,39,27,43,37,38,34,55,45,43,32,53,43,39,32,52,42,41,33,57,44,43,33,52,41,37,34,56,46,42,37,56,46,44,2
34,55,43,42,34,56,43,41,30,51,42,37,32,57,43,41,36,56,45,41,37,57,51,43,37,56,44,40,34,59,46,44,33,59,46,41,2
34,55,43,42,30,52,40,35,27,45,37,33,36,57,46,41,36,56,49,41,37,57,51,43,33,59,44,42,34,59,46,39,33,59,46,44,2
30,51,40,36,27,46,35,31,27,42,29,33,36,57,50,41,36,56,49,41,33,53,41,41,33,59,44,37,34,59,46,42,37,59,46,44,2
27,45,35,32,27,43,27,31,24,38,29,29,36,57,50,41,32,52,39,39,30,43,27,31,33,59,44,40,38,59,46,42,30,47,40,35,5
27,42,27,32,24,39,27,27,24,40,21,29,32,53,40,39,29,42,25,29,27,39,31,27,37,59,44,40,31,47,40,33,24,42,30,31,5
24,38,23,28,21,37,23,27,21,29,25,29,23,41,30,25,23,38,17,25,21,36,23,27,24,40,24,23,25,42,26,29,24,40,30,31,5
21,36,23,28,21,30,23,27,16,26,21,33,23,39,18,25,20,35,21,25,21,29,19,27,24,42,24,27,25,40,30,29,21,38,19,23,4
21,29,23,28,16,27,19,31,13,19,29,29,20,36,22,25,20,28,17,25,17,26,16,24,24,40,28,27,22,38,19,21,18,31,12,20,4
16,26,19,32,13,20,27,27,13,16,18,29,20,29,18,25,16,25,14,22,17,22,19,27,21,38,17,19,19,31,12,18,18,29,16,23,4
13,19,27,28,13,17,16,27,13,14,14,24,16,26,15,22,16,21,17,25,17,19,19,31,18,31,10,16,19,29,16,21,18,31,16,27,4
13,16,16,28,13,15,12,22,10,14,14,29,16,22,18,25,16,18,17,29,15,16,16,31,18,29,14,19,19,31,16,25,16,23,19,27,4
13,14,12,23,10,15,12,27,10,14,14,29,16,19,18,29,14,15,14,29,9,10,12,27,18,31,14,23,17,23,19,25,14,15,19,31,4
