animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,target
39,1,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,5
40,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
41,0,0,1,0,1,0,1,0,0,1,0,0,4,0,0,0,5
42,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1
43,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1,0
44,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1,0
45,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,6
46,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1,0
47,1,0,0,1,0,1,1,1,1,1,0,0,2,1,0,1,0
48,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,0,0
49,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1,0
50,1,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,5
51,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,0,4
52,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,1,6
53,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,0,0
54,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,0
55,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1
56,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1
57,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1
58,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1
59,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
60,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
61,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,2
62,1,0,1,1,0,1,1,0,1,1,0,0,2,1,0,1,0
63,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1,0
64,1,0,0,1,0,0,0,1,1,1,0,0,2,1,1,1,0
65,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0
66,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1,0
67,1,0,0,1,0,0,1,1,1,1,0,0,2,1,1,1,0
68,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1,0
69,1,0,0,1,0,0,0,1,1,1,0,0,2,1,1,1,0
70,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1
71,0,0,0,0,0,0,1,0,0,1,1,0,5,1,0,0,6
72,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3
73,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0
74,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2
76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,6
77,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1
78,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1
79,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,2
80,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3
82,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1
83,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0
84,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,6
85,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,3
86,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1
87,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,5
88,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,4
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
90,0,0,1,0,0,0,1,1,1,1,0,0,2,1,0,0,2
91,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
92,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0
93,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,0
94,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1
95,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0
96,1,0,1,0,1,0,0,0,0,1,1,0,4,0,0,0,5
97,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1,0
98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
99,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1
36,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
99,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1
77,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1
56,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1
40,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
36,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
94,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1
56,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1
56,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1
21,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1
40,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
20,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1
16,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
57,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1
32,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1
16,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
11,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1
57,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1
57,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1
82,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1
55,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
79,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,2
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
61,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,2
79,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,2
90,0,0,1,0,0,0,1,1,1,1,0,0,2,1,0,0,2
79,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,2
90,0,0,1,0,0,0,1,1,1,1,0,0,2,1,0,0,2
61,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,2
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
61,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,2
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2
61,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,2
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2
90,0,0,1,0,0,0,1,1,1,1,0,0,2,1,0,0,2
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
90,0,0,1,0,0,0,1,1,1,1,0,0,2,1,0,0,2
79,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,2
61,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,2
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
90,0,0,1,0,0,0,1,1,1,1,0,0,2,1,0,0,2
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2
72,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3
85,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,3
7,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,3
72,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3
12,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
59,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
37,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
85,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,3
60,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
59,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
18,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
91,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
7,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,3
18,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
59,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
72,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3
60,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
85,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,3
85,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,3
85,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,3
91,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
60,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
91,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
91,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
2,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
60,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
37,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
60,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
88,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,4
25,0,0,1,0,0,1,1,1,1,1,0,0,2,0,0,0,4
88,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,4
88,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,4
88,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,4
51,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,0,4
51,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,0,4
51,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,0,4
25,0,0,1,0,0,1,1,1,1,1,0,0,2,0,0,0,4
88,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,4
51,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,0,4
51,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,0,4
25,0,0,1,0,0,1,1,1,1,1,0,0,2,0,0,0,4
51,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,0,4
25,0,0,1,0,0,1,1,1,1,1,0,0,2,0,0,0,4
25,0,0,1,0,0,1,1,1,1,1,1,0,2,0,0,0,4
51,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,0,4
25,0,0,1,0,0,1,1,1,1,1,1,0,2,0,0,0,4
25,0,0,1,0,0,1,1,1,1,1,0,0,2,0,0,0,4
88,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,4
51,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,0,4
25,0,0,1,0,0,1,1,1,1,1,0,0,2,0,0,0,4
88,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,4
88,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,4
25,0,0,1,0,0,1,1,1,1,1,1,0,2,0,0,0,4
25,0,0,1,0,0,1,1,1,1,1,0,0,2,0,0,0,4
88,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,4
51,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,0,4
51,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,0,4
25,0,0,1,0,0,1,1,1,1,1,1,0,2,0,0,0,4
88,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,4
25,0,0,1,0,0,1,1,1,1,1,0,0,2,0,0,0,4
51,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,0,4
88,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,4
88,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,4
25,0,0,1,0,0,1,1,1,1,1,1,0,2,0,0,0,4
51,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,0,4
38,1,0,1,0,1,0,0,0,0,1,1,0,4,0,1,0,5
24,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,5
38,1,0,1,0,1,0,0,0,0,1,1,0,4,0,1,0,5
41,0,0,1,0,1,0,1,0,0,1,0,0,4,0,0,0,5
87,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,5
50,1,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,5
38,1,0,1,0,1,0,0,0,0,1,1,0,4,0,1,0,5
24,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,5
41,0,0,1,0,1,0,1,0,0,1,0,0,4,0,0,0,5
29,0,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,5
87,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,5
87,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,5
50,1,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,5
87,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,5
38,1,0,1,0,1,0,0,0,0,1,1,0,4,0,1,0,5
24,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,5
87,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,5
87,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,5
29,0,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,5
29,0,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,5
39,1,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,5
41,0,0,1,0,1,0,1,0,0,1,0,0,4,0,0,0,5
38,1,0,1,0,1,0,0,0,0,1,1,0,4,0,1,0,5
87,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,5
96,1,0,1,0,1,0,0,0,0,1,1,0,4,0,0,0,5
87,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,5
24,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,5
39,1,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,5
41,0,0,1,0,1,0,1,0,0,1,0,0,4,0,0,0,5
96,1,0,1,0,1,0,0,0,0,1,1,0,4,0,0,0,5
39,1,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,5
50,1,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,5
41,0,0,1,0,1,0,1,0,0,1,0,0,4,0,0,0,5
76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,6
76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,6
45,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,6
76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,6
15,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,6
71,0,0,0,0,0,0,1,0,0,1,1,0,5,1,0,0,6
14,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,6
98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
84,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,6
52,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,1,6
71,0,0,0,0,0,0,1,0,0,1,1,0,5,1,0,0,6
45,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,6
98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,6
84,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,6
76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,6
13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6
13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6
84,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,6
84,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,6
45,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,6
84,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,6
15,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,6
76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,6
71,0,0,0,0,0,0,1,0,0,1,1,0,5,1,0,0,6
80,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
84,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,6
52,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,1,6
13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6
15,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,6
98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
