checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment, Installment,status n sex, Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker,target
3,8,4,7,377,4,3,3,1,0,1,2,42,2,1,0,2,0,0,0,0
1,13,2,9,494,1,2,3,2,0,3,2,15,2,1,0,2,0,0,0,0
1,23,4,4,448,0,4,3,2,0,3,0,17,2,1,0,2,0,0,0,0
1,14,3,1,816,4,3,2,2,0,3,1,17,0,0,1,3,1,1,0,0
3,17,2,0,250,1,4,3,3,0,3,0,22,2,0,0,1,0,0,0,0
1,23,2,4,441,0,3,3,2,0,3,2,5,2,0,0,2,0,0,0,0
3,2,3,4,92,0,2,2,1,0,1,0,5,2,1,0,2,0,0,0,0
1,5,4,3,350,0,3,3,2,0,2,2,16,2,0,0,2,0,1,0,0
3,8,2,1,468,4,1,1,3,0,3,2,7,2,0,0,2,0,1,0,0
1,17,4,2,898,0,2,1,2,1,2,2,20,2,1,1,3,1,1,0,1
3,13,1,0,796,0,4,1,2,0,3,3,20,0,1,1,3,1,1,0,1
1,8,2,0,775,0,3,1,2,0,1,2,13,2,1,0,2,0,0,0,0
0,17,2,3,841,4,1,0,1,0,1,1,11,2,1,0,2,0,1,1,0
1,10,2,9,234,2,4,0,3,0,1,0,16,2,1,0,2,0,1,0,0
1,2,3,9,246,1,4,0,0,0,1,2,12,0,1,1,2,1,0,0,0
2,11,2,7,8,0,1,3,1,0,3,1,4,2,0,0,2,0,1,0,0
1,13,2,0,784,0,3,2,2,0,2,0,9,2,0,0,1,0,0,0,0
3,23,4,0,846,0,2,3,1,0,1,0,6,1,1,1,2,0,1,0,1
0,8,2,4,307,2,4,2,3,0,0,0,16,2,1,0,2,0,0,0,0
3,29,4,4,629,4,4,3,2,0,0,0,28,2,1,0,2,0,1,0,0
0,26,2,4,820,4,3,3,1,0,2,2,11,2,1,0,3,0,1,0,1
0,6,4,3,399,4,1,1,1,1,2,0,8,2,0,1,2,0,0,1,0
0,22,4,3,698,2,2,0,1,0,3,2,4,2,1,1,2,0,0,0,1
1,8,4,0,454,2,3,2,0,0,2,2,17,2,1,0,3,0,1,0,0
0,15,2,4,329,0,2,2,1,0,1,0,6,2,1,1,2,0,1,0,1
3,17,4,1,663,0,4,3,1,0,1,2,22,2,0,1,3,0,1,0,0
3,8,2,3,317,0,2,2,2,0,1,0,5,2,0,0,1,0,0,0,0
2,6,4,0,63,0,4,3,2,0,3,3,44,2,2,1,2,0,1,0,0
1,13,2,3,352,4,1,3,1,0,2,0,8,2,0,0,2,0,0,0,1
0,8,4,0,396,0,2,3,2,0,1,1,11,2,1,1,2,0,0,0,0
0,8,2,4,44,0,2,3,3,0,1,0,21,2,1,0,1,0,0,0,0
1,8,2,6,28,0,2,3,2,0,1,2,11,2,1,0,2,0,0,0,1
1,8,4,1,335,0,0,3,2,0,1,2,15,2,1,1,3,0,1,0,0
0,8,4,0,616,0,2,2,1,1,1,0,10,2,1,1,2,0,0,0,1
1,29,2,0,861,4,3,0,1,0,1,2,5,2,1,0,2,0,0,0,0
0,23,3,7,812,0,2,3,2,0,2,1,10,1,1,0,2,0,1,0,1
3,11,2,3,508,0,1,1,2,0,2,1,8,0,1,1,1,0,0,0,0
3,13,2,3,373,0,2,3,2,0,3,3,28,0,2,1,2,0,0,0,0
3,31,2,4,882,1,3,1,1,0,3,0,2,2,1,0,2,0,1,0,0
3,8,4,4,170,4,4,3,1,0,1,0,19,2,1,1,2,0,1,0,0
3,19,3,1,863,3,2,1,2,0,1,2,8,2,1,1,2,0,0,0,0
1,8,2,4,61,2,2,3,2,0,2,0,47,2,1,0,1,0,0,0,1
1,11,4,4,511,4,3,3,2,2,1,0,16,0,1,2,2,0,1,0,0
2,8,2,4,340,0,2,1,1,0,1,2,25,2,0,0,1,0,1,0,0
2,2,2,0,47,3,1,1,3,0,1,0,8,2,1,0,0,0,0,1,0
1,23,2,4,728,0,1,3,1,0,0,3,11,2,1,0,3,0,1,0,0
0,19,2,4,606,0,2,2,2,0,1,2,8,2,1,0,3,0,0,0,0
0,13,2,3,469,0,2,1,2,0,1,2,3,2,1,0,2,0,0,0,1
3,15,4,3,432,0,1,3,1,0,3,1,4,2,1,0,2,0,1,0,0
1,29,1,9,625,1,3,3,2,0,1,2,11,2,1,0,2,0,0,0,0
0,2,4,0,74,0,4,0,1,0,3,3,20,2,1,1,2,0,1,0,0
3,8,4,0,37,1,3,3,1,0,2,2,32,2,1,1,2,0,1,0,0
0,23,4,3,752,0,2,2,2,2,1,1,9,2,1,1,2,0,0,0,0
3,13,4,4,293,3,4,3,2,0,3,2,27,2,1,1,2,0,0,0,0
3,2,2,4,211,1,4,1,2,0,3,3,23,0,2,0,2,1,1,0,0
3,6,2,4,352,0,2,0,2,0,3,1,19,2,1,0,2,0,1,1,0
2,23,2,4,767,0,2,3,2,0,0,2,5,2,1,0,2,0,0,0,0
1,17,4,1,842,3,4,1,1,0,3,3,10,2,0,0,2,0,0,0,0
1,17,3,9,814,1,3,3,2,0,3,2,17,2,0,0,3,0,1,0,0
0,8,2,3,183,0,2,1,1,0,3,2,1,2,0,0,2,0,0,0,1
0,5,4,6,187,1,4,2,2,2,3,0,29,2,1,1,2,1,0,1,0
0,8,1,8,3,0,4,3,3,0,0,2,26,0,1,0,1,0,0,0,0
1,17,2,0,618,1,3,1,2,0,2,2,19,0,1,1,2,0,1,0,0
3,2,4,4,345,4,2,0,2,0,1,0,15,2,1,1,1,1,0,0,0
3,17,4,4,538,1,4,2,2,0,3,0,17,2,1,0,2,1,1,0,0
3,13,4,0,118,0,1,3,1,0,0,1,11,2,1,1,2,0,0,0,0
3,11,2,5,177,2,3,3,2,0,2,1,17,2,1,1,2,0,1,0,0
1,6,2,0,825,0,0,1,2,0,3,3,50,0,2,0,3,0,1,0,0
3,23,2,0,85,2,4,3,2,0,3,1,17,2,1,0,2,0,0,0,0
3,2,2,3,550,2,2,0,2,0,1,2,13,2,1,0,2,0,1,0,0
0,13,2,3,132,0,0,3,1,0,1,2,14,2,1,0,2,0,0,0,1
1,7,2,3,292,3,1,3,1,0,0,0,1,2,1,0,2,0,0,0,0
3,17,2,3,676,0,3,1,1,0,3,1,6,2,0,0,2,0,1,0,0
1,17,4,9,357,0,4,3,0,0,3,0,12,2,1,1,2,0,1,0,1
0,11,0,0,97,0,4,3,2,0,2,2,14,2,0,1,2,1,0,0,1
3,8,2,3,60,0,2,3,1,0,0,0,7,2,1,0,2,0,1,0,0
1,17,3,3,386,0,0,2,1,0,1,1,15,2,1,0,3,0,1,0,1
1,4,2,4,237,0,2,3,2,2,1,0,14,2,1,0,2,0,0,1,0
0,15,3,7,605,0,1,1,2,0,0,1,7,2,1,1,2,0,0,0,1
3,21,1,1,834,4,0,3,1,0,0,0,34,0,1,0,3,0,1,0,1
0,8,2,3,485,0,2,1,0,0,0,2,23,2,1,0,2,0,0,0,0
0,2,4,4,2,2,4,3,2,0,3,2,33,2,1,1,2,0,0,0,0
3,8,2,4,367,0,3,3,2,0,1,2,12,2,0,1,3,1,1,0,0
0,15,4,0,19,0,4,3,2,0,3,0,46,2,1,1,2,0,0,0,0
3,23,3,9,877,0,1,0,0,0,0,2,9,2,1,1,2,0,0,0,1
1,23,3,9,706,0,2,1,0,0,1,0,11,1,1,1,3,0,1,0,1
0,15,1,0,302,4,2,3,2,0,1,1,21,2,1,1,1,1,0,0,1
3,17,4,3,653,3,2,3,2,0,3,0,31,2,1,0,2,0,1,0,0
1,13,4,0,78,0,4,3,2,0,3,2,17,0,1,0,2,1,1,0,1
3,11,4,4,216,0,2,3,2,0,1,1,12,2,1,1,2,0,0,0,0
1,5,1,1,742,0,4,1,1,0,3,3,51,0,2,0,3,1,1,0,1
1,12,4,0,143,0,0,1,2,0,2,2,49,2,2,2,0,0,1,0,0
0,8,2,4,36,1,3,3,3,0,0,1,1,2,1,0,2,0,0,0,1
1,13,0,3,588,0,2,0,1,0,3,2,14,0,1,1,2,0,1,0,0
3,17,2,9,713,3,2,1,2,0,2,1,35,2,1,2,3,0,1,0,1
1,29,0,9,659,1,3,3,2,0,3,3,15,2,2,0,1,1,0,0,1
1,19,2,9,669,0,2,3,2,0,1,2,17,2,1,0,2,1,1,0,1
3,2,2,4,393,0,3,1,3,0,1,0,10,2,0,0,2,0,0,0,0
1,27,2,4,559,1,2,3,2,2,3,1,2,2,0,0,2,0,0,0,1
1,5,4,7,261,0,4,1,1,0,2,2,15,2,1,1,3,0,1,0,1
3,2,4,4,226,0,2,0,1,0,0,2,9,2,1,1,2,0,1,0,0
1,8,2,3,98,1,1,3,1,0,3,2,8,0,0,3,2,0,0,0,1
1,17,2,1,519,4,4,3,2,0,3,3,17,0,2,0,2,0,1,0,0
1,13,3,3,699,0,4,3,0,0,2,3,21,2,1,0,3,0,1,0,1
3,5,4,7,93,2,4,3,2,0,1,2,33,2,1,1,2,0,1,0,0
0,8,2,0,141,0,2,3,3,0,2,0,8,2,1,0,1,0,0,0,0
3,19,3,9,741,0,3,2,2,0,3,2,7,2,1,1,2,0,0,0,0
0,8,2,8,83,0,3,3,3,0,3,1,2,2,0,0,2,0,0,0,1
3,8,4,0,259,0,4,3,2,0,0,0,19,2,1,1,1,1,0,0,0
0,21,4,1,887,0,4,2,2,0,3,3,19,2,2,2,3,1,1,0,0
3,8,4,3,357,0,4,3,2,0,3,0,24,2,1,2,2,0,1,0,0
1,8,4,5,240,0,3,3,2,0,2,1,7,2,1,0,2,0,0,0,0
0,17,2,9,800,0,2,1,3,0,1,2,2,1,1,0,1,0,0,0,0
3,8,2,1,236,3,3,2,2,0,1,1,36,2,1,0,2,0,0,1,0
3,5,4,4,566,4,2,0,2,0,1,0,14,2,1,1,2,1,0,0,0
3,23,2,4,658,4,4,1,1,0,3,0,26,2,1,0,1,0,1,0,0
0,19,0,9,749,0,0,1,2,0,3,1,31,1,1,1,2,0,1,0,1
2,21,3,9,348,0,4,3,2,0,3,0,47,2,1,0,3,0,1,0,1
3,23,4,4,592,4,4,3,2,0,1,2,32,2,1,0,2,0,1,0,0
1,2,4,8,92,4,3,0,1,0,2,1,20,2,1,1,1,0,0,0,0
0,13,0,9,570,0,3,2,2,0,0,1,12,0,1,0,2,0,1,0,0
2,23,2,4,667,0,2,1,2,0,1,0,4,2,1,0,2,0,1,0,0
0,17,2,3,557,0,2,1,0,0,1,0,5,2,0,0,1,0,0,0,0
3,6,2,0,218,0,2,1,1,0,3,2,45,2,1,0,2,0,1,0,0
1,8,2,4,25,0,1,3,3,2,0,0,7,0,1,0,1,0,0,0,0
0,8,2,7,150,4,2,3,1,0,3,1,4,0,0,0,2,0,1,0,0
3,8,2,4,45,0,2,3,2,0,1,0,11,0,1,1,2,0,0,0,0
3,17,3,9,550,4,2,3,2,0,3,0,13,2,1,1,2,1,1,0,0
3,11,2,1,718,0,2,2,2,0,1,2,11,2,1,0,2,0,1,0,0
3,23,0,6,493,0,2,3,2,0,1,2,8,2,1,1,2,0,0,0,0
1,29,2,4,890,3,3,0,2,1,1,3,8,0,1,1,2,0,1,0,1
0,8,2,3,847,0,4,3,2,0,3,3,34,2,2,0,3,0,1,0,1
3,5,2,4,254,0,3,3,2,0,1,2,3,2,1,0,2,0,0,0,1
0,17,2,3,577,0,1,3,2,0,0,3,3,0,2,0,2,0,0,0,0
2,23,2,4,692,0,2,3,2,0,1,2,7,2,1,0,2,0,0,0,1
3,5,2,0,475,2,4,1,2,0,3,3,32,2,2,0,1,0,0,0,0
3,8,2,4,403,1,3,2,2,0,0,3,16,2,1,0,2,0,0,0,0
1,13,2,4,75,0,2,3,3,2,1,0,6,2,1,0,1,0,0,0,0
3,0,4,4,279,0,3,1,2,0,0,0,23,2,1,2,1,1,0,0,0
0,17,2,4,327,0,0,3,2,0,1,2,11,1,1,0,3,1,0,0,1
1,2,2,0,913,4,0,0,2,0,1,1,4,2,1,0,0,0,1,0,1
1,15,2,9,522,1,4,3,0,0,1,2,42,0,0,1,1,0,0,0,1
3,8,4,4,189,0,2,3,1,0,1,1,16,2,1,1,2,0,0,0,0
0,21,2,4,479,0,4,0,2,2,2,1,20,2,1,0,2,1,0,0,0
0,17,2,0,86,4,4,3,1,0,1,2,10,0,1,0,2,0,0,0,1
3,2,2,4,297,0,3,2,2,0,1,1,32,2,1,0,2,1,0,0,0
0,29,0,1,715,0,4,2,2,0,3,3,5,2,2,1,2,1,0,0,1
3,8,4,9,144,0,2,2,1,0,1,0,8,2,1,1,2,0,0,0,0
3,8,1,8,611,2,2,3,1,0,2,0,16,2,1,0,1,1,0,0,0
3,17,2,9,176,0,3,3,2,0,0,0,6,2,1,0,2,0,1,0,0
3,8,4,4,48,0,4,3,2,0,3,0,33,2,1,2,2,0,0,0,0
3,2,0,0,153,1,2,3,2,0,0,3,16,0,0,0,2,0,0,1,0
2,17,2,3,353,0,2,1,2,0,1,0,7,2,1,0,2,0,0,0,0
3,13,2,4,12,0,0,2,1,1,3,0,3,2,0,0,2,0,0,0,1
0,2,4,0,34,3,3,2,1,0,3,0,20,2,1,1,1,0,1,0,0
2,8,2,3,426,0,2,0,1,0,1,2,27,2,1,0,1,0,0,0,0
1,21,2,0,408,0,2,3,1,2,1,3,5,0,1,0,2,0,0,0,1
3,17,3,3,688,1,2,1,2,0,2,1,16,2,1,1,2,0,0,0,0
1,5,2,3,380,4,3,1,2,0,0,2,5,2,1,0,2,0,1,0,0
1,31,3,4,830,4,2,0,2,0,0,0,8,2,1,0,1,0,0,0,0
3,17,4,4,505,0,2,3,2,0,1,0,16,2,1,1,1,0,0,0,0
0,8,1,4,407,0,2,3,0,0,0,3,10,2,2,0,2,0,0,0,1
3,11,2,1,656,1,1,0,1,0,3,2,4,2,1,0,2,0,1,0,0
3,7,4,4,136,1,0,3,1,0,3,0,38,2,1,2,1,0,0,0,0
0,8,2,3,304,0,2,1,2,0,1,0,8,2,1,0,2,0,0,0,0
0,17,2,4,300,0,4,3,1,0,3,2,36,2,1,0,2,0,0,0,0
0,13,4,0,750,0,4,1,2,0,3,3,17,2,2,2,3,0,1,0,0
3,8,4,7,515,0,4,1,1,0,3,3,38,0,2,2,1,0,0,0,0
3,6,4,0,165,0,4,2,2,0,3,0,13,2,1,1,1,1,0,1,0
1,11,2,4,68,0,4,3,2,0,2,2,18,2,1,0,2,1,0,0,1
3,23,4,9,787,4,4,3,2,0,3,0,17,2,1,1,2,0,0,0,0
3,17,2,4,273,0,1,3,1,0,2,2,19,1,1,0,2,0,1,0,0
0,10,2,0,867,0,4,0,0,0,3,1,26,2,1,0,3,0,1,1,1
3,17,2,4,106,4,4,3,2,0,1,2,6,2,1,1,2,0,0,0,0
3,13,2,0,500,4,3,3,2,0,2,1,13,2,1,0,2,0,0,1,0
3,8,4,3,231,2,3,2,1,0,3,2,18,2,0,0,2,0,1,0,0
1,29,1,0,900,4,0,3,2,1,3,3,17,2,2,0,3,0,1,0,0
1,29,2,4,563,0,3,3,2,0,3,0,9,2,1,1,2,0,0,0,1
0,21,2,6,899,0,1,0,0,0,0,3,15,2,1,0,1,0,1,0,1
3,5,2,4,507,0,2,0,2,0,1,0,13,2,1,0,2,1,0,0,0
3,13,4,4,461,0,2,1,1,0,1,2,7,2,1,1,2,0,0,0,0
0,8,2,3,177,4,4,1,0,0,3,1,30,2,1,0,1,0,1,0,0
3,2,2,3,716,0,1,0,1,0,3,1,13,2,1,0,2,0,0,0,1
3,17,2,4,346,1,2,3,2,0,3,2,10,2,0,0,3,0,1,0,0
3,11,4,1,597,3,4,2,2,0,3,3,4,2,0,1,2,0,1,0,0
3,8,2,3,291,0,2,3,2,0,1,0,31,2,1,0,2,0,0,0,0
2,13,1,4,245,4,3,3,2,0,3,2,30,0,1,0,1,0,0,0,0
3,11,4,3,267,4,4,3,2,0,3,1,44,2,1,0,2,0,0,0,0
1,17,4,0,665,1,1,3,0,0,1,2,18,2,1,0,2,0,1,0,0
0,28,2,0,888,0,1,0,1,0,0,0,16,2,1,0,1,0,1,0,0
0,29,2,1,727,0,3,3,2,0,2,1,7,2,1,0,2,1,0,0,0
1,29,3,2,836,1,0,1,2,0,3,3,12,2,2,0,3,0,1,0,0
1,8,2,4,123,0,2,3,1,2,3,0,30,2,1,1,2,0,1,0,0
0,17,3,4,108,0,1,3,3,0,3,0,29,1,1,0,2,0,0,0,1
3,8,2,9,121,0,2,1,3,0,1,0,7,2,1,0,2,0,1,1,0
1,23,2,1,874,0,1,0,3,0,3,2,9,2,0,0,3,0,1,0,1
0,17,4,1,795,0,4,1,1,0,3,3,25,2,2,1,3,1,1,0,0
2,26,4,1,729,0,4,3,2,0,3,3,37,2,2,0,2,0,0,0,0
3,29,4,9,838,4,4,3,0,0,1,2,27,0,1,1,3,1,0,0,0
1,29,2,3,880,0,1,0,1,0,1,2,7,2,1,0,2,0,1,0,1
3,8,2,1,719,4,1,0,1,0,3,2,1,2,0,0,2,0,0,0,0
3,6,2,0,186,4,4,3,2,1,1,1,26,2,1,0,1,0,0,1,0
3,13,2,3,477,0,2,2,2,0,3,0,24,2,1,0,2,0,1,0,0
1,15,4,3,513,3,3,2,2,0,1,2,13,2,1,1,2,0,1,0,0
3,2,2,0,35,0,0,0,1,0,3,0,35,2,1,0,0,0,1,0,0
1,23,0,4,655,0,2,3,1,0,0,2,23,2,1,0,2,0,1,0,1
2,17,4,0,209,4,3,3,2,0,1,0,18,0,1,1,1,1,0,0,1
0,6,4,0,111,0,3,3,2,1,2,1,30,2,1,1,2,0,1,0,0
3,29,4,0,881,2,2,1,2,0,1,3,25,0,2,0,2,0,0,0,1
3,2,2,3,278,3,2,3,0,0,1,0,14,2,1,0,2,0,0,0,0
3,21,2,1,730,4,3,1,1,0,3,1,5,1,0,0,1,0,0,0,0
0,8,2,4,50,1,1,3,3,0,2,3,14,2,1,0,1,0,1,0,1
1,4,2,3,167,0,2,2,1,0,3,0,5,2,1,0,2,0,0,0,1
1,5,2,0,1,0,2,3,3,0,3,0,3,2,0,0,1,0,0,0,0
1,29,2,2,753,4,0,2,2,0,3,3,21,0,2,0,0,0,1,0,0
3,17,2,3,757,1,2,3,2,0,0,2,6,1,1,0,2,0,0,0,0
2,17,2,3,649,0,1,1,1,0,3,2,7,2,1,0,2,0,0,0,0
1,8,2,0,40,0,3,1,3,0,2,2,6,0,1,0,1,0,0,0,1
2,0,2,0,258,4,1,0,2,0,1,0,10,2,1,0,1,1,0,1,0
0,23,1,3,514,0,4,3,2,0,3,2,12,0,1,0,2,0,0,0,1
0,8,2,3,46,0,2,1,2,2,2,1,19,2,1,0,1,1,0,0,0
1,17,2,3,701,4,2,0,1,0,3,1,29,2,1,0,1,0,1,0,0
3,8,4,7,44,0,2,3,2,0,1,2,13,2,1,1,2,0,0,0,0
0,11,3,3,641,0,4,0,1,0,3,1,8,2,1,1,1,0,0,0,0
1,21,4,0,695,0,0,3,3,0,1,2,9,2,1,1,3,0,0,0,1
0,17,2,4,359,0,1,3,0,0,2,1,13,2,1,0,2,0,0,0,1
0,17,2,1,543,0,3,1,2,0,0,3,15,2,2,0,3,0,1,0,0
0,13,2,3,499,3,2,3,2,0,1,2,9,2,1,0,2,0,0,0,0
3,13,4,0,109,0,2,3,1,0,2,0,17,2,1,1,2,0,0,0,0
0,4,4,0,603,0,3,0,2,0,3,0,20,2,1,1,1,0,0,1,0
3,8,4,3,764,4,4,1,2,0,3,1,30,2,0,0,2,0,1,0,0
3,17,2,0,269,3,3,3,1,0,2,2,15,2,1,0,2,1,1,0,0
