Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,target
0,65,52,23,563,303,187,234,8
2,75,63,32,1182,475,407,509,12
0,75,63,28,892,435,290,410,11
0,81,70,33,1167,561,307,491,12
2,59,50,22,491,314,139,207,7
0,63,51,27,667,342,214,283,8
1,55,43,21,411,193,131,207,8
1,62,51,21,505,271,167,207,7
0,80,66,33,1197,517,334,554,12
1,49,39,18,342,218,101,131,6
0,73,56,28,899,369,322,393,9
2,42,33,17,217,132,80,95,6
0,58,48,20,506,291,154,207,11
2,75,64,27,872,449,268,365,8
0,72,62,31,938,462,253,419,13
2,85,64,27,1147,455,324,454,9
2,65,53,25,631,320,219,234,7
1,56,43,23,425,227,137,187,6
2,69,55,26,699,305,227,293,9
0,58,44,25,419,235,148,179,7
0,64,48,24,622,329,222,244,8
0,69,53,28,721,344,244,321,10
0,73,58,29,806,408,285,340,8
0,64,54,29,672,334,247,273,10
1,60,59,20,429,231,154,169,9
0,75,57,26,615,315,208,273,8
0,53,41,24,399,216,161,150,6
1,48,37,16,253,137,94,113,6
0,91,76,32,1620,764,416,626,10
0,81,66,31,1116,551,313,435,14
2,86,72,26,1204,634,322,491,12
2,88,71,34,1311,584,383,582,13
2,100,84,42,2048,938,570,750,21
1,30,26,14,126,81,55,53,6
1,63,53,26,589,335,163,215,11
1,34,28,15,138,81,61,61,8
1,0,0,1,0,0,0,0,0
1,2,3,5,3,2,3,3,2
1,1,1,5,1,1,1,1,2
1,7,7,6,12,7,6,4,4
2,88,68,31,1375,659,434,491,16
1,29,23,13,107,53,46,53,4
1,21,18,12,63,40,18,29,4
1,35,29,15,144,71,50,61,7
1,41,34,16,194,108,75,95,7
1,45,35,16,207,122,66,95,9
1,39,32,15,186,109,62,80,12
1,47,38,16,240,130,80,113,8
1,36,32,14,183,116,73,71,6
1,44,37,21,263,145,106,113,6
1,41,33,20,203,113,67,95,6
2,93,77,35,1654,795,557,642,12
0,94,74,30,1561,971,430,536,11
0,90,75,36,1609,849,431,617,14
2,95,82,32,1814,919,551,609,14
2,87,73,34,1485,725,410,656,14
2,87,73,36,1573,719,347,718,18
2,84,75,31,1305,642,328,617,9
0,102,84,33,2019,1134,590,650,14
0,93,78,31,1620,904,507,528,12
0,83,78,30,1354,745,385,462,10
0,89,71,24,1251,693,342,481,11
2,81,67,32,1301,602,475,435,10
1,24,22,11,99,73,46,38,3
2,29,23,15,134,77,53,61,5
0,67,59,25,906,564,302,283,10
2,79,73,29,1302,681,369,419,13
2,45,38,21,381,219,124,151,7
2,69,61,29,901,406,174,454,8
0,65,55,24,696,377,197,303,12
0,103,88,42,2286,859,567,860,21
2,93,83,39,1744,779,537,656,15
2,99,80,40,1787,732,498,679,13
2,101,84,44,2112,1056,659,769,14
2,101,86,30,1835,776,391,718,12
2,106,91,42,2318,1329,647,877,21
0,107,89,36,1943,932,487,808,11
2,97,83,47,2207,1007,661,913,17
2,102,88,40,2082,1041,618,744,19
0,78,68,26,1016,500,318,444,10
0,82,66,36,1212,592,314,536,14
1,47,40,20,309,162,111,122,6
0,66,54,23,614,326,205,263,8
2,72,62,27,891,424,251,402,13
2,78,59,34,1396,613,313,554,13
0,82,66,33,1277,554,390,509,9
2,81,70,30,995,541,316,365,9
0,74,63,30,916,451,262,365,16
2,63,54,24,660,238,160,340,8
0,82,70,31,1160,595,356,427,9
2,83,70,35,1462,725,449,582,16
0,88,84,41,1859,947,554,635,11
2,97,78,32,1645,810,438,563,14
0,88,74,34,1489,644,411,626,18
2,95,82,38,1556,726,377,664,25
1,34,26,16,145,82,65,61,5
1,30,24,14,120,74,54,53,5
1,31,25,16,116,62,56,43,3
2,73,62,27,767,411,252,263,10
2,49,39,20,299,161,114,122,8
0,56,44,18,459,263,176,169,8
0,83,70,34,1297,608,345,600,12
2,49,39,19,324,190,116,120,7
2,47,37,19,270,157,96,115,5
0,69,55,25,652,336,225,263,9
1,15,12,11,34,17,16,15,3
1,8,7,5,13,6,7,4,2
2,104,86,47,2127,892,720,851,12
2,85,65,24,1086,468,324,349,13
2,89,70,28,1315,742,468,491,9
0,101,80,37,1818,879,607,688,20
2,87,71,27,1418,839,406,471,13
2,94,74,38,1920,871,640,617,18
0,99,77,39,1797,720,536,750,22
2,101,80,34,1888,821,585,778,22
1,65,54,21,628,358,131,244,7
0,102,90,37,1815,1081,492,688,13
2,65,53,19,488,265,200,207,9
0,91,74,30,1205,594,274,572,17
1,41,34,18,204,114,48,95,5
1,28,25,11,101,69,41,43,4
1,13,12,7,36,23,10,21,3
2,52,45,19,372,190,147,169,10
1,28,24,13,114,62,79,53,4
2,42,36,20,279,166,109,122,6
1,46,38,17,323,173,103,131,6
1,39,34,19,209,127,80,105,6
2,77,63,25,914,506,330,365,11
2,47,42,20,308,154,103,160,7
1,47,39,17,285,157,77,150,7
2,75,59,30,841,396,319,357,11
0,55,48,23,417,241,110,160,7
1,35,27,15,135,79,81,53,4
1,22,18,7,69,52,27,29,4
0,123,103,38,2354,1122,782,915,15
2,99,76,37,1934,1073,629,635,10
2,95,78,37,1599,762,527,582,13
2,93,73,36,1867,896,548,739,15
2,99,78,36,1914,1133,643,592,12
0,88,73,38,1474,767,498,509,14
2,90,74,28,1713,1091,452,536,13
0,99,85,40,1941,904,509,801,13
2,99,76,36,1856,1087,609,572,11
0,76,58,35,794,432,296,303,11
0,67,68,30,1066,565,301,427,7
2,73,61,27,1007,525,434,321,12
0,80,67,31,1079,515,343,491,8
1,43,35,15,245,141,108,87,5
1,50,44,22,352,163,145,150,7
2,97,79,29,1761,1056,488,501,13
0,97,82,36,1695,1015,577,435,7
0,92,73,33,1257,627,324,481,21
2,89,75,27,1392,846,410,435,11
2,91,74,33,1358,771,514,393,8
2,102,86,33,1857,962,568,609,15
2,115,99,40,2387,1328,853,875,19
2,110,88,36,2166,1268,664,695,12
0,104,88,37,2304,1279,752,695,17
2,124,100,42,2418,1453,840,914,16
0,112,92,35,2280,1336,756,804,15
2,96,81,35,1800,909,570,626,17
0,93,76,29,1464,741,489,609,11
0,105,88,34,2023,1142,595,764,19
0,95,79,29,1514,772,537,528,15
0,99,83,34,1743,943,599,626,11
2,101,86,31,1494,797,485,635,18
2,91,76,28,1289,834,328,471,10
0,91,74,23,1579,907,543,471,9
2,101,81,35,1664,868,549,563,11
0,113,95,42,2250,1251,594,790,16
0,105,92,32,2152,1228,680,726,15
0,107,96,38,2276,1265,646,819,15
0,111,99,39,2291,1098,828,883,18
0,115,98,33,1899,963,623,733,13
2,112,87,29,1935,879,580,702,12
0,110,92,38,2256,1256,721,886,19
2,101,81,37,1730,933,665,509,10
0,92,73,31,1583,944,571,444,9
2,88,76,34,1460,736,363,656,14
0,97,82,36,1632,699,622,592,11
2,96,77,35,1680,709,557,679,14
2,82,67,28,1128,622,375,444,9
2,72,63,26,943,590,271,357,9
2,69,58,23,778,420,241,349,11
2,84,68,26,1218,704,417,419,9
0,66,57,20,684,401,246,234,8
2,83,67,30,1054,662,301,383,11
2,67,59,26,667,383,242,253,9
2,73,67,24,862,445,284,393,13
1,68,58,23,650,412,235,244,8
1,58,48,19,422,279,116,179,9
2,70,58,24,836,520,227,321,9
0,69,58,24,785,471,271,321,9
1,48,42,18,321,191,106,131,8
1,44,38,18,244,132,104,113,5
1,53,45,19,392,207,125,197,10
0,75,62,27,1021,597,349,427,9
2,69,59,28,824,444,285,331,7
2,82,71,29,961,479,275,462,11
2,92,74,29,1447,825,412,554,10
0,72,56,23,827,506,259,311,8
2,78,74,26,1030,554,322,419,8
0,62,48,21,587,328,194,273,6
0,78,66,27,987,587,301,357,9
1,63,52,23,484,303,163,187,6
0,80,71,29,1214,695,394,427,11
2,65,54,22,663,394,206,263,7
2,93,80,23,1324,737,361,518,15
2,86,73,28,1331,756,489,509,10
2,89,71,18,1186,640,440,419,7
2,93,83,32,1625,865,482,609,14
2,92,78,23,1379,775,420,501,13
0,91,75,23,1457,877,474,501,10
2,84,71,23,1236,655,340,427,11
0,96,82,33,1811,999,490,688,13
0,99,77,27,1521,679,445,642,14
0,101,83,33,1903,1055,530,702,19
2,101,86,32,1946,924,686,769,19
0,101,83,30,1477,692,395,642,15
2,84,65,27,886,414,317,419,12
0,109,91,32,2096,980,701,824,13
1,73,59,23,738,402,275,273,10
0,73,61,26,811,460,243,357,12
1,33,28,13,109,56,44,53,7
1,27,23,13,94,58,37,43,5
2,91,73,34,1572,804,403,572,12
0,97,80,32,1605,744,484,592,17
2,95,83,31,1492,755,344,592,18
0,87,74,24,1376,648,255,664,20
0,90,73,33,1541,713,338,679,17
0,89,73,34,1395,718,330,528,17
2,95,77,30,1526,829,389,582,19
2,88,74,33,1317,644,309,572,17
2,84,67,27,1070,462,257,454,21
1,63,52,19,485,218,178,207,12
2,75,65,29,941,529,271,393,10
1,47,38,18,270,149,84,150,6
1,52,44,18,324,162,107,150,13
2,53,43,17,399,258,126,140,8
2,75,66,32,980,465,273,444,12
1,47,38,21,298,169,102,140,9
1,42,35,19,233,138,114,113,7
0,76,68,27,1227,516,322,509,18
1,54,42,19,352,241,62,140,9
0,57,48,20,481,290,151,207,9
0,87,74,37,1019,532,255,491,8
2,88,70,36,1437,620,269,688,12
2,88,74,36,1351,667,312,664,15
2,96,83,34,1614,902,461,664,11
0,88,74,29,1176,688,315,462,17
2,120,96,42,2334,1275,841,875,15
0,110,90,31,2014,1112,629,733,15
0,108,94,38,2041,1091,695,642,16
0,88,81,30,1347,765,436,454,10
0,104,93,34,1877,1072,605,592,13
2,90,77,27,1207,657,344,427,10
0,103,91,34,1790,964,514,688,14
1,47,39,20,243,120,87,131,8
1,58,45,21,384,220,111,168,9
0,80,65,26,1010,550,302,419,10
2,51,40,19,344,205,119,122,10
0,92,76,33,1455,730,445,471,11
1,23,20,13,71,40,33,36,5
1,19,16,10,52,32,21,29,4
1,26,22,13,74,39,37,36,5
1,10,8,9,15,8,4,9,4
0,109,93,37,1998,1026,603,702,11
2,106,89,38,1995,1067,543,718,12
0,111,93,41,2265,1121,606,895,16
2,110,94,39,2041,1031,529,783,20
0,81,71,26,1117,590,340,390,8
0,78,64,23,918,544,278,315,9
1,61,51,23,471,274,126,178,8
0,79,64,23,889,496,280,323,10
0,84,66,31,1101,510,288,494,9
2,81,66,34,1056,489,276,470,16
0,68,53,22,569,285,179,233,8
2,108,91,34,1940,937,504,726,16
2,122,101,44,2272,1187,671,875,20
2,107,92,36,1910,1004,523,775,15
0,115,100,36,2303,1282,636,796,27
2,90,63,30,1362,679,486,536,16
2,89,76,24,1225,715,350,427,14
0,91,75,29,1461,812,421,462,18
2,101,79,28,1486,801,471,544,11
0,92,76,27,1320,720,320,563,12
2,85,73,25,1338,714,474,518,10
0,100,86,29,1814,990,609,642,14
2,83,67,26,1156,657,356,419,10
0,89,74,32,1559,833,436,509,13
2,93,74,28,1578,899,377,509,13
2,91,75,25,1340,672,359,518,12
0,106,85,30,1874,1012,567,718,10
2,106,89,34,1840,920,523,726,14
2,100,83,38,1969,1103,434,656,16
0,100,83,29,1391,649,444,544,14
0,103,87,34,1824,803,515,801,11
0,96,80,32,1484,824,415,536,18
0,98,88,30,1529,808,460,617,10
2,86,73,34,1268,617,401,544,9
0,91,71,35,1233,691,324,435,11
0,99,87,44,1740,714,536,695,22
0,99,77,44,1643,714,426,642,14
0,95,84,37,1662,831,508,642,12
0,100,80,37,1725,831,458,733,16
2,95,77,34,1626,921,491,563,14
2,87,75,46,1210,627,311,544,11
2,92,74,44,1552,721,439,650,14
2,87,70,35,1292,678,405,444,10
1,87,72,30,1267,565,415,491,15
1,111,89,36,1633,832,487,609,9
0,66,53,27,722,410,250,234,9
0,73,59,28,955,465,359,374,9
2,37,27,16,169,104,70,71,5
0,30,22,13,80,49,40,36,4
2,29,22,15,107,61,36,43,5
2,55,41,22,363,198,112,122,8
2,31,23,15,93,51,40,43,4
2,40,29,17,171,102,65,71,3
0,44,33,17,250,137,115,87,5
2,17,13,9,37,22,14,13,2
0,47,37,17,228,150,74,87,4
1,48,35,22,272,166,86,113,8
2,15,11,10,32,20,13,13,4
2,22,15,11,52,41,16,21,3
2,10,8,7,16,11,9,4,3
2,6,5,7,7,5,3,4,2
0,89,72,30,1047,530,315,419,13
0,89,73,31,1419,749,506,462,11
2,52,43,18,306,157,115,140,8
1,81,67,36,1072,562,309,365,19
0,67,54,25,627,354,208,224,12
1,69,57,23,649,339,208,273,11
0,62,50,21,506,311,169,187,8
1,69,57,27,694,388,242,253,9
1,68,59,25,620,349,157,273,10
1,79,64,27,809,370,287,319,10
2,33,29,14,128,70,48,61,6
2,30,24,13,97,52,37,48,4
0,50,41,22,350,165,129,147,9
0,75,58,27,854,451,280,319,14
0,63,54,22,560,289,182,226,10
2,59,48,22,378,179,111,194,14
2,64,53,22,477,285,136,201,7
0,51,41,20,331,177,99,140,9
2,39,32,14,182,99,73,78,10
2,26,22,12,80,50,33,39,7
2,16,14,8,41,24,8,22,6
0,88,73,31,1135,679,308,410,11
1,86,68,35,1270,697,398,454,10
1,105,86,31,1710,936,403,592,16
1,98,81,30,1449,784,387,617,12
1,87,71,32,1143,632,344,444,11
1,71,57,23,715,384,259,273,12
1,72,61,24,832,539,279,207,8
1,75,60,29,888,488,330,283,9
1,80,64,29,1135,579,407,454,13
0,107,83,32,1748,869,592,656,11
0,107,89,33,1916,982,521,758,12
1,79,63,28,938,501,208,393,12
0,63,51,20,482,268,158,202,7
1,78,63,23,936,507,355,303,12
0,70,53,22,617,315,181,273,10
0,84,66,29,1048,525,323,390,10
0,69,54,25,765,371,249,331,13
2,45,34,12,214,122,74,95,9
1,72,54,25,816,457,261,299,11
1,62,49,24,548,309,208,162,11
2,31,25,15,118,66,50,52,6
0,57,47,22,516,302,198,167,10
1,65,53,27,654,389,215,220,15
1,65,52,26,603,365,172,202,13
0,93,74,30,1570,722,452,726,19
0,89,71,27,1392,715,399,544,16
1,97,78,29,1412,784,397,617,9
0,97,78,27,1669,998,468,626,10
1,87,68,27,1334,757,392,462,9
0,92,70,34,1438,766,496,481,9
1,91,72,29,1288,724,415,454,10
0,101,79,34,1966,948,603,834,16
0,100,81,34,1804,1050,491,650,10
1,85,68,29,1154,710,339,435,13
0,104,88,37,2063,1225,677,750,18
1,67,54,27,685,401,263,197,12
0,57,44,19,480,319,127,187,10
1,74,61,24,947,534,321,357,10
1,79,68,33,967,526,345,349,9
0,85,65,28,1189,583,378,444,12
2,65,50,27,636,300,149,263,13
0,56,45,23,405,248,113,160,12
1,77,63,29,1064,538,332,419,12
0,49,41,22,321,197,111,122,8
1,80,65,34,1268,675,411,365,17
0,107,87,35,2102,995,591,733,18
2,82,67,29,996,482,303,427,11
1,90,74,35,1231,567,362,536,12
0,85,69,27,1018,480,369,402,8
1,96,77,27,1369,638,399,572,12
1,96,82,28,1551,696,448,642,11
0,87,72,38,1436,574,446,600,15
1,82,67,28,1350,752,390,444,16
0,52,46,21,374,219,124,138,9
0,53,43,19,341,191,117,143,12
1,69,52,22,677,371,213,295,10
1,78,61,27,776,370,224,399,11
1,60,52,24,574,292,156,271,12
2,44,37,17,236,137,88,93,8
1,72,57,25,627,334,223,236,9
2,49,40,19,290,116,132,133,9
2,45,36,17,212,97,81,110,11
0,63,52,33,551,272,162,266,11
2,14,12,9,27,12,13,16,3
2,40,31,14,181,79,68,95,8
1,74,57,24,660,340,138,301,17
1,65,53,28,732,386,197,294,14
2,58,52,26,515,230,137,259,12
0,69,54,27,586,277,187,267,11
2,39,31,16,201,113,91,78,6
2,37,28,14,148,75,64,69,8
2,22,17,10,50,26,18,28,6
2,44,34,15,199,102,82,86,9
1,72,59,27,956,404,257,349,17
0,75,60,22,965,553,273,349,11
0,75,60,20,693,331,216,303,16
1,68,55,20,693,397,229,244,14
0,80,64,31,935,498,222,402,11
0,60,50,18,423,215,119,215,9
0,51,44,18,367,225,102,150,7
1,81,66,28,1377,727,367,471,20
2,43,36,16,220,135,89,105,9
1,70,56,22,679,414,244,231,8
0,61,51,23,524,283,187,245,6
2,67,56,24,645,349,186,279,9
1,69,55,25,729,366,210,293,8
2,47,42,19,260,114,102,122,8
2,46,36,17,198,83,79,101,7
2,51,30,19,333,188,105,131,6
2,46,35,16,231,143,94,87,5
1,63,52,23,675,363,213,283,13
0,77,63,25,803,407,270,349,12
2,40,31,16,205,140,73,80,6
1,99,80,35,1732,886,527,688,12
0,93,73,31,1308,674,309,563,18
2,41,34,18,227,128,87,95,6
2,65,51,25,494,293,156,179,8
1,64,49,23,457,214,165,179,10
2,41,26,14,125,74,50,53,5
2,71,58,28,1108,401,257,303,8
1,67,53,23,677,356,207,273,10
0,70,55,24,609,311,159,244,8
2,26,19,12,79,53,25,36,4
1,42,32,17,196,101,77,95,5
1,69,53,25,643,339,195,253,10
2,37,28,15,154,91,45,80,6
0,49,39,21,293,168,90,122,9
2,34,26,14,147,83,56,61,6
0,86,70,32,1416,634,460,528,16
0,98,86,33,1679,815,446,733,15
1,91,81,38,1904,1004,504,718,17
0,92,78,36,1400,784,320,592,10
1,105,88,35,2198,1120,678,847,17
1,82,73,33,1113,575,308,528,10
0,58,51,25,488,264,174,207,9
0,51,44,20,366,186,120,150,11
1,65,54,23,556,204,130,283,18
0,54,42,18,284,137,105,131,9
2,66,53,23,669,335,285,283,10
0,72,59,29,855,400,277,321,14
2,85,68,30,1334,521,483,600,12
0,65,53,28,759,325,243,311,12
2,70,60,28,875,437,213,383,13
0,75,59,30,930,448,283,365,16
0,81,65,32,1162,447,335,427,18
2,73,61,29,802,418,245,303,20
0,73,60,29,1122,449,277,427,22
0,79,62,35,908,288,217,435,21
2,83,66,28,1057,494,333,435,11
0,75,58,22,839,340,293,340,10
0,65,59,32,1169,467,380,471,22
0,49,38,19,280,165,49,131,7
1,49,38,19,292,157,90,113,6
2,72,57,27,801,378,280,311,9
0,62,48,22,525,280,185,207,6
2,82,64,36,1201,599,342,518,15
2,77,63,27,926,458,330,331,9
2,88,71,36,1322,648,462,454,14
0,82,63,29,1151,631,422,374,12
0,82,64,24,1352,487,282,617,15
2,80,63,33,1042,524,408,349,10
2,93,71,29,1395,690,482,528,10
2,75,58,29,902,474,287,340,9
1,26,21,14,88,54,38,36,4
0,61,48,22,515,267,210,187,10
2,51,41,23,370,210,128,140,8
1,8,5,3,10,5,2,4,3
1,38,29,17,146,70,77,61,6
1,6,4,9,8,3,4,4,3
2,31,24,19,128,92,54,43,4
0,61,50,23,605,282,226,244,12
0,54,46,20,463,212,179,206,15
2,52,40,20,380,217,134,145,11
0,71,60,26,748,349,281,307,13
0,64,49,20,618,332,203,213,8
2,54,42,22,413,215,116,188,11
2,55,43,24,564,352,177,202,8
2,58,48,27,564,279,200,252,9
2,38,33,17,250,105,71,130,10
0,44,35,17,256,136,84,125,9
2,47,42,25,359,159,111,170,9
1,34,28,17,120,65,46,47,6
1,40,33,15,210,101,68,101,6
2,50,43,19,316,185,92,137,10
1,31,24,10,124,74,52,50,6
2,46,36,16,247,119,103,112,7
2,45,34,15,232,141,74,101,8
1,30,23,12,112,79,38,43,6
1,33,24,13,103,56,35,53,7
1,25,21,11,77,56,20,35,5
1,11,8,6,18,11,8,10,3
1,5,3,4,6,2,5,4,1
1,7,5,4,9,5,8,4,2
2,86,74,31,1556,742,453,524,12
2,86,71,29,1606,787,421,759,14
2,80,65,25,1452,730,483,528,14
2,68,55,15,676,352,247,273,10
0,73,55,21,698,294,211,349,16
2,55,44,16,385,192,138,169,9
0,71,58,20,732,406,236,273,11
2,76,63,24,1099,513,315,454,12
0,79,63,23,926,489,400,293,14
2,80,63,25,1191,448,362,491,10
2,84,67,25,1277,706,336,410,12
2,79,63,23,1179,560,358,471,14
2,76,59,25,932,422,354,393,12
2,80,68,23,1253,531,349,518,17
2,77,61,24,933,491,364,311,9
2,79,60,22,952,444,341,365,11
0,79,64,24,914,450,344,374,11
2,82,65,26,1246,537,302,572,13
2,64,52,17,505,258,145,215,9
2,81,71,40,1202,604,432,435,13
0,47,36,17,255,137,111,95,7
0,82,67,29,1051,523,369,383,13
0,79,64,27,1171,525,363,462,16
2,81,66,25,1214,516,386,471,19
0,81,67,25,1470,641,449,471,16
0,107,87,39,2230,1241,846,769,16
2,79,60,27,937,464,404,283,8
2,82,67,25,1153,566,359,501,13
