Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
87,80,134,189,84,551,88,1
556,628,376,763,540,175,554,1
397,269,607,71,386,837,346,1
357,293,465,186,345,756,281,1
103,126,87,386,98,195,105,1
137,119,193,198,132,363,122,1
150,191,126,427,147,356,162,1
192,266,147,514,197,143,215,1
623,589,620,464,608,227,576,1
212,321,138,609,223,78,274,1
157,282,78,676,172,469,223,1
707,602,773,241,694,789,614,1
108,47,258,45,99,611,68,1
156,234,90,575,159,643,191,1
382,456,307,582,378,166,417,1
121,104,161,205,112,575,78,1
82,92,97,261,72,437,72,1
346,396,288,525,347,189,371,1
407,392,437,360,393,431,383,1
168,202,144,423,161,579,163,1
27,53,33,348,30,571,36,1
307,212,468,107,298,815,269,1
68,60,119,159,73,169,112,1
207,192,248,253,198,862,165,1
403,320,558,136,396,721,353,1
453,292,672,62,432,460,378,1
418,299,598,95,409,585,376,1
503,493,502,465,497,151,492,1
75,8,343,0,66,729,46,1
202,221,199,371,204,695,212,1
30,11,113,44,33,192,37,1
37,122,8,703,38,108,70,1
92,113,85,342,89,293,82,1
153,88,286,80,146,517,139,1
387,390,380,422,380,465,388,1
588,606,527,615,586,471,613,1
364,417,386,446,364,782,427,1
234,258,229,382,229,800,248,1
134,148,162,303,139,618,171,1
38,29,99,91,35,650,39,1
595,534,611,385,579,426,542,1
64,75,80,265,65,248,74,1
515,461,562,317,494,314,497,1
223,247,208,398,226,124,260,1
218,225,245,298,218,511,207,1
334,463,211,709,332,702,418,1
136,242,72,640,134,462,149,1
432,399,497,304,462,229,458,1
523,363,699,84,518,860,473,1
140,76,268,75,133,801,91,1
33,10,156,32,32,452,30,1
101,99,125,237,97,717,73,1
554,549,516,529,550,458,525,1
320,337,326,375,333,690,311,1
279,179,451,92,269,805,214,1
52,183,11,759,56,262,93,1
480,360,630,122,463,480,360,1
54,71,56,332,54,369,50,1
14,46,7,484,11,895,12,1
201,121,333,94,193,489,140,1
340,331,366,323,326,553,299,1
451,484,397,552,444,792,429,1
443,430,471,384,426,810,363,1
543,369,704,87,519,614,414,1
16,2,153,5,15,892,9,1
468,552,316,720,449,705,452,1
60,102,50,439,55,91,53,1
548,393,688,114,535,703,454,1
345,336,362,333,329,442,277,1
538,244,796,4,510,880,377,1
230,196,318,185,236,295,225,1
231,193,283,207,216,400,154,1
274,188,412,111,265,677,203,1
262,184,416,105,246,234,218,1
398,387,432,357,398,309,366,1
384,427,351,510,379,715,351,1
306,222,463,118,307,416,278,1
399,353,493,245,383,679,335,1
20,38,34,258,20,371,22,1
249,205,332,182,252,439,242,1
28,16,93,65,27,662,23,1
118,86,184,152,104,868,57,1
107,69,216,96,101,178,98,1
85,217,26,745,78,50,121,1
193,330,84,699,186,842,209,1
221,232,218,355,211,427,201,1
130,136,141,312,135,733,131,1
267,146,447,68,251,521,206,1
98,170,65,553,93,71,115,1
282,348,239,507,292,156,361,1
379,468,295,627,391,273,466,1
112,59,227,82,108,474,97,1
72,63,116,167,81,138,108,1
290,327,273,416,295,221,344,1
188,65,448,24,177,865,138,1
601,538,644,354,589,317,559,1
486,418,576,238,490,193,441,1
460,447,514,359,452,454,437,1
563,562,545,522,563,167,580,1
297,338,279,428,297,506,303,1
414,210,702,21,423,723,369,1
425,368,528,218,421,750,359,1
164,219,129,482,165,324,180,1
144,49,403,17,142,697,127,1
518,550,456,591,513,323,515,1
9,22,10,319,10,198,13,1
115,89,190,147,120,144,110,1
31,3,173,11,25,870,10,1
84,24,265,19,70,813,41,1
141,278,58,705,141,421,175,1
41,109,28,550,49,17,99,1
63,68,88,226,69,129,75,1
126,124,178,243,131,468,126,1
50,143,22,668,63,140,109,1
161,172,188,302,158,235,179,1
227,319,164,578,222,798,228,1
531,354,695,79,504,824,413,1
181,117,321,93,185,482,174,1
77,81,107,227,93,75,141,1
200,185,244,240,194,327,167,1
263,255,282,287,262,147,282,1
119,96,183,171,117,322,96,1
433,289,655,66,440,652,438,1
70,17,264,9,67,724,47,1
18,50,23,400,18,818,27,1
25,6,185,12,37,126,38,1
391,470,299,628,405,445,415,1
42,73,43,390,41,347,45,1
252,324,192,534,240,883,226,1
56,82,49,401,50,220,43,1
388,228,642,46,387,640,348,1
34,58,31,397,28,567,21,1
265,235,324,233,249,440,250,1
76,74,179,129,82,364,87,1
53,33,133,85,46,794,34,1
125,153,98,421,122,835,106,1
246,240,272,281,244,536,240,1
449,405,522,279,441,267,412,1
217,312,132,610,205,806,202,1
329,377,261,531,320,755,337,1
266,401,118,747,260,712,283,1
381,415,339,494,367,339,331,1
171,83,334,55,168,781,123,1
513,580,426,663,500,62,531,1
577,613,473,677,560,787,534,1
325,365,327,424,321,383,320,1
57,93,69,351,60,136,117,1
8,1,67,28,6,891,3,1
429,379,526,248,429,606,439,1
289,394,186,664,294,848,297,1
47,44,105,127,51,233,60,1
464,356,584,156,450,644,389,1
219,134,344,100,215,338,168,1
321,241,484,120,310,159,321,1
170,103,277,99,154,701,118,1
445,454,430,454,434,301,421,1
374,429,311,541,369,463,357,1
209,144,303,134,208,556,193,1
602,457,714,126,593,838,521,1
327,358,297,441,318,182,350,1
394,462,317,589,388,271,379,1
240,145,404,89,237,559,198,1
787,884,787,866,852,10,894,1
291,359,219,560,279,120,279,1
373,347,466,249,368,864,349,1
477,483,452,505,473,496,491,1
354,332,418,269,344,340,310,1
342,253,478,133,319,422,247,1
183,77,401,38,178,612,152,1
172,64,457,20,176,591,160,1
674,542,769,170,658,507,591,1
13,14,35,153,13,359,11,1
550,455,631,231,531,423,450,1
203,120,353,88,188,656,137,1
352,318,421,250,351,254,334,1
478,441,536,313,472,594,430,1
260,203,337,178,256,484,231,1
257,344,177,600,248,83,262,1
271,485,68,846,255,881,302,1
143,209,128,458,162,294,153,1
316,259,408,184,299,819,237,1
67,32,232,37,64,308,56,1
222,294,168,537,220,655,211,1
58,281,6,852,79,121,134,1
292,220,406,150,271,843,208,1
21,62,13,512,21,874,26,1
276,322,237,456,267,196,243,1
79,98,83,305,80,103,65,1
176,45,513,2,170,638,107,1
17,25,45,166,17,288,16,1
303,140,548,42,285,707,200,1
194,164,240,217,192,524,156,1
248,346,158,623,250,106,275,1
173,123,249,155,167,504,144,1
69,42,209,57,85,503,79,1
372,355,422,307,366,552,345,1
298,306,298,345,288,384,263,1
11,28,14,321,14,217,17,1
420,335,570,142,419,641,386,1
314,200,525,74,315,808,285,1
195,251,170,472,196,396,195,1
458,442,489,381,453,620,425,1
189,316,96,672,195,95,239,1
154,257,81,629,143,346,161,1
215,274,181,480,217,876,232,1
236,204,280,225,230,605,205,1
375,186,684,23,374,443,355,1
146,207,127,455,144,896,173,1
326,370,301,466,329,180,313,1
505,486,508,444,496,467,513,1
395,514,294,689,425,202,475,1
59,157,19,706,58,105,92,1
32,34,62,164,31,584,31,1
567,475,634,262,564,706,558,1
199,256,171,475,187,131,186,1
300,238,435,149,306,720,328,1
353,295,443,197,346,568,292,1
412,488,365,588,410,435,446,1
78,110,75,387,74,160,77,1
261,305,221,462,247,320,253,1
546,559,496,567,554,522,550,1
322,473,151,777,308,343,381,1
113,108,130,259,107,820,80,1
562,464,637,235,548,531,479,1
81,41,204,54,77,823,52,1
149,249,82,608,160,653,177,1
470,351,615,119,464,595,403,1
351,303,462,195,336,357,309,1
211,61,532,6,210,858,143,1
258,425,89,782,266,405,312,1
441,406,510,299,431,415,419,1
273,329,255,450,280,253,290,1
102,176,66,556,116,188,170,1
105,52,236,60,105,508,62,1
285,302,290,358,293,161,270,1
663,601,694,365,647,607,594,1
390,280,563,101,377,796,300,1
90,70,142,169,86,555,61,1
343,211,533,81,328,783,264,1
186,130,300,116,189,535,155,1
536,383,683,115,515,665,435,1
185,187,226,266,180,305,197,1
5,21,5,470,5,278,4,1
363,271,519,121,352,736,293,1
555,308,777,27,534,473,422,1
645,479,774,103,634,790,564,1
309,325,312,366,304,730,284,1
301,151,569,41,296,255,276,1
359,288,518,144,361,145,322,1
19,35,37,239,19,520,19,1
160,314,64,742,152,37,199,1
457,466,439,477,451,157,442,1
501,424,580,247,478,533,440,1
3,20,3,495,3,48,6,1
1,5,0,517,1,353,1,1
312,277,389,219,301,381,286,1
417,380,477,295,404,692,370,1
83,78,109,208,76,558,58,1
294,364,224,559,284,831,301,1
293,391,210,633,312,199,396,1
330,296,469,188,357,596,397,1
280,397,169,688,273,839,296,1
116,129,112,338,115,263,142,1
472,400,571,224,471,211,451,1
133,168,106,429,130,592,124,1
278,395,165,692,278,207,343,1
573,530,557,449,553,500,528,1
4,23,4,497,4,173,8,1
410,523,251,749,406,573,431,1
378,416,348,489,372,761,384,1
498,500,495,476,493,134,510,1
323,260,444,157,311,626,258,1
110,199,77,565,124,168,145,1
24,72,16,540,29,57,40,1
129,243,63,662,129,186,129,1
587,524,603,379,568,351,511,1
459,422,505,325,439,434,385,1
122,159,91,443,123,282,130,1
302,262,373,214,291,828,235,1
386,389,384,414,373,335,341,1
494,507,464,524,482,732,465,1
673,581,732,264,669,602,617,1
229,248,228,363,234,493,251,1
421,449,396,488,415,639,373,1
197,223,201,369,190,352,188,1
174,190,175,361,169,776,146,1
15,51,12,459,16,554,20,1
210,198,234,277,200,700,151,1
7,13,15,221,7,885,7,1
88,169,51,590,95,276,103,1
369,373,357,417,362,406,332,1
519,428,599,223,501,780,449,1
537,311,748,35,517,768,398,1
578,516,617,343,572,69,532,1
10,9,29,141,9,772,5,1
23,36,47,209,26,487,29,1
39,48,74,192,36,290,32,1
533,444,613,228,512,510,432,1
187,218,187,396,179,183,181,1
29,43,46,255,24,658,24,1
96,162,54,579,90,749,83,1
317,239,446,139,313,747,272,1
206,246,197,412,201,241,192,1
214,270,196,440,213,171,220,1
235,341,135,648,228,686,233,1
393,433,392,461,389,603,399,1
277,448,104,786,272,570,307,1
2,4,2,413,2,63,2,1
454,407,529,271,458,544,444,1
534,467,583,296,516,537,486,1
497,568,385,685,491,402,489,1
635,374,822,29,619,631,556,1
155,118,222,163,145,617,114,1
272,189,420,110,264,429,244,1
213,147,319,130,219,401,227,1
337,361,310,433,335,269,372,1
324,284,413,211,317,265,326,1
245,139,438,70,258,451,271,1
545,409,677,146,525,728,495,1
228,366,108,716,239,297,339,1
120,264,38,748,118,65,219,1
44,15,174,40,42,629,42,1
790,856,625,876,787,645,826,0
733,737,697,666,732,633,750,0
610,661,487,738,606,569,646,0
618,563,670,380,612,446,581,0
250,437,167,732,287,34,402,0
826,789,843,543,818,561,794,0
782,811,696,811,775,731,777,0
714,729,618,740,709,51,708,0
752,541,873,26,745,386,712,0
502,699,325,840,570,3,709,0
691,702,604,693,683,88,688,0
284,570,55,880,302,93,529,0
760,863,467,895,758,687,809,0
66,142,32,618,62,898,59,0
738,824,480,886,730,53,772,0
319,431,212,673,331,418,354,0
622,764,287,888,626,19,717,0
874,890,808,865,867,123,880,0
847,860,830,774,848,280,860,0
885,892,840,858,877,622,891,0
295,477,137,788,314,205,390,0
740,625,825,175,731,583,686,0
695,656,689,500,693,453,671,0
831,826,829,681,826,110,832,0
509,547,428,617,498,170,516,0
862,836,868,491,856,292,852,0
761,732,784,523,752,268,746,0
696,588,785,193,696,315,673,0
767,775,701,762,756,38,753,0
878,847,892,336,882,47,888,0
789,814,712,802,784,35,793,0
405,307,586,102,408,274,408,0
724,664,763,367,721,734,699,0
591,339,818,10,591,766,551,0
824,740,872,183,820,708,824,0
527,535,479,549,528,578,539,0
684,607,724,327,686,628,672,0
894,898,869,896,895,7,899,0
568,697,267,856,569,704,630,0
507,609,302,778,502,43,561,0
854,733,895,58,846,407,815,0
431,480,377,570,435,216,468,0
643,595,686,395,639,237,638,0
376,496,252,711,392,296,448,0
506,594,340,750,499,475,502,0
812,791,811,649,806,365,799,0
720,762,565,821,716,72,728,0
402,499,291,674,416,304,462,0
727,823,485,885,738,9,769,0
642,647,587,614,640,107,654,0
805,618,889,22,796,775,744,0
840,864,813,794,836,809,853,0
368,423,314,532,385,113,428,0
798,778,800,639,790,179,782,0
559,707,238,867,559,15,647,0
655,710,539,767,653,18,691,0
871,899,612,899,888,0,897,0
893,871,888,513,885,852,875,0
780,852,575,884,773,25,805,0
849,883,751,878,850,527,878,0
485,575,363,710,485,26,553,0
475,596,296,770,487,41,589,0
651,548,728,229,644,494,637,0
490,577,342,727,481,76,537,0
843,813,862,493,835,540,823,0
876,838,886,353,868,763,865,0
887,874,881,622,879,528,883,0
626,617,591,561,613,361,605,0
281,555,53,873,286,311,401,0
540,543,509,538,538,678,518,0
829,859,761,829,824,373,840,0
516,598,369,731,521,456,566,0
861,879,828,826,859,709,874,0
709,715,636,695,708,637,707,0
190,286,122,581,203,532,252,0
716,761,573,819,712,190,743,0
347,419,259,586,339,543,380,0
838,801,856,496,833,430,835,0
721,781,553,850,722,141,757,0
396,501,313,653,418,31,499,0
580,631,442,728,585,236,690,0
666,769,382,871,661,212,722,0
489,551,441,605,503,79,585,0
775,736,815,437,776,566,774,0
837,878,756,864,832,829,861,0
428,504,383,587,443,152,467,0
484,730,131,892,506,4,667,0
496,513,482,520,488,758,474,0
810,795,810,656,808,135,830,0
617,743,323,868,624,14,700,0
848,885,727,889,841,893,868,0
880,866,877,568,873,80,872,0
796,792,779,721,795,667,800,0
737,654,795,275,726,877,702,0
664,590,719,297,663,128,692,0
328,403,284,535,338,201,420,0
566,408,744,76,574,226,602,0
729,677,793,337,729,459,742,0
748,835,521,882,744,109,790,0
606,679,427,783,598,546,619,0
572,509,609,346,580,289,597,0
338,426,254,603,360,621,434,0
889,805,898,97,880,779,869,0
508,536,429,598,507,413,530,0
411,474,331,601,420,176,481,0
742,714,765,502,739,447,740,0
677,545,767,172,657,689,604,0
435,619,198,844,437,59,504,0
553,357,750,48,551,619,483,0
795,723,854,236,789,355,766,0
864,843,867,516,860,887,843,0
806,758,836,471,802,624,781,0
522,704,202,875,524,77,609,0
735,672,778,374,727,251,729,0
657,711,550,760,676,146,715,0
788,763,790,599,778,565,760,0
719,754,568,809,713,597,719,0
828,822,821,687,821,821,819,0
728,772,671,795,743,36,773,0
584,685,399,798,596,232,658,0
648,678,653,612,680,495,696,0
463,490,411,544,461,101,455,0
597,583,594,483,597,518,586,0
845,875,788,849,840,22,857,0
881,893,812,879,874,39,886,0
811,796,807,675,803,87,792,0
694,712,608,717,699,392,716,0
774,777,726,746,769,478,759,0
768,742,772,577,767,137,761,0
772,825,622,857,763,12,787,0
892,882,875,722,883,873,887,0
890,846,897,267,881,844,870,0
813,806,792,712,804,759,797,0
756,726,783,499,751,685,730,0
647,655,596,619,645,219,674,0
251,328,189,554,253,694,288,0
836,844,834,719,831,574,856,0
644,521,745,173,637,588,620,0
715,747,585,784,715,739,721,0
682,720,588,751,689,664,714,0
863,784,887,204,858,691,851,0
700,653,706,457,691,713,657,0
766,812,651,841,770,239,783,0
751,728,759,533,742,623,720,0
781,783,747,737,781,272,780,0
474,648,213,848,486,512,584,0
275,152,455,73,263,668,210,0
703,635,721,402,697,746,655,0
571,381,725,78,556,372,482,0
821,808,835,630,817,33,820,0
575,731,253,874,583,13,660,0
770,683,846,196,771,130,754,0
401,611,166,853,407,486,498,0
786,756,799,551,780,632,763,0
654,586,713,300,649,104,633,0
850,853,841,725,843,291,842,0
444,385,560,220,455,64,472,0
166,404,39,835,183,70,304,0
649,727,481,815,659,661,725,0
736,768,626,797,735,118,762,0
528,458,601,260,520,414,459,0
377,435,305,555,371,197,365,0
759,803,667,828,765,491,764,0
734,645,791,270,723,586,706,0
268,197,367,151,257,368,221,0
693,603,746,278,684,830,648,0
886,833,896,216,876,840,862,0
771,705,824,324,757,539,727,0
686,689,623,651,672,778,669,0
704,744,542,812,698,331,710,0
452,506,358,625,454,389,514,0
785,842,691,842,791,86,829,0
882,872,870,661,875,889,877,0
792,858,614,881,783,444,817,0
370,515,223,758,399,133,549,0
613,651,559,655,632,313,641,0
661,752,391,860,662,515,723,0
669,641,673,518,654,872,631,0
680,612,708,378,674,635,668,0
499,544,417,631,526,307,599,0
639,614,643,498,633,316,628,0
581,667,381,791,590,231,640,0
500,560,394,660,514,548,538,0
167,291,76,690,156,397,204,0
852,888,740,887,847,799,873,0
355,343,419,283,354,616,342,0
679,634,681,492,665,841,635,0
835,845,823,735,829,786,850,0
653,640,627,562,643,303,634,0
244,161,523,53,325,576,460,0
579,646,390,771,575,116,611,0
776,766,757,670,768,745,752,0
487,492,483,486,474,625,464,0
681,681,632,634,677,523,659,0
745,658,817,246,734,814,703,0
725,675,753,420,718,542,689,0
541,599,405,702,529,599,519,0
439,478,372,572,438,132,443,0
406,388,453,340,403,214,393,0
718,659,733,419,711,710,678,0
883,861,879,547,872,882,866,0
662,691,582,696,671,206,695,0
634,663,552,678,631,270,625,0
627,693,491,772,625,455,649,0
853,855,845,724,853,497,854,0
350,326,400,272,353,488,315,0
857,804,876,349,849,98,827,0
879,886,842,838,870,670,881,0
590,518,646,320,582,513,555,0
491,527,423,592,489,142,522,0
151,250,86,596,157,441,184,0
819,802,833,620,816,228,834,0
35,37,70,161,34,562,28,0
479,525,407,602,480,240,506,0
671,749,459,845,685,321,731,0
525,438,619,210,523,472,496,0
865,800,882,291,857,762,836,0
667,665,664,573,668,853,679,0
891,891,861,817,884,753,889,0
632,482,742,135,618,450,607,0
830,868,776,830,825,727,849,0
873,880,844,805,866,393,879,0
612,684,474,769,615,250,664,0
637,673,547,701,641,49,683,0
416,529,260,741,402,285,426,0
711,709,666,671,707,223,711,0
131,214,121,479,140,139,176,0
808,829,760,781,807,666,802,0
872,839,880,418,864,659,855,0
765,790,680,810,761,777,778,0
419,362,534,206,417,764,392,0
832,862,782,827,827,604,839,0
688,794,338,891,690,8,747,0
239,323,220,490,276,481,329,0
558,582,512,595,566,684,575,0
658,511,789,109,651,530,612,0
254,301,233,438,270,580,358,0
769,828,602,861,760,332,796,0
208,111,414,52,224,164,229,0
560,592,454,657,558,119,571,0
557,643,370,776,561,40,582,0
797,810,766,754,793,28,775,0
750,734,838,364,774,208,803,0
111,133,103,368,125,247,159,0
858,895,857,869,886,5,896,0
542,591,460,654,543,42,572,0
585,520,624,347,576,529,536,0
599,411,749,77,584,577,501,0
604,571,597,468,595,526,557,0
753,787,641,824,746,283,771,0
726,757,657,775,736,765,751,0
823,774,848,478,812,863,779,0
814,857,743,839,813,541,844,0
784,786,752,734,777,94,784,0
764,834,589,863,759,60,788,0
469,540,388,647,470,345,507,0
241,224,263,276,238,680,259,0
615,621,567,594,610,795,632,0
896,887,884,686,891,849,890,0
697,652,703,460,692,411,682,0
270,450,94,796,259,74,319,0
888,854,891,391,878,857,867,0
440,630,195,847,465,243,578,0
672,676,616,638,675,634,681,0
526,623,371,761,537,27,608,0
630,636,554,642,616,861,592,0
624,751,315,872,635,54,732,0
220,268,180,474,212,674,194,0
510,576,393,680,527,630,543,0
706,708,645,679,706,334,705,0
311,290,355,273,309,298,308,0
586,657,410,773,588,398,606,0
758,644,851,117,766,68,808,0
650,556,715,254,642,774,600,0
616,573,654,411,620,417,601,0
461,528,347,665,467,367,490,0
539,539,530,509,530,395,546,0
717,753,574,803,714,257,718,0
152,167,203,274,166,153,190,0
471,440,517,341,477,194,493,0
574,608,445,691,562,67,560,0
517,439,610,222,511,245,476,0
633,717,425,823,638,20,697,0
670,666,628,604,655,725,645,0
641,604,665,452,629,286,583,0
747,692,814,311,755,114,749,0
731,698,730,515,725,56,737,0
95,90,163,179,100,256,120,0
841,832,852,585,839,682,845,0
511,508,488,511,508,433,524,0
702,748,520,825,702,24,736,0
730,848,364,897,720,150,770,0
690,741,535,807,695,627,701,0
659,637,659,526,664,516,693,0
148,154,182,284,150,125,187,0
442,584,247,787,448,663,503,0
746,788,606,834,747,23,791,0
801,867,640,883,800,649,837,0
492,531,572,431,577,29,685,0
619,639,555,643,611,358,623,0
685,627,693,425,679,266,650,0
870,837,878,432,863,564,864,0
114,194,59,593,119,589,157,0
455,532,359,658,460,155,488,0
708,765,541,831,710,16,758,0
856,870,832,789,851,699,863,0
817,750,860,285,815,483,804,0
629,660,524,700,614,328,644,0
625,487,768,113,622,90,615,0
777,716,820,362,762,748,726,0
779,738,819,435,782,325,767,0
333,350,341,377,337,538,409,0
699,694,656,641,688,58,662,0
701,690,678,611,703,96,687,0
422,402,515,286,447,84,463,0
744,776,605,822,733,582,741,0
535,537,504,527,547,436,562,0
783,850,621,870,779,688,798,0
859,881,798,859,854,30,871,0
884,821,893,230,871,845,846,0
773,696,839,256,764,438,738,0
860,815,874,405,855,859,838,0
304,497,120,814,323,73,457,0
689,686,633,635,682,855,653,0
423,632,148,862,433,187,570,0
565,502,593,344,559,822,545,0
842,841,847,652,838,871,847,0
869,779,890,177,862,525,841,0
815,809,827,650,809,337,814,0
665,713,543,764,652,344,652,0
361,472,225,715,363,593,406,0
851,831,858,557,842,716,833,0
86,283,17,813,111,477,196,0
660,722,490,804,648,726,676,0
481,574,328,733,479,660,505,0
269,276,292,310,274,449,287,0
800,793,786,697,805,563,789,0
683,682,649,624,681,379,698,0
754,739,741,607,750,683,735,0
547,522,549,447,539,681,512,0
698,626,720,376,687,846,636,0
794,759,805,564,788,375,822,0
589,585,546,548,578,784,568,0
424,597,205,820,412,172,470,0
675,668,658,583,660,222,663,0
380,526,235,756,394,61,541,0
569,452,679,181,567,501,547,0
596,622,507,669,581,85,579,0
360,304,470,190,356,613,314,0
582,505,638,289,557,714,509,0
793,807,734,779,786,769,785,0
839,782,866,372,834,847,811,0
366,669,61,893,376,6,540,0
807,816,764,765,799,894,806,0
897,877,894,485,890,834,882,0
182,421,41,843,181,165,289,0
802,830,737,799,798,115,810,0
447,451,434,445,427,330,374,0
598,615,538,626,604,492,624,0
631,725,402,833,623,600,666,0
749,746,717,667,741,181,733,0
532,638,304,800,533,636,565,0
899,894,883,768,894,479,892,0
822,869,735,855,819,52,876,0
512,687,257,854,522,224,621,0
732,718,705,616,724,485,713,0
305,297,335,294,303,329,298,0
552,443,663,191,536,741,456,0
609,649,503,708,599,698,588,0
448,572,293,755,436,258,480,0
834,797,853,519,828,879,807,0
743,721,754,528,740,671,734,0
264,378,136,698,245,888,246,0
687,650,698,463,678,519,651,0
713,670,718,467,705,672,670,0
255,208,308,203,241,673,216,0
91,175,44,621,91,767,104,0
259,226,346,199,290,408,367,0
521,481,647,263,545,238,517,0
762,851,531,890,748,11,776,0
755,724,780,501,749,711,739,0
99,39,271,34,94,218,84,0
520,469,566,334,541,382,574,0
450,349,595,131,459,547,484,0
809,819,771,766,801,287,801,0
544,680,354,818,594,100,642,0
868,897,716,898,889,1,898,0
804,780,804,645,794,797,786,0
594,420,731,90,587,737,520,0
331,236,494,112,324,225,317,0
100,91,140,200,102,735,90,0
593,495,682,244,592,757,567,0
646,610,692,404,646,310,675,0
621,565,662,394,617,319,593,0
620,593,661,434,627,886,610,0
820,799,831,632,814,557,816,0
409,376,476,288,401,675,394,0
846,827,859,545,844,802,848,0
638,491,755,128,630,549,552,0
656,471,803,72,656,587,629,0
668,745,472,837,667,127,704,0
389,453,306,580,382,419,395,0
371,567,149,832,375,370,410,0
763,767,722,713,753,210,748,0
385,561,214,792,384,154,487,0
877,873,863,714,869,46,884,0
833,771,871,290,830,875,818,0
741,671,794,314,728,230,677,0
232,432,79,801,227,545,323,0
791,760,801,576,785,261,768,0
844,818,855,546,837,793,821,0
180,79,387,43,182,279,150,0
678,629,687,453,666,884,627,0
318,498,150,790,327,45,433,0
778,755,781,597,772,148,756,0
825,785,850,504,823,825,812,0
898,889,885,707,893,744,885,0
308,519,101,836,322,461,405,0
799,798,770,743,797,832,795,0
