name,zone,area,population,language,religion,bars,stripes,colours,red,green,blue,gold,white,black,orange,mainhue,circles,Column1,saltries,quarters,sunstars,crescent,triangle,icon,animate,text,topleft,botright,target
15,3,0,0,0,1,3,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
16,0,22,10,5,0,3,0,2,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6,2
17,3,17,0,0,1,0,2,7,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,5,6,0
18,0,46,3,2,5,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,3,4,3
19,3,0,0,0,1,0,0,5,1,1,1,1,1,1,0,6,1,1,1,1,0,0,0,1,1,0,6,6,0
20,0,26,1,9,3,0,0,3,1,0,0,0,1,1,1,5,3,0,0,0,0,0,0,0,1,0,4,6,4
21,2,110,6,1,0,0,3,2,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,1
22,1,94,1,9,5,0,5,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3
23,2,131,42,5,0,0,0,3,0,1,1,1,1,0,0,4,1,0,0,0,12,0,0,0,0,1,3,4,1
24,3,0,0,0,1,0,0,5,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,6,1,0
25,0,6,0,9,2,0,0,3,1,0,0,1,1,1,0,3,0,0,0,0,0,0,1,1,1,1,6,3,4
26,0,44,9,4,6,0,3,4,1,1,1,1,1,0,0,6,0,0,0,0,1,0,0,1,1,0,6,6,2
27,3,70,7,2,5,0,2,2,1,1,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,5,4,3
28,0,98,25,9,3,0,0,2,1,0,1,0,1,0,0,6,0,0,0,1,10,0,0,1,1,0,1,6,4
29,1,19,4,9,5,0,0,2,1,1,0,0,1,0,0,6,1,0,1,0,3,0,0,0,0,0,6,7,3
30,0,88,8,2,1,3,0,2,1,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,3,3
31,3,134,21,0,1,2,0,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,5,6,0
32,3,4,0,5,0,1,2,4,1,1,0,1,0,1,1,3,0,0,0,0,1,0,0,0,1,0,5,4,3
33,3,0,0,0,1,0,0,5,1,1,1,1,1,0,1,1,1,1,1,1,4,0,0,1,1,1,6,1,0
34,0,95,2,9,5,1,0,4,1,1,1,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,3,3
35,0,117,4,2,5,3,0,2,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6,3
36,2,100,11,1,0,0,2,2,1,0,1,0,1,0,0,6,0,0,0,1,1,0,0,0,0,0,1,6,1
37,0,133,47,6,6,0,0,1,1,0,0,1,0,0,0,6,0,0,0,0,5,0,0,0,0,0,5,6,4
38,3,111,22,1,0,0,3,2,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,1
39,1,2,0,2,2,0,0,1,0,1,0,0,1,0,0,4,0,0,0,0,4,1,0,0,0,0,3,4,3
40,1,80,2,9,5,0,0,2,1,1,0,1,0,0,0,6,0,0,0,0,1,0,0,1,1,0,5,6,3
41,2,0,0,0,1,0,0,3,1,0,1,0,1,0,0,1,1,1,1,1,11,0,0,0,0,0,6,1,5
42,3,28,2,1,0,0,5,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
43,3,47,10,1,6,0,5,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0
44,0,7,1,5,1,0,0,2,0,1,0,1,1,0,0,7,0,0,0,0,0,0,0,1,1,0,6,7,2
45,0,50,15,4,6,0,0,2,1,0,1,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0,6,6,2
46,0,25,5,5,1,0,0,1,1,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,5,6,2
47,0,16,0,2,2,0,0,3,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,6,4,3
48,3,0,0,0,1,0,0,5,1,1,1,1,1,1,0,4,1,0,0,0,9,0,0,0,1,0,3,4,0
49,3,27,6,1,0,0,0,2,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
50,2,71,8,1,0,0,3,2,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,1
51,0,108,30,7,2,0,3,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,5,0,3
52,3,15,5,1,0,0,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
53,0,19,0,9,5,0,3,3,1,1,1,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,3,6,3
54,0,113,24,9,1,0,3,2,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,3
55,3,1,0,5,1,0,0,2,1,0,1,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,6,7,2
56,2,10,0,0,1,0,0,5,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,6,1,1
57,1,13,1,0,1,0,0,6,1,1,1,1,1,0,1,1,0,2,1,1,0,0,0,1,1,0,6,1,5
58,0,79,5,8,1,0,0,1,0,0,1,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,6,7,2
59,0,91,33,2,0,3,0,2,1,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,6,2
60,3,36,0,2,0,3,0,2,1,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,6,1
61,2,4,0,2,0,0,3,4,1,0,1,1,1,1,0,6,1,0,0,0,1,0,0,1,0,0,5,6,5
62,1,69,1,9,5,0,3,2,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,3
63,3,8,1,0,5,0,5,3,1,1,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,3
64,0,42,17,3,6,0,3,2,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,3,2
65,0,67,37,3,1,0,3,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
66,3,64,14,0,5,0,3,3,1,1,0,1,0,1,0,6,0,0,0,0,1,0,0,0,0,0,5,4,3
67,3,0,0,0,1,0,1,2,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0,1,0,0,6,6,2
68,0,51,10,5,1,0,8,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,2
69,3,125,0,5,1,0,0,1,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,6,6,0
70,3,0,0,0,1,0,0,2,1,1,0,1,0,0,0,3,1,0,0,0,7,0,1,0,1,0,5,6,0
71,0,0,0,0,1,0,0,6,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,5,6,5
72,3,43,8,1,0,3,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
73,3,66,6,2,2,3,0,2,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,4,3
74,3,23,1,5,5,1,2,3,1,1,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,5,4,3
75,3,61,1,0,4,0,0,4,1,1,0,1,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,4,1
76,3,19,6,2,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
77,3,45,4,1,0,0,3,1,0,0,1,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,1,1,0
78,0,1,5,6,3,0,0,5,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,6,1,4
79,0,38,11,8,6,0,3,2,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,2
80,3,41,0,5,1,0,0,2,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2
81,0,129,46,5,4,0,3,3,0,1,1,0,1,0,1,5,1,0,0,0,0,0,0,1,0,0,4,4,4
82,1,122,43,9,2,0,2,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,7,5
83,0,120,28,5,2,0,3,2,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,1,3,6,4
84,0,84,14,7,2,0,3,3,1,1,0,0,1,1,0,6,0,0,0,0,3,0,0,0,0,0,5,0,4
85,3,32,3,0,0,3,0,2,0,1,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,3,5,2
86,0,15,4,9,7,0,2,1,0,0,1,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,1,1,4
87,0,74,35,5,0,3,0,2,1,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,3,6,2
88,3,76,7,2,5,3,0,2,1,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,5,4,3
89,3,9,2,0,1,0,0,2,0,1,0,1,0,1,0,4,0,0,1,0,0,0,1,0,0,0,2,3,0
90,0,81,41,8,7,0,0,1,1,0,0,0,1,0,0,7,1,0,0,0,1,0,0,0,0,0,6,7,4
91,0,39,2,7,2,0,3,3,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,4
92,0,56,6,9,3,0,0,1,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,5,6,4
93,0,92,17,9,5,0,5,3,1,1,0,0,1,1,0,6,1,0,0,0,0,0,0,1,0,0,0,4,3
94,0,0,0,0,1,0,0,3,1,0,1,1,1,0,0,6,0,0,0,0,1,0,0,1,1,0,5,1,5
95,0,13,2,7,2,0,3,3,1,1,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,3,6,4
96,0,62,3,9,6,0,3,2,1,0,1,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,5,6,4
97,0,8,3,7,2,0,2,3,1,1,0,0,1,0,1,6,0,0,0,0,0,0,0,0,1,0,5,6,4
98,1,21,1,9,5,2,0,3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,3
99,3,44,1,9,5,0,9,2,1,0,1,0,1,0,0,6,0,0,0,1,1,0,0,0,0,0,1,6,3
100,0,121,3,7,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,4,3
101,0,0,0,3,0,0,2,2,1,0,1,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,6,2
102,0,3,0,3,0,0,3,2,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,1,2
103,1,93,9,9,1,1,2,2,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,6,4,3
104,1,48,6,9,5,0,3,2,1,1,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,4,3
105,0,78,13,9,2,0,11,3,1,0,1,1,1,0,0,6,0,0,0,1,1,1,0,0,0,0,1,7,4
106,0,0,0,9,2,0,0,2,1,1,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,5,6,4
107,3,114,7,2,2,3,0,2,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,3
108,0,0,0,9,0,2,0,2,1,0,0,0,1,1,0,6,0,1,0,0,0,0,0,1,0,0,6,6,2
109,0,0,0,9,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,5
110,3,109,2,7,2,0,0,1,0,1,0,1,0,0,0,4,0,0,0,0,1,1,0,0,0,0,3,4,3
111,1,2,1,0,4,0,4,3,1,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,3
112,3,123,38,1,0,3,0,3,1,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,3,6,0
113,0,1,0,9,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,1,1,5
114,0,0,0,2,0,0,2,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,7,2
115,0,119,2,9,6,3,0,2,1,0,1,1,0,0,0,6,2,0,0,0,1,1,1,1,0,0,5,6,4
116,3,0,0,0,1,0,0,6,1,1,1,1,1,1,0,1,0,2,1,1,0,0,0,1,1,0,6,1,0
117,3,85,19,7,2,0,0,1,1,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,5,6,3
118,1,102,12,9,5,0,5,4,1,1,0,1,1,1,0,3,0,0,0,0,1,0,1,1,0,0,3,3,3
119,1,0,0,9,1,0,3,2,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,5
120,0,52,16,9,4,0,0,2,0,0,1,0,1,0,1,2,0,0,0,0,2,1,0,0,0,0,1,1,4
121,0,24,14,5,1,0,3,2,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,1,2
122,3,0,0,5,1,0,1,2,1,0,1,0,1,0,0,7,0,0,0,0,6,0,0,0,0,0,6,7,0
123,1,69,2,0,1,0,0,2,1,0,1,0,1,0,0,1,0,1,1,1,4,0,0,0,0,0,6,1,5
124,3,50,3,1,0,0,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
125,0,116,5,2,2,0,3,2,0,1,0,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0,4,4,3
126,0,106,34,9,2,3,0,1,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,4,3
127,2,0,0,0,1,0,0,3,1,0,1,1,1,0,0,3,1,1,1,1,5,0,0,0,0,0,6,3,5
128,0,49,18,9,6,0,5,2,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,4
129,0,58,9,7,2,0,3,3,1,1,0,0,1,1,0,6,0,0,0,0,1,0,0,0,0,0,5,0,4
130,0,77,4,5,1,0,0,2,1,0,1,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,5,6,2
131,0,60,1,7,2,0,2,2,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,5,4,4
132,0,103,39,5,2,1,0,1,0,1,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,6,4,4
133,3,34,2,1,0,0,0,2,1,0,1,0,1,0,0,6,0,0,0,2,2,0,0,0,0,0,6,7,1
134,1,87,3,0,5,0,0,3,1,0,0,1,1,1,0,0,0,0,0,0,5,0,1,0,1,0,5,0,5
135,2,83,3,1,0,0,3,5,1,1,1,1,1,1,0,6,1,0,0,0,1,0,0,1,1,1,5,1,1
136,2,118,14,1,0,3,0,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,1
137,0,73,31,9,0,0,0,3,1,0,1,1,1,0,0,1,0,0,0,0,4,0,1,0,0,0,1,6,5
138,0,75,26,4,6,0,2,1,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,6,6,2
139,3,37,10,5,0,0,0,4,1,1,1,1,1,0,0,6,1,0,0,0,0,0,0,1,0,0,3,6,2
140,3,7,3,1,0,0,5,2,1,0,1,0,1,0,0,6,0,0,0,0,1,0,1,0,0,0,5,6,0
141,0,9,0,7,2,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,6,2,4
142,0,63,20,5,6,3,0,6,1,1,1,1,1,0,1,6,0,0,0,0,2,0,0,1,1,1,1,6,2
143,1,18,5,9,5,3,0,3,1,1,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,1,5,4,3
144,0,0,0,5,0,0,2,1,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,6,1,2
145,0,0,0,5,0,0,3,3,1,1,0,1,0,1,0,4,0,0,0,0,2,0,1,0,0,0,3,4,3
146,0,124,9,7,2,0,0,1,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,3,4,4
147,3,59,6,2,2,3,0,2,1,1,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,3,6,3
148,1,0,0,0,1,0,0,2,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,3
149,3,33,3,0,5,0,3,2,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,3
150,0,1,3,6,3,0,2,1,1,0,0,0,1,0,0,7,0,0,0,0,5,1,0,0,0,0,5,7,4
151,1,21,0,0,1,0,0,3,0,1,1,1,1,0,0,4,0,0,0,0,5,0,1,0,0,0,1,4,5
152,0,96,5,9,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,3
153,1,112,23,5,1,0,3,4,1,1,1,0,1,0,1,5,0,1,1,0,0,0,0,0,0,0,4,1,3
154,0,40,28,9,7,0,0,3,1,0,1,0,1,1,0,7,1,0,0,0,0,0,0,1,0,0,6,7,4
155,0,72,2,7,2,0,3,3,1,0,1,0,1,1,0,6,0,0,0,0,1,0,1,0,0,0,5,0,4
156,3,89,27,1,0,0,3,1,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,2
157,0,31,15,9,3,2,0,3,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,1,1,0,2,3,4
158,2,0,0,0,1,0,0,6,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,6,1,3
159,3,0,0,0,1,0,0,4,1,1,0,1,1,1,0,4,0,0,0,0,2,0,1,0,0,0,3,6,0
160,3,0,0,0,1,0,0,3,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
161,3,0,0,0,1,4,0,3,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,1,1,1,1,4,0
162,0,127,19,7,2,0,3,3,1,1,0,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0,5,0,3
163,3,30,0,5,1,0,5,3,1,1,0,1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,3,4,1
164,1,12,1,9,1,0,5,6,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,3
165,0,86,8,5,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2
166,0,24,6,3,1,0,0,1,1,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,5,6,2
167,0,57,10,7,2,0,3,3,1,1,0,0,1,1,0,6,0,0,0,0,2,0,0,0,0,0,5,0,4
168,0,23,18,6,3,0,0,2,1,0,1,0,1,0,0,6,1,0,0,1,1,0,0,0,0,0,1,6,4
169,1,107,18,9,5,0,0,3,0,1,1,1,0,1,0,4,0,0,0,0,0,0,1,0,0,0,3,1,3
170,0,90,32,9,3,0,5,2,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,4
171,0,29,2,2,7,0,5,3,1,1,0,1,1,0,0,4,0,0,0,1,1,0,0,0,0,0,5,4,3
172,1,1,0,9,1,0,0,1,1,0,0,0,1,0,0,6,0,1,0,1,0,0,0,0,0,0,6,6,5
173,3,5,1,0,1,0,0,2,1,0,0,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0,6,7,1
174,0,54,7,7,2,0,0,1,1,0,0,0,1,0,0,6,1,0,0,0,1,1,0,0,0,0,5,6,3
175,0,101,29,8,2,0,0,1,1,0,0,0,1,0,0,6,0,0,0,0,1,1,0,0,0,0,5,6,4
176,3,0,0,0,1,0,0,5,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,6,1,0
177,1,0,0,0,1,0,0,4,1,0,1,1,1,0,0,1,0,1,1,1,8,0,0,0,0,0,6,1,5
178,0,35,1,7,2,1,3,3,1,1,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,5,0,4
183,0,62,13,9,5,0,6,4,1,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,1,0,0,6,3
179,3,65,34,0,1,0,0,2,1,0,1,0,1,0,0,6,0,1,1,0,0,0,0,0,0,0,6,6,2
184,2,55,3,1,0,0,8,2,0,0,1,1,1,0,0,7,0,0,0,1,1,0,0,0,0,0,6,7,1
180,3,0,0,0,1,0,0,5,1,1,1,1,1,0,0,7,0,0,0,0,0,0,0,1,1,1,6,7,0
181,3,132,44,0,1,0,10,2,1,0,1,0,1,0,0,7,0,0,0,1,13,0,0,0,0,0,1,6,0
182,0,135,45,4,6,0,0,1,1,0,0,1,0,0,0,6,0,0,0,0,1,0,0,1,0,0,5,6,4
185,1,11,0,5,1,0,0,3,1,1,0,1,0,1,0,6,0,0,0,0,0,0,1,0,1,0,0,4,5
186,0,0,0,5,0,2,0,3,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,1,0,0,2,7,2
187,3,105,15,1,0,0,3,6,1,1,1,1,1,1,1,6,0,0,0,0,7,0,0,1,1,0,2,6,1
188,0,78,36,9,6,0,0,1,1,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,5,6,4
189,2,3,0,0,1,0,0,2,1,0,1,0,1,0,0,6,0,0,0,1,5,0,0,0,0,0,1,6,5
190,0,68,20,5,6,0,3,3,1,0,1,1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,1,6,2
191,1,104,22,9,5,0,0,3,1,1,0,1,0,0,1,4,1,0,0,0,0,0,0,1,1,0,3,4,3
192,1,99,6,9,5,3,0,3,1,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,3,2,3
193,1,82,8,9,5,0,7,4,1,1,0,1,1,1,0,4,0,0,0,0,1,0,1,1,1,0,3,4,3
24,3,0,0,0,1,0,0,5,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,6,1,0
89,3,9,2,0,1,0,0,2,0,1,0,1,0,1,0,4,0,0,1,0,0,0,1,0,0,0,2,3,0
176,3,0,0,0,1,0,0,5,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,6,1,0
69,3,125,0,5,1,0,0,1,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,6,6,0
43,3,47,10,1,6,0,5,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0
31,3,134,21,0,1,2,0,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,5,6,0
176,3,0,0,0,1,0,0,5,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,6,1,0
112,3,123,38,1,0,3,0,3,1,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,3,6,0
24,3,0,0,0,1,0,0,5,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,6,1,0
159,3,0,0,0,1,0,0,4,1,1,0,1,1,1,0,4,0,0,0,0,2,0,1,0,0,0,3,6,0
77,3,45,4,1,0,0,3,1,0,0,1,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,1,1,0
122,3,0,0,5,1,0,1,2,1,0,1,0,1,0,0,7,0,0,0,0,6,0,0,0,0,0,6,7,0
43,3,47,10,1,6,0,5,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0
43,3,47,10,1,6,0,5,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0
124,3,50,3,1,0,0,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
112,3,123,38,1,0,3,0,3,1,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,3,6,0
15,3,0,0,0,1,3,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
31,3,134,21,0,1,2,0,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,5,6,0
124,3,50,3,1,0,0,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
12,3,14,0,0,1,0,3,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
116,3,0,0,0,1,0,0,6,1,1,1,1,1,1,0,1,0,2,1,1,0,0,0,1,1,0,6,1,0
9,2,128,22,1,0,0,3,2,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
135,2,83,3,1,0,0,3,5,1,1,1,1,1,1,0,6,1,0,0,0,1,0,0,1,1,1,5,1,1
38,3,111,22,1,0,0,3,2,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,1
9,2,128,22,1,0,0,3,2,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
8,2,128,22,1,0,0,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
135,2,83,3,1,0,0,3,5,1,1,1,1,1,1,0,6,1,0,0,0,1,0,0,1,1,1,5,1,1
135,2,83,3,1,0,0,3,5,1,1,1,1,1,1,0,6,1,0,0,0,1,0,0,1,1,1,5,1,1
187,3,105,15,1,0,0,3,6,1,1,1,1,1,1,1,6,0,0,0,0,7,0,0,1,1,0,2,6,1
75,3,61,1,0,4,0,0,4,1,1,0,1,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,4,1
184,2,55,3,1,0,0,8,2,0,0,1,1,1,0,0,7,0,0,0,1,1,0,0,0,0,0,6,7,1
173,3,5,1,0,1,0,0,2,1,0,0,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0,6,7,1
173,3,5,1,0,1,0,0,2,1,0,0,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0,6,7,1
135,2,83,3,1,0,0,3,5,1,1,1,1,1,1,0,6,1,0,0,0,1,0,0,1,1,1,5,1,1
21,2,110,6,1,0,0,3,2,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,1
36,2,100,11,1,0,0,2,2,1,0,1,0,1,0,0,6,0,0,0,1,1,0,0,0,0,0,1,6,1
