DatasetName,leaves,leaves_branch.nanmean,leaves_corrob.nanmean,leaves_homo.nanmean,leaves_per_class.nanmean,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.nanmean,nodes_repeated.nanmean,tree_depth.nanmean,tree_imbalance.nanmean,tree_shape.nanmean,var_importance.nanmean,maxAlgNames
horse-ecolic surgical.csv,0.0523,0.0091,0,1,0.0007,0.0508,0.0019,0.0001,0.0051,0.0028,0.0078,0.0001,0.0001,0,RF
house_voting.csv,0.0402,0.0076,0,1,0.0006,0.0389,0.0025,0.0001,0.0035,0.003,0.0065,0.0001,0.0001,0.0001,GBC
imageSegmentation.csv,0.0387,0.0125,0,1,0.0002,0.0369,0.002,0.0002,0.0041,0.0037,0.0111,0.0002,0.0002,0.0002,GBC
Indian Liver Patient Dataset (ILPD).csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GBC
indian liver.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GBC
indian_liver_patient.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GBC
ionospere.csv,0.0356,0.0075,0,1,0.0004,0.0344,0.0011,0,0.0034,0.0021,0.0065,0.0001,0.0001,0,GBC
Iris.csv,0.238,0.0989,0,1,0.0053,0.2112,0.0508,0,0.0401,0.0695,0.0802,0.0027,0.0053,0.0027,GBC
iymphography.csv,0.0248,0.0054,0,1,0.0002,0.024,0.0014,0.0001,0.0022,0.0019,0.0047,0.0001,0.0001,0.0001,GBC
lenses.csv,0.2974,0.1379,0,1,0.0086,0.2543,0.0603,0,0.0603,0.0603,0.1078,0.0086,0.0086,0.0043,RF
librasMove.csv,0.0245,0.0025,0,1,0,0.0242,0.0003,0.0001,0.002,0.0005,0.0021,0,0,0,GBC
lunCancer.csv,0.257,0.0864,0.0023,1,0.0047,0.2336,0.0047,0.0047,0.0467,0.028,0.0701,0.0047,0.007,0,GBC
mammographic.csv,0.0002,0,0,1,0,0.0002,0,0,0,0,0,0,0,0,GBC
meta-data.csv,0.0001,0,0,1,0,0.0001,0,0,0,0,0,0,0,0,RF
miceproteinNuclear.csv,0.3756,0.1408,0.0047,1,0.0047,0.3286,0.0047,0,0.108,0.108,0.108,0.0235,0.0188,0,RF
molecular.csv,0.0034,0.0002,0,1,0,0.0034,0.0001,0,0.0002,0.0001,0.0002,0,0,0,GBC
monksTest1.csv,0.1911,0.0849,0.0021,1,0.0106,0.1699,0.0234,0,0.0276,0.0425,0.0701,0.0042,0.0064,0.0021,RF
monksTest2.csv,0.0045,0.0005,0,1,0,0.0044,0.0006,0,0.0003,0.0006,0.0004,0,0,0,GBC
monksTrain1.csv,0.0515,0.0169,0,1,0.0011,0.0488,0.0079,0,0.0057,0.0095,0.0147,0,0,0.0003,RF
Movie_classification.csv,0.0012,0.0001,0,1,0,0.0012,0.0001,0,0.0001,0.0001,0.0001,0,0,0,RF
mushroom.csv,0.1207,0.0302,0,1,0.003,0.1147,0.0054,0,0.0163,0.0084,0.0247,0.0012,0.0012,0,GBC
non-verbal tourist data.csv,0.1901,0.0465,0.0011,1,0.0021,0.1795,0.0084,0.0011,0.0296,0.0148,0.037,0.0021,0.0021,0,GBC
NPHA-doctor-visits.csv,0.0001,0,0,1,0,0.0001,0,0,0,0,0,0,0,0,GBC
ObesityDataSet_raw_and_data_sinthetic.csv,0.0119,0.0008,0,1,0,0.0118,0.0007,0,0.0008,0.0008,0.0007,0,0,0,GBC
ozonedet.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GBC
pageBlock.csv,0.0002,0,0,1,0,0.0002,0,0,0,0,0,0,0,0,GBC
parkinsons.csv,0.2667,0.096,0.0027,1,0.0133,0.24,0.0107,0,0.048,0.0267,0.0747,0.0053,0.008,0,GBC
penReco.csv,0.0031,0.0001,0,1,0,0.0031,0.0002,0,0.0002,0.0002,0.0001,0,0,0,GBC
phone.csv,0.016,0.0007,0,1,0,0.0159,0.0008,0,0.0012,0.0009,0.0006,0,0,0,GBC
planningRelax.csv,0.0154,0.0033,0,1,0.0002,0.015,0.0012,0,0.0012,0.0015,0.003,0,0,0,GBC
pop_failure.csv,0.0049,0.0014,0,1,0.0001,0.0048,0.0002,0,0.0003,0.0003,0.0012,0,0,0,GBC
postOpertaivePatient.csv,0.0214,0.0038,0,1,0.0001,0.0209,0.0026,0.0001,0.0019,0.0026,0.0033,0,0,0,GBC
Qualitative_Bankruptcy.csv,0.5,0.25,0.125,1,0.125,0.25,0.025,0,0.25,0.25,0.175,0.125,0.125,0.025,GBC
Raisin_Dataset.csv,0.0047,0.0004,0,1,0,0.0047,0.0007,0,0.0003,0.0007,0.0004,0,0,0,RF
risk_factors_cervical_cancer.csv,0.0019,0.0004,0,1,0,0.0018,0.0001,0,0.0001,0.0001,0.0003,0,0,0,GBC
seeds.csv,0.1779,0.0481,0,1,0.0022,0.1667,0.0224,0,0.0268,0.0268,0.0391,0.0011,0.0011,0,GBC
shuttle.csv,0.0173,0.004,0,1,0.0001,0.0168,0.0018,0,0.0014,0.0018,0.0035,0.0001,0.0001,0.0001,GBC
sobar-72.csv,0.3405,0.1293,0,1,0.0172,0.2974,0.0129,0,0.0733,0.0388,0.0991,0.0043,0.0129,0,GBC
somervilehappy.csv,0.0065,0.0008,0,1,0,0.0064,0.0011,0,0.0005,0.0011,0.0007,0,0,0,RF
soyabean-large.csv,0.0007,0.0002,0,1,0,0.0006,0,0,0,0,0.0002,0,0,0,GBC
Spam.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GBC
spec-heart.csv,0.102,0.0369,0.0008,1,0.0039,0.0941,0.0024,0.0016,0.0118,0.0086,0.0306,0.0008,0.0016,0,RF
sponge.csv,0.2059,0.087,0.0023,1,0.0069,0.1831,0.0046,0,0.0297,0.0229,0.0709,0.0046,0.0069,0,RF
statlog-austr.csv,0.0198,0.0018,0,1,0.0001,0.0196,0.0014,0,0.0016,0.0016,0.0015,0,0,0,RF
statlog-german.csv,0.0046,0.0002,0,1,0,0.0046,0.0002,0,0.0003,0.0002,0.0002,0,0,0,GBC
statlog-heart.csv,0.0675,0.0089,0,1,0.0007,0.066,0.0051,0.0003,0.0073,0.0056,0.0076,0.0001,0.0001,0.0001,RF
statlog-heart2.csv,0.0675,0.0089,0,1,0.0007,0.066,0.0051,0.0003,0.0073,0.0056,0.0076,0.0001,0.0001,0.0001,RF
statloglandsat.csv,0.0001,0,0,1,0,0.0001,0,0,0,0,0,0,0,0,GBC
studenperf.csv,0.0006,0,0,1,0,0.0006,0,0,0,0,0,0,0,0,GBC
student-dropout.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GBC
teachingassper.csv,0.0143,0.0019,0,1,0.0001,0.014,0.0028,0.0001,0.0011,0.0028,0.0017,0,0,0.0001,GBC
thyroid.csv,0.1082,0.0355,0.0008,1,0.0023,0.1005,0.0201,0,0.0124,0.0201,0.0301,0.0008,0.0015,0.0015,GBC
Thyroid_Diff.csv,0.0871,0.0192,0,1,0.0017,0.0837,0.0052,0,0.0105,0.007,0.016,0.0003,0.0007,0.0003,RF
tic-toe.csv,0.0132,0.0009,0,1,0.0001,0.0131,0.0015,0,0.0011,0.0015,0.0008,0,0,0,GBC
transfusion.csv,0.0028,0.0001,0,1,0,0.0028,0.0007,0,0.0002,0.0007,0.0001,0,0,0,GBC
turkiye-student-evaluation_R_Specific.csv,0.0001,0,0,1,0,0.0001,0,0,0,0,0,0,0,0,GBC
vehicles.csv,0.0018,0.0001,0,1,0,0.0018,0.0001,0,0.0001,0.0001,0.0001,0,0,0,GBC
waveform.csv,0.0005,0,0,1,0,0.0005,0,0,0,0,0,0,0,0,GBC
waveformDG.csv,0.0002,0,0,1,0,0.0002,0,0,0,0,0,0,0,0,GBC
Wholesale customers data.csv,0.0001,0,0,1,0,0.0001,0,0,0,0,0,0,0,0,GBC
wine.csv,0.2587,0.0804,0,1,0.0043,0.237,0.0152,0,0.0457,0.037,0.063,0.0022,0.0043,0,RF
wirelessloca.csv,0.0047,0.0007,0,1,0,0.0046,0.0007,0,0.0003,0.0007,0.0006,0,0,0,GBC
yeast.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GBC
zoo.csv,0.1136,0.0545,0.0011,1,0.0011,0.1023,0.0057,0,0.0148,0.0125,0.0466,0.0011,0.0023,0.0011,GBC
