DatasetName,cor.nanmean,cov.nanmean,eigenvalues.nanmean,g_mean.nanmean,gravity,h_mean.nanmean,iq_range.nanmean,kurtosis.nanmean,mad.nanmean,nr_cor_attr,nr_norm,nr_outliers,skewness.nanmean,sparsity.nanmean,t_mean.nanmean,maxAlgNames
csv_result-ThoraricSurgery.csv,0.0008,0.0597,1,0,0.0622,0,0.0538,0.4487,0.0387,0,0,0.1008,0.0303,0.0034,0.0714,GBC
Customer Churn.csv,0,0.084,1,0,0.0143,0,0.0026,0,0.0018,0,0,0.0002,0,0,0.0018,GBC
cylinder_bands.csv,0.0003,0.0332,1,0,0.0779,0,0.0196,0.0115,0.0095,0,0,0.041,0.0006,0.0001,0.03,GBC
dataR2.csv,0.0016,0.2315,1,0.0013,0.0385,0.0013,0.0557,0,0.0419,0.0014,0.0013,0.0013,0.0013,0.0013,0.0561,GBC
dermatology.csv,0.0083,0.0083,0.3958,0,0.3333,0,0.0542,0.0833,0.0333,0.0042,0,1,0.0625,0.0125,0.05,GBC
diabetes.csv,0.0001,0.067,1,0.0001,0.0214,0.0001,0.0178,0,0.0112,0.0001,0.0001,0.0009,0.0002,0.0001,0.0165,GBC
diabetes_data_upload.csv,0.1569,0.1569,1,0.1373,0.4216,0.1373,0.3235,0,0.2157,0.1373,0.1373,0.4314,0.1765,0.1863,0.3137,GBC
dressDataSet.csv,0.0001,0.007,1,0,0.0153,0,0.015,0.0003,0.0099,0,0,0.0034,0.0001,0.0001,0.016,RF
Dry_Bean_Dataset.csv,0,0.5358,1,0,0.0007,0,0.0004,0,0.0003,0,0,0,0,0,0.0005,GBC
ecoli.csv,0.0002,0.0444,1,0,0.0494,0,0.0262,0.0007,0.0186,0,0,0.0025,0.0004,0.0001,0.0374,GBC
EEG_Eye_State_Classification.csv,0.0002,0.4992,1,0,0.016,0,0.0187,0.002,0.0138,0.0003,0,0.0059,0.0006,0,0.0578,RF
electrical.csv,0,0.0596,1,0,0.0008,0,0.0006,0,0.0004,0,0,0,0,0,0.0006,RF
electricity.csv,0,0.2293,1,0,0.0037,0,0.0018,0,0.0012,0,0,0,0,0,0.0029,RF
faults.csv,0,0.1153,1,0,0.007,0,0.0045,0,0.003,0,0,0.0002,0,0,0.0043,GBC
fertility.csv,0.1714,0.2286,1,0.1429,0.6286,0.1429,0.6571,0,0.4857,0.1429,0.1429,1,0.1143,0.2286,0.8,GBC
flags.csv,0.0005,0.013,1,0,0.2366,0,0.0423,0.0087,0.0282,0,0,0.0922,0.006,0.0016,0.0309,GBC
forestType.csv,0.0006,0.2221,1,0.0004,0.1723,0.0004,0.035,0,0.0257,0.0005,0.0004,0.0026,0.0006,0.0004,0.0366,RF
German Credit Data.csv,0,0.0027,1,0,0.0122,0,0.0072,0.0004,0.0052,0,0,0.0028,0.0002,0.0001,0.007,GBC
glass.csv,0.0002,0.1999,1,0,0.0274,0,0.0438,0,0.0302,0.0001,0,0.0018,0.0005,0,0.0438,GBC
haberman.csv,0,0.0371,1,0,0.076,0,0.1767,0.0018,0.1095,0,0,0.0177,0.0106,0,0.1696,RF
hapetitis.csv,0.0019,0.0349,1,0,0.1599,0,0.0862,0.001,0.0533,0,0,0.0678,0,0.0029,0.0969,GBC
hayes-roth.csv,0.0031,0.0065,1,0.0027,0.0486,0.0027,0.0507,0,0.0401,0.0027,0.0027,0.0129,0.0041,0.0034,0.0496,GBC
hcvdat0.csv,0.0001,0.1498,1,0.0001,0.0353,0.0001,0.0171,0,0.0111,0.0001,0.0001,0.0001,0.0001,0.0001,0.0157,GBC
heart.csv,0.0035,0.0386,1,0.0029,0.1367,0.0029,0.0675,0,0.0496,0.0029,0.0029,0.0202,0.0046,0.004,0.0825,GBC
heart_failure_clinical_records_dataset.csv,0.0014,0.0233,1,0.0013,0.08,0.0013,0.0378,0,0.0274,0.0013,0.0013,0.006,0.0017,0.0016,0.042,RF
horse-ecolic surgical.csv,0.0003,0.0179,1,0,0.0517,0,0.0386,0.0401,0.0255,0,0,0.0274,0.003,0.0006,0.0453,RF
house_voting.csv,0.3448,0.2759,0.3793,0.2414,1,0.2414,0.5862,0,0.4138,0.2759,0.2414,0.2414,0.1034,0.3448,0.7586,GBC
imageSegmentation.csv,0.0002,0.3537,1,0,0.0933,0,0.0338,0.0004,0.025,0.0001,0.0005,0.0009,0.0002,0,0.0318,GBC
Indian Liver Patient Dataset (ILPD).csv,0.0002,0.1871,1,0,0.0713,0,0.0317,0.0016,0.0198,0.0001,0,0.0075,0.0009,0.0001,0.0353,GBC
indian liver.csv,0.0002,0.1871,1,0,0.0713,0,0.0317,0.0016,0.0198,0.0001,0,0.0075,0.0009,0.0001,0.0353,GBC
indian_liver_patient.csv,0.0002,0.1871,1,0,0.0713,0,0.0317,0.0016,0.0198,0.0001,0,0.0075,0.0009,0.0001,0.0353,GBC
ionospere.csv,0.0002,0.2547,1,0.0001,0.0725,0.0001,0.018,0,0.0107,0.0001,0.0003,0.0006,0.0001,0.0001,0.0181,GBC
Iris.csv,0.0211,0.5807,1,0.0121,0.3092,0.0121,0.2051,0,0.1629,0.0196,0.0271,0.0271,0.0151,0.0121,0.2021,GBC
iymphography.csv,0.2167,0.2,0.3333,0.1667,1,0.1667,0.4167,0,0.2833,0.2,0.1667,0.6667,0.2333,0.2333,0.3,GBC
lenses.csv,0.6071,0.5714,0.6786,0.5714,0.9643,0.5714,1,0,0.7143,0.5714,0.5714,0.5714,0.5,0.7143,0.8214,RF
librasMove.csv,0.0005,0.265,1,0.0004,0.0639,0.0004,0.0302,0,0.0225,0.0004,0.0004,0.0004,0.0004,0.0004,0.0342,GBC
lunCancer.csv,0.0056,0,0.0083,0,0.0611,0,0.0111,0.0806,0,0,0,1,0.0056,0.0111,0.025,GBC
mammographic.csv,0.007,0.0492,1,0,0.2974,0,0.1265,0.0258,0.0913,0.0023,0,0.0468,0.0023,0.0023,0.2201,GBC
meta-data.csv,0.0013,0.0283,1,0.0009,0.0458,0.0009,0.0233,0,0.0169,0.0012,0.0009,0.0033,0.001,0.001,0.0218,RF
miceproteinNuclear.csv,0,0.2576,1,0,0.0162,0,0.0056,0,0.0042,0,0,0,0,0,0.0055,RF
molecular.csv,0.0001,0.0001,1,0.0001,0.0024,0.0001,0.002,0,0.0015,0.0001,0.0001,0.002,0.0001,0.0001,0.002,GBC
monksTest1.csv,0.0007,0.0015,1,0.0007,0.0097,0.0007,0.0151,0,0.0114,0.0007,0.0007,0.0007,0.0007,0.0009,0.0149,RF
monksTest2.csv,0.0007,0.0016,1,0.0007,0.0016,0.0007,0.0155,0,0.0115,0.0007,0.0007,0.0007,0.0007,0.0009,0.015,GBC
monksTrain1.csv,0.5294,0.5,0.6765,0.5,0.8235,0.5,1,0,0.7941,0.5,0.5,0.5,0.5,0.6176,0.7647,RF
Movie_classification.csv,0.0002,0.2796,1,0.0001,0.0048,0.0001,0.0156,0,0.0115,0.0002,0.0001,0.0002,0.0001,0.0001,0.0171,RF
mushroom.csv,0.0833,0.0938,0.3021,0.0625,0.5417,0.0625,0.25,0.5,0.1771,0.0625,0.375,1,0,0.0938,0.3021,GBC
non-verbal tourist data.csv,0.0286,0.0571,0.9286,0,0.6286,0,0.3,0.3429,0.2143,0.0143,0.1429,1,0,0.0429,0.2714,GBC
NPHA-doctor-visits.csv,0.0125,0,0.0625,0,0.0375,0,0.075,0.25,0.0375,0,0.125,1,0.05,0.05,0.15,GBC
ObesityDataSet_raw_and_data_sinthetic.csv,0,0.0627,1,0,0.0114,0,0.0045,0,0.0031,0,0,0.0001,0,0,0.0038,GBC
ozonedet.csv,0,0.0659,1,0,0.03,0,0.0047,0,0.0033,0,0,0.0018,0,0,0.0061,GBC
pageBlock.csv,0,0.3008,1,0,0.0069,0,0.0035,0,0.0016,0,0,0,0,0,0.002,GBC
parkinsons.csv,0.0005,0.4571,1,0.0003,0.0852,0.0003,0.0317,0,0.0227,0.0005,0.0003,0.0007,0.0004,0.0003,0.0287,GBC
penReco.csv,0.0009,0.2589,1,0.0005,0.1929,0.0005,0.0529,0,0.0347,0.0006,0.0005,0.0027,0.0005,0.0005,0.0533,GBC
phone.csv,0.0001,0.0121,1,0.0001,0.0158,0.0001,0.0051,0,0.0038,0.0001,0.0001,0.0001,0.0001,0.0001,0.005,GBC
planningRelax.csv,0.0006,0.2265,1,0.0005,0.0073,0.0005,0.0346,0,0.0258,0.0006,0.0005,0.0005,0.0005,0.0005,0.0349,GBC
pop_failure.csv,0.0001,0.061,1,0.0001,0.0123,0.0001,0.011,0,0.0081,0.0001,0.0001,0.0001,0.0001,0.0001,0.0116,GBC
postOpertaivePatient.csv,0.3548,0.3226,0.4516,0.2903,1,0.2903,0.6774,0,0.4194,0.3226,0.2903,0.6129,0.2581,0.4194,0.6774,GBC
Qualitative_Bankruptcy.csv,0.0017,0.0035,1,0.0016,0.1686,0.0016,0.0268,0,0.021,0.0016,0.0016,0.0016,0.0016,0.002,0.0266,GBC
Raisin_Dataset.csv,0,0.5675,1,0,0.0122,0,0.0067,0,0.005,0,0,0,0,0,0.0067,RF
risk_factors_cervical_cancer.csv,0.0097,0.0258,0.6581,0,0.2323,0,0.0484,0.1581,0.0258,0.0065,0,1,0.0613,0.0097,0.071,GBC
seeds.csv,0.0007,0.5886,1,0.0004,0.0565,0.0004,0.033,0,0.0246,0.0007,0.0004,0.0004,0.0005,0.0004,0.0325,GBC
shuttle.csv,0.0006,0.2225,1,0,0.1367,0,0.0461,0.0109,0.0302,0.0004,0,0.006,0.0018,0,0.0916,GBC
sobar-72.csv,0.058,0.2246,0.7971,0.0435,1,0.0435,0.4275,0,0.2899,0.0507,0.0435,0.2609,0.0217,0.0507,0.413,GBC
somervilehappy.csv,0.1077,0.1077,0.2154,0.0769,0.2154,0.0769,0.2308,0.0615,0.2615,0.0769,0.0769,1,0,0.1077,0.4615,RF
soyabean-large.csv,0.0694,0.0625,0.1111,0.0347,1,0.0347,0.1319,0,0.0764,0.0694,0.0347,0.3819,0.0833,0.0556,0.0903,GBC
Spam.csv,0,0.0396,1,0,0.0672,0,0.0038,0.0021,0.0019,0,0,0.0049,0.0004,0,0.002,GBC
spec-heart.csv,0.0171,0.2114,1,0.0114,0.6571,0.0114,0.2343,0,0.1743,0.0143,0.6114,0.3543,0,0.0114,0.4286,RF
sponge.csv,0.013,0.013,0.3739,0,0.4,0,0.0696,0.6348,0.0261,0.0043,0,1,0.0217,0.013,0.113,RF
statlog-austr.csv,0.0001,0.0435,1,0.0001,0.0497,0.0001,0.0235,0,0.0129,0.0001,0.0001,0.0028,0.0001,0.0002,0.0163,RF
statlog-german.csv,0,0.0027,1,0,0.0122,0,0.0072,0.0004,0.0052,0,0,0.0028,0.0002,0.0001,0.007,GBC
statlog-heart.csv,0.0055,0.0435,1,0.0043,0.1495,0.0043,0.0723,0,0.0539,0.0043,0.0043,0.0227,0.0061,0.0055,0.087,RF
statlog-heart2.csv,0.0055,0.0435,1,0.0043,0.1495,0.0043,0.0723,0,0.0539,0.0043,0.0043,0.0227,0.0061,0.0055,0.087,RF
statloglandsat.csv,0.0031,0.4888,1,0.0012,0.5849,0.0012,0.0851,0,0.0612,0.0031,0.0012,0.0365,0.0016,0.0012,0.1423,GBC
studenperf.csv,0.0053,0.0158,0.1684,0,0.3737,0,0.0895,0.0211,0.0579,0,0,1,0.0053,0.0158,0.0895,GBC
student-dropout.csv,0,0.0264,1,0,0.0326,0,0.0084,0.0034,0.005,0,0,0.0077,0.0006,0.0001,0.0061,GBC
teachingassper.csv,0.015,0.0558,1,0.0107,0.0773,0.0107,0.191,0.0086,0.1245,0.0107,0.0107,0.0536,0,0.015,0.1867,GBC
thyroid.csv,0.0035,0.5618,1,0.0018,0.1151,0.0018,0.0764,0,0.0494,0.0042,0.0018,0.0018,0.0028,0.0018,0.0635,GBC
Thyroid_Diff.csv,0.0115,0.0287,1,0,0.523,0,0.1322,0.1724,0.0805,0.0057,0,0.5172,0.0517,0.0172,0.1494,RF
tic-toe.csv,0.5,0.4643,0.6786,0.4643,0.6071,0.4643,0.9643,0,1,0.4643,0.4643,0.4643,0.3214,0.5714,0.9286,GBC
transfusion.csv,0.0037,0.2759,1,0,0.0486,0,0.0971,0.014,0.0545,0.0037,0,0.0147,0.0096,0,0.0677,GBC
turkiye-student-evaluation_R_Specific.csv,0.0769,0.109,0.1667,0.0385,0.1026,0.0385,0.141,0,0.1346,0.0897,0.0385,1,0.0192,0.0513,0.1923,GBC
vehicles.csv,0.0008,0.2054,1,0.0004,0.1107,0.0004,0.0297,0,0.0202,0.0008,0.0004,0.0044,0.0008,0.0004,0.0329,GBC
waveform.csv,0,0.334,1,0,0.0346,0,0.0094,0,0.007,0,0,0.0001,0,0,0.0148,GBC
waveformDG.csv,0,0.1316,1,0,0.0328,0,0.0107,0,0.0079,0,0,0.0004,0,0,0.0182,GBC
Wholesale customers data.csv,0.0001,0.2727,1,0.0001,0.0042,0.0001,0.0144,0,0.0106,0.0001,0.0001,0.0001,0.0001,0.0001,0.0142,GBC
wine.csv,0.0016,0.2922,1,0.0013,0.1614,0.0013,0.0559,0,0.0413,0.0015,0.0013,0.0013,0.0014,0.0013,0.0609,RF
wirelessloca.csv,0.0096,0.376,1,0.0032,0.6192,0.0032,0.1744,0,0.1184,0.008,0.0032,0.0992,0.008,0.0032,0.2928,GBC
yeast.csv,0,0.0038,1,0,0.0119,0,0.0046,0.0002,0.0032,0,0,0.0003,0,0,0.0043,GBC
zoo.csv,0.0043,0.0043,1,0,0.1404,0,0.0778,0.0022,0.0518,0.0022,0,0.1728,0.013,0.0086,0.0821,GBC
