DatasetName,attr_conc.nanmean,attr_ent.nanmean,class_conc.nanmean,class_ent,eq_num_attr,joint_ent.nanmean,mut_inf.nanmean,ns_ratio,maxAlgNames
ionospere.csv,0,0.6667,0,0.4815,0.7037,1,0.1481,0.5926,GBC
Iris.csv,0,0.75,0.0357,0.5,0.6071,1,0.2143,0.5357,GBC
iymphography.csv,0,0.3333,0.0606,0.5455,1,0.7576,0.1212,0.3333,GBC
lenses.csv,0,0.0833,0.0417,0.2083,1,0.2778,0.0139,0.3056,RF
librasMove.csv,0,0.4576,0.0169,0.6441,0.9322,1,0.1017,0.4915,GBC
lunCancer.csv,0.0074,0.0294,0.0147,0.1397,1,0.1618,0,0.1691,GBC
mammographic.csv,0,0.2162,0,0.1216,0.6757,0.3243,0.0135,1,GBC
meta-data.csv,0.0012,0.0103,0,0.0182,1,0.0285,0,0.5626,RF
miceproteinNuclear.csv,0,0.3721,0.0116,0.3488,1,0.686,0.0349,0.9535,RF
molecular.csv,0,0.0673,0,0.0539,0.8249,0.1178,0.0034,1,GBC
monksTest1.csv,0,0.0688,0,0.0405,0.6316,0.1053,0.004,1,RF
monksTest2.csv,0,0.0047,0,0.0028,0.5973,0.0075,0,1,GBC
monksTrain1.csv,0,0.033,0,0.0236,0.7453,0.0542,0,1,RF
Movie_classification.csv,0.0005,0.0126,0,0.0048,0.3825,0.0174,0,1,RF
mushroom.csv,0,0.2,0,0.1385,0.8308,0.3231,0.0154,1,GBC
non-verbal tourist data.csv,0,0.1613,0.0484,0.4032,1,0.5161,0.0484,0.2581,GBC
NPHA-doctor-visits.csv,0.0005,0.0044,0.0005,0.0078,1,0.0122,0,0.5756,GBC
ObesityDataSet_raw_and_data_sinthetic.csv,0,0.2093,0.0116,0.3256,1,0.5,0.0349,0.5349,GBC
ozonedet.csv,0.003,0.1154,0,0.0296,0.2663,0.142,0.003,1,GBC
pageBlock.csv,0.0169,0.7627,0,0.3729,0.4068,1,0.1356,0.6441,GBC
parkinsons.csv,0.0102,0.2551,0,0.0918,0.4184,0.3265,0.0102,1,GBC
penReco.csv,0,0.6032,0.0159,0.5238,0.7143,1,0.1111,0.6508,GBC
phone.csv,0,0.0724,0,0.0536,0.7587,0.1233,0.0027,1,GBC
planningRelax.csv,0.0009,0.0221,0,0.0085,0.3903,0.0306,0,1,GBC
pop_failure.csv,0.0022,0.0677,0,0.0218,0.3297,0.0873,0.0022,1,GBC
postOpertaivePatient.csv,0,0.1915,0.0426,0.383,1,0.5319,0.0426,0.2979,GBC
Qualitative_Bankruptcy.csv,0,0.5714,0.0357,0.3214,0.7857,0.75,0.1071,1,GBC
Raisin_Dataset.csv,0.0233,0.3721,0,0.1163,0.3488,0.4419,0.0349,1,RF
risk_factors_cervical_cancer.csv,0.0052,0.0469,0,0.0521,1,0.099,0.0052,0.8958,GBC
seeds.csv,0,0.7241,0,0.4828,0.6552,1,0.2069,0.6207,GBC
shuttle.csv,0.0179,0.75,0,0.4821,0.3393,1,0.2321,0.3571,GBC
sobar-72.csv,0,0.1882,0,0.1059,0.6588,0.2824,0.0118,1,GBC
somervilehappy.csv,0.0022,0.0312,0,0.0223,0.7372,0.0512,0,1,RF
soyabean-large.csv,0,0.2727,0.1136,0.9091,0.8636,1,0.2045,0.0455,GBC
Spam.csv,0,0.0815,0,0.0741,0.9185,0.1481,0.0074,1,GBC
spec-heart.csv,0,0.087,0,0.0435,0.5261,0.1261,0.0043,1,RF
sponge.csv,0,0.0943,0,0.2453,1,0.3585,0,0.3208,RF
statlog-austr.csv,0,0.1053,0.0058,0.0585,0.5906,0.1579,0.0058,1,RF
statlog-german.csv,0,0.0206,0,0.0129,0.6195,0.0334,0,1,GBC
statlog-heart.csv,0,0.1019,0.0064,0.0637,0.6369,0.1592,0.0064,1,RF
statlog-heart2.csv,0,0.1019,0.0064,0.0637,0.6369,0.1592,0.0064,1,RF
statloglandsat.csv,0,0.7018,0,0.4386,0.4737,1,0.1404,0.5789,GBC
studenperf.csv,0,0.1359,0.0097,0.3981,1,0.5049,0.0291,0.2524,GBC
student-dropout.csv,0.0033,0.0656,0,0.0525,0.8131,0.1148,0.0033,1,GBC
teachingassper.csv,0.0039,0.0254,0.0039,0.0312,1,0.0547,0,0.7871,GBC
thyroid.csv,0,0.7647,0,0.4118,0.5,1,0.1765,0.6471,GBC
Thyroid_Diff.csv,0,0.1754,0,0.1579,1,0.3158,0.0175,0.9123,RF
tic-toe.csv,0,0.0186,0,0.0112,0.6134,0.031,0,1,GBC
transfusion.csv,0.0038,0.0566,0,0.0189,0.3358,0.0755,0.0019,1,GBC
turkiye-student-evaluation_R_Specific.csv,0.0123,0.0677,0,0.0492,0.7385,0.1138,0.0031,1,GBC
vehicles.csv,0.0182,0.2818,0,0.1818,0.7,0.4364,0.0273,1,GBC
waveform.csv,0,0.2531,0,0.0988,0.4136,0.3333,0.0123,1,GBC
waveformDG.csv,0,0.1293,0,0.0505,0.4006,0.1735,0.0032,1,GBC
Wholesale customers data.csv,0.002,0.056,0,0.032,0.57,0.088,0.002,1,GBC
wine.csv,0,0.6111,0.0278,0.4167,0.8611,0.9167,0.1111,1,RF
wirelessloca.csv,0,0.7447,0.0213,0.4255,0.5319,1,0.1702,0.7447,GBC
yeast.csv,0,0.4746,0.0169,0.5424,1,0.9492,0.0847,0.6949,GBC
zoo.csv,0,0.1837,0.102,0.551,1,0.6327,0.102,0.1224,GBC
