surgery,age,hospital_number,rectal_temperature,pulse,respiratory_rate,temperature_of_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_examination_feces,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdominocentesis_total_protein,outcome,lesion_site,lesion_type,lesion_subtype,cp_data,surgical_lesion
1,0,72,42,30,40,0,0,0,0,2,2,1,0,0,20,0,2,8,31,0,31,0,0,0,0,0,1
0,1,253,52,14,39,4,4,6,3,5,4,4,3,3,20,4,5,80,84,3,39,1,8,0,0,1,0
0,0,94,65,47,40,2,2,5,1,4,2,2,0,2,20,3,4,62,30,2,39,1,33,0,0,1,0
1,1,263,49,15,32,4,4,6,3,5,4,4,3,3,20,4,5,38,70,3,0,0,53,0,0,0,0
1,0,137,30,33,1,2,0,2,0,2,2,0,0,0,20,1,1,38,46,3,39,0,19,0,0,1,1
0,0,183,65,6,40,2,3,3,0,3,3,3,0,0,20,4,4,47,42,1,9,2,25,0,0,1,0
0,0,248,0,13,11,2,2,3,1,3,3,4,1,0,20,4,4,56,44,2,9,2,25,0,0,1,0
1,0,113,65,6,40,3,2,3,1,4,3,3,0,0,20,3,4,61,30,2,39,1,25,0,0,1,0
0,0,117,27,33,4,2,4,3,1,4,3,3,1,1,20,3,4,66,52,3,39,0,16,0,0,0,0
1,0,112,19,27,5,0,0,0,0,0,0,0,0,0,20,0,5,18,30,3,39,0,0,0,0,1,1
0,0,67,48,43,22,2,2,2,1,1,2,2,1,1,17,2,0,52,30,2,39,1,46,0,0,1,0
1,0,100,13,45,23,2,2,4,1,3,0,1,0,1,20,1,0,76,12,1,25,1,36,0,0,0,1
1,0,108,42,26,40,0,0,1,0,0,2,1,0,0,20,4,1,42,83,0,6,0,19,0,0,0,1
0,0,16,17,45,19,0,4,2,1,2,2,1,3,3,20,3,4,80,84,2,39,1,48,0,0,0,0
1,0,92,65,52,40,0,0,2,0,0,2,0,3,3,20,1,1,30,54,3,39,0,19,0,0,1,1
1,0,153,42,22,7,4,4,6,0,5,4,4,3,3,20,4,5,26,29,3,39,0,19,0,0,0,1
1,0,90,63,5,19,2,2,0,1,1,2,2,1,0,17,0,4,57,66,2,28,2,49,0,0,0,0
0,1,259,42,16,7,2,4,4,0,2,2,3,2,3,20,3,5,21,84,1,39,1,46,0,0,0,0
0,0,66,65,52,40,4,4,6,3,5,4,4,3,3,20,4,5,1,32,3,39,0,20,0,0,1,0
0,0,99,65,34,19,1,4,1,0,4,2,2,1,1,20,4,5,28,54,3,39,1,27,0,0,1,0
0,0,41,65,52,7,3,2,2,3,4,3,2,1,3,20,3,3,50,15,2,39,1,25,0,0,0,0
1,0,68,65,50,40,2,2,2,1,4,3,3,0,1,20,3,4,61,84,3,39,1,33,0,0,1,0
1,0,149,25,27,16,0,0,2,0,1,0,4,0,0,20,3,4,18,32,3,39,0,9,0,0,1,1
1,0,27,40,33,40,1,1,0,0,0,1,1,1,0,20,0,0,32,54,3,39,0,0,0,0,1,1
0,0,53,25,47,9,1,0,1,0,2,4,4,1,3,20,3,5,64,65,0,34,1,25,0,0,0,0
1,0,194,33,10,5,3,2,3,1,1,3,3,0,0,20,4,5,65,78,1,9,2,14,1,0,1,1
0,0,102,49,34,19,2,0,3,1,2,2,1,0,1,17,3,4,32,52,2,31,0,8,0,0,0,0
0,0,218,65,33,19,2,0,2,0,2,2,1,0,0,20,2,3,2,59,1,1,0,13,0,0,1,0
1,0,212,26,39,40,0,0,4,1,2,2,0,0,2,2,2,3,58,61,0,9,0,17,0,0,1,0
1,0,69,38,31,11,0,0,0,0,0,2,0,1,0,20,2,1,42,49,0,39,0,19,0,0,0,1
1,0,109,65,30,5,0,4,2,0,5,4,4,1,2,12,4,5,54,49,3,39,0,9,0,0,1,1
1,0,134,30,27,1,0,0,0,0,0,2,4,0,0,20,2,1,28,28,1,25,0,19,0,0,0,1
1,0,38,9,33,7,2,4,6,0,2,4,2,1,1,8,3,3,30,53,3,39,2,14,0,0,0,0
0,0,87,25,27,14,0,0,0,0,0,1,0,1,3,20,0,0,36,15,1,36,0,0,0,0,0,1
0,0,278,23,32,40,4,4,6,3,5,4,4,3,3,20,4,5,80,84,3,39,1,8,0,0,1,0
0,0,46,32,30,11,0,0,4,0,3,2,0,1,2,17,0,5,52,52,1,15,1,7,0,0,0,0
0,1,273,65,52,40,4,4,6,3,5,4,4,3,3,20,4,5,18,8,3,39,1,54,0,0,1,0
0,1,185,60,0,40,2,2,4,1,1,2,4,3,3,20,4,5,39,22,1,9,2,5,0,0,1,0
0,0,204,20,21,7,2,2,0,0,2,2,1,3,3,20,2,5,17,43,3,39,0,25,0,0,1,0
1,0,210,43,30,7,1,4,0,0,0,0,0,0,0,20,0,0,9,64,3,39,0,0,0,0,1,1
0,0,158,65,52,40,2,2,2,2,4,2,2,2,1,20,3,4,36,15,3,39,1,18,0,0,1,0
0,0,8,19,50,6,0,2,5,1,2,3,1,1,2,9,4,3,72,75,2,39,0,13,0,0,0,0
0,0,9,3,51,18,2,2,3,0,3,2,1,3,3,20,3,3,38,29,2,22,1,10,0,0,0,0
0,0,211,14,22,40,4,2,0,0,1,2,1,2,0,20,2,4,15,84,2,9,0,19,0,0,1,0
0,1,268,32,0,34,2,0,1,0,2,3,0,3,3,20,0,5,16,13,3,39,0,19,0,0,1,0
0,0,257,30,52,11,2,2,5,1,4,4,3,0,0,20,4,5,71,55,3,39,1,25,0,0,1,0
0,0,115,25,33,34,0,2,1,1,1,2,2,3,1,12,3,5,24,5,1,39,0,41,0,0,0,0
1,0,81,30,31,15,1,2,2,2,2,0,1,1,1,20,4,3,34,27,3,39,0,2,0,0,1,1
0,0,85,65,47,20,2,2,3,1,4,3,2,2,3,20,3,4,44,54,2,4,1,33,0,0,0,0
1,0,28,65,22,5,4,4,6,0,5,4,4,3,3,20,4,5,44,46,1,24,2,13,0,0,0,0
1,0,104,49,34,20,0,0,4,0,2,2,1,1,0,20,2,2,28,52,1,13,0,37,0,0,0,1
1,0,246,35,23,0,0,0,0,0,0,0,0,3,3,20,4,5,20,36,3,39,0,0,0,0,1,1
1,0,192,29,30,5,4,4,6,3,1,4,4,3,2,0,0,0,49,80,3,39,0,17,0,0,1,0
1,0,90,63,5,19,2,2,0,1,1,2,2,1,0,17,0,4,57,66,2,28,1,25,0,0,0,0
1,0,131,46,29,7,2,0,0,0,0,0,0,1,0,20,2,0,28,27,3,39,0,0,0,0,1,1
1,0,138,65,52,40,2,2,0,0,4,2,2,0,0,20,3,4,21,30,3,39,1,25,0,0,1,0
1,0,60,19,27,15,3,0,2,0,5,1,0,0,0,20,0,0,40,71,3,39,0,0,0,0,1,1
0,0,233,14,27,7,4,0,1,0,2,2,2,1,0,20,2,4,25,44,3,39,0,25,0,0,1,0
1,0,139,65,45,19,4,4,2,0,5,2,0,1,0,20,2,1,32,70,3,39,0,19,0,0,1,0
0,0,188,31,47,16,2,2,3,0,1,2,2,3,2,0,3,4,53,35,3,39,2,25,0,0,1,1
1,0,187,22,24,20,1,0,2,0,0,2,1,0,0,20,0,4,25,35,3,39,0,0,0,0,1,1
1,0,121,59,2,25,2,2,5,1,1,3,2,0,1,20,2,4,60,65,1,15,0,36,0,0,0,1
0,0,245,33,22,5,2,2,0,0,0,2,4,3,3,20,0,0,11,41,3,39,0,0,0,0,1,1
0,0,219,65,33,7,3,2,3,1,4,3,4,3,0,20,3,4,80,84,3,39,2,25,0,0,1,0
1,0,223,35,22,5,2,4,0,0,1,4,4,3,3,20,4,5,17,22,3,39,0,0,0,0,1,1
0,1,272,30,13,30,0,0,0,0,2,2,1,3,3,20,1,0,23,11,3,39,0,46,0,0,1,0
0,0,12,25,30,11,0,2,2,0,3,3,0,1,2,13,1,4,40,31,0,23,1,42,0,0,1,0
0,0,144,65,38,19,0,4,2,1,1,2,1,1,3,20,3,4,16,50,3,39,0,59,0,0,1,0
0,0,57,36,30,39,4,2,2,0,5,4,4,0,0,20,0,5,30,26,3,39,0,27,0,0,0,0
1,0,107,15,29,16,0,0,2,0,0,2,1,3,3,20,0,5,32,46,3,39,0,0,0,0,1,1
0,0,163,43,33,16,3,2,1,1,3,3,3,3,3,20,3,4,49,39,2,9,2,25,0,0,1,0
0,1,277,38,45,20,2,2,1,0,2,2,2,0,0,20,4,5,16,31,1,16,1,10,0,0,0,0
0,0,11,65,38,5,2,3,4,1,1,2,1,1,0,20,3,4,61,52,3,39,1,7,0,0,1,0
0,0,166,35,22,5,2,4,6,0,0,2,1,3,3,20,4,5,20,23,0,9,0,19,5,0,1,0
0,0,224,65,22,40,1,0,0,0,0,2,0,0,0,20,4,4,22,21,3,39,0,19,0,0,1,0
0,0,25,7,33,14,4,4,6,3,5,4,4,3,3,20,4,5,80,84,3,7,1,25,0,0,0,0
0,0,160,37,24,11,2,4,3,3,4,3,2,1,0,20,3,4,43,64,3,39,0,25,0,0,1,0
1,0,165,65,52,20,2,0,0,0,2,2,1,3,3,20,4,5,33,57,3,39,0,0,0,0,1,1
0,0,238,29,24,1,0,0,0,0,2,2,2,1,0,20,3,4,27,40,3,39,0,25,2,0,1,0
1,0,267,58,52,40,2,2,3,1,2,3,2,3,2,12,3,4,80,32,0,39,2,33,0,0,1,0
0,0,180,4,42,15,0,4,0,0,4,2,0,3,0,20,4,5,11,62,1,1,0,20,4,0,1,0
1,0,235,31,32,7,1,0,1,0,0,2,0,0,0,20,4,5,35,57,3,39,0,0,0,0,1,1
0,0,58,56,31,29,0,0,1,0,1,2,1,0,0,20,2,3,23,25,1,39,0,11,0,0,0,0
0,0,200,35,43,20,4,4,5,1,3,2,0,3,1,20,0,3,69,0,1,1,2,13,0,0,1,0
1,0,202,43,22,14,1,0,0,0,2,0,0,3,3,20,0,5,22,37,0,1,0,0,0,0,1,1
0,0,142,34,34,11,0,0,2,0,3,3,2,1,0,20,3,3,34,52,0,10,1,25,0,0,0,0
1,0,114,21,27,7,2,0,3,0,0,0,2,1,0,20,0,0,18,12,3,39,2,10,0,0,1,0
0,0,45,30,23,30,3,0,0,0,2,2,1,1,1,20,3,3,26,53,3,39,0,10,0,0,1,0
0,0,145,44,52,40,2,0,2,0,4,3,1,3,3,20,4,5,10,30,1,39,0,59,0,0,1,0
0,0,250,17,29,16,2,2,6,0,3,3,0,1,0,20,0,5,34,56,1,2,0,13,0,0,0,0
0,0,243,16,45,7,4,4,2,0,1,2,2,3,3,20,4,5,5,36,3,1,2,13,0,0,1,1
0,0,14,38,28,40,4,4,0,0,5,4,0,1,0,20,4,5,32,53,3,39,0,11,0,0,1,0
0,0,70,25,19,1,4,4,6,3,5,4,4,3,3,20,4,5,80,84,3,39,1,8,0,0,1,0
1,0,157,21,47,19,2,0,0,0,2,2,1,0,2,1,4,5,32,25,3,39,1,5,0,0,1,0
2,0,201,29,27,7,2,0,2,0,3,2,0,1,0,20,2,4,29,60,1,1,3,19,0,0,1,0
1,0,135,27,22,11,0,0,0,0,1,2,0,3,3,20,4,2,24,13,3,39,0,2,0,0,1,0
0,0,10,65,0,40,2,4,3,1,4,3,4,1,3,20,1,5,60,28,3,39,1,33,0,0,1,0
0,1,261,32,12,23,2,2,2,0,4,0,2,1,1,7,1,5,10,8,1,17,1,10,0,0,0,0
0,0,158,65,52,40,2,2,2,1,4,2,2,2,1,20,3,4,36,15,3,39,1,18,0,0,1,0
0,0,195,28,27,40,0,0,0,0,0,1,3,1,1,20,3,4,80,84,3,39,0,19,0,0,1,0
1,0,160,28,32,40,0,1,2,0,0,0,0,0,0,20,0,0,27,58,3,39,0,0,0,0,1,1
1,0,198,28,33,16,0,0,6,0,2,2,4,0,0,20,4,5,43,45,0,1,0,0,0,0,1,1
0,0,119,32,24,37,2,0,0,0,1,1,0,0,0,20,3,4,6,50,3,39,0,39,0,0,1,1
1,0,3,1,23,15,4,4,4,0,5,4,4,3,3,20,4,5,64,33,3,39,1,5,0,0,1,1
0,0,147,65,6,40,3,2,5,1,4,3,3,3,3,20,3,4,57,5,2,24,1,25,0,0,0,0
0,0,87,25,27,14,0,0,0,1,0,1,0,1,3,20,0,0,36,15,1,36,0,0,0,0,0,1
0,0,199,10,45,20,2,2,5,0,1,3,3,2,1,2,3,4,78,77,3,39,2,5,0,0,1,1
1,0,240,65,43,16,2,2,1,0,1,2,2,1,0,20,2,5,43,76,3,39,0,0,0,0,1,0
0,0,186,33,27,40,0,2,2,0,2,3,3,0,2,2,3,4,27,58,3,39,0,19,0,0,1,0
1,0,120,30,24,1,1,0,2,0,2,3,2,0,1,16,0,3,10,30,3,39,1,14,0,0,1,0
0,0,79,36,11,40,4,2,5,1,1,3,1,1,2,15,3,3,57,65,3,32,0,7,0,0,0,0
1,0,242,43,27,11,4,4,6,3,0,0,4,0,0,20,0,5,11,38,3,39,0,0,0,0,1,1
1,0,169,47,24,3,2,0,0,0,1,2,1,3,3,20,4,1,9,39,3,39,0,0,0,0,1,1
0,0,86,54,52,40,3,2,5,1,3,3,1,0,2,5,3,3,79,84,2,26,1,12,0,0,0,0
0,0,170,65,0,40,2,2,3,1,5,3,3,1,0,2,4,5,70,39,2,9,0,14,0,0,1,0
1,0,64,42,27,7,2,0,0,0,0,2,1,1,0,20,2,1,44,50,0,39,0,19,0,0,0,1
1,0,234,45,27,20,0,0,2,0,2,2,3,1,3,20,4,4,25,40,3,39,0,32,0,0,1,0
1,0,39,30,27,7,2,2,3,0,0,3,1,1,3,9,4,1,42,68,0,39,0,2,0,0,0,1
1,0,72,42,30,7,0,0,0,0,2,2,1,0,0,20,0,2,16,31,0,31,0,0,0,0,0,1
0,0,177,24,33,11,0,4,2,1,5,3,3,1,2,2,4,4,47,62,3,39,2,10,0,0,1,0
1,0,40,30,23,20,2,0,0,0,2,2,0,3,3,20,4,5,80,84,3,39,0,19,0,0,1,1
1,0,32,65,52,1,0,0,1,0,1,0,1,2,0,20,0,2,32,52,1,39,0,0,0,0,0,1
0,0,22,65,52,40,4,4,6,3,3,4,4,0,0,20,4,4,13,23,1,1,0,33,0,0,1,0
0,0,148,36,23,11,4,4,6,0,5,4,4,3,3,20,4,5,24,70,3,39,1,47,0,0,1,0
1,0,236,57,33,0,2,4,6,1,2,2,1,1,0,20,2,5,20,21,0,39,0,0,0,0,1,1
0,0,178,28,36,7,0,2,2,0,4,2,0,0,0,20,2,5,35,9,2,9,2,45,0,0,1,0
0,0,48,44,41,40,0,0,4,1,2,2,1,1,1,20,3,3,44,65,3,39,0,13,0,0,0,0
0,0,221,55,6,23,4,4,4,0,5,2,2,0,3,20,3,5,55,39,0,9,2,5,0,0,1,1
0,0,22,36,22,6,0,0,0,0,2,0,0,3,3,20,1,0,30,15,0,39,0,0,0,0,0,1
1,0,42,65,24,11,0,0,0,0,2,2,0,1,0,20,4,0,80,28,3,39,0,19,0,0,1,1
0,0,132,38,1,20,0,0,2,0,1,3,1,1,2,16,4,3,54,70,3,39,0,9,0,0,1,0
0,0,230,65,35,11,4,4,6,1,4,4,3,2,0,20,4,4,80,84,3,39,2,25,0,0,1,0
1,0,161,18,24,7,0,0,2,0,5,0,0,3,3,20,0,5,13,48,3,39,0,0,0,0,1,1
1,0,13,49,46,5,2,2,4,3,2,2,2,3,1,20,4,5,71,14,2,34,1,42,0,0,0,0
0,0,241,39,9,23,2,2,2,0,1,3,2,0,2,2,4,5,56,41,2,9,0,11,0,0,1,0
0,0,105,65,1,40,2,2,4,1,1,3,2,3,2,20,3,3,72,71,1,21,1,12,0,0,0,0
1,0,0,65,52,40,2,3,5,3,3,4,3,3,3,20,4,5,80,84,3,39,1,29,0,0,0,0
0,0,24,65,52,40,4,4,6,3,5,4,4,3,3,20,4,5,80,84,3,39,0,13,0,0,1,0
0,0,231,33,33,15,0,0,2,0,2,2,0,1,0,20,2,1,39,41,3,39,0,44,0,0,1,0
0,0,4,65,37,3,4,4,3,0,3,4,4,3,0,6,4,5,80,84,1,16,1,33,0,0,0,0
0,0,179,65,33,15,2,2,3,1,4,3,3,0,0,20,3,5,33,57,2,9,0,43,2,0,1,0
1,0,33,40,0,40,2,2,4,1,3,2,3,1,0,20,3,4,80,84,3,39,2,3,0,0,0,1
0,0,129,38,45,15,2,0,4,1,3,2,2,1,2,16,3,3,38,52,2,39,1,15,0,0,1,0
1,0,43,25,27,3,4,4,0,0,2,4,1,0,2,10,0,5,14,52,3,39,0,19,0,0,0,1
0,0,257,30,52,11,2,2,5,1,4,4,3,0,0,20,4,5,71,55,3,39,1,10,0,0,1,0
1,0,217,24,32,5,0,0,1,0,1,0,0,1,0,20,0,5,31,43,0,1,0,0,0,0,1,1
1,0,182,33,37,16,1,1,1,0,0,0,0,2,0,20,0,0,29,40,3,39,0,0,0,0,1,1
0,0,216,39,6,28,3,2,5,1,5,2,4,3,3,20,4,5,51,84,3,39,0,42,0,0,1,0
0,0,254,54,34,38,1,2,0,0,5,2,0,0,1,20,4,5,23,32,3,39,0,58,0,0,1,0
0,0,7,38,43,15,3,2,0,0,2,2,2,2,2,20,3,4,8,26,2,26,0,48,0,0,0,0
0,0,175,39,33,40,0,0,6,0,5,0,0,3,3,20,4,5,9,18,0,39,0,30,0,0,1,0
0,0,279,36,33,5,2,0,0,0,1,0,0,1,1,3,0,3,4,25,0,18,0,59,0,0,1,0
0,0,61,11,22,33,4,0,3,0,2,2,0,0,0,20,2,2,0,32,2,39,0,24,0,0,0,0
1,1,262,65,0,22,1,0,0,0,3,0,0,3,3,20,0,5,18,7,3,39,0,46,0,0,1,1
0,0,214,33,27,6,0,0,0,0,2,2,2,0,1,20,3,5,39,61,0,9,0,38,0,0,1,0
0,0,83,65,33,23,2,2,3,1,3,2,3,3,3,20,4,5,59,53,3,39,1,25,0,0,1,0
1,0,190,26,47,11,0,0,1,0,1,1,0,3,3,20,3,0,17,21,3,39,0,0,0,0,1,1
1,0,164,29,24,1,2,0,0,3,5,0,1,3,3,20,0,5,27,39,3,39,0,0,0,0,1,1
1,0,98,40,33,7,0,0,4,1,1,1,0,1,0,20,1,2,62,52,1,13,2,1,0,0,0,1
1,0,1,40,50,19,2,2,6,1,1,3,1,0,1,20,3,4,73,70,3,39,1,5,0,0,0,0
1,0,173,35,33,7,0,0,0,1,0,2,0,3,3,20,2,5,11,41,3,39,0,0,0,0,1,1
1,0,189,39,33,20,2,0,1,0,1,0,1,3,3,20,2,1,41,24,3,39,0,0,0,0,1,1
0,0,31,15,27,1,0,4,2,0,2,0,2,1,0,20,2,2,24,31,1,39,0,25,0,0,0,0
0,0,55,40,46,40,0,0,2,0,3,3,2,1,0,20,2,4,34,51,0,21,1,27,0,0,0,0
0,0,184,18,27,20,4,4,6,3,5,4,4,0,0,20,4,4,25,20,2,9,2,13,0,0,1,0
1,0,103,13,20,37,0,0,0,0,1,2,0,1,0,20,3,0,14,13,3,39,0,59,0,0,1,1
0,0,96,52,52,10,2,0,2,0,3,3,1,1,3,20,4,5,16,31,0,18,0,22,0,0,0,0
1,0,33,40,0,40,2,2,4,1,3,2,3,1,0,20,3,4,80,84,3,39,2,32,0,0,1,1
0,0,232,39,50,15,1,2,3,1,3,3,2,1,0,20,2,4,43,40,3,39,0,43,3,0,1,0
0,0,136,65,52,40,4,4,6,3,5,4,4,3,3,20,4,5,34,73,3,39,1,13,0,0,1,0
0,0,244,24,47,34,2,2,4,1,5,2,2,1,2,20,3,4,63,81,3,39,2,25,0,0,1,0
1,0,197,18,24,0,2,0,0,0,2,0,1,1,3,20,2,2,29,17,0,1,0,0,0,0,1,1
0,0,146,27,37,7,4,0,1,0,1,3,1,3,3,20,0,4,34,4,2,16,1,42,0,0,0,0
0,0,118,30,46,11,3,2,3,0,1,3,3,0,0,20,3,4,34,12,0,8,1,19,0,0,0,0
0,1,274,48,6,15,0,2,1,1,2,2,2,2,0,3,4,5,38,28,0,39,0,9,0,0,1,1
0,0,37,21,25,1,2,0,2,0,5,1,1,1,0,20,0,3,23,46,1,5,0,7,0,0,0,0
1,0,78,42,32,16,1,0,0,0,0,0,0,1,3,20,1,5,24,46,1,11,0,0,0,0,0,1
0,0,75,25,22,1,0,0,0,0,0,1,0,1,0,20,0,1,21,46,3,39,0,19,0,0,1,0
1,0,71,65,52,40,4,4,6,3,5,4,4,3,3,20,4,5,80,84,3,39,0,0,0,0,1,1
0,0,255,30,41,6,4,4,6,1,5,4,4,3,3,20,4,5,74,1,3,39,0,14,0,0,0,0
0,0,239,31,22,19,0,1,1,0,1,1,4,3,3,20,4,5,80,84,3,39,2,20,0,0,1,0
0,0,106,65,30,14,2,2,3,0,2,3,2,1,0,20,3,3,18,66,3,39,0,6,0,0,1,0
0,0,226,51,47,27,3,3,6,1,4,3,4,3,3,20,4,5,80,84,1,9,2,25,0,0,1,1
0,0,227,39,49,20,3,2,6,0,1,3,2,3,3,20,3,5,35,42,1,9,0,13,0,0,1,0
0,0,63,65,4,2,3,3,3,0,1,2,0,1,0,8,3,3,61,28,2,39,0,10,0,0,0,0
0,0,35,23,36,1,0,0,2,0,2,2,1,1,3,20,3,3,7,27,1,6,0,13,0,0,0,0
0,0,247,45,29,3,0,0,0,0,2,0,0,0,0,20,2,4,20,23,3,39,0,19,0,0,1,0
1,0,69,38,31,11,0,0,0,0,0,2,0,1,0,20,2,1,42,49,0,38,0,19,0,0,0,1
0,0,47,52,6,7,3,2,4,1,1,2,2,0,2,20,4,3,61,74,2,39,1,10,0,0,1,0
0,1,264,65,52,40,4,4,6,3,5,4,4,3,3,20,4,5,34,30,1,39,0,52,0,0,0,0
0,0,237,14,48,20,2,4,5,1,4,3,2,1,1,20,0,4,65,16,2,9,2,25,0,0,1,0
0,1,203,39,6,31,4,4,6,3,5,0,4,1,3,20,0,5,13,19,0,1,0,33,2,1,1,0
0,0,193,39,1,20,2,2,6,0,3,2,3,3,3,20,4,5,80,84,3,39,0,9,0,0,1,0
1,0,122,58,49,14,2,2,5,0,4,3,0,3,2,20,3,5,75,29,3,22,1,28,0,0,1,1
0,0,251,40,19,6,4,4,6,3,5,4,4,3,3,20,4,5,24,54,3,39,0,8,0,0,1,0
0,0,152,36,39,15,3,2,2,1,2,2,2,1,0,20,2,4,30,46,1,24,0,21,0,0,0,0
1,0,60,19,27,15,3,0,2,0,5,1,0,0,0,20,0,0,40,71,3,39,0,2,0,0,1,1
0,0,46,32,30,11,0,0,4,0,3,2,0,1,2,17,0,5,52,52,1,15,1,11,0,0,0,0
1,0,36,34,23,13,0,0,0,0,2,0,1,3,3,20,0,5,16,34,3,39,0,19,0,0,1,1
1,0,168,26,31,21,1,0,4,0,2,0,0,3,0,20,4,1,37,19,2,1,0,0,0,0,1,1
1,0,59,2,47,40,2,2,2,0,2,2,1,1,2,20,4,3,34,46,2,30,2,14,0,0,0,0
0,0,191,31,38,9,4,0,6,0,4,2,4,3,3,20,4,4,15,40,3,39,2,25,0,0,1,0
0,0,76,30,48,15,3,2,3,1,4,3,3,3,3,20,3,4,54,26,3,39,1,25,0,0,1,0
0,0,73,34,30,5,0,0,1,0,0,1,0,0,0,20,0,5,30,66,3,39,0,0,0,0,0,1
