Marketing expense,Production expense,Multiplex coverage,Budget,Movie_length,Lead_ Actor_Rating,Lead_Actress_rating,Director_rating,Producer_rating,Critic_rating,Trailer_views,3D_available,Time_taken,Twitter_hastags,Genre,Avg_age_actors,Num_multiplex,Collection,Start_Tech_Oscarclass
218,48,38,144,54,156,175,163,176,9,370,1,245,40,3,2,97,139,0
24,24,62,324,34,95,99,97,108,48,495,1,142,208,3,30,65,176,0
34,24,62,387,17,96,100,98,103,48,503,1,82,414,3,1,47,197,0
178,54,50,354,0,92,84,80,94,20,415,0,204,262,0,11,106,153,0
195,54,50,210,4,86,95,84,85,20,446,0,238,406,3,33,38,149,0
206,54,50,221,3,82,87,85,95,51,290,1,71,403,3,37,64,144,0
174,54,50,177,90,90,92,83,82,51,288,0,328,178,3,34,25,110,1
214,54,50,63,70,113,118,111,109,51,281,0,236,94,3,2,60,91,1
223,54,50,82,68,112,115,107,118,51,203,1,356,173,2,20,69,98,1
243,54,50,167,257,89,88,87,88,20,71,1,3,161,3,25,133,65,1
251,54,50,28,322,85,86,82,78,51,6,0,156,291,1,15,46,47,1
237,54,50,50,163,81,77,74,70,20,154,0,59,242,0,26,115,92,1
137,46,55,142,111,47,54,50,51,26,195,1,0,97,3,2,27,95,0
59,46,55,191,167,49,49,49,55,58,383,1,150,100,2,11,86,103,0
78,46,55,306,31,50,48,47,56,58,395,0,401,335,3,37,76,146,0
72,46,55,154,32,52,55,51,43,58,367,0,342,110,3,22,36,131,0
5,35,69,117,117,42,34,34,41,2,127,1,293,379,1,36,18,87,1
4,3,73,405,35,13,14,14,11,51,414,1,191,270,3,31,93,200,1
17,1,69,266,75,7,8,6,6,55,475,1,36,403,2,3,14,144,1
7,5,68,360,94,16,16,18,17,67,412,1,185,412,2,26,45,181,1
204,43,48,202,51,29,24,27,31,7,307,0,57,328,1,3,53,130,1
156,43,48,129,115,45,50,48,49,7,270,1,81,308,1,1,74,94,1
200,43,48,75,176,43,38,36,45,7,263,0,57,91,3,11,54,85,1
215,43,48,144,306,53,51,49,48,7,164,0,83,368,3,29,18,59,0
163,43,48,292,182,36,40,41,46,7,443,1,40,31,1,37,52,119,1
177,43,48,353,104,21,26,25,19,38,277,1,47,261,0,9,83,146,1
14,6,65,392,156,5,6,8,8,15,301,1,252,56,0,11,20,189,1
44,28,76,241,23,61,57,52,52,61,482,0,368,194,3,1,11,132,0
60,28,76,83,56,56,56,53,53,61,262,0,324,95,0,25,92,92,1
91,50,70,111,32,60,59,66,54,43,354,1,160,252,3,10,29,117,1
187,50,70,47,79,66,68,64,47,43,249,0,311,374,3,21,98,72,0
181,50,70,115,65,63,60,61,53,12,373,0,260,103,2,37,15,107,1
135,65,67,278,4,101,111,93,113,9,378,1,389,331,3,19,30,139,0
205,65,67,141,21,106,103,105,105,40,348,0,412,251,0,27,25,114,1
141,65,67,175,6,105,117,92,104,9,377,0,42,33,3,1,3,125,1
227,65,67,232,2,110,102,100,107,40,352,1,57,193,2,26,52,131,1
120,67,57,238,1,140,160,135,152,14,336,0,214,39,3,21,19,138,1
147,67,57,240,107,128,135,126,160,44,366,0,63,28,1,9,13,111,0
154,67,57,239,210,148,172,150,156,44,303,0,172,173,1,3,67,98,1
134,67,57,199,112,149,156,150,168,14,342,1,49,102,3,38,38,106,1
87,67,57,229,136,111,115,114,122,44,207,1,307,389,2,34,12,110,0
131,67,57,107,78,141,147,127,132,44,272,0,99,385,0,18,85,101,0
54,40,63,347,69,103,101,107,93,42,374,1,101,337,2,35,10,159,0
62,40,63,329,193,94,107,88,106,11,406,1,23,196,2,30,111,136,1
46,40,63,244,62,100,104,102,93,42,350,0,72,42,3,1,82,145,1
42,40,63,209,114,101,105,91,100,11,331,1,194,34,2,15,28,126,0
74,39,49,267,118,122,127,119,130,16,221,0,120,329,2,4,41,136,1
89,39,49,332,143,129,152,140,133,46,360,0,384,200,3,37,128,153,0
76,39,49,161,108,136,151,140,131,16,177,1,53,107,3,31,85,122,0
114,39,49,193,147,170,171,172,180,46,338,1,167,186,1,24,118,119,1
88,29,40,384,261,192,207,193,169,52,403,0,148,37,3,9,70,133,0
77,29,40,390,168,183,189,179,210,52,422,1,197,409,1,12,91,165,0
68,29,40,278,175,212,214,205,198,52,387,1,180,394,2,39,43,123,1
51,29,40,273,207,210,213,196,212,21,365,0,250,252,3,4,65,117,0
55,70,45,289,135,168,187,165,189,49,340,0,340,325,2,41,125,126,0
25,70,45,221,49,171,182,173,188,49,402,0,433,335,0,27,104,146,0
56,70,45,233,219,176,192,167,188,49,275,0,32,249,0,35,79,104,0
173,22,52,330,148,187,202,177,186,19,337,0,407,338,3,27,81,162,0
170,22,52,207,189,186,191,189,178,50,273,0,426,179,3,2,77,111,0
172,22,52,435,214,179,194,188,188,19,480,1,89,215,3,34,33,210,0
124,22,52,427,80,190,186,186,185,19,481,1,448,61,0,6,120,218,1
107,22,52,415,165,174,190,182,200,50,328,0,106,268,3,12,118,191,0
199,60,32,347,229,215,230,226,236,4,283,1,378,407,2,5,83,157,1
168,60,32,355,196,211,225,207,244,31,346,1,166,46,3,39,60,152,0
242,60,32,273,256,220,240,234,233,31,240,0,132,236,0,38,148,84,0
234,60,32,198,265,224,248,222,230,31,199,1,138,305,1,17,157,91,0
191,60,32,209,283,247,262,237,262,4,170,1,57,24,1,1,72,99,0
186,60,32,96,332,280,286,278,260,4,165,1,57,243,1,38,122,93,0
212,60,32,92,297,265,275,250,279,4,118,1,431,307,2,1,95,93,1
184,60,32,195,255,266,286,274,271,4,194,1,62,311,0,38,124,102,1
180,60,32,297,336,240,267,246,251,31,292,0,287,23,0,29,112,96,1
254,60,32,227,290,253,259,222,242,4,180,1,390,306,1,22,157,92,1
161,60,32,217,141,218,237,212,244,31,156,1,144,29,1,18,67,114,1
153,63,27,344,233,234,234,215,253,52,362,1,28,255,3,15,148,125,0
175,63,27,124,303,255,264,244,266,21,95,1,0,378,3,16,175,86,1
239,63,27,182,323,251,262,245,216,52,119,1,413,20,3,40,194,85,1
196,63,27,236,249,256,270,265,268,52,204,0,118,166,0,20,169,83,0
213,63,27,130,269,254,249,235,259,21,140,0,196,89,1,5,143,81,0
185,63,27,213,200,226,228,215,252,52,171,0,104,250,1,4,135,110,0
203,63,27,164,238,237,243,219,215,21,224,0,371,381,0,9,199,90,0
183,63,27,106,203,235,260,241,256,21,128,1,227,311,3,21,166,102,1
198,63,27,74,172,225,242,219,226,52,255,1,423,94,3,1,136,91,0
109,74,22,104,190,264,269,247,278,10,229,1,211,30,3,4,169,117,0
115,74,22,156,248,261,285,258,271,41,223,1,383,25,0,20,168,101,0
145,74,22,141,303,267,294,266,280,41,88,1,318,26,1,32,198,103,0
201,74,22,99,335,277,296,284,302,41,32,1,339,15,2,32,131,71,1
150,74,22,112,326,278,302,271,282,41,99,0,90,238,3,37,210,86,1
210,74,22,151,270,284,294,265,300,10,200,1,241,317,2,3,198,111,1
283,74,22,54,324,300,319,306,292,41,22,0,203,13,2,23,221,58,1
252,73,14,65,327,288,303,303,317,1,93,1,50,370,1,12,167,61,1
268,73,14,283,351,299,311,297,292,29,201,0,243,302,1,22,165,78,1
327,73,14,59,317,270,292,281,303,1,122,1,215,10,2,11,178,46,1
273,73,14,293,352,265,288,259,288,1,268,1,323,241,1,6,236,90,1
336,73,14,251,341,256,278,253,265,1,184,1,198,169,1,10,161,94,1
306,73,14,259,343,263,269,255,248,1,233,1,321,190,0,38,153,127,0
269,73,14,90,323,239,248,247,257,29,161,1,429,18,0,39,205,82,0
329,73,14,77,348,266,259,247,255,1,115,0,326,81,0,13,226,57,0
303,73,14,253,346,277,275,262,287,1,129,1,213,88,3,18,236,79,0
267,73,14,134,307,274,295,273,308,1,96,0,421,16,3,18,210,72,0
277,73,14,291,348,283,318,274,312,29,197,1,145,84,1,21,241,69,0
248,73,14,100,346,303,326,303,314,1,77,0,234,287,3,20,186,37,0
301,73,14,203,343,301,313,314,317,29,131,1,292,17,2,10,185,76,1
261,73,14,212,308,306,317,300,336,1,54,0,31,8,2,9,169,43,1
351,73,14,16,355,323,334,312,341,29,2,1,409,156,1,24,162,47,1
373,72,0,29,355,337,349,317,332,70,31,1,1,223,3,23,286,38,1
385,72,0,37,355,322,342,323,334,70,24,1,174,230,1,6,281,57,1
369,72,0,8,342,332,347,325,332,38,16,1,115,222,3,33,282,25,1
364,72,0,197,355,319,338,311,346,38,23,1,206,7,3,40,290,41,0
357,72,0,57,355,309,321,313,343,38,105,1,26,12,3,13,273,57,0
362,72,0,10,325,312,330,315,344,70,13,0,140,77,1,5,283,49,1
361,72,0,20,309,325,340,321,297,38,26,0,397,301,2,24,288,76,1
368,72,0,48,319,313,341,322,315,38,42,0,418,367,1,29,272,56,0
352,72,0,194,338,321,319,296,327,38,162,0,17,180,3,15,287,112,1
348,72,0,30,355,306,324,309,332,38,267,0,103,96,3,23,269,94,1
333,72,0,15,268,309,315,298,337,70,227,1,7,11,1,27,291,55,1
356,72,0,71,349,311,330,298,321,38,133,0,69,168,1,39,289,92,0
345,72,0,196,327,312,323,292,291,70,189,0,186,372,0,29,285,68,0
375,72,0,204,238,304,325,297,295,70,169,0,402,81,3,18,292,57,0
365,72,0,21,311,296,305,302,325,38,160,0,97,6,3,41,266,35,1
338,72,17,375,339,296,300,297,286,70,380,1,249,271,1,38,152,212,1
342,72,17,176,355,299,317,298,304,38,323,0,313,258,3,27,158,140,0
346,72,0,305,355,308,307,291,311,70,298,1,164,192,2,17,275,130,0
341,72,17,234,301,306,319,299,278,70,477,1,269,201,2,4,126,155,1
347,72,17,419,287,281,291,278,300,38,476,1,439,144,1,16,143,227,1
354,72,17,426,346,274,300,280,269,38,457,1,267,218,2,3,159,227,1
349,72,17,441,310,274,287,255,268,70,499,1,226,218,3,38,193,227,1
358,72,17,98,296,241,251,249,264,70,274,1,262,395,2,37,233,124,0
371,72,17,185,304,265,259,242,281,38,286,1,411,199,3,3,138,146,0
355,72,17,432,329,286,290,263,284,70,429,1,258,420,3,18,129,227,1
353,72,17,110,226,243,265,243,256,38,276,1,414,38,2,3,152,135,0
359,72,17,250,328,271,277,267,287,38,293,0,119,112,1,4,236,135,0
366,72,17,271,321,270,272,261,251,38,212,0,19,393,0,3,141,120,0
337,72,17,108,316,242,248,235,284,70,186,0,220,85,2,9,196,72,0
360,72,17,113,338,248,253,245,270,38,280,0,388,167,3,35,173,89,0
190,36,35,45,271,242,241,234,244,27,141,0,361,191,3,19,136,128,0
142,36,35,277,248,230,239,230,246,27,271,1,399,37,1,40,144,133,0
132,36,35,101,185,231,229,213,254,27,310,1,387,394,3,16,136,123,0
105,36,35,313,66,207,216,202,196,27,375,1,80,205,1,29,117,168,1
113,36,35,163,115,178,187,175,190,27,347,1,285,397,2,30,127,129,0
80,36,35,247,205,203,197,196,192,59,334,1,157,333,2,12,87,143,0
104,36,35,368,209,208,224,202,238,27,416,0,46,127,1,9,151,171,1
90,20,41,381,151,214,240,224,214,52,397,0,386,139,2,31,70,206,1
102,20,41,425,243,223,232,217,247,21,421,1,277,348,0,41,80,211,1
108,20,41,201,164,243,251,228,236,21,251,1,112,416,3,40,162,203,1
140,20,41,397,299,240,233,219,238,21,493,1,347,417,3,37,49,209,1
152,20,41,317,324,219,231,220,217,52,353,1,179,342,2,41,65,186,1
129,20,41,51,281,217,221,205,208,52,191,1,403,45,2,8,81,151,0
92,20,41,205,186,197,208,191,199,21,257,1,246,126,2,26,80,169,0
85,20,41,428,135,195,205,190,225,52,411,1,60,274,2,16,72,227,1
118,30,57,356,95,176,173,170,165,34,312,1,211,266,3,4,42,183,1
176,30,57,316,50,136,144,133,119,66,472,1,199,51,3,21,74,170,0
130,30,57,400,88,128,136,133,136,66,433,0,355,345,3,1,78,197,1
139,30,57,376,33,64,61,56,59,66,413,0,78,132,1,36,118,189,1
111,30,57,349,55,55,58,55,69,34,399,0,306,129,1,21,15,174,0
133,30,57,399,42,54,62,61,64,34,420,1,440,138,2,21,63,204,0
19,23,74,358,10,68,69,69,79,32,390,0,135,265,3,5,32,178,0
8,23,74,325,26,66,75,68,77,64,442,0,353,340,3,40,101,167,0
6,0,64,430,60,90,91,86,89,71,484,1,247,351,3,7,49,227,1
53,8,72,408,71,35,36,37,44,53,492,1,170,413,0,1,5,192,0
67,8,72,393,78,33,42,43,36,53,409,1,141,341,0,5,26,173,0
49,8,72,407,85,37,35,39,40,53,432,0,424,344,2,24,32,195,0
31,7,73,379,15,30,32,31,33,56,469,1,225,269,1,5,33,197,0
12,7,73,394,13,32,29,29,35,24,468,0,56,55,2,3,79,188,1
36,15,66,206,86,70,74,71,63,38,381,1,207,197,3,13,35,138,1
18,15,66,421,16,71,72,65,67,70,496,0,442,349,0,11,73,214,1
39,21,65,429,67,109,114,109,117,70,486,0,302,143,1,3,30,225,1
16,21,65,433,59,108,125,110,111,38,428,1,315,420,3,32,57,227,1
189,64,40,119,36,152,178,159,163,45,231,1,222,394,3,7,164,123,1
244,64,40,251,130,135,146,142,146,15,202,1,123,115,3,33,119,141,0
249,64,40,81,201,134,145,134,154,45,75,1,221,32,1,19,126,122,1
188,64,40,174,155,150,157,136,144,15,150,1,139,332,1,12,62,141,1
287,64,40,24,355,169,165,156,175,15,63,0,216,246,1,41,163,98,1
217,64,40,140,298,172,177,166,150,45,113,1,230,182,1,17,61,114,1
281,64,40,30,272,165,187,174,182,15,43,0,58,305,3,20,101,91,1
236,64,40,87,137,183,180,174,174,45,138,1,136,253,3,1,134,121,1
193,64,40,261,63,158,162,155,174,15,392,1,195,48,1,0,56,160,0
259,64,40,31,9,181,185,182,177,45,18,1,29,111,1,2,163,134,1
229,64,40,214,101,156,168,166,159,15,234,1,57,199,2,11,93,146,1
65,68,26,117,142,196,211,194,228,60,163,1,11,192,0,3,205,130,0
112,68,26,335,254,191,205,181,190,28,250,0,351,339,1,4,99,165,0
164,68,26,137,309,227,219,209,222,28,134,1,299,318,1,30,94,112,1
167,68,26,260,300,184,200,198,195,60,219,1,78,256,1,2,162,127,0
278,52,36,376,271,220,227,213,224,54,309,0,300,122,3,4,141,154,1
285,52,36,208,291,204,209,204,222,54,67,1,34,320,1,18,172,114,1
309,52,36,372,220,198,203,197,203,23,282,1,367,202,0,31,82,157,1
308,52,36,328,231,192,204,189,213,23,339,1,382,207,3,20,103,172,1
265,52,37,438,223,225,226,206,217,54,491,1,134,216,2,28,169,220,1
296,52,37,444,241,213,236,218,211,23,434,1,190,274,3,1,169,227,1
282,52,37,434,262,193,212,199,202,23,498,1,54,60,0,35,137,208,0
286,52,37,398,229,204,206,200,197,23,398,0,95,53,3,15,145,181,1
262,52,37,423,19,189,196,185,204,54,489,1,419,350,2,24,153,223,1
288,52,37,315,32,188,197,195,193,54,500,1,176,411,1,28,59,180,1
298,52,37,148,183,167,189,169,181,54,313,0,257,41,1,40,81,140,0
290,52,37,414,217,173,192,170,171,23,478,1,128,54,1,7,144,182,1
304,52,36,440,204,161,167,168,173,23,483,1,114,140,3,9,172,213,0
271,52,36,436,193,175,184,178,175,23,454,1,330,142,1,4,113,224,1
289,52,36,346,177,182,189,165,172,54,419,1,400,264,3,13,56,166,0
270,52,36,181,161,172,188,173,179,54,285,1,343,330,1,38,132,137,1
295,52,36,333,215,144,163,154,148,23,382,1,364,405,0,17,78,147,1
293,52,36,412,197,152,167,148,141,23,463,1,441,209,3,15,163,180,0
127,41,62,298,25,73,70,69,76,59,438,1,182,195,0,29,103,134,1
143,41,62,326,99,74,71,70,73,27,400,0,22,398,0,32,33,130,1
166,41,62,373,140,67,69,71,58,59,279,1,428,123,1,5,18,155,1
159,41,62,183,171,69,73,60,65,27,254,0,259,247,1,22,24,99,0
155,41,62,258,133,46,47,44,40,59,305,1,67,31,3,23,32,119,1
179,41,62,268,6,48,45,46,42,27,471,1,182,399,3,7,94,134,0
230,47,60,46,215,23,30,23,18,41,241,0,86,163,1,23,32,74,1
225,47,60,52,191,19,21,21,32,41,121,1,350,19,1,40,53,83,0
272,47,60,187,74,18,23,17,22,41,260,1,155,114,1,6,101,140,1
228,47,60,226,226,22,18,20,21,10,326,0,393,175,3,12,80,103,1
208,47,60,284,122,27,25,30,25,10,391,1,266,401,3,24,105,142,1
224,47,60,345,21,25,31,26,29,41,458,1,358,119,1,20,58,150,0
192,47,60,302,12,38,33,33,38,10,436,1,80,332,3,19,19,141,0
235,47,60,288,8,41,37,42,27,10,490,0,432,198,2,31,82,145,0
126,47,60,377,5,10,11,11,13,10,465,0,325,206,0,38,23,169,1
279,47,60,437,7,11,10,12,12,10,430,0,447,272,3,34,117,215,1
70,31,78,187,60,6,7,9,5,28,451,0,105,183,3,37,7,116,1
41,31,78,109,27,8,5,5,7,28,248,0,208,387,1,12,53,107,1
10,32,77,417,72,58,75,58,74,63,439,0,121,273,3,19,41,219,1
307,34,12,443,263,288,318,304,293,73,456,1,288,144,3,35,154,227,1
314,34,12,411,355,279,302,288,306,50,300,1,229,415,3,39,192,201,0
313,34,12,364,355,279,296,262,298,50,324,1,173,128,3,21,190,172,0
299,34,12,401,235,285,286,258,272,73,321,1,57,136,2,2,246,194,0
297,34,12,420,278,264,281,276,273,73,445,1,117,141,0,5,230,216,1
294,34,12,442,293,255,277,256,258,50,408,1,414,419,3,5,154,226,1
324,34,12,410,315,263,279,270,301,50,213,1,33,130,1,41,157,177,0
302,34,12,402,294,299,290,269,304,50,389,1,282,347,3,17,183,205,1
318,34,12,41,166,287,284,285,288,50,243,0,187,255,1,40,184,125,1
321,34,12,385,252,277,293,259,265,73,190,0,75,52,3,22,176,175,1
305,34,24,439,179,250,271,252,236,73,359,1,226,420,1,23,219,227,1
300,34,24,418,131,209,235,216,220,73,497,0,332,418,2,24,113,217,0
138,55,45,126,161,153,177,165,161,45,196,0,435,313,0,10,131,105,0
263,55,45,99,98,133,148,139,135,15,209,1,84,388,1,8,80,109,1
207,55,45,230,18,139,140,132,145,15,447,0,109,44,3,6,52,148,0
169,55,45,310,153,164,177,158,155,15,384,1,276,259,3,21,55,141,0
238,55,45,424,127,141,153,141,134,45,435,1,61,57,3,20,44,199,1
86,53,51,352,64,154,158,144,166,53,405,0,444,212,3,11,45,185,0
148,53,51,367,103,151,153,137,142,53,462,1,310,210,3,4,16,183,1
157,53,51,406,121,123,129,120,125,22,341,0,285,134,2,16,43,191,1
94,53,51,362,43,115,123,122,126,22,424,0,88,133,3,2,37,190,1
122,53,51,299,61,153,154,143,161,53,393,1,91,50,3,19,91,167,1
232,27,53,359,62,147,162,153,155,68,394,0,375,214,2,7,121,198,0
43,27,53,427,169,121,130,125,139,68,473,0,159,62,1,31,39,221,1
47,27,53,378,81,98,120,95,114,68,485,1,280,346,1,29,41,200,1
95,27,53,422,124,105,119,104,110,36,440,1,297,217,2,6,120,222,1
9,2,74,431,40,80,80,81,87,72,501,1,296,274,2,1,101,227,1
1,25,75,391,30,40,43,32,37,33,337,1,212,211,0,11,43,184,1
2,18,79,290,59,43,39,38,34,33,410,1,436,323,1,36,1,117,0
15,10,80,228,58,9,9,7,9,49,211,1,259,24,1,20,0,99,1
50,45,71,220,57,39,36,35,39,27,418,1,406,327,2,41,51,129,0
66,45,71,247,110,34,41,39,38,27,372,0,41,187,3,3,2,120,1
57,45,71,318,37,43,44,40,30,59,244,0,336,334,1,41,31,145,0
38,42,68,369,45,114,124,112,99,9,502,1,235,124,3,34,24,163,0
119,42,68,396,44,116,116,106,112,40,479,1,242,59,1,18,88,207,1
45,42,68,332,39,112,113,108,116,40,453,0,271,203,3,18,20,158,0
128,69,57,195,24,93,96,91,102,30,332,1,171,329,3,27,98,136,0
125,69,57,158,100,99,94,96,91,30,314,0,309,105,2,4,17,114,0
182,69,57,340,56,77,83,79,79,62,466,1,148,49,3,25,40,164,1
79,69,57,314,126,75,82,75,86,30,306,0,437,47,1,7,68,156,0
194,69,57,84,149,62,64,73,68,30,120,1,200,99,1,23,128,101,1
101,17,75,256,29,28,28,28,26,69,427,0,367,254,2,29,6,122,0
84,17,75,388,11,31,22,24,28,37,441,1,223,125,2,17,34,166,0
61,17,75,370,116,24,27,30,24,69,386,1,336,117,3,10,48,145,1
40,51,59,322,93,96,103,100,84,61,236,1,404,184,3,2,8,117,0
144,51,59,304,24,91,103,90,98,61,363,1,218,120,0,23,9,151,1
151,51,59,382,22,90,98,99,97,61,487,0,253,343,1,15,119,190,1
83,16,43,403,95,159,159,160,153,17,444,0,143,58,3,36,131,202,1
81,16,43,327,150,185,208,183,198,17,253,0,107,408,1,3,68,162,0
117,16,43,416,199,204,215,200,210,17,369,1,445,213,3,4,114,193,0
71,16,43,365,192,205,218,199,191,47,343,1,438,204,0,27,83,161,0
292,62,28,334,237,187,201,196,204,17,474,0,163,108,3,12,178,125,1
275,62,28,146,216,199,216,200,214,47,344,1,417,99,1,32,168,101,0
367,62,28,13,83,247,259,240,235,17,206,0,175,82,3,8,163,60,0
322,62,28,194,132,229,255,230,233,17,379,1,251,391,3,27,160,118,0
253,62,28,165,285,222,231,205,237,17,297,1,92,242,1,7,140,92,0
256,62,28,237,239,201,210,196,190,47,296,1,308,319,1,14,147,113,1
280,62,28,319,264,171,195,174,188,17,320,1,373,257,2,37,148,135,1
250,62,28,67,220,163,169,159,161,17,316,0,126,158,3,39,161,61,0
266,62,28,125,242,154,167,161,157,17,87,0,168,164,3,24,127,76,1
247,62,28,80,198,157,161,147,167,47,110,0,391,171,3,31,84,96,1
284,62,28,265,180,177,191,187,187,47,304,0,21,35,1,34,122,128,0
291,62,28,189,154,160,165,152,162,17,284,0,434,177,0,17,146,108,1
209,57,39,281,129,130,143,129,135,39,407,1,133,257,3,29,156,135,0
221,57,39,262,140,127,139,128,144,39,327,1,205,326,2,21,83,128,0
276,57,39,170,125,124,136,124,121,39,345,0,317,248,1,21,71,102,0
258,57,39,70,208,125,132,123,128,39,205,1,108,377,1,6,111,83,1
274,57,39,276,91,119,135,117,134,8,452,0,288,404,3,33,87,146,1
226,57,39,283,14,102,108,95,90,39,464,0,224,402,1,26,68,143,1
264,57,39,246,49,104,109,88,94,8,404,1,152,190,3,17,98,127,0
246,57,39,180,105,97,97,101,101,39,210,0,329,392,1,8,117,119,1
103,26,46,102,41,107,112,102,115,57,322,1,408,22,2,16,22,91,1
106,26,46,252,20,110,110,103,112,57,319,0,20,324,1,34,66,123,0
64,26,46,201,62,84,90,83,71,25,259,0,363,98,3,7,50,96,0
73,49,56,68,47,57,53,59,50,57,214,0,129,298,2,2,129,69,0
37,49,56,168,38,51,52,54,62,57,311,1,188,306,1,3,125,92,0
75,44,34,248,84,54,66,65,57,34,470,0,338,106,1,15,109,119,0
48,44,34,245,87,65,62,57,61,5,396,1,192,386,0,34,157,105,0
52,44,34,169,73,73,85,75,81,5,302,1,320,315,1,38,114,109,0
35,44,34,103,113,103,121,100,110,5,325,0,415,382,3,34,62,93,1
28,44,34,120,157,88,93,90,92,34,220,1,255,166,3,2,167,83,1
33,44,34,173,82,125,134,115,118,34,265,1,239,312,3,7,140,104,1
82,44,34,150,109,126,131,116,120,5,238,0,98,93,2,9,90,88,1
96,44,34,145,152,117,126,120,129,34,247,1,102,237,1,1,139,85,1
3,8,54,404,123,44,46,45,48,65,425,1,87,267,1,29,132,187,1
20,11,33,311,158,68,65,62,80,31,357,1,176,83,3,21,166,64,0
21,33,42,342,144,83,89,85,91,22,308,1,322,400,0,33,92,136,0
29,33,42,371,46,55,67,58,60,53,467,0,443,131,3,4,78,179,0
30,38,54,160,120,20,19,22,23,13,356,1,161,233,2,7,115,73,0
97,38,54,122,129,26,20,19,20,13,246,0,67,232,3,27,56,70,0
13,37,61,308,44,15,15,15,15,51,330,1,244,191,2,28,16,128,1
9,13,58,334,53,17,17,16,16,56,401,1,93,260,1,26,102,142,1
26,4,61,374,73,14,13,13,10,38,361,1,27,121,1,11,21,153,1
98,4,61,303,106,12,12,10,14,38,455,0,169,396,3,36,19,126,0
121,9,68,321,76,1,3,2,1,18,450,1,24,39,3,26,4,138,1
116,9,68,114,25,2,1,1,2,48,376,1,181,90,3,31,24,84,1
11,14,69,348,77,0,0,0,0,56,385,1,73,207,2,21,87,172,1
58,12,67,61,35,4,4,3,3,24,329,0,301,165,1,15,83,80,1
160,12,67,133,28,3,2,4,4,0,388,0,357,249,3,34,59,104,1
438,71,1,222,339,282,297,252,265,5,102,0,55,301,1,20,279,76,0
383,71,1,269,288,232,246,241,263,34,264,0,151,251,2,37,270,114,1
400,71,1,195,244,225,250,221,226,5,291,0,96,395,0,23,276,124,1
387,71,1,188,232,236,252,244,250,5,182,0,57,324,2,7,265,123,1
390,71,1,270,268,239,248,236,255,5,333,0,304,43,1,18,240,146,0
