col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,class
76,61,55,14,107,54,82,62,60,100,81,131,1
40,124,105,68,102,112,64,111,111,97,76,57,0
79,39,88,56,105,59,63,68,147,153,20,83,0
85,81,42,22,73,67,89,69,85,48,126,68,0
139,153,153,158,82,152,152,50,48,56,115,130,1
145,12,140,43,175,8,151,27,7,43,134,159,0
103,74,172,169,166,98,88,97,124,159,16,125,0
35,145,53,80,27,146,37,117,163,134,40,19,0
159,79,51,83,40,102,133,89,126,160,15,127,1
109,93,65,94,61,87,106,127,91,81,103,51,0
103,74,172,169,166,98,88,97,124,159,16,125,0
35,145,53,80,27,146,37,117,163,134,40,19,0
159,79,51,83,40,102,133,89,126,160,15,127,1
109,93,65,94,61,87,106,127,91,81,103,51,0
137,59,123,136,108,75,98,160,64,24,149,71,0
166,136,66,102,39,128,169,63,121,139,32,109,0
27,73,22,45,35,90,35,28,49,98,78,144,1
72,154,63,117,18,156,80,59,114,87,84,46,0
131,62,107,159,89,69,111,134,39,111,68,154,0
88,26,101,150,117,33,81,113,86,77,99,86,0
28,43,26,35,45,65,18,98,10,5,170,102,1
54,109,30,86,28,111,69,94,34,7,166,39,0
167,158,124,85,85,147,164,72,83,132,46,136,0
60,144,113,149,55,143,71,144,118,101,72,50,0
124,85,2,51,2,94,124,22,115,155,23,122,1
168,30,46,99,79,26,158,77,69,45,130,69,0
30,7,90,16,160,9,30,75,29,32,142,129,0
42,57,31,17,78,43,96,51,106,126,41,89,0
83,116,164,164,136,119,86,65,110,27,145,7,1
106,64,148,119,134,71,100,30,35,18,155,77,0
104,171,155,155,59,169,147,60,170,172,12,105,0
89,63,28,34,65,57,97,105,6,62,123,168,1
23,91,114,96,103,106,19,118,174,136,50,1,0
78,90,152,138,131,92,50,156,4,0,174,0,1
91,15,15,114,41,21,32,116,41,79,98,155,0
16,47,131,174,80,88,6,66,13,68,107,172,1
41,88,108,104,91,100,38,114,72,25,135,13,0
129,37,70,44,140,15,174,0,89,146,37,138,1
119,46,45,23,96,34,104,139,133,78,96,6,0
56,148,71,110,29,150,103,43,165,174,5,165,1
101,96,16,20,46,77,135,18,46,26,138,17,0
78,90,152,138,131,92,50,156,4,0,174,0,1
101,96,16,20,46,77,135,18,46,26,138,17,0
17,147,4,18,3,142,51,57,43,53,117,104,1
151,150,99,63,47,155,114,168,146,47,121,2,0
65,65,146,153,121,76,74,39,120,122,59,66,1
152,128,151,67,132,107,168,48,116,148,35,121,0
24,117,39,115,21,136,25,64,97,102,75,85,1
43,41,110,77,130,44,40,53,103,106,69,95,0
143,68,145,49,150,47,161,49,148,141,44,40,1
114,3,82,11,172,0,101,33,131,173,6,174,0
20,135,35,108,14,157,4,152,107,82,93,67,1
7,132,3,39,9,126,22,165,45,91,85,169,0
126,52,94,4,149,29,110,170,74,23,137,15,1
36,18,132,47,155,18,26,42,42,72,95,161,0
135,78,67,76,71,78,105,159,18,41,129,162,1
