col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,class
35,25,57,73,4,4,128,0,11,53,122,422,137,24,9,13,5,1,0
14,8,37,34,11,7,35,19,2,27,41,116,50,13,4,18,12,19,3
11,4,14,8,7,3,6,30,0,14,10,15,17,13,2,8,10,9,3
16,9,37,102,28,4,57,12,3,20,58,207,49,10,3,12,20,20,0
5,4,11,9,8,4,11,28,1,7,11,29,20,22,8,5,2,3,1
29,22,58,115,21,9,103,5,7,55,99,366,115,12,3,10,12,18,2
19,5,37,51,8,7,55,13,3,12,65,199,43,10,9,15,14,14,1
29,19,51,84,12,7,82,7,6,40,85,281,119,11,10,10,15,17,2
19,15,40,55,17,8,43,17,3,43,48,149,74,16,4,15,8,14,3
9,12,20,47,18,4,31,20,2,26,37,98,65,14,2,3,8,7,0
22,17,59,104,18,8,99,5,7,38,99,351,106,13,7,29,12,16,1
14,9,33,44,15,4,30,20,2,21,35,94,58,15,17,13,9,8,2
11,10,21,45,15,5,36,18,2,24,48,123,52,16,4,9,12,11,0
20,13,56,112,21,7,86,7,6,30,90,292,89,10,5,37,15,21,1
12,11,19,17,9,4,35,20,2,26,39,107,59,28,4,12,3,1,0
7,12,20,130,34,19,34,19,2,26,103,112,73,36,1,1,5,4,0
20,9,38,67,19,7,39,18,2,26,37,133,38,6,11,5,20,23,3
19,9,21,43,17,5,14,26,1,25,23,40,47,10,14,5,16,15,3
17,5,14,23,15,3,1,32,0,14,4,4,25,13,14,5,14,13,3
27,12,36,91,18,3,79,7,5,28,92,278,55,20,0,27,17,10,0
33,20,54,95,17,8,105,4,8,50,91,374,102,14,11,10,12,18,2
24,13,56,102,17,9,82,8,6,34,79,277,47,6,0,33,18,24,1
10,6,30,44,12,6,36,19,2,16,45,117,21,14,0,16,8,12,1
5,11,21,28,12,6,36,19,2,27,39,115,61,21,7,12,4,4,0
24,15,32,92,21,4,70,9,5,35,69,250,59,15,5,8,19,14,0
14,7,30,52,18,7,30,20,2,23,37,100,31,11,0,5,14,19,3
19,15,36,55,17,8,42,17,2,35,46,143,75,15,4,14,9,15,3
2,5,28,37,12,4,33,20,2,14,36,101,24,21,16,20,5,6,1
13,2,5,14,11,3,1,33,0,4,2,2,26,15,21,4,6,6,1
18,10,38,26,7,8,41,18,2,35,43,137,53,16,12,13,8,15,3
20,14,41,55,17,9,45,17,3,39,45,157,73,12,12,13,13,17,3
25,12,51,102,18,6,86,6,6,29,98,298,77,13,5,5,13,14,1
34,20,60,114,22,10,106,5,8,51,93,375,100,13,13,28,12,20,2
10,10,18,21,9,6,36,20,2,26,37,110,61,23,9,14,4,3,0
18,16,32,73,18,5,59,11,4,40,58,216,82,11,5,10,21,21,0
14,4,9,12,6,3,20,24,1,9,20,58,34,20,16,14,8,4,2
15,15,31,35,12,9,46,17,3,42,42,156,73,17,10,11,7,11,3
17,7,35,56,16,7,32,19,2,22,34,105,25,5,9,0,23,25,3
15,3,11,23,10,4,8,30,0,9,6,19,20,9,22,23,14,14,2
10,12,24,43,16,6,29,20,2,29,40,93,67,13,2,3,11,15,3
15,13,33,36,15,9,45,17,3,38,38,152,74,15,17,7,9,12,3
14,9,23,41,15,5,33,19,2,25,45,109,41,17,2,6,10,8,0
10,8,20,48,18,13,35,19,2,21,42,116,43,16,6,16,8,10,0
22,12,41,66,20,8,43,17,3,39,42,151,45,8,8,12,16,19,3
25,15,48,102,21,5,84,6,6,32,83,294,88,14,7,11,16,13,0
25,13,55,77,13,7,82,8,6,29,89,279,86,14,13,13,13,16,2
11,3,30,58,13,5,36,19,2,10,43,117,19,7,0,32,20,22,2
22,9,52,79,12,7,71,10,5,20,75,241,56,8,7,40,18,25,2
23,6,21,14,2,5,20,25,1,24,33,53,22,16,4,1,10,5,3
27,21,51,56,6,8,98,5,7,55,86,338,89,17,12,27,11,14,1
14,14,36,132,35,17,44,17,3,45,96,150,64,33,0,14,8,13,3
11,15,28,29,11,8,47,17,3,45,39,157,73,16,3,1,7,11,3
12,9,18,43,17,8,19,24,1,24,26,56,47,8,7,1,17,20,3
13,4,17,23,11,3,11,28,1,12,10,30,33,15,14,20,8,7,2
16,9,33,55,19,6,34,18,2,27,40,117,35,11,3,5,13,18,3
15,4,33,64,11,7,43,16,3,14,41,159,4,1,3,18,25,28,2
6,9,17,18,8,6,35,20,2,27,35,106,60,27,7,7,3,1,0
31,16,58,87,10,9,99,5,7,43,91,339,60,8,0,38,16,25,1
5,10,21,13,7,6,36,19,2,27,40,115,64,26,4,8,3,2,0
20,12,33,79,15,5,50,14,3,27,57,183,66,6,11,18,23,23,1
28,21,58,111,17,10,107,4,8,56,88,387,87,8,0,18,13,19,1
25,13,38,57,17,9,49,16,3,45,45,169,58,12,18,0,13,15,3
16,7,29,64,20,5,35,18,2,17,38,118,32,9,4,17,16,19,0
15,10,25,65,12,6,40,16,2,26,43,146,46,2,15,9,27,28,2
18,3,18,58,22,6,22,23,1,18,30,69,15,8,2,29,17,23,3
29,17,49,104,18,8,72,9,5,38,74,253,83,6,3,7,19,25,2
19,11,37,109,27,4,69,9,5,27,75,251,42,14,4,22,20,16,0
18,2,25,65,15,5,35,18,2,6,38,120,13,3,5,30,27,29,1
31,16,57,104,17,7,93,6,7,40,91,322,72,9,1,24,14,21,2
14,7,32,47,17,7,30,20,2,21,37,97,37,12,8,7,12,16,3
35,23,54,116,17,3,121,0,10,51,123,414,124,26,4,6,8,2,0
10,3,31,42,8,5,33,19,2,10,37,107,22,5,10,24,21,22,1
18,9,23,24,9,5,13,27,1,27,25,35,40,15,5,4,13,9,3
12,6,27,45,11,4,37,18,2,18,43,123,28,11,1,33,11,15,2
16,12,28,47,10,4,36,18,2,28,39,121,68,7,16,2,17,17,1
7,5,8,18,12,3,19,25,1,10,21,51,34,28,0,0,1,2,1
32,19,52,111,17,9,87,7,6,46,86,297,80,6,17,2,21,25,1
23,6,34,84,17,7,52,14,3,20,53,188,19,3,8,19,21,24,2
10,7,25,32,12,3,18,24,1,17,28,52,38,9,3,9,15,14,2
23,21,55,79,12,8,98,6,7,54,90,334,105,14,1,26,10,14,1
28,21,44,72,10,9,105,5,8,52,87,370,86,13,1,32,10,17,1
17,3,31,58,10,6,39,17,2,10,38,135,12,1,4,19,27,30,2
35,18,55,84,10,10,98,5,7,44,93,342,78,9,18,2,15,18,2
7,12,21,32,17,4,33,20,2,25,38,106,72,21,0,1,5,3,0
23,5,23,18,5,6,16,27,1,21,26,38,20,15,0,13,10,4,3
33,18,54,90,13,9,96,5,7,42,89,331,75,8,7,3,14,19,1
31,21,54,54,0,2,120,1,10,48,117,411,127,26,4,11,5,2,0
19,12,34,59,20,7,31,20,2,29,33,99,67,7,11,14,18,21,3
21,16,50,80,12,4,98,5,7,34,95,348,98,18,8,28,12,8,0
18,15,37,43,16,9,42,18,3,47,40,140,76,14,8,15,9,14,3
13,7,31,79,26,4,44,15,3,16,54,164,36,14,1,11,17,16,0
9,6,43,73,13,5,63,11,4,13,76,220,33,12,4,37,14,17,1
14,11,25,53,19,5,30,20,2,29,35,98,57,10,11,1,15,17,0
18,4,26,67,21,5,37,17,2,13,44,133,23,9,1,22,20,24,0
14,11,23,30,11,4,22,23,1,28,37,64,54,19,10,3,10,6,3
27,21,57,114,21,9,92,6,7,46,95,316,123,12,0,26,13,19,2
3,3,14,9,9,4,10,29,0,6,10,23,10,19,3,16,2,4,1
16,9,20,62,19,5,31,18,2,22,38,111,47,8,4,0,25,26,0
9,2,8,15,10,2,3,33,0,5,4,6,16,17,10,27,7,9,2
28,13,57,102,19,8,88,7,6,31,84,299,98,11,9,10,15,18,2
25,8,28,98,24,3,62,10,4,20,71,227,39,13,7,19,21,16,0
16,9,34,86,22,3,55,12,3,19,53,201,44,9,3,23,22,23,0
23,12,29,59,13,5,43,16,3,30,53,157,74,10,13,10,14,15,1
26,18,56,105,21,8,94,6,7,44,89,326,112,14,5,23,10,14,1
15,3,31,72,17,6,43,16,2,8,51,153,30,7,1,20,16,17,1
22,15,47,91,16,7,67,10,4,37,68,236,77,5,20,11,23,22,1
12,7,34,55,21,8,32,20,2,21,36,103,45,11,0,13,13,18,3
18,10,29,42,10,5,35,18,2,25,41,121,64,10,14,0,13,13,2
32,22,50,92,12,5,118,1,9,50,112,408,130,21,3,1,10,3,0
17,4,39,60,13,5,44,16,3,13,50,159,32,9,9,21,14,15,2
11,10,20,23,9,5,38,18,2,24,46,126,61,22,6,14,5,4,0
32,23,55,123,24,9,104,5,8,54,93,368,105,12,19,11,13,15,2
7,11,25,43,17,5,40,18,2,26,50,136,65,21,0,16,7,6,0
6,13,24,23,9,5,39,18,2,31,41,128,79,22,3,14,4,5,0
7,11,25,29,14,5,33,20,2,25,42,103,71,22,6,17,5,4,0
18,14,38,56,19,9,42,18,3,40,41,141,66,15,7,15,7,14,3
15,3,27,64,13,6,43,16,2,10,46,153,11,2,6,21,21,23,2
36,21,54,64,3,9,106,4,8,54,94,386,89,10,15,6,14,17,1
28,22,51,87,15,9,97,5,7,57,84,335,107,14,10,14,11,13,1
14,7,12,30,11,5,9,28,0,22,15,27,38,4,7,4,23,25,3
12,14,34,42,15,7,33,19,2,34,40,111,69,13,0,6,12,17,3
17,13,32,69,17,6,48,15,3,31,52,177,66,8,2,10,15,17,1
10,9,18,14,8,5,35,20,2,28,36,109,60,26,1,6,3,1,0
11,13,23,42,18,6,35,19,2,28,39,117,73,18,6,6,7,7,0
26,23,51,61,8,9,99,5,7,57,86,349,112,15,2,3,9,11,1
19,6,42,87,15,7,58,12,4,17,60,205,10,4,4,23,25,28,1
11,4,22,43,16,6,24,22,1,16,32,74,12,12,1,6,13,14,3
15,8,24,62,21,5,36,18,2,20,44,122,45,12,3,18,16,16,0
29,16,42,61,7,2,97,5,7,35,104,350,86,19,1,23,14,8,0
14,3,25,34,9,5,24,22,1,8,32,76,18,13,1,1,11,11,1
15,6,39,62,15,5,48,15,3,13,63,170,35,15,1,22,9,10,1
9,11,30,43,12,3,38,18,2,25,44,130,65,18,8,2,7,6,2
29,24,54,109,22,9,104,4,8,58,95,371,107,14,4,3,10,15,1
8,11,21,37,14,6,33,19,2,25,39,111,68,15,1,1,9,10,0
10,6,11,19,9,4,1,32,0,17,3,5,33,5,17,7,21,21,3
24,22,52,99,15,11,107,4,8,62,92,383,101,12,2,3,10,15,1
13,11,38,32,9,9,43,17,3,37,45,149,63,17,5,16,8,14,3
25,17,34,90,20,4,71,8,5,40,73,255,86,15,6,1,21,17,0
6,11,25,32,13,4,39,18,2,28,49,133,66,22,1,15,6,5,0
11,8,20,26,9,4,22,23,1,18,24,65,50,15,5,14,7,8,2
18,8,32,52,16,6,30,20,2,32,34,95,22,8,4,9,19,22,3
32,21,50,103,19,9,103,5,7,51,88,367,104,12,14,0,12,16,2
19,2,20,40,15,7,17,24,1,9,28,50,4,7,8,7,20,20,3
30,21,57,108,21,8,93,6,7,48,84,318,106,10,14,23,13,18,2
11,8,18,41,14,3,36,19,2,20,34,119,61,21,5,8,6,4,2
10,2,3,3,8,1,4,31,0,4,5,9,27,30,5,9,4,3,3
10,0,0,8,10,1,0,34,0,1,0,0,15,27,12,21,5,2,2
6,11,21,13,6,4,37,19,2,29,39,119,66,27,4,5,3,2,0
25,19,55,82,12,8,93,6,7,45,87,320,85,11,1,22,11,17,2
18,9,18,51,21,7,20,23,1,24,32,59,58,12,7,13,16,20,3
15,15,31,27,9,9,46,17,3,49,38,152,73,17,1,14,6,11,3
21,4,27,92,27,3,51,13,3,10,57,192,24,13,1,3,20,19,0
10,12,19,21,9,6,37,19,2,27,39,118,74,22,1,10,3,3,0
25,22,52,82,10,8,107,4,8,59,92,390,99,12,7,17,12,16,1
4,14,27,34,14,5,39,17,2,31,44,135,87,18,6,10,7,8,0
14,3,30,65,15,6,43,16,2,7,43,153,14,4,5,22,22,24,1
18,12,26,57,12,5,45,16,3,28,51,164,76,6,11,15,19,20,1
10,9,13,25,11,5,35,20,2,26,35,106,60,24,8,4,3,1,0
26,22,59,121,22,10,100,5,7,50,96,352,102,12,2,16,12,18,2
10,14,28,14,6,7,43,18,3,47,37,144,64,18,1,7,6,10,3
18,8,28,17,4,5,26,23,1,23,33,74,37,18,5,15,8,4,3
20,3,26,84,26,4,42,15,2,8,53,160,12,12,2,19,23,23,0
16,6,36,69,12,5,55,13,3,14,59,195,30,8,0,24,16,18,2
28,22,54,104,18,9,97,5,7,47,96,341,133,13,5,16,12,15,1
10,1,8,20,11,4,3,32,0,3,6,7,15,11,3,20,9,8,2
20,5,20,19,5,6,19,26,1,22,27,46,28,19,11,8,8,2,3
29,25,54,122,22,9,104,4,8,58,98,377,131,12,7,4,11,15,1
9,11,33,33,11,9,42,18,3,39,35,135,64,15,5,17,7,12,3
19,10,21,63,20,4,28,20,1,24,33,96,65,6,10,8,22,22,0
18,14,38,54,18,10,41,17,2,39,48,140,66,17,2,9,8,15,3
37,17,61,79,9,9,99,5,7,41,99,344,91,12,18,27,15,21,2
16,3,30,50,9,5,41,16,2,8,46,147,11,6,8,15,19,20,2
17,10,22,51,9,5,35,18,2,25,39,119,56,4,14,18,22,22,1
24,15,55,89,16,8,86,7,6,34,88,293,87,14,8,4,12,16,2
23,25,52,101,18,10,111,4,8,63,92,395,104,12,6,1,9,15,1
8,4,9,11,8,2,15,26,1,9,15,39,28,22,4,13,4,3,2
16,6,41,82,16,7,61,12,4,14,66,211,44,10,0,23,15,17,2
14,7,14,24,9,4,5,30,0,19,12,15,41,6,10,8,17,18,3
14,2,23,31,11,5,12,27,0,10,16,33,1,5,4,19,23,26,3
28,16,51,87,13,8,70,9,5,42,69,245,66,3,13,8,22,27,2
5,12,24,21,9,5,37,19,2,29,40,123,64,20,3,16,5,6,0
11,9,19,9,6,4,38,19,2,23,44,121,60,26,5,4,3,2,0
25,13,34,80,14,7,52,14,3,36,58,188,63,4,13,9,22,26,2
11,6,14,33,13,5,6,29,0,16,9,17,29,2,7,8,24,26,3
8,4,16,6,6,4,9,29,0,11,12,20,23,20,0,7,5,4,3
7,12,21,43,22,3,34,19,2,26,38,108,72,21,5,0,5,3,0
18,14,41,93,19,5,59,12,4,33,66,209,93,7,0,3,19,21,2
16,10,41,50,14,7,35,19,2,39,34,112,28,5,1,26,21,26,3
21,12,33,55,16,7,32,20,2,30,30,102,49,5,5,10,23,26,3
32,24,57,72,4,6,126,0,11,54,121,415,118,24,2,20,5,3,0
12,11,23,72,28,4,32,19,2,23,36,112,66,10,6,1,18,20,0
8,13,26,30,12,4,34,19,2,28,36,113,71,16,8,0,9,10,0
11,8,20,22,8,5,21,24,1,18,23,58,53,15,3,4,4,6,1
34,21,60,118,21,9,99,5,7,51,93,343,100,9,11,32,13,21,2
19,4,26,79,24,5,40,16,2,9,40,148,20,8,2,8,21,25,0
25,11,46,86,15,6,71,9,5,29,69,248,39,7,0,2,17,17,1
7,10,26,47,18,5,37,18,2,25,47,127,48,17,5,11,9,8,0
11,13,26,18,10,4,37,19,2,29,39,120,76,23,9,11,4,3,0
41,20,61,123,20,10,102,5,7,47,98,358,110,8,16,28,16,25,2
14,13,30,18,5,8,42,18,3,42,40,137,65,19,7,17,7,10,3
14,15,38,82,17,6,55,13,3,35,57,196,78,5,16,5,19,20,2
8,8,23,48,18,5,30,20,2,23,37,95,35,12,4,12,12,14,0
13,10,37,29,8,9,40,18,2,32,43,136,52,14,6,2,9,15,3
21,14,54,108,22,8,85,7,6,29,87,289,88,14,6,6,11,13,1
13,4,11,25,15,4,21,24,1,7,20,57,32,24,16,16,4,3,2
23,5,20,23,8,5,16,25,1,20,29,44,11,10,3,12,15,13,3
14,12,34,128,31,15,41,18,3,42,68,133,65,31,9,17,7,11,3
12,9,29,52,18,3,41,16,2,20,53,148,45,17,6,12,13,12,0
18,3,17,32,10,6,18,24,1,18,27,52,10,8,3,27,17,20,3
34,22,53,62,4,4,119,1,9,47,116,409,132,25,10,11,8,2,0
15,5,28,57,17,5,37,17,2,13,37,131,27,7,0,0,19,23,0
23,19,39,100,22,3,77,7,5,43,79,272,109,16,4,6,18,14,0
7,4,20,19,7,5,18,26,1,9,17,45,30,13,17,7,7,6,2
16,7,50,85,17,7,63,12,4,17,63,217,53,7,9,35,19,24,2
23,7,30,64,14,4,58,11,4,21,66,211,29,13,4,17,23,20,0
31,20,50,86,13,8,100,5,7,51,91,349,106,14,8,21,12,16,2
18,10,31,59,12,5,37,18,2,23,51,128,62,9,15,2,17,16,1
19,4,25,86,25,4,44,15,2,15,53,168,15,11,0,14,24,23,0
14,3,21,42,13,6,19,24,1,16,22,57,8,3,6,18,25,28,3
10,12,23,23,11,6,37,19,2,28,40,120,75,20,2,5,5,5,0
11,12,26,45,16,4,35,18,2,27,39,121,64,12,6,1,13,15,0
31,15,58,95,14,8,92,6,7,35,94,313,88,11,5,28,14,22,2
32,19,54,79,10,9,99,5,7,44,84,344,77,7,6,5,13,17,1
34,18,51,90,12,8,77,8,5,43,77,264,83,5,14,3,20,21,1
34,15,58,108,15,8,90,6,6,40,89,305,56,6,9,32,19,25,1
15,17,43,81,14,8,67,10,4,40,78,235,108,10,6,19,15,18,2
18,12,36,35,9,8,43,17,3,37,49,150,76,16,1,21,8,16,3
7,8,23,48,17,5,34,19,2,20,41,114,40,13,5,17,11,14,0
21,19,55,115,20,7,83,7,6,45,84,285,113,8,12,20,16,20,1
15,9,17,19,8,5,38,19,2,24,42,122,61,22,0,15,4,3,0
18,7,16,10,2,5,17,26,1,27,29,42,44,19,8,6,8,3,3
16,8,20,24,9,7,12,27,1,26,28,33,43,13,3,10,15,13,3
20,12,56,101,17,8,72,10,5,32,69,247,46,5,7,32,22,30,2
14,4,6,4,7,3,7,30,0,9,7,18,35,23,7,4,5,2,3
27,18,45,87,13,4,105,4,8,44,109,390,97,21,7,7,12,5,0
30,21,51,113,22,8,106,4,8,52,99,379,90,14,0,13,11,18,2
38,24,60,87,9,4,127,0,11,57,126,420,139,26,11,21,6,2,0
12,10,19,20,9,6,35,20,2,25,38,108,59,26,6,3,4,1,0
23,18,49,96,19,8,73,9,5,39,74,256,117,9,10,1,15,18,2
19,5,41,72,13,5,56,13,4,13,57,202,32,7,2,28,19,23,2
7,11,17,16,7,5,37,19,2,29,35,115,73,22,3,4,3,1,0
31,16,49,94,14,8,67,10,4,40,66,236,68,3,19,15,26,28,1
14,11,35,29,7,4,35,19,2,26,39,118,56,9,10,14,12,12,1
18,10,41,63,19,7,36,19,2,29,33,120,31,6,2,17,20,25,3
14,5,33,62,12,5,47,15,3,13,55,171,25,9,5,15,16,16,2
23,11,31,53,16,6,28,21,1,30,29,88,59,4,19,2,25,26,3
29,19,49,81,12,7,73,9,5,43,73,254,93,8,11,8,17,19,1
24,24,60,113,19,9,106,4,8,58,100,384,121,11,10,25,12,19,1
11,9,19,18,7,5,36,19,2,22,40,113,60,26,2,8,4,1,0
32,24,53,77,8,5,113,2,9,53,107,402,115,18,7,11,11,6,0
34,21,54,98,16,9,107,4,8,57,96,381,101,12,6,14,11,19,2
14,11,29,18,7,8,42,18,3,33,32,138,64,17,12,12,8,12,3
24,18,41,81,15,3,88,6,6,40,89,306,107,18,8,26,15,9,0
22,12,44,54,16,8,37,19,2,30,35,120,59,6,18,20,21,24,3
12,8,26,51,17,5,37,18,2,20,44,127,40,14,3,8,14,13,0
14,7,25,48,16,5,32,19,2,17,44,107,33,13,4,10,16,15,0
11,7,28,39,15,4,26,22,1,17,27,79,50,13,3,21,7,9,1
8,4,9,24,14,2,21,24,1,9,21,62,29,26,3,6,4,2,2
27,21,52,83,11,8,107,4,8,53,91,387,91,12,13,6,13,17,1
24,22,52,112,21,8,109,4,8,60,95,393,101,15,11,20,11,15,1
26,21,57,81,10,5,114,2,9,46,111,403,135,22,6,14,9,4,0
42,19,61,121,18,10,97,5,7,45,95,337,108,7,21,25,18,24,2
13,11,30,60,12,4,37,18,2,27,44,129,65,5,9,12,26,27,1
20,11,37,51,15,8,31,20,2,30,32,98,54,5,10,6,23,25,3
14,7,22,40,11,4,18,24,1,19,24,52,39,2,16,6,27,28,1
22,13,52,103,19,6,77,9,5,33,75,262,57,7,1,32,15,19,1
13,5,12,30,13,3,34,20,2,13,32,105,45,27,12,0,4,2,2
16,13,31,41,14,7,33,19,2,34,37,109,87,11,13,11,13,19,3
6,14,22,39,17,4,37,18,2,29,40,126,83,16,5,0,7,7,0
23,17,43,85,16,7,63,11,4,37,64,222,85,6,10,1,17,20,2
18,9,41,81,15,8,68,10,4,23,75,237,56,11,3,12,13,16,1
16,12,29,64,22,5,36,18,2,26,39,126,67,10,12,1,19,20,0
34,16,60,86,12,8,92,6,7,38,92,313,101,11,13,31,15,21,2
12,12,35,57,13,6,42,16,2,26,50,152,62,11,2,2,14,15,1
25,16,49,99,16,7,71,9,5,38,69,246,64,3,3,5,21,24,1
33,19,60,75,8,10,101,5,7,53,96,355,102,13,10,28,13,20,2
26,13,56,88,14,8,83,8,6,32,80,279,83,7,7,37,16,24,2
20,14,34,69,12,5,54,13,3,34,65,194,73,8,4,4,15,17,2
14,14,38,40,11,8,39,18,2,33,44,135,74,15,13,7,10,16,3
12,12,30,46,12,5,40,18,2,27,50,136,60,16,15,14,8,8,1
