col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,class
19,1,2,1,0,0,0,4,0,2,2,0,0,0,0,0,0,1,3,2,2,2,1,2,4,3,1,3,2,0,3,0,0,6,2,2,5,3,1,0,6,1,0,0,0,2
20,1,4,1,0,0,0,3,0,3,2,0,0,0,0,1,0,0,3,3,1,0,1,1,4,3,0,3,2,0,3,0,0,6,2,2,1,2,1,1,6,4,0,0,0,2
21,1,4,1,0,0,0,4,0,1,2,0,0,0,1,0,0,0,0,0,2,0,1,1,4,3,0,3,3,0,3,0,0,6,2,2,1,3,1,1,3,4,0,0,0,2
22,1,2,1,0,0,0,2,0,1,2,0,0,0,0,0,0,1,3,0,2,0,1,1,4,5,3,2,3,0,3,0,0,6,2,2,3,1,1,0,6,4,0,0,0,2
23,1,5,1,0,0,0,4,0,1,2,0,1,0,0,0,0,0,0,3,1,0,1,1,4,3,0,3,3,0,3,0,0,6,2,2,1,2,1,0,0,4,0,0,0,2
24,1,4,1,0,0,0,2,0,2,2,0,0,0,0,0,0,1,3,1,2,0,1,2,4,3,1,3,3,0,3,0,0,6,2,2,1,3,1,1,6,4,0,0,0,2
25,1,4,1,0,0,0,2,0,1,2,0,0,0,1,0,0,0,2,2,2,2,2,0,4,3,1,3,3,0,3,0,0,6,2,2,5,2,1,3,6,4,0,0,0,2
26,1,4,1,0,0,0,2,0,3,2,0,0,0,0,0,0,1,3,2,2,0,1,0,4,3,0,3,2,0,3,0,0,6,2,2,1,1,1,0,0,4,0,0,0,2
27,0,3,1,0,0,0,3,1,1,2,0,0,0,0,0,0,1,3,1,2,0,1,0,4,3,1,3,2,0,3,0,0,6,2,2,4,1,1,3,6,4,0,0,0,2
28,1,4,1,0,0,0,3,0,2,1,0,0,0,0,0,0,1,3,1,2,0,1,2,4,3,1,3,2,0,3,0,0,6,2,2,1,3,1,0,0,4,0,0,0,2
29,1,4,1,0,0,0,2,1,2,2,0,0,0,0,1,0,0,3,3,1,0,1,0,4,3,0,3,2,0,3,0,0,6,2,2,1,2,1,1,0,4,0,0,0,2
30,1,2,1,0,0,0,4,0,3,2,0,0,0,0,0,0,1,3,0,2,0,1,2,4,3,0,3,3,0,3,0,0,6,2,2,1,2,1,3,4,4,0,0,0,2
31,1,4,1,0,0,0,2,0,0,2,0,0,0,1,0,0,0,2,2,2,0,1,0,4,5,1,3,3,0,3,0,0,6,2,2,3,2,1,3,3,4,0,0,0,2
32,1,4,1,0,0,0,4,0,3,2,0,0,0,0,1,0,0,3,3,1,0,1,0,4,3,1,3,3,0,3,0,0,6,2,2,1,3,1,0,0,4,0,0,0,2
33,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,2,2,0,3,3,3,3,2,1,0,3,0,0,6,2,2,4,0,0,3,4,2,0,0,0,2
34,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,2,2,0,3,3,3,3,2,3,0,3,0,0,6,2,2,4,0,0,1,7,2,0,0,0,2
35,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,2,2,0,3,3,3,3,2,3,0,3,0,0,6,2,2,4,0,0,3,4,2,0,0,0,2
36,2,5,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,3,1,0,1,0,4,0,0,3,3,0,3,0,0,6,2,2,1,2,1,0,6,4,0,0,0,2
37,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,0,2,3,2,0,4,3,3,2,3,0,3,0,0,6,2,2,5,0,0,1,4,1,0,0,0,2
38,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,0,2,3,2,0,4,3,3,2,2,0,3,0,0,6,2,2,5,0,0,1,4,1,0,0,0,2
39,2,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,1,3,3,2,3,0,3,0,0,6,2,2,6,1,1,0,0,6,0,0,0,2
40,0,0,1,0,0,0,2,0,1,2,0,0,0,0,0,0,1,3,0,2,2,1,0,4,3,1,3,2,0,3,0,0,6,2,2,6,1,1,3,0,6,0,0,0,2
41,2,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,1,3,3,2,3,0,3,0,0,6,2,2,6,1,1,3,0,6,0,0,0,2
42,3,3,0,2,2,2,0,0,4,1,0,0,0,0,0,0,1,3,0,2,2,0,3,3,3,3,2,1,0,3,0,0,6,2,2,6,0,0,1,7,0,0,0,1,2
43,3,3,0,2,2,2,0,0,4,1,0,1,1,0,0,0,1,1,1,2,2,0,3,3,3,3,2,3,0,3,0,0,6,2,2,6,0,0,3,7,0,0,0,1,1
44,3,3,0,2,2,2,0,0,4,1,0,0,0,0,0,0,1,3,1,2,2,0,3,3,3,3,2,3,1,4,0,0,6,2,2,7,0,0,1,5,0,0,0,0,0
45,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,0,2,2,0,3,3,3,3,2,3,0,3,0,0,6,2,2,6,0,0,1,7,0,0,0,1,2
46,2,4,1,0,0,0,2,0,4,2,0,0,0,0,0,0,1,3,1,2,0,1,0,4,3,0,3,1,0,3,0,0,6,2,2,6,0,0,0,0,6,0,0,0,2
47,1,4,1,0,0,0,3,0,2,2,0,0,0,1,0,0,1,1,1,2,0,1,0,4,2,1,3,3,0,3,0,0,6,2,2,3,2,1,1,6,4,0,0,0,2
48,1,4,1,0,0,0,3,0,2,2,0,0,0,0,0,0,1,3,2,2,0,1,0,4,2,1,3,3,0,3,0,0,6,2,2,2,2,1,1,6,4,0,0,0,2
49,0,3,1,0,0,0,2,0,4,1,0,0,0,0,0,0,1,3,0,2,0,1,1,4,3,3,2,3,1,4,0,0,6,2,2,2,0,0,3,7,4,0,0,0,2
50,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,2,2,0,3,3,3,3,2,1,1,0,1,0,3,2,2,4,0,0,3,5,1,0,0,0,2
51,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,2,2,0,3,3,3,3,2,2,1,0,1,0,3,2,2,4,0,0,3,5,1,0,0,0,2
52,0,3,1,0,0,0,1,0,4,2,0,0,0,0,0,1,0,3,3,1,1,0,1,2,3,3,2,3,1,1,0,0,6,2,2,6,0,0,0,4,4,0,0,1,2
53,0,3,1,0,0,0,3,0,4,1,0,0,0,0,0,0,1,3,1,2,0,1,1,4,3,3,2,3,0,3,0,0,6,2,2,3,2,1,3,4,5,0,0,0,2
54,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,3,0,0,3,3,3,3,2,2,0,3,0,0,6,2,2,4,0,0,1,0,5,0,0,0,2
55,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,3,0,0,3,3,3,3,2,2,0,3,0,0,6,2,2,8,0,0,1,0,0,0,0,0,2
56,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,3,0,0,3,3,3,3,2,2,0,3,0,0,6,2,2,6,0,0,1,0,5,0,0,0,2
57,3,3,0,2,2,2,0,0,4,2,0,1,0,0,0,1,1,1,1,2,0,0,3,3,3,3,2,1,1,2,0,0,6,2,2,2,0,0,3,4,5,1,0,0,0
58,3,3,0,2,2,2,0,0,4,2,0,1,0,0,0,1,1,1,1,2,0,0,3,3,3,3,2,1,1,2,0,0,6,2,2,2,0,0,3,5,5,1,0,0,0
59,3,3,0,2,2,2,0,0,4,1,0,0,0,0,0,0,1,3,0,3,0,1,0,4,3,3,2,3,0,3,0,0,6,2,2,2,0,0,3,4,5,0,0,0,2
60,0,3,1,0,0,0,3,0,2,1,0,0,0,0,0,0,1,3,2,2,0,1,1,4,3,3,2,3,0,3,0,0,6,2,2,3,0,0,0,5,4,0,0,0,2
61,0,3,1,0,0,0,3,0,4,1,0,0,0,0,0,0,1,3,0,2,0,1,1,4,3,3,2,3,0,3,0,0,6,2,2,2,0,0,0,5,4,0,0,0,2
62,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,0,2,0,3,3,3,3,2,1,0,3,0,0,6,2,2,4,0,0,2,4,1,0,0,0,2
63,1,1,1,1,0,0,4,0,4,0,0,0,0,0,1,0,0,3,3,1,2,0,3,3,3,3,2,3,1,0,1,4,5,2,0,2,0,0,3,1,4,0,0,0,2
64,0,1,1,0,0,0,4,0,4,3,0,0,0,0,1,0,0,3,3,1,2,0,3,3,3,3,2,3,1,0,1,4,2,2,0,2,0,0,3,1,4,0,0,0,2
65,3,3,0,2,2,2,0,0,4,0,0,1,0,0,0,0,0,1,3,1,2,0,3,3,3,3,2,3,1,0,1,3,2,2,0,4,0,0,0,4,2,0,0,0,2
66,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,2,2,0,3,3,3,3,2,2,1,0,1,1,2,2,0,4,0,0,3,7,2,0,0,0,2
67,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,2,2,0,3,3,3,3,2,2,1,0,1,5,2,2,1,4,0,0,3,7,2,0,0,0,2
68,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,2,2,0,3,3,3,3,2,3,1,0,1,0,4,2,2,4,0,0,1,7,2,0,0,0,2
69,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,2,2,0,3,3,3,3,2,1,1,0,1,2,2,2,0,4,0,0,3,4,2,0,0,0,2
70,0,3,1,0,0,0,2,0,3,2,0,0,0,0,0,0,1,3,1,2,0,1,0,4,4,1,3,2,0,3,0,0,6,2,2,5,0,0,0,7,4,0,0,0,2
71,0,3,1,0,0,0,4,0,3,2,0,1,0,0,0,0,0,0,3,1,1,1,0,4,3,0,0,3,0,3,0,0,6,2,2,3,2,1,3,2,4,0,0,0,1
72,0,3,1,0,0,0,3,0,3,2,0,0,0,0,0,0,1,3,1,2,0,1,0,4,3,0,3,3,0,3,0,0,6,2,2,0,2,1,0,2,4,0,0,0,1
73,0,3,1,0,0,0,3,0,1,2,0,0,0,0,0,0,1,3,1,2,0,1,0,4,1,3,2,2,1,1,0,0,6,2,2,1,0,0,0,3,4,0,0,0,2
74,1,4,1,1,0,0,3,0,3,1,0,0,0,0,0,0,1,3,0,2,0,1,0,4,3,3,2,1,0,3,0,0,6,2,2,2,2,1,3,0,5,0,0,0,2
75,1,4,1,0,0,0,2,0,4,1,0,0,0,0,0,0,1,3,1,2,0,1,0,4,3,3,2,1,0,3,0,0,6,2,2,2,2,1,3,0,5,0,0,0,2
