Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,class
107,26,22,0,0,16,67,5,1
108,0,28,0,0,13,55,30,1
109,4,26,0,0,19,55,8,1
177,20,28,0,0,20,50,20,1
312,51,24,0,0,0,68,18,1
315,53,51,0,0,42,61,49,1
86,61,29,0,0,42,81,76,1
22,73,30,0,0,31,42,21,3
185,53,26,0,0,32,64,62,3
191,65,32,1,1,18,37,16,2
50,60,16,1,0,29,70,67,2
20,62,19,0,0,43,65,62,4
24,69,18,0,0,44,69,66,4
30,71,25,0,0,43,64,62,4
33,59,20,0,0,37,62,60,4
43,69,13,0,0,24,70,53,4
44,68,10,0,0,35,65,62,4
48,65,14,0,0,42,58,57,4
51,49,6,0,0,42,63,60,4
54,57,14,0,0,32,52,51,4
72,56,25,0,0,32,58,57,4
74,54,23,0,0,26,61,59,4
79,66,47,0,0,28,59,58,4
98,72,26,0,0,33,66,57,4
99,67,32,0,0,29,66,57,4
106,70,21,0,0,20,55,51,4
125,48,37,0,0,37,61,59,4
140,53,19,0,0,26,65,63,4
142,52,19,0,0,36,67,64,4
164,74,16,0,0,37,76,73,4
165,70,30,0,0,35,74,71,4
167,75,26,0,0,39,64,62,4
168,37,23,0,0,40,62,60,4
176,66,18,0,0,28,49,47,4
197,60,30,0,0,47,73,70,4
198,54,22,0,0,45,50,49,4
224,70,29,0,0,35,66,63,4
253,63,3,0,0,35,63,61,4
264,39,38,1,0,34,59,57,4
273,76,19,0,0,30,61,58,4
276,72,31,0,0,52,79,53,4
307,53,28,0,0,42,60,59,4
321,74,32,0,0,41,69,66,4
325,69,31,0,0,28,54,51,4
316,47,15,0,0,1,39,19,4
145,68,21,0,0,23,61,51,4
92,68,44,0,0,55,30,15,5
101,53,45,0,0,43,31,14,5
144,57,60,0,0,50,40,11,5
184,51,51,0,0,29,23,19,5
194,57,58,0,0,51,44,23,5
199,64,61,0,0,35,43,15,5
200,63,58,0,0,57,48,15,5
201,65,52,0,0,55,47,16,5
205,67,34,0,0,58,43,7,5
218,64,53,0,0,52,44,3,5
319,58,52,0,0,56,35,13,5
27,46,44,0,0,53,26,31,5
40,55,28,0,0,44,44,19,5
93,42,55,0,0,49,28,24,5
96,54,34,0,0,47,23,12,5
102,50,52,1,0,53,49,38,5
202,59,36,0,0,53,29,8,5
204,53,26,0,0,54,35,14,5
314,61,47,0,0,46,33,22,5
210,58,39,0,0,50,30,16,5
180,67,34,1,0,15,44,1,6
192,56,26,1,0,32,46,22,6
193,61,23,1,0,30,49,16,6
211,57,32,1,0,44,48,4,6
279,58,26,1,0,40,45,14,6
6,64,26,0,0,20,44,22,7
10,60,38,0,0,34,42,29,7
15,56,59,0,0,12,31,22,7
19,63,53,0,0,36,41,17,7
26,55,34,0,0,25,37,37,7
29,62,59,0,0,3,45,8,7
41,57,46,0,0,24,35,19,7
57,57,55,0,0,32,39,9,7
60,57,38,0,0,29,27,24,7
67,53,62,0,0,13,41,35,7
73,47,36,0,0,17,37,19,7
76,61,47,0,0,18,44,25,7
78,56,50,0,0,10,28,29,7
80,57,55,0,0,5,32,11,7
81,54,48,0,0,27,32,6,7
94,58,56,0,0,16,53,42,7
95,22,16,0,0,31,18,24,7
97,60,40,0,0,25,41,33,7
103,53,34,0,0,27,58,7,7
117,64,56,0,0,27,39,27,7
119,53,59,0,0,17,37,20,7
122,53,57,0,0,18,29,6,7
132,53,47,0,0,38,30,25,7
148,61,59,0,0,18,44,18,7
149,58,53,0,0,21,34,28,7
157,54,58,0,0,15,35,26,7
160,64,24,0,0,28,47,28,7
169,65,58,0,0,13,42,19,7
175,53,41,0,0,17,34,21,7
195,59,43,0,0,9,29,10,7
196,60,47,0,0,20,71,68,7
206,59,54,0,0,24,47,12,7
207,54,42,0,0,19,29,7,7
225,53,54,0,0,24,21,15,7
227,56,47,0,0,19,40,21,7
228,59,36,0,0,24,34,38,7
229,58,43,0,0,27,30,20,7
232,54,53,0,0,28,26,24,7
235,52,53,0,0,25,39,40,7
257,66,49,0,0,22,29,25,7
261,54,55,0,0,15,29,30,7
282,19,16,0,0,30,30,34,7
283,52,57,0,0,24,26,26,7
306,46,31,0,0,21,27,16,7
308,59,42,0,0,19,40,11,7
313,59,41,0,0,41,38,27,7
317,33,36,0,0,30,39,42,7
318,64,33,0,0,25,56,16,7
323,61,34,0,0,26,25,18,7
326,51,37,0,0,22,29,24,7
333,49,38,0,0,20,32,23,7
335,64,50,0,0,10,43,38,7
