school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3(target)
0,0,1,1,1,1,2,2,2,2,1,1,1,1,1,0,1,0,1,0,1,1,1,2,2,2,0,1,2,25,5,7,9
0,1,0,1,1,1,4,4,4,2,1,2,0,0,0,0,1,0,0,0,1,1,1,4,3,2,1,3,4,8,10,9,10
0,1,0,1,0,1,4,4,3,4,0,0,0,1,0,0,1,0,1,1,1,1,0,3,2,2,0,0,4,2,17,15,16
0,1,0,1,0,1,2,2,3,3,0,0,0,0,0,1,1,0,0,1,1,1,0,4,3,0,0,0,0,0,6,5,9
0,0,1,1,1,1,2,2,2,0,0,0,1,1,1,1,0,0,1,1,1,1,0,3,2,2,1,1,4,14,8,7,7
0,0,0,1,1,0,4,3,2,2,0,1,0,1,0,1,1,1,1,1,1,1,1,4,1,1,0,0,4,8,6,5,4
0,0,1,1,1,0,3,3,2,3,1,1,0,1,0,0,1,0,0,1,1,1,0,1,2,4,0,3,2,12,9,9,9
0,1,1,1,0,1,4,3,1,3,3,1,0,3,0,0,0,0,1,1,1,1,0,3,1,1,0,0,1,4,17,16,18
0,1,0,1,0,1,4,2,4,2,1,1,0,1,0,0,1,1,0,1,1,0,0,3,2,2,1,1,4,2,13,12,12
0,0,0,1,0,1,4,4,3,4,2,0,0,1,1,1,1,0,1,0,1,1,0,3,3,3,0,0,2,2,5,4,5
0,0,1,1,1,1,2,2,3,3,0,1,2,1,0,0,1,1,0,1,1,1,0,3,2,2,1,2,3,2,10,10,11
0,0,0,1,1,1,4,2,1,2,2,1,0,1,0,0,1,1,0,1,1,1,0,3,2,2,0,0,4,2,9,10,11
0,1,0,1,1,0,4,2,1,1,2,0,1,0,1,0,0,0,0,1,1,0,0,4,4,4,2,3,4,6,9,8,8
0,0,0,1,0,1,4,4,3,3,0,1,0,0,0,1,1,1,0,1,1,1,0,2,2,3,1,2,4,0,6,7,9
0,0,0,1,1,0,3,3,2,2,2,1,0,0,0,0,0,1,0,1,1,1,0,4,2,3,3,3,0,6,8,10,11
0,0,1,1,0,0,2,1,2,2,2,1,0,1,0,0,0,1,1,1,1,1,1,4,2,3,0,0,1,8,6,6,8
0,0,0,1,0,0,4,3,3,3,3,1,0,1,0,0,1,1,1,1,1,1,0,3,2,1,0,0,0,0,12,12,13
0,1,0,1,0,1,4,4,4,1,3,1,0,1,0,0,1,0,1,1,1,0,0,2,1,1,0,0,4,4,12,12,13
0,1,0,1,1,1,1,2,2,0,1,0,0,1,0,1,1,0,1,1,1,1,0,3,2,1,0,0,4,2,7,7,7
0,0,1,1,0,1,4,2,3,2,0,1,0,1,0,0,1,0,0,1,1,1,0,3,1,2,0,0,4,2,13,13,14
0,0,1,0,0,1,4,4,1,4,2,1,0,1,0,0,1,0,1,1,1,0,0,1,3,3,1,2,3,6,8,8,9
0,0,1,1,0,1,1,1,3,3,0,0,3,0,0,1,1,0,1,0,1,1,1,4,4,4,4,4,4,6,8,5,9
0,0,1,1,1,1,1,2,2,3,3,0,0,1,0,1,0,0,1,1,1,1,0,3,3,2,0,0,0,4,6,7,7
0,0,1,1,0,1,4,3,4,1,1,1,0,2,0,1,1,1,1,1,1,1,0,2,3,3,1,3,3,2,8,6,7
0,0,0,1,1,1,4,3,3,3,3,0,0,1,0,1,0,0,1,1,1,1,1,3,3,3,1,3,1,0,8,7,8
0,0,1,1,1,1,4,3,4,3,0,1,2,1,0,0,1,0,1,1,1,1,0,4,3,2,0,1,0,2,14,12,13
0,1,0,1,0,0,4,4,2,3,3,1,0,3,0,0,1,0,1,0,1,1,1,0,2,2,4,4,2,4,11,10,10
0,0,1,1,0,1,3,1,3,2,0,1,0,3,0,1,1,1,0,1,1,1,0,3,2,2,0,1,4,4,5,4,4
0,0,0,0,1,1,2,2,1,3,3,1,1,1,0,1,1,1,0,1,1,1,0,3,0,2,0,2,3,2,6,6,6
0,0,0,0,1,1,3,1,2,2,3,0,1,3,0,0,1,0,0,0,1,1,0,3,3,1,1,2,2,12,14,13,14
0,1,1,1,0,1,3,1,2,2,3,0,1,3,0,0,1,1,0,1,1,1,0,3,2,1,0,0,4,0,11,12,13
0,1,0,1,0,1,4,2,2,2,0,1,0,3,0,0,0,0,0,1,1,1,0,2,2,2,0,0,2,0,8,7,8
0,0,0,0,0,1,1,1,2,2,3,1,0,1,2,1,1,0,0,0,1,1,1,2,2,3,1,3,4,2,6,3,3
0,1,1,1,0,1,3,1,2,2,3,1,0,0,0,0,0,0,1,1,1,0,0,4,2,1,1,1,4,2,10,9,12
0,0,1,1,0,1,3,3,2,3,1,1,0,1,0,1,1,1,1,1,1,1,0,3,2,2,1,3,4,32,9,9,9
0,1,0,1,0,1,4,3,4,2,1,1,0,1,0,0,1,1,1,1,1,1,0,3,2,2,1,2,4,6,7,6,8
0,1,0,1,0,1,4,0,4,2,0,1,1,3,0,0,0,0,1,1,1,1,0,2,3,2,0,0,0,8,9,8,8
0,0,1,1,0,1,2,2,2,2,3,1,0,3,0,0,0,1,0,1,1,1,1,4,1,2,0,2,2,0,9,8,9
0,1,2,1,0,1,2,1,2,2,1,1,1,0,3,1,1,0,1,1,0,1,0,3,4,0,0,0,2,2,6,5,8
0,0,1,1,0,1,3,4,0,2,0,1,0,1,0,0,1,0,0,1,1,1,0,1,3,2,0,1,2,12,3,2,3
0,1,0,1,0,1,2,3,2,3,0,0,0,0,0,1,1,1,1,0,1,1,1,2,1,1,0,2,2,2,8,9,10
0,1,0,1,0,1,2,3,2,2,1,1,0,2,0,1,0,1,0,0,1,1,0,4,2,1,0,1,4,4,9,7,9
0,0,0,1,1,1,3,2,3,2,3,1,0,1,0,0,1,1,0,1,1,1,0,3,3,3,0,0,4,10,5,3,4
0,1,0,1,1,1,2,2,3,3,1,1,1,1,0,0,0,1,1,1,1,1,0,4,2,2,0,2,3,4,13,12,13
0,0,0,1,0,1,1,1,2,2,1,0,0,1,0,0,1,0,1,0,1,1,0,3,2,1,1,2,3,2,7,7,8
0,0,0,1,0,1,4,4,3,3,3,0,1,1,2,0,0,1,0,1,1,1,1,3,3,3,1,2,4,6,5,6,6
0,0,1,1,1,1,2,2,0,2,0,1,0,1,0,0,1,0,0,1,1,0,0,3,2,3,0,1,1,4,6,4,4
0,0,0,1,0,1,4,2,2,2,3,1,0,2,0,0,1,0,1,1,1,1,0,4,2,2,0,2,0,4,11,11,12
0,1,1,1,0,1,2,2,3,2,3,0,1,1,1,0,0,1,1,0,1,1,0,3,3,1,0,0,2,12,9,7,8
0,1,1,1,1,0,4,4,4,1,3,1,0,1,0,0,1,0,0,1,1,0,0,3,0,2,2,4,4,18,6,3,5
0,0,1,1,0,1,3,3,2,2,1,1,0,2,0,0,1,1,0,1,1,1,1,3,2,2,0,2,3,0,5,4,6
0,0,0,1,0,1,4,3,3,2,3,1,0,0,0,0,0,1,1,1,1,1,0,3,4,4,0,2,0,4,14,14,16
0,0,1,1,1,1,3,1,2,2,1,0,0,1,0,1,1,0,0,1,1,0,0,2,2,2,1,2,1,4,5,3,4
0,0,1,1,0,1,4,2,4,3,1,1,1,1,0,0,1,1,1,1,1,1,0,4,2,2,0,0,0,0,9,7,8
0,1,0,1,1,1,2,2,3,1,3,1,0,3,0,0,1,0,1,1,1,1,0,3,2,3,0,0,3,6,9,10,12
0,0,0,0,0,1,1,1,0,2,1,1,1,3,1,1,1,1,1,1,1,1,0,2,0,1,0,0,0,2,5,7,8
0,1,1,0,0,1,4,3,3,2,3,1,1,0,0,1,1,0,1,0,1,1,0,2,2,2,0,0,3,2,9,12,13
0,0,1,1,0,1,2,1,2,2,0,1,0,1,0,0,1,1,0,1,1,0,1,3,2,4,0,0,4,2,6,6,8
0,0,1,1,0,1,4,4,2,2,3,1,0,0,0,0,0,0,1,0,1,1,0,4,2,3,0,1,0,6,9,11,12
0,0,1,1,0,1,4,3,2,0,0,1,0,2,0,1,1,1,0,1,1,1,0,4,2,4,0,0,2,0,5,6,6
0,1,1,1,0,1,4,4,3,3,2,1,0,0,0,1,1,1,1,1,1,1,0,3,4,4,4,4,3,14,5,4,3
0,1,1,1,0,1,4,4,3,4,2,0,0,2,0,0,1,0,1,1,1,1,1,3,3,2,0,0,3,0,14,14,15
0,1,0,1,0,1,4,4,3,2,0,1,0,0,0,0,1,0,1,0,1,1,0,4,2,2,0,0,4,4,8,10,12
0,0,0,1,0,1,3,2,3,2,1,1,1,1,0,1,1,1,0,1,1,1,0,3,2,4,0,0,1,26,5,3,4
0,1,0,1,0,0,3,4,3,2,0,1,0,1,0,0,1,1,1,1,1,1,0,4,3,3,0,0,0,0,14,15,16
0,0,0,1,0,0,3,3,2,1,3,0,0,3,0,1,0,0,0,1,1,0,0,3,2,2,0,0,3,10,8,8,9
0,0,0,1,0,1,2,2,2,2,0,1,0,3,0,1,1,1,0,1,1,1,0,4,0,1,0,0,2,8,5,5,6
0,1,1,1,0,1,3,3,3,2,1,0,0,2,0,0,1,0,1,1,1,1,0,4,2,2,0,0,4,2,14,15,16
0,1,0,0,0,1,4,4,2,2,1,0,3,3,0,0,1,1,1,1,1,1,1,0,2,4,2,4,0,6,8,10,11
0,0,1,1,1,1,4,4,1,1,2,1,0,2,0,0,1,1,1,1,1,1,1,4,3,4,0,0,3,4,12,12,14
0,1,0,1,1,0,4,4,4,4,0,1,0,0,0,0,0,0,1,1,1,1,0,4,4,2,0,0,3,6,16,16,17
0,0,1,0,0,1,3,3,3,2,3,0,0,2,1,1,1,0,1,1,1,1,0,3,0,1,0,0,1,0,5,7,8
0,0,1,1,0,1,2,2,0,2,1,1,0,1,1,1,0,0,1,1,1,1,0,2,0,1,0,0,4,6,8,10,11
0,1,0,1,1,1,4,2,4,2,0,1,0,0,0,0,0,0,0,1,1,1,0,2,4,1,0,0,2,10,16,16,17
0,1,0,0,0,1,2,1,1,3,3,1,0,1,0,0,0,0,1,1,1,1,1,4,3,1,0,0,4,8,7,6,7
0,1,1,1,0,1,4,4,4,4,0,0,0,1,0,0,1,0,1,1,1,1,0,4,3,3,0,1,4,2,13,12,14
0,1,0,1,0,1,4,4,2,4,3,0,1,1,0,0,1,0,1,1,1,0,0,3,3,2,0,0,1,2,9,10,12
0,1,1,1,0,1,3,3,2,3,1,0,1,0,0,0,0,0,1,1,1,1,0,4,3,1,0,0,4,0,11,11,11
0,1,2,0,0,1,1,3,2,2,0,0,2,1,1,0,1,0,1,1,1,1,0,4,1,3,0,3,4,20,7,4,6
0,1,0,1,0,1,3,4,2,2,3,0,0,0,0,0,0,0,0,1,1,1,0,2,3,2,0,1,3,6,12,10,11
0,0,0,1,0,1,1,2,0,3,0,1,0,1,0,0,0,0,0,0,1,1,0,2,1,2,0,1,0,2,14,12,13
0,1,0,1,0,1,2,2,3,3,1,0,0,3,0,0,1,1,1,1,1,1,0,4,4,3,0,1,4,6,14,11,13
0,0,1,1,1,1,2,4,2,1,0,0,1,1,0,0,1,1,1,1,1,1,1,3,1,1,0,1,4,2,11,10,11
0,1,1,1,0,1,4,4,1,2,0,1,0,0,0,0,1,0,1,1,1,1,0,2,3,3,0,3,4,18,12,8,11
0,0,1,1,0,1,2,2,2,2,1,1,0,1,0,0,0,1,0,1,1,1,1,4,3,3,0,0,4,0,6,4,6
0,1,0,1,0,1,3,4,3,3,1,0,0,0,0,1,0,0,0,1,1,1,0,4,4,4,2,1,4,0,11,10,10
0,0,0,1,1,0,3,4,2,2,1,1,0,1,0,1,0,0,1,1,1,1,1,4,2,1,0,0,0,0,5,7,9
0,0,4,1,0,1,0,1,0,2,0,2,0,1,3,0,1,0,0,0,0,0,0,2,3,1,0,0,4,2,5,5,7
0,1,3,0,0,1,2,2,3,2,3,1,0,0,2,0,1,0,1,1,1,1,0,2,2,2,0,1,3,0,5,1,0
0,1,1,0,0,1,4,4,4,4,0,1,0,0,0,0,0,1,1,1,1,1,0,2,4,4,1,4,3,8,16,15,16
0,0,0,0,0,1,3,4,3,4,0,0,1,2,2,0,1,0,0,1,1,1,1,3,1,1,1,1,4,0,10,0,0
0,0,0,1,0,1,1,1,0,2,0,1,2,0,0,0,1,0,1,0,1,1,1,3,2,2,0,1,3,0,6,0,0
0,0,2,1,1,1,2,2,2,2,0,0,0,0,0,0,1,0,0,1,1,1,1,2,3,3,0,2,4,12,8,10,10
0,0,1,1,0,0,3,4,3,2,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,3,4,16,10,8,9
0,1,0,0,0,1,3,4,0,4,0,1,3,1,0,0,1,0,0,1,1,0,1,4,2,2,0,0,4,0,7,0,0
0,0,0,1,0,1,4,4,3,0,0,1,0,2,0,0,1,0,1,1,1,1,1,3,2,2,0,0,4,0,9,0,0
0,1,2,0,0,1,3,4,0,2,0,1,2,1,0,0,0,0,0,1,1,0,0,4,3,4,1,3,4,0,8,0,0
0,0,1,1,0,0,3,3,2,2,0,2,1,0,2,0,1,0,1,0,1,1,1,3,2,1,0,0,4,0,2,0,0
0,1,1,1,1,1,1,1,3,2,0,1,0,1,1,0,0,0,0,1,1,0,1,3,3,3,0,2,4,0,12,9,10
0,0,0,1,0,1,4,4,4,4,0,1,1,0,0,0,0,0,1,1,1,1,0,3,2,1,0,0,4,0,14,13,13
0,1,0,1,0,1,4,3,4,3,0,0,1,3,0,1,1,0,0,1,1,1,0,1,1,1,0,0,2,0,5,6,0
0,1,1,1,1,1,2,2,3,3,3,0,1,0,2,0,1,0,1,1,1,1,0,1,2,2,1,1,1,8,7,6,7
0,0,0,1,0,1,4,4,4,3,0,1,0,2,0,0,1,1,1,1,1,1,0,3,1,1,0,0,4,2,7,8,9
0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,3,3,2,2,0,2,12,11,11
0,1,2,1,0,1,2,1,2,2,1,1,0,0,3,0,1,0,0,1,1,1,0,4,3,4,0,1,4,0,3,0,0
0,0,0,1,0,1,1,1,2,3,0,0,0,1,0,0,1,1,0,1,1,1,0,3,3,1,0,1,4,0,6,8,9
0,0,0,1,0,1,3,2,1,3,1,0,0,1,3,0,1,0,0,1,1,1,0,2,2,1,0,0,2,0,4,4,0
0,0,0,1,0,1,1,2,0,2,0,1,0,1,0,0,1,1,0,0,1,1,0,3,2,1,0,0,4,2,8,8,9
0,1,1,1,0,1,4,4,4,4,0,1,0,0,0,0,1,0,0,1,0,1,1,2,2,1,1,0,4,0,5,3,0
0,1,0,1,1,0,2,1,3,2,0,1,3,0,3,0,0,0,0,1,1,1,0,3,4,4,1,4,4,0,6,6,8
0,1,3,1,1,1,1,1,2,2,0,1,0,0,3,0,0,0,0,1,0,1,1,1,2,4,1,4,3,0,4,2,0
0,1,1,1,1,1,2,1,0,2,0,1,0,0,1,0,0,0,1,1,1,0,1,3,3,3,2,4,4,6,10,10,12
0,0,0,0,0,1,3,3,3,3,3,2,1,2,2,0,1,1,1,1,1,1,1,3,1,0,1,2,2,8,8,7,8
0,1,4,1,0,1,3,2,3,0,1,1,0,0,3,0,1,0,0,1,0,1,1,3,4,3,0,0,3,0,3,0,0
0,0,2,1,0,1,4,4,2,4,0,1,0,0,0,1,1,0,0,1,1,0,1,3,1,0,0,0,3,0,9,8,10
0,1,0,0,0,1,2,3,0,3,0,1,0,1,0,1,0,1,1,1,1,0,0,3,3,3,0,0,0,2,9,5,6
0,1,2,0,1,1,1,2,2,2,3,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,2,4,8,14,9,11
0,0,3,0,0,1,1,1,0,2,0,1,2,0,3,0,1,0,1,0,1,0,0,4,1,4,0,4,3,6,7,5,8
0,1,1,0,0,1,2,2,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,3,1,1,0,1,2,2,15,12,13
0,1,1,1,0,1,3,3,2,3,0,0,0,1,1,0,1,1,0,1,1,1,1,3,4,4,3,3,4,4,8,9,10
0,1,2,0,1,1,2,1,0,2,0,1,1,0,2,0,0,0,1,1,0,1,1,2,2,1,1,1,4,0,5,3,0
0,1,0,0,0,1,3,2,2,2,0,1,1,1,2,1,1,0,0,1,1,1,1,3,3,3,0,3,2,6,3,6,5
0,1,1,1,1,1,1,2,2,2,0,1,1,0,1,0,0,0,1,1,1,0,0,3,3,3,1,3,4,0,5,0,0
0,1,2,1,0,1,1,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,4,2,2,0,3,1,2,8,7,8
0,1,2,0,1,1,1,1,2,3,0,1,3,1,3,0,0,0,1,1,0,0,1,4,2,4,0,4,4,0,3,5,5
0,1,1,1,0,1,3,2,3,3,0,1,1,0,1,0,1,0,1,0,0,0,0,3,4,1,0,0,1,16,10,8,10
0,1,1,1,0,1,2,2,2,2,0,0,0,1,0,0,0,0,0,1,0,1,0,3,2,4,1,3,3,4,8,7,8
0,0,1,1,0,1,4,2,1,3,1,0,0,1,0,0,0,1,0,1,1,1,1,3,1,2,0,0,2,0,12,12,14
0,0,1,1,0,1,2,2,2,2,1,1,0,1,0,0,1,1,0,0,1,1,0,4,0,4,0,0,3,0,4,4,0
0,0,1,1,0,1,4,4,1,1,3,1,0,1,0,0,1,1,0,1,1,1,1,3,3,1,0,0,2,0,12,11,12
0,1,1,1,0,1,3,4,2,2,0,0,2,0,2,0,1,0,1,0,1,1,0,2,3,4,1,3,1,0,4,2,0
0,1,1,1,0,1,1,0,2,2,3,1,1,1,0,0,1,1,1,1,1,1,1,3,2,1,0,0,2,2,11,12,14
0,1,2,1,1,1,4,4,4,2,3,1,0,1,0,0,1,1,1,1,1,1,0,3,3,3,0,2,4,0,11,8,8
0,0,1,1,0,1,1,3,0,3,1,1,0,1,3,0,0,0,1,0,1,1,1,3,2,4,0,0,2,0,6,4,0
0,0,1,1,1,1,3,3,2,2,3,1,1,1,0,0,1,1,1,1,1,1,0,3,3,4,0,0,3,4,8,8,7
0,1,2,1,1,1,4,3,4,2,0,1,1,1,0,0,0,1,1,1,1,1,0,3,3,3,3,3,3,4,8,6,7
0,0,1,1,0,1,2,2,3,2,3,1,1,1,0,0,0,1,1,0,1,1,0,2,3,3,0,3,4,2,11,10,9
0,1,2,1,0,1,3,3,2,2,3,0,0,1,0,0,0,0,1,0,1,1,0,3,2,3,0,3,3,4,4,2,4
0,1,1,0,0,1,4,2,4,3,2,1,0,0,0,0,1,0,1,1,1,1,1,3,2,2,2,3,2,10,8,5,7
0,1,2,1,0,1,4,3,2,2,0,1,0,1,0,0,1,0,1,1,1,1,1,4,1,2,0,0,1,4,8,7,9
0,1,1,1,0,1,4,3,4,2,1,1,0,1,0,0,1,1,1,1,1,1,0,2,3,2,1,2,2,10,7,5,6
0,1,1,1,0,1,3,3,3,2,1,1,0,1,0,0,0,1,1,1,1,1,1,3,1,2,0,1,2,2,10,10,10
0,0,2,1,0,1,2,4,3,3,3,0,0,1,0,0,1,0,1,1,1,0,0,4,3,1,1,2,4,0,14,14,15
0,0,2,1,1,1,3,3,2,2,3,1,0,1,0,0,1,0,1,1,1,1,1,4,2,2,1,2,0,33,7,6,6
0,0,1,1,0,1,3,2,2,2,3,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,14,10,10,10
0,1,2,1,0,1,3,3,3,3,2,1,0,1,0,0,1,0,1,1,1,1,1,3,2,3,1,2,3,12,10,9,9
0,1,1,1,0,1,1,2,3,3,2,1,0,0,0,0,1,1,1,1,1,1,1,2,2,2,0,1,2,2,9,9,9
0,1,1,1,1,1,2,1,2,2,0,1,0,1,0,0,0,1,1,1,1,1,1,3,1,2,0,1,4,0,13,12,13
0,0,2,1,0,0,3,3,1,2,3,1,0,1,0,0,1,0,0,0,1,1,1,2,2,2,0,2,2,6,6,4,7
0,1,2,0,0,1,1,2,0,2,1,1,0,1,0,0,0,0,0,1,1,0,0,2,0,2,0,4,2,4,6,6,8
0,0,1,1,0,1,2,3,3,3,0,1,0,1,0,0,0,0,0,1,1,1,0,3,2,2,0,0,1,10,9,9,11
0,0,2,1,0,1,1,1,0,3,0,1,0,1,0,0,0,0,1,1,1,1,0,4,2,2,0,0,2,0,6,5,7
0,1,2,1,0,1,1,2,0,3,2,2,1,1,0,0,0,1,1,0,1,1,0,3,3,3,3,4,4,12,5,5,6
0,1,1,0,0,1,3,3,3,3,3,1,0,0,0,0,1,0,1,1,1,1,0,3,2,1,2,3,4,8,6,6,8
0,1,1,1,0,1,2,3,2,2,1,0,1,0,0,0,0,0,0,1,1,1,0,4,2,2,0,0,2,0,11,11,12
0,0,2,1,1,1,2,4,3,3,0,0,0,1,0,0,0,0,1,1,1,1,1,3,2,1,0,0,4,0,12,12,13
0,1,2,1,0,1,4,4,3,4,1,1,0,0,0,0,0,0,0,1,1,1,0,4,1,2,0,1,4,4,15,12,14
0,1,1,0,1,1,3,3,4,2,1,0,2,0,0,0,1,1,1,1,1,1,0,2,2,3,2,4,2,8,7,6,8
0,0,2,1,0,1,4,4,3,4,1,1,1,0,1,0,1,0,0,1,1,1,0,3,1,3,1,2,1,24,16,15,16
0,0,1,1,1,1,4,4,4,4,3,1,0,1,0,0,1,1,0,1,1,1,0,3,4,1,0,1,2,0,7,6,8
0,0,1,1,0,1,4,3,1,2,1,1,0,1,0,0,1,0,1,1,1,1,0,3,2,4,0,4,1,2,14,13,14
0,0,1,1,0,1,2,3,2,2,3,1,0,1,0,1,1,1,1,1,1,0,0,3,3,2,0,2,3,6,6,7,8
0,0,2,1,0,1,1,1,2,2,0,1,0,1,0,0,1,1,0,0,1,0,0,3,3,3,0,2,0,4,7,6,8
0,0,2,0,0,1,2,2,2,2,3,1,0,0,0,0,1,0,0,1,1,1,0,4,2,1,0,1,2,18,5,3,4
0,0,1,0,0,1,2,2,3,3,3,1,1,3,0,0,1,1,1,0,1,1,0,4,2,4,0,0,4,6,8,7,9
0,0,2,1,0,1,3,4,0,3,1,1,0,2,1,0,1,1,0,1,1,1,1,3,3,2,2,3,4,27,8,6,7
0,0,1,1,0,0,3,1,3,2,0,1,0,1,3,0,1,1,0,1,1,1,0,1,2,2,1,1,3,5,5,4,5
0,0,1,1,0,1,4,3,4,2,2,1,0,1,0,0,0,1,1,1,1,1,1,0,2,1,0,0,0,10,9,9,11
