col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,class
247,258,399,127,166,322,88,155,309,264,241,266,629,626,599,593,593,500,272,200,332,2
185,311,404,334,294,501,340,83,236,135,239,387,422,583,415,615,311,280,388,368,426,0
248,186,365,273,443,395,503,429,569,688,743,504,671,491,320,262,190,266,181,246,422,1
124,413,423,588,497,370,469,431,370,428,290,124,360,278,364,457,372,306,228,155,244,0
290,50,93,282,315,306,183,254,309,233,402,382,474,604,818,567,305,388,369,253,293,2
307,282,394,481,540,583,594,642,323,536,440,443,195,203,189,45,373,159,230,381,31,1
204,94,138,40,279,231,215,298,466,246,461,704,530,389,553,606,480,454,377,158,231,2
315,162,300,346,176,307,288,166,318,258,359,492,513,351,685,450,532,387,472,303,315,2
85,236,300,341,391,415,407,340,514,419,412,567,512,561,336,409,243,363,320,346,241,2
376,111,247,287,313,199,217,322,138,220,319,487,461,611,711,623,353,663,398,431,293,0
281,331,263,383,318,311,424,132,147,272,174,164,475,641,442,477,478,407,227,545,320,0
318,281,219,247,173,273,356,405,593,322,709,511,363,606,294,360,252,234,478,161,268,2
108,168,367,280,541,380,399,264,131,189,310,224,269,503,448,363,287,365,385,503,277,0
245,277,388,196,415,242,221,321,279,276,391,447,680,611,622,802,503,565,468,379,248,2
278,273,414,632,439,466,566,429,357,321,313,276,440,174,377,485,496,242,363,373,259,0
202,259,239,405,418,347,476,403,574,339,623,403,443,223,253,399,97,202,249,137,338,1
311,357,296,330,670,627,663,389,563,440,218,189,232,230,213,362,421,441,378,386,271,0
262,323,328,147,264,387,448,330,385,175,288,231,258,459,433,418,324,373,468,315,117,0
195,111,553,449,682,448,709,330,331,201,295,324,267,394,182,427,333,317,240,298,95,0
333,215,109,197,331,228,482,282,285,74,95,404,365,441,545,530,361,335,437,314,274,0
107,445,369,439,629,573,627,571,633,183,189,235,184,335,155,289,326,275,339,281,243,0
187,198,196,125,260,353,295,489,434,661,723,568,648,387,481,144,126,291,218,264,303,2
291,221,233,411,288,380,440,364,630,363,510,278,205,194,410,318,256,302,342,434,294,1
303,301,513,399,481,560,620,616,629,473,239,274,291,365,411,229,179,194,264,182,336,0
263,166,329,403,465,546,691,623,575,432,325,163,203,31,149,194,260,199,48,102,374,1
431,234,168,225,204,178,343,608,656,372,634,565,545,407,489,341,367,102,292,289,206,1
348,269,317,362,540,574,557,380,473,408,337,11,401,320,286,358,326,316,341,244,135,0
270,190,442,419,174,319,115,88,272,316,309,375,384,664,767,650,563,541,490,370,339,2
224,384,414,558,452,333,552,631,482,568,496,164,252,363,288,389,59,383,202,135,257,1
320,415,367,551,472,558,619,658,534,339,297,269,263,268,406,359,248,280,200,291,218,1
317,265,131,491,586,511,545,569,672,541,302,182,241,427,139,66,237,153,322,49,210,1
250,333,372,476,580,560,772,643,339,342,303,198,179,73,312,276,379,317,287,254,312,0
397,309,145,102,259,276,222,144,141,277,340,224,452,423,695,744,340,510,330,570,172,2
137,280,259,195,464,101,246,184,325,216,152,474,378,422,706,512,528,360,467,455,199,0
237,225,213,298,149,313,196,129,296,326,248,303,462,529,847,553,573,337,363,321,453,2
316,452,318,406,216,539,656,386,501,560,586,351,244,393,276,197,193,320,245,150,374,1
331,319,360,166,363,214,459,573,652,429,570,321,653,605,389,155,361,436,445,256,239,1
208,297,292,273,135,143,234,447,419,587,478,603,618,461,371,373,387,301,251,417,154,2
380,352,139,223,309,244,76,337,206,453,516,508,592,423,475,467,368,552,244,360,186,2
129,275,160,375,626,642,776,435,503,417,425,125,260,229,283,116,414,272,165,441,225,0
225,186,271,268,180,33,157,380,384,291,424,451,362,460,573,480,230,270,196,522,307,2
491,360,335,411,504,415,358,368,416,169,257,189,351,514,427,337,544,271,455,421,183,0
323,218,328,519,458,500,571,202,371,328,187,261,310,308,361,467,555,362,404,463,280,0
330,241,284,682,524,797,668,546,596,398,326,25,257,48,24,102,354,198,55,237,301,0
301,402,390,336,522,601,663,465,541,439,465,411,220,311,243,244,159,280,248,315,246,1
204,246,279,233,252,511,371,617,642,382,525,320,356,405,135,250,264,187,377,185,394,1
361,264,345,312,89,317,377,350,461,419,764,707,561,325,456,431,103,282,37,299,234,2
314,224,189,279,416,479,519,612,320,274,357,269,396,230,473,455,469,350,305,348,288,0
234,385,317,261,524,462,495,297,370,152,86,227,363,462,542,468,403,391,249,379,340,0
90,159,206,361,153,257,437,249,356,1,337,108,509,601,763,648,653,673,308,405,295,2
145,350,232,218,175,344,423,158,289,174,311,553,607,579,377,584,488,344,131,335,395,2
148,278,237,552,347,392,439,448,671,508,595,519,439,475,320,242,200,221,104,199,351,1
327,439,484,344,547,692,704,659,620,549,288,147,108,120,237,64,252,240,155,387,355,1
499,236,316,437,365,440,467,372,463,321,283,248,366,336,377,581,441,568,459,437,288,0
183,217,258,370,373,230,68,208,180,301,231,379,615,687,724,651,717,476,364,383,274,0
304,500,269,433,571,401,532,562,526,659,362,585,420,248,276,374,55,266,268,302,237,1
183,250,248,306,241,421,340,395,163,315,254,322,131,498,280,457,547,557,535,411,229,0
78,529,223,303,489,343,617,293,405,20,245,419,409,624,685,295,562,398,360,366,191,0
19,254,564,393,632,566,704,653,442,472,215,279,387,253,64,305,163,152,203,180,327,1
238,210,468,404,471,527,469,433,202,269,248,342,367,190,499,141,359,378,258,382,242,0
196,149,212,283,454,461,618,402,450,537,548,422,469,176,293,183,62,87,100,204,328,1
326,190,408,211,70,245,526,415,415,541,663,617,449,455,578,300,208,360,86,65,187,2
193,235,441,367,545,499,744,623,556,356,191,37,287,401,156,227,274,379,239,402,82,0
197,393,361,334,516,501,546,342,541,400,329,280,341,270,270,169,403,344,216,468,360,1
273,209,269,336,352,286,164,211,401,328,257,436,387,591,639,514,546,553,301,268,209,2
21,247,269,423,157,287,185,327,463,314,413,507,416,537,482,498,503,533,417,495,358,2
333,233,430,239,88,186,205,259,341,309,197,472,341,623,561,515,573,320,458,185,290,2
182,379,74,300,252,248,327,528,643,697,604,603,368,523,446,524,375,104,192,247,225,1
260,295,375,235,648,606,566,539,392,357,229,279,169,278,174,345,369,338,384,214,270,0
274,332,486,662,658,496,812,613,564,420,171,150,192,188,271,321,347,78,234,288,286,0
342,425,221,524,398,482,599,678,616,403,477,357,549,458,198,266,347,1,183,341,21,1
67,260,579,445,395,661,701,489,495,247,213,245,197,351,464,373,418,350,252,384,452,0
353,501,257,227,326,354,361,465,573,657,564,474,551,560,340,77,413,225,207,307,219,1
64,374,541,203,570,491,532,350,505,380,96,263,457,338,533,496,470,499,308,294,429,0
377,278,102,217,224,228,401,310,306,436,529,698,599,661,487,226,286,118,206,319,188,2
155,50,282,121,282,228,317,150,567,447,560,583,347,418,404,192,422,249,99,396,286,2
336,501,413,628,711,585,724,734,496,429,445,111,165,62,129,133,246,266,177,301,205,1
421,260,110,234,170,322,297,484,543,543,512,679,556,481,281,360,212,311,190,326,416,2
322,254,445,371,414,271,470,364,213,283,292,109,373,498,526,510,390,595,368,254,507,0
133,116,284,170,373,379,516,494,556,569,462,474,336,255,427,328,118,99,200,302,277,1
374,223,150,281,358,214,147,382,615,355,551,600,411,406,627,363,343,347,269,266,257,2
347,305,110,453,394,531,529,534,700,400,190,249,270,339,226,167,241,200,120,289,256,1
293,299,392,127,210,284,27,294,489,398,525,377,621,667,522,480,594,470,340,262,202,2
250,450,455,430,545,797,549,753,657,384,281,255,47,104,381,212,3,259,225,307,234,1
325,246,217,247,80,298,505,355,757,565,566,670,397,412,436,454,142,263,350,45,383,2
273,187,302,336,200,514,364,466,607,487,579,474,415,112,344,251,204,270,145,208,249,1
324,160,251,166,298,240,583,376,440,527,556,561,392,534,298,401,226,309,247,192,400,1
215,102,388,269,183,148,41,164,256,334,130,396,657,520,638,556,495,391,401,255,304,2
381,408,485,340,627,709,587,552,607,324,86,236,151,233,144,257,321,143,220,325,300,0
179,164,168,226,197,75,155,214,122,65,72,421,470,614,692,718,522,427,218,292,109,0
416,373,284,161,397,415,127,346,151,444,508,527,690,438,705,393,436,133,457,251,270,2
301,310,151,338,235,327,395,494,540,458,553,512,283,194,349,394,400,186,179,346,209,1
62,242,214,193,297,240,211,467,242,224,416,316,580,550,469,540,487,488,459,285,225,2
237,196,327,312,393,526,620,595,731,417,286,194,249,527,187,169,215,198,161,180,300,1
250,20,36,355,94,301,216,215,65,413,393,278,317,635,783,728,374,531,381,235,230,2
214,286,437,371,214,378,466,473,738,530,384,299,338,289,375,255,210,19,356,375,149,1
344,258,380,461,571,476,509,324,511,427,242,452,273,436,334,295,357,465,123,298,319,0
307,117,260,449,537,367,531,417,432,549,527,331,288,201,149,392,274,140,242,278,256,1
368,322,383,287,340,261,563,541,375,303,62,235,365,358,559,411,344,580,253,284,242,0
63,119,190,184,226,317,350,124,268,352,502,341,693,634,554,428,378,496,241,256,138,2
227,529,72,406,526,505,468,459,381,589,433,309,490,464,406,176,219,174,182,135,289,1
245,293,371,379,599,473,596,510,653,363,626,291,582,232,286,163,404,246,209,263,302,1
474,239,316,402,462,304,635,545,342,395,525,501,248,186,174,292,271,277,199,415,234,1
242,275,313,198,240,156,423,377,536,464,654,552,580,519,346,250,334,241,378,389,427,2
498,304,211,227,430,122,265,205,247,390,425,287,427,678,643,467,433,335,197,317,457,2
249,283,316,168,273,364,356,295,655,460,756,610,503,388,281,240,305,218,254,149,339,1
145,329,407,492,612,420,520,623,546,325,297,216,378,264,378,276,529,240,165,395,391,0
458,301,285,275,176,246,82,54,251,278,299,421,668,747,697,695,612,614,399,284,295,2
412,128,429,316,324,306,427,351,664,439,491,352,350,441,368,261,28,273,248,467,278,1
279,301,152,296,316,260,434,356,546,693,679,536,389,517,389,433,55,454,251,260,214,2
368,365,378,264,532,532,699,752,647,511,35,41,87,259,214,282,123,323,223,165,261,1
251,274,365,580,516,639,520,416,455,443,194,313,56,209,61,401,315,289,194,239,258,0
271,346,176,374,317,610,690,643,678,448,438,103,226,110,317,193,205,246,187,225,401,1
321,301,348,305,375,179,122,28,320,60,207,492,510,430,763,563,476,392,434,328,243,0
227,175,282,310,113,283,122,213,434,235,226,409,474,530,712,529,603,395,404,324,331,2
190,281,237,346,521,385,697,452,573,355,328,314,202,172,247,207,78,104,346,302,227,1
201,98,15,78,198,127,449,401,415,365,536,352,553,503,611,456,374,233,315,195,302,2
358,97,355,349,32,237,112,122,290,124,494,366,531,759,853,659,744,301,431,368,187,2
180,332,161,164,156,182,338,298,557,315,478,412,483,637,778,334,416,229,274,193,177,2
237,388,427,337,229,320,535,408,598,486,742,401,357,419,262,272,441,421,298,101,281,1
262,329,390,524,565,620,534,449,323,165,261,283,220,188,216,358,389,150,347,300,247,0
305,265,212,179,51,155,325,360,171,380,436,486,538,571,271,579,469,261,290,353,171,2
262,490,493,469,564,746,524,738,449,331,246,138,300,189,91,173,313,252,166,227,187,0
439,385,222,440,396,427,666,444,234,495,286,294,202,340,291,294,280,364,245,345,94,0
227,227,214,257,250,315,346,52,342,427,234,224,498,515,631,497,534,345,350,336,312,2
212,292,437,114,266,286,245,205,251,139,165,309,663,683,734,389,393,359,370,270,290,2
266,146,353,256,107,336,304,341,255,393,388,661,533,365,485,353,243,374,374,272,346,2
412,141,336,245,239,205,236,245,351,290,297,323,583,525,607,499,546,381,359,312,265,2
463,178,237,430,418,45,198,71,348,115,308,386,545,600,751,695,528,370,575,191,235,2
203,311,251,273,312,279,338,474,516,510,697,424,460,353,305,339,24,67,207,210,468,1
292,500,327,492,567,732,831,693,454,342,173,81,119,181,250,65,309,216,248,53,105,1
341,350,213,74,354,314,47,521,516,598,607,534,503,600,319,270,235,226,226,234,109,2
198,403,386,627,581,691,641,528,616,447,282,216,282,220,239,270,237,340,372,118,136,1
407,222,292,342,493,316,519,351,305,363,394,374,197,341,583,150,388,415,158,368,123,0
284,197,135,234,427,144,36,253,435,422,213,615,416,543,687,552,589,284,492,444,298,2
376,147,8,184,282,196,508,482,682,680,545,336,492,208,415,287,278,236,261,423,398,1
212,350,272,393,482,206,510,368,319,252,164,381,463,311,407,346,470,438,524,388,264,0
171,375,400,285,568,480,698,539,379,550,342,92,433,139,66,176,304,161,1,179,288,1
166,188,330,187,248,174,461,362,410,627,564,574,427,604,444,392,312,344,415,272,387,2
281,317,303,457,197,424,586,523,565,622,413,492,413,345,223,381,266,264,311,437,327,1
500,204,46,354,248,155,26,183,378,315,192,316,370,790,545,484,669,508,304,520,280,2
186,481,301,245,277,242,241,456,293,475,679,524,522,676,410,60,383,147,189,217,207,2
461,184,243,289,306,285,446,489,601,533,554,404,400,377,153,186,43,223,302,47,309,1
244,414,241,189,343,456,221,485,340,290,375,327,387,357,530,529,392,482,514,461,244,0
290,465,456,307,473,637,592,630,439,482,115,130,155,462,32,70,207,81,63,304,320,1
194,393,257,150,350,209,263,626,490,432,527,585,429,650,537,441,130,337,218,73,193,2
281,379,305,472,304,280,407,497,396,172,280,354,235,507,600,379,444,231,327,275,98,0
189,287,313,308,443,569,579,531,501,513,363,176,353,158,138,220,472,177,178,366,269,1
392,200,216,583,533,494,799,382,405,459,361,423,190,185,191,293,280,191,236,92,52,1
362,333,400,417,643,503,671,411,383,409,29,162,296,214,359,454,226,369,155,412,243,0
339,356,459,469,322,655,478,467,626,441,539,390,228,268,50,152,299,152,309,234,248,1
233,394,140,463,273,248,108,179,265,339,150,588,451,445,489,481,339,390,338,355,226,2
373,357,315,508,636,561,711,480,505,488,302,211,180,298,276,349,65,163,253,199,362,1
130,329,368,438,367,332,492,508,535,386,473,498,474,466,295,139,80,436,256,206,492,1
165,240,255,186,121,195,127,185,67,122,398,236,424,651,680,608,265,518,512,414,308,0
203,163,100,282,347,307,379,404,340,221,356,217,435,477,599,556,455,312,432,232,50,0
202,332,171,383,217,317,420,518,711,599,624,503,305,611,321,345,313,9,278,206,454,1
83,435,364,462,476,693,504,503,611,275,247,336,252,389,449,270,371,531,203,313,285,0
322,259,561,522,491,442,520,329,401,354,169,173,251,433,282,180,280,271,331,228,235,0
167,303,240,313,314,136,248,281,168,209,375,345,500,498,689,569,498,312,492,485,157,2
204,163,201,435,282,532,735,740,511,405,515,240,378,292,331,389,29,265,435,309,294,1
265,206,264,402,211,290,264,335,308,356,477,348,482,469,420,286,403,335,388,296,143,2
275,226,391,573,665,786,697,632,527,297,266,29,143,282,101,164,179,180,188,409,202,1
217,264,350,531,683,764,622,699,711,237,209,163,13,102,184,122,167,192,318,189,379,1
244,346,461,499,426,602,521,307,588,517,207,8,276,341,332,205,542,282,177,227,218,0
482,227,341,274,173,211,63,214,192,208,374,538,521,463,677,585,499,497,452,363,134,2
333,355,417,298,708,463,795,663,585,354,405,189,214,300,268,133,251,204,153,222,291,1
330,540,417,461,545,503,829,493,564,377,192,367,334,167,316,152,244,161,369,15,315,1
456,168,324,426,485,485,471,450,205,146,280,141,240,379,432,421,421,506,358,301,176,0
304,403,196,453,305,433,283,534,513,482,406,521,262,537,523,214,380,292,242,413,209,1
211,457,521,543,676,782,649,486,759,282,406,206,253,320,239,187,114,451,332,140,288,1
249,393,167,220,259,177,109,388,542,524,628,632,461,471,479,279,295,318,197,367,300,2
164,267,433,512,344,289,479,267,331,176,105,151,365,300,469,537,614,276,236,235,252,0
472,158,351,240,449,447,678,655,527,460,293,263,435,107,315,173,345,157,197,112,282,1
412,320,345,548,672,386,551,637,530,364,467,230,170,51,194,260,59,182,177,200,403,1
243,436,440,291,694,523,815,551,693,306,279,304,175,203,393,258,277,251,149,325,303,1
172,213,191,529,56,361,311,231,19,311,218,437,590,534,871,594,655,585,350,248,368,0
204,269,216,278,560,314,566,608,480,345,535,350,409,450,144,372,234,276,192,168,311,1
114,249,197,207,259,123,363,360,393,478,437,469,450,543,432,560,498,225,326,358,437,2
236,69,449,423,501,577,593,320,383,278,288,247,302,237,356,334,353,341,372,278,237,0
277,295,159,239,72,242,426,235,433,453,489,651,467,563,449,653,222,295,323,237,317,2
264,505,351,205,628,457,650,577,361,414,148,127,376,262,393,404,488,224,239,327,517,0
311,266,228,222,216,456,534,378,517,312,495,621,434,382,305,149,220,252,158,204,214,1
257,120,505,445,229,375,751,364,501,342,447,361,593,55,241,302,128,180,106,248,256,1
309,194,339,248,292,262,208,99,227,108,372,425,514,614,790,535,557,493,369,150,203,2
302,199,317,132,161,124,367,203,409,262,321,613,584,639,720,469,319,287,378,236,366,2
89,207,299,230,344,299,327,464,607,569,544,605,487,358,271,220,359,207,233,172,357,1
319,219,185,206,235,120,340,419,374,502,586,452,565,302,373,482,233,399,361,235,204,2
149,363,373,165,332,216,180,96,166,286,311,432,580,414,682,476,310,471,456,317,202,0
162,216,325,334,322,347,495,440,410,619,532,436,478,351,286,85,283,273,142,350,274,1
254,266,504,321,681,807,772,706,281,183,276,257,194,220,318,269,105,290,216,189,360,0
337,252,218,304,224,168,304,184,232,409,550,492,570,431,460,581,382,295,329,380,239,2
310,239,135,14,259,351,283,329,387,396,502,392,495,542,558,457,363,557,390,239,102,2
263,315,101,208,318,412,165,234,166,232,196,352,351,607,799,649,748,574,383,318,289,0
339,327,321,394,571,556,682,539,471,642,240,578,407,253,190,101,398,365,154,300,397,1
320,157,293,191,134,134,229,403,498,381,381,450,434,689,506,440,358,411,358,401,409,2
246,393,241,171,235,300,374,102,335,465,478,568,557,321,653,287,330,340,323,174,247,2
273,419,444,683,692,719,739,643,516,397,396,250,248,26,38,261,88,227,160,283,238,1
344,322,163,133,64,170,362,352,580,630,511,609,647,466,331,209,367,79,203,71,332,1
137,339,269,292,510,221,395,289,364,176,80,467,344,469,484,407,510,207,351,169,229,0
140,439,23,273,110,265,175,552,585,513,619,584,513,493,356,249,299,5,58,219,297,2
332,295,257,191,204,288,88,132,216,320,499,444,465,513,723,565,650,431,334,278,320,2
241,163,243,371,491,693,593,436,493,557,381,324,246,230,254,157,155,117,179,319,267,1
223,273,213,450,265,165,277,410,570,510,697,632,430,581,545,303,91,272,156,238,339,2
433,198,263,315,110,469,305,136,341,143,277,234,479,640,721,765,484,598,387,369,183,0
388,188,301,231,274,139,240,252,227,439,598,407,447,696,582,354,351,398,520,258,229,2
301,318,357,407,409,342,389,215,317,316,299,342,468,369,673,722,526,635,455,348,176,0
277,310,124,222,57,29,238,270,59,302,276,397,734,564,848,384,684,637,207,275,305,2
174,189,296,299,199,162,397,369,304,142,77,371,656,331,712,570,591,500,379,298,298,0
177,287,282,289,294,55,133,182,191,229,156,544,469,708,684,761,499,609,251,366,253,2
202,178,367,410,321,225,344,284,277,179,196,303,479,448,545,480,565,378,154,454,229,0
388,367,347,232,389,246,354,313,371,354,342,489,538,597,518,585,328,465,237,237,184,2
255,229,210,398,155,77,278,247,14,289,285,385,467,651,748,771,347,262,554,481,211,2
320,110,295,132,215,266,55,279,361,279,474,417,459,450,569,550,378,364,420,400,232,2
197,140,243,233,189,283,196,499,424,335,507,553,596,275,511,621,470,412,360,456,103,2
290,306,599,349,659,672,713,684,598,414,35,119,210,193,54,312,252,402,338,157,284,1
246,357,426,507,560,607,788,475,358,253,361,73,314,334,259,259,252,179,286,435,269,1
416,148,392,372,283,393,428,582,633,474,546,515,306,263,308,314,132,152,268,226,131,1
354,175,249,471,180,294,288,438,588,480,539,508,593,583,384,360,339,43,191,418,321,2
297,158,278,390,365,457,473,454,383,96,291,249,388,373,381,468,273,304,169,222,294,0
302,280,363,456,443,221,396,522,581,430,451,502,349,391,41,321,198,310,177,282,263,1
168,441,331,425,382,507,664,632,452,476,292,236,317,209,268,293,290,118,176,76,388,1
184,200,537,569,564,678,604,538,500,387,291,338,38,41,98,201,242,324,42,332,235,0
184,256,419,370,570,477,704,576,592,314,295,146,327,90,338,118,175,419,186,269,391,0
86,231,334,558,574,386,560,358,511,217,165,185,128,328,378,476,402,203,201,95,306,0
371,302,246,361,25,343,93,545,311,432,428,658,524,680,470,452,587,290,235,142,159,2
517,265,391,79,107,287,61,56,462,380,345,308,669,411,645,672,495,366,307,243,394,2
194,251,316,204,300,273,253,681,547,517,313,505,593,443,381,347,258,228,219,332,213,1
182,226,393,86,301,187,352,38,263,182,250,417,290,636,589,534,590,451,183,239,246,2
251,210,164,298,210,286,302,89,108,286,126,346,601,629,578,599,480,361,441,496,160,2
105,377,102,413,463,423,538,537,482,641,506,516,256,362,227,256,100,271,204,247,142,1
324,171,415,493,305,402,530,181,336,243,130,290,582,478,391,471,472,457,461,275,180,0
300,207,210,28,168,303,462,471,541,633,392,401,546,498,254,317,188,174,520,381,340,2
356,55,384,284,367,502,412,513,441,274,182,19,319,393,523,326,508,256,386,237,307,0
455,260,353,449,415,299,662,501,282,241,30,231,185,208,272,333,549,228,180,387,190,0
192,269,150,199,178,220,84,210,342,200,244,340,598,670,821,705,589,419,187,470,205,2
205,263,210,290,333,249,344,219,60,89,123,341,690,343,726,618,713,394,285,205,306,0
424,271,323,307,63,105,35,272,227,218,128,344,487,622,862,610,771,467,429,387,214,0
155,284,356,261,128,106,214,455,419,257,413,346,549,460,369,476,418,235,354,245,110,2
307,199,140,38,261,227,289,308,336,433,700,532,591,535,403,424,474,248,567,191,162,2
236,294,344,133,455,222,95,142,57,180,294,415,542,584,644,429,554,486,456,374,323,2
360,157,395,448,692,464,728,540,487,526,313,363,165,162,225,205,194,109,386,319,197,1
166,180,225,44,276,30,258,326,367,353,511,486,640,508,429,115,506,451,420,282,201,2
154,349,372,395,58,267,272,291,389,419,441,449,640,524,544,552,370,264,325,347,410,2
192,221,250,135,307,409,553,256,489,500,540,477,521,503,380,117,123,281,357,139,185,1
225,288,531,465,666,522,574,643,433,324,139,135,168,366,219,376,226,468,303,275,254,0
392,361,235,659,620,639,763,598,566,456,161,170,42,122,284,185,432,191,23,235,262,1
240,244,235,198,207,225,202,92,271,256,349,306,645,460,677,421,489,507,281,294,282,2
262,312,269,394,154,261,453,345,465,672,505,411,297,447,280,221,183,226,222,389,316,1
98,414,317,174,298,213,246,489,524,606,582,592,672,644,541,477,170,77,138,297,55,2
334,334,430,438,560,787,775,664,498,222,72,208,247,273,151,209,253,110,282,297,259,0
291,223,14,321,420,542,453,466,648,619,498,603,450,416,335,302,127,194,259,127,279,1
384,405,355,156,243,260,168,27,218,117,218,370,616,624,612,638,598,497,522,257,241,2
281,288,201,321,589,224,327,382,286,100,102,284,387,570,672,483,555,480,523,352,269,0
274,60,318,375,544,479,612,524,432,429,269,209,145,293,447,92,340,283,331,264,409,0
316,338,210,266,101,137,284,203,264,60,353,418,584,675,839,798,665,534,342,392,247,0
100,375,331,483,344,437,324,319,307,110,125,301,262,504,570,538,595,463,344,249,346,0
308,298,276,323,474,643,774,447,294,431,427,154,93,228,284,283,424,105,162,223,241,0
272,449,442,198,414,566,360,348,337,279,29,142,346,326,621,477,443,342,573,106,207,0
243,342,159,123,302,395,334,394,486,456,581,641,565,713,351,156,175,260,256,188,360,1
51,228,223,279,6,328,225,416,471,265,598,444,713,485,680,472,521,331,207,209,160,2
285,489,290,421,238,368,510,124,268,211,364,412,614,525,525,549,451,285,320,436,471,0
75,173,376,382,491,342,553,555,394,535,429,177,492,272,334,190,220,116,60,209,215,1
142,242,326,250,110,440,225,244,339,180,249,422,593,792,782,752,680,508,439,188,314,0
224,208,354,466,74,183,171,292,257,278,203,527,585,487,712,475,428,417,437,238,405,2
311,303,86,310,371,303,512,462,618,594,456,396,450,524,304,294,232,268,201,278,424,1
