X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,class
845,876,1522,1523,329,17,38,1258,65,35,24,0,1,0,3,205,299,63,674,647,2,329,12,38,688,293,239,1,0,0,0,0,0,0
864,892,1868,1869,71,7,17,429,87,36,48,0,1,0,571,72,256,7,596,647,2,71,4,17,710,554,50,1,0,0,0,0,0,0
802,838,1820,1821,572,89,193,1570,24,55,24,0,1,0,255,505,42,108,128,641,2,572,19,195,894,917,387,1,0,0,0,0,0,0
47,54,1861,1862,326,13,37,1238,42,41,24,0,1,0,183,81,263,56,765,647,2,326,11,37,707,236,220,1,0,0,0,0,0,0
535,561,1315,1316,165,7,32,990,89,49,24,0,1,0,1173,71,162,16,718,647,2,165,5,32,793,887,109,1,0,0,0,0,0,0
86,89,1532,1533,377,17,62,1314,38,42,29,0,1,0,331,411,157,55,615,647,2,377,11,62,797,184,309,1,0,0,0,0,0,0
150,146,1666,1667,143,7,23,839,70,36,29,0,1,0,517,3,227,15,718,647,2,143,5,23,732,569,78,1,0,0,0,0,0,0
831,861,1623,1624,196,8,27,962,60,28,29,0,1,1,181,116,295,35,817,647,2,196,8,27,689,180,135,1,0,0,0,0,0,0
781,819,1767,1768,476,27,61,1394,8,36,29,0,1,1,396,262,325,120,731,647,2,476,21,61,677,39,381,1,0,0,0,0,0,0
470,498,1776,1777,310,14,42,1233,46,44,29,0,1,1,1337,231,214,49,690,647,2,310,10,42,744,286,229,1,0,0,0,0,0,0
12,19,345,345,281,13,38,1201,46,42,13,0,1,4,36,294,237,51,733,647,2,281,10,38,723,402,213,1,0,0,0,0,0,0
151,150,506,506,319,32,71,1284,67,52,13,0,1,4,532,812,98,37,246,627,2,319,8,70,847,916,285,1,0,0,0,0,0,0
0,5,1238,1238,192,34,47,874,63,19,7,0,1,0,0,1104,159,38,229,647,2,192,8,47,795,91,216,1,0,0,0,0,0,0
936,966,220,220,183,20,22,994,69,43,52,0,1,21,12,192,490,37,442,647,2,183,10,22,608,514,133,1,0,0,0,0,0,0
715,746,327,327,326,33,53,1291,80,49,70,0,1,18,984,220,135,24,239,647,2,326,8,53,816,982,237,1,0,0,0,0,0,0
788,817,1330,1331,283,28,35,1171,55,41,13,0,1,4,301,143,256,51,345,647,2,283,10,35,710,200,199,1,0,0,0,0,0,0
896,924,13,13,213,18,25,1055,56,41,48,0,1,0,222,143,448,37,507,647,2,213,10,25,636,321,148,1,0,0,0,0,0,0
915,943,1769,1770,293,28,49,1221,78,33,48,0,1,0,102,302,151,26,293,647,2,293,8,49,802,394,223,1,0,0,0,0,0,0
324,345,854,854,84,14,20,542,86,49,72,1,0,2,902,610,344,12,407,647,2,84,6,20,672,742,78,1,0,0,0,0,0,0
938,967,1239,1239,242,41,48,1046,57,27,72,1,0,2,171,519,131,18,89,647,2,242,7,48,820,102,203,1,0,0,0,0,0,0
882,909,1733,1734,42,10,12,145,75,33,69,1,0,2,491,486,502,8,490,647,2,42,5,12,600,340,41,1,0,0,0,0,0,0
601,626,1738,1739,57,9,16,325,81,41,67,1,0,2,1248,266,289,6,442,647,2,57,4,16,692,575,47,1,0,0,0,0,0,0
891,920,43,43,76,12,11,329,57,19,71,1,0,2,400,461,769,34,761,647,1,76,10,11,411,96,67,1,0,0,0,0,0,0
503,526,1230,1230,41,7,10,185,85,42,72,1,0,2,1333,221,550,8,718,647,2,41,5,10,569,775,33,1,0,0,0,0,0,0
709,734,1533,1534,44,7,12,228,90,49,72,1,0,2,1006,433,502,8,718,647,2,44,5,12,600,850,41,1,0,0,0,0,0,0
13,19,1566,1567,390,45,65,1301,42,26,72,1,0,2,32,84,122,29,136,647,2,390,9,65,828,86,289,1,0,0,0,0,0,0
11,15,1655,1656,165,18,26,821,62,26,71,1,0,2,26,145,256,18,376,647,2,165,7,26,710,150,115,1,0,0,0,0,0,0
920,948,1763,1764,140,18,23,703,59,25,56,1,0,3,159,418,413,26,407,647,2,140,8,23,656,138,113,1,0,0,0,0,0,0
492,515,1806,1807,171,18,33,983,85,42,55,1,0,3,1342,493,203,20,376,647,2,171,7,33,755,708,146,1,0,0,0,0,0,0
794,822,1875,1876,132,18,26,796,78,43,54,1,0,3,808,541,256,20,376,647,2,132,7,26,710,617,115,1,0,0,0,0,0,0
265,283,1880,1881,37,12,6,267,110,62,56,1,0,3,749,380,448,41,790,491,0,37,11,5,224,1433,34,1,0,0,0,0,0,0
805,835,850,850,167,23,29,918,75,36,56,1,0,8,778,875,389,36,394,647,2,167,10,29,661,369,170,1,0,0,0,0,0,0
675,702,908,908,53,8,11,316,84,49,80,1,0,8,1096,259,559,12,733,647,2,53,6,11,560,757,43,1,0,0,0,0,0,0
785,811,653,653,50,8,14,275,89,40,17,1,0,8,361,232,389,11,507,647,2,50,4,14,661,724,40,1,0,0,0,0,0,0
458,481,708,708,39,8,9,124,71,28,17,1,0,8,1358,132,570,17,634,647,2,39,5,9,551,230,30,1,0,0,0,0,0,0
737,768,284,284,46,8,10,263,90,49,18,1,0,9,545,90,550,16,634,647,2,46,5,10,569,902,33,1,0,0,0,0,0,0
424,446,1404,1405,62,12,10,372,74,43,18,1,0,9,1329,105,620,30,569,647,2,62,7,10,515,592,45,1,0,0,0,0,0,0
883,911,770,770,52,7,11,235,77,35,51,1,0,8,372,74,528,10,718,647,2,52,5,11,585,353,37,1,0,0,0,0,0,0
715,745,830,830,56,7,10,356,89,44,51,1,0,8,942,242,620,20,817,647,2,56,7,10,515,805,45,1,0,0,0,0,0,0
890,918,866,866,322,41,59,1253,67,35,51,1,0,8,275,241,108,20,89,647,2,322,7,59,840,346,237,1,0,0,0,0,0,0
507,530,887,887,96,11,19,557,74,33,50,1,0,8,1368,284,389,14,527,647,2,96,6,19,661,371,74,1,0,0,0,0,0,0
34,33,791,791,37,6,12,135,85,33,58,1,0,8,90,380,448,6,690,647,2,37,4,12,636,555,34,1,0,0,0,0,0,0
927,956,964,964,49,13,13,129,63,14,59,1,0,8,125,693,520,13,430,647,2,49,6,13,589,92,52,1,0,0,0,0,0,0
931,959,1340,1341,42,10,8,112,61,20,59,1,0,8,105,92,670,13,596,647,2,42,6,8,478,94,31,1,0,0,0,0,0,0
936,965,1416,1417,75,12,12,353,67,19,60,1,0,8,81,465,636,30,723,647,2,75,9,12,505,122,66,1,0,0,0,0,0,0
920,947,1563,1564,173,19,27,911,71,33,55,1,0,8,153,139,247,20,359,647,2,173,7,27,715,269,120,1,0,0,0,0,0,0
343,360,1928,1929,67,13,19,414,89,36,59,1,0,8,947,896,389,13,430,647,2,67,6,19,661,648,74,1,0,0,0,0,0,0
662,685,280,280,49,15,17,108,49,13,74,1,0,19,1115,610,256,5,306,647,2,49,4,17,710,46,50,1,0,0,0,0,0,0
421,443,348,348,46,7,11,106,52,12,74,1,0,19,1119,461,559,12,773,647,2,46,6,11,560,59,43,1,0,0,0,0,0,0
322,342,243,243,20,6,5,70,70,33,73,1,0,13,895,221,642,8,769,647,0,20,5,5,347,363,17,1,0,0,0,0,0,0
290,305,522,522,191,22,30,1070,80,58,73,1,0,13,802,144,226,18,324,647,2,191,7,30,733,935,134,1,0,0,0,0,0,0
119,115,1044,1044,142,18,22,922,91,56,12,1,0,5,428,140,369,31,376,647,2,142,7,22,668,1109,98,1,0,0,0,0,0,0
118,121,1531,1532,560,133,202,1551,54,55,34,0,1,0,415,592,22,74,10,626,2,560,14,200,910,863,387,1,0,0,0,0,0,0
825,862,516,516,546,121,180,1521,9,50,28,0,1,0,148,548,50,89,30,633,2,546,16,174,888,619,387,1,0,0,0,0,0,0
526,563,69,70,510,123,173,1488,38,43,64,0,1,0,1378,1273,114,111,60,515,2,510,24,151,835,325,387,1,0,0,0,0,0,0
521,544,194,194,89,11,16,573,87,43,64,0,1,0,1371,131,457,13,527,647,2,89,6,16,630,762,64,1,0,0,0,0,0,0
830,859,154,154,29,9,6,90,79,28,19,0,1,2,93,221,653,24,665,647,0,29,6,6,354,351,23,1,0,0,0,0,0,0
61,83,440,440,819,285,308,1794,12,56,18,0,1,2,239,586,14,163,1,629,2,813,29,215,913,354,387,1,0,0,0,0,0,0
55,61,34,34,121,16,15,552,46,17,17,0,1,18,215,250,590,50,596,647,2,121,10,15,533,81,92,1,0,0,0,0,0,0
581,608,591,591,100,12,16,682,84,55,30,0,1,20,1045,67,517,29,569,552,2,100,7,15,591,966,67,1,0,0,0,0,0,0
535,561,733,733,68,11,19,477,96,45,30,0,1,20,1190,601,283,15,435,647,2,68,5,19,695,1062,65,1,0,0,0,0,0,0
748,780,1732,1733,249,17,31,1155,68,44,18,0,1,0,493,217,334,50,553,647,2,249,10,31,673,561,182,1,0,0,0,0,0,0
766,798,1782,1783,261,23,35,1194,82,49,19,0,1,0,427,187,235,43,371,647,2,261,9,35,725,770,186,1,0,0,0,0,0,0
602,629,1810,1811,277,34,38,1223,58,52,19,0,1,0,940,802,355,70,355,647,2,277,13,38,671,792,248,1,0,0,0,0,0,0
256,272,1829,1830,343,34,51,1292,53,49,19,0,1,0,839,398,190,56,313,647,2,343,11,51,767,416,274,1,0,0,0,0,0,0
34,43,161,161,434,43,68,1390,35,41,18,0,1,0,113,396,189,85,326,647,2,434,15,68,768,146,366,1,0,0,0,0,0,0
148,150,316,316,418,42,66,1387,62,41,17,0,1,0,522,93,144,57,247,647,2,418,11,66,807,342,321,1,0,0,0,0,0,0
792,823,28,28,193,16,21,895,40,26,19,0,1,8,319,167,531,56,659,647,2,193,11,21,582,99,137,1,0,0,0,0,0,0
840,871,125,125,38,7,6,125,77,26,20,0,1,8,41,34,602,30,817,647,0,38,7,6,324,275,25,1,0,0,0,0,0,0
384,403,1548,1549,236,26,28,1142,81,43,16,0,1,0,1216,274,439,57,385,647,2,236,11,28,644,676,179,1,0,0,0,0,0,0
654,681,397,397,121,16,25,786,93,43,72,0,1,4,1121,391,237,12,372,647,2,121,6,25,723,885,99,1,0,0,0,0,0,0
503,526,876,876,164,27,42,975,89,42,72,0,1,4,1333,539,119,8,158,647,2,164,5,42,831,798,144,1,0,0,0,0,0,0
606,633,989,989,95,13,18,628,90,44,74,0,1,4,1235,216,417,12,430,647,2,95,6,18,654,802,70,1,0,0,0,0,0,0
289,304,1617,1618,88,9,15,569,85,44,73,0,1,4,801,60,478,12,665,647,2,88,6,15,618,784,59,1,0,0,0,0,0,0
632,660,1670,1671,37,6,11,173,101,52,73,0,1,4,1170,513,528,8,769,647,2,37,5,11,585,1049,37,1,0,0,0,0,0,0
899,929,1719,1720,120,11,20,694,79,28,72,0,1,4,369,429,461,24,708,647,2,120,8,20,627,339,101,1,0,0,0,0,0,0
162,171,1008,1008,241,21,27,1081,40,43,47,0,1,9,495,306,478,48,519,647,2,241,12,27,618,177,185,1,0,0,0,0,0,0
612,640,365,365,471,55,100,1449,56,50,18,0,1,15,912,75,75,50,91,647,2,471,10,98,867,357,372,1,0,0,0,0,0,0
914,945,543,543,373,30,56,1276,37,25,51,0,1,10,110,267,171,42,350,647,2,373,11,56,785,80,294,1,0,0,0,0,0,0
193,210,654,654,102,15,14,593,61,44,53,0,1,10,582,97,559,26,495,647,2,102,8,14,560,355,69,1,0,0,0,0,0,0
877,906,1304,1305,559,126,177,1546,11,56,53,0,1,10,420,537,68,87,35,647,2,559,19,172,874,871,387,1,0,0,0,0,0,0
846,877,1415,1416,228,20,27,1140,79,55,51,0,1,10,653,280,452,42,496,647,2,228,11,27,634,789,173,1,0,0,0,0,0,0
717,751,1431,1432,149,20,25,929,77,51,47,0,1,10,933,647,478,37,442,535,2,149,10,23,618,867,138,1,0,0,0,0,0,0
828,858,1348,1349,98,14,16,575,74,44,16,0,1,0,78,183,495,30,460,647,2,98,7,16,604,400,71,1,0,0,0,0,0,0
789,817,538,538,190,22,31,1036,74,43,11,0,1,1,289,581,269,44,381,647,2,190,9,31,704,670,168,1,0,0,0,0,0,0
777,809,642,642,291,24,34,1206,58,42,14,0,1,1,349,162,327,57,407,647,2,291,11,34,676,315,207,1,0,0,0,0,0,0
959,991,184,184,151,22,27,473,14,14,76,0,1,7,5,347,247,18,324,647,2,151,7,27,715,16,120,1,0,0,0,0,0,0
885,913,229,229,182,22,31,1018,80,42,75,0,1,7,478,268,218,18,324,647,2,182,7,31,740,682,138,1,0,0,0,0,0,0
960,990,290,290,304,27,82,942,21,13,75,0,1,7,5,228,33,5,85,647,2,304,4,81,902,10,224,1,0,0,0,0,0,0
958,989,337,337,298,31,69,1083,36,15,76,0,1,7,15,229,61,8,94,647,2,298,5,69,879,42,219,1,0,0,0,0,0,0
959,990,383,383,126,10,29,452,29,20,76,0,1,7,11,343,176,8,490,647,2,126,5,29,780,36,101,1,0,0,0,0,0,0
908,938,459,459,320,33,44,1247,70,41,77,0,1,7,341,253,205,34,299,647,2,320,10,44,753,333,237,1,0,0,0,0,0,0
485,510,493,493,107,11,19,690,79,51,76,0,1,7,1293,329,440,18,626,647,2,107,7,19,643,748,85,1,0,0,0,0,0,0
906,938,546,546,435,61,84,1414,78,41,76,0,1,7,337,552,125,50,146,629,2,435,13,82,825,428,375,1,0,0,0,0,0,0
908,940,629,629,453,76,95,1440,81,43,75,0,1,7,330,457,99,44,57,647,2,453,12,93,846,531,379,1,0,0,0,0,0,0
911,942,715,715,289,35,41,1202,76,41,75,0,1,7,320,663,256,44,328,647,2,289,12,41,710,288,249,1,0,0,0,0,0,0
914,943,808,808,220,22,32,1082,80,36,76,0,1,7,323,343,256,29,381,647,2,220,9,32,710,395,172,1,0,0,0,0,0,0
862,890,914,914,239,24,29,1096,54,43,75,0,1,7,680,179,389,34,383,647,2,239,10,29,661,263,170,1,0,0,0,0,0,0
5,8,935,935,120,18,26,747,84,42,74,0,1,7,14,473,231,12,345,647,2,120,6,26,728,702,102,1,0,0,0,0,0,0
913,943,973,973,314,54,69,1251,67,42,75,0,1,7,315,1069,124,34,96,624,2,314,10,68,826,396,311,1,0,0,0,0,0,0
923,955,1184,1184,443,57,85,1427,52,44,75,0,1,7,250,659,132,55,221,647,2,443,14,84,819,604,380,1,0,0,0,0,0,0
10,17,1224,1224,209,26,31,1062,67,44,76,0,1,7,25,579,334,34,359,647,2,209,10,31,673,513,182,1,0,0,0,0,0,0
922,953,1251,1251,463,63,100,1439,58,44,76,0,1,7,262,518,104,50,131,634,2,463,13,97,843,259,384,1,0,0,0,0,0,0
9,13,1262,1262,209,20,30,1020,64,43,76,0,1,7,22,43,226,18,351,647,2,209,7,30,733,252,134,1,0,0,0,0,0,0
884,912,1266,1266,246,33,44,1143,75,44,77,0,1,7,493,292,154,18,189,601,2,246,7,43,799,507,186,1,0,0,0,0,0,0
879,907,1273,1273,437,48,87,1409,53,44,76,0,1,7,543,971,152,66,311,647,2,437,16,86,801,316,385,1,0,0,0,0,0,0
945,973,1292,1293,356,35,53,1286,52,42,76,0,1,7,111,335,184,39,305,647,2,356,11,53,772,193,282,1,0,0,0,0,0,0
900,931,1299,1300,257,22,31,1165,71,43,76,0,1,7,374,566,456,50,539,647,2,257,13,31,631,540,216,1,0,0,0,0,0,0
583,609,920,920,106,15,22,631,74,41,71,1,0,4,1297,383,279,12,388,647,2,106,6,22,697,397,87,1,0,0,0,0,0,0
894,925,1138,1138,630,207,264,1601,21,50,71,1,0,4,381,502,7,67,3,645,2,630,16,214,915,270,387,1,0,0,0,0,0,0
781,808,475,475,56,13,17,371,96,44,15,0,1,0,365,92,213,7,293,647,2,56,3,17,745,936,40,1,0,0,0,0,0,0
78,80,1736,1737,163,16,25,937,70,44,18,0,1,0,304,103,277,30,407,647,2,163,7,25,699,600,111,1,0,0,0,0,0,0
290,307,889,889,154,16,22,901,69,44,76,0,1,2,799,331,462,29,522,647,2,154,9,22,626,598,121,1,0,0,0,0,0,0
706,731,1089,1089,69,12,19,489,100,51,75,0,1,2,1026,275,233,5,359,647,2,69,4,19,726,1105,55,1,0,0,0,0,0,0
325,348,1577,1578,562,176,224,1512,19,43,19,1,0,5,1037,774,4,64,2,638,2,562,12,208,916,45,387,1,0,0,0,0,0,0
834,860,1817,1818,161,13,49,873,55,43,17,1,0,8,78,240,61,7,293,647,2,161,3,49,879,297,119,1,0,0,0,0,0,0
157,161,256,256,203,24,30,1038,56,42,16,0,1,0,551,394,293,43,358,647,2,203,9,30,690,391,162,1,0,0,0,0,0,0
30,31,1494,1495,95,14,17,586,79,43,16,0,1,0,98,133,438,24,407,647,2,95,6,17,645,597,67,1,0,0,0,0,0,0
298,314,1874,1875,90,12,13,598,74,52,18,0,1,0,938,157,576,36,646,647,2,90,8,13,547,839,65,1,0,0,0,0,0,0
324,349,1931,1932,579,182,223,1568,28,50,17,0,1,0,1038,618,9,78,4,647,2,579,14,209,914,725,387,1,0,0,0,0,0,0
40,46,1934,1935,366,31,52,1304,40,44,16,0,1,0,151,194,187,57,342,647,2,366,11,52,770,187,279,1,0,0,0,0,0,0
240,256,1935,1936,263,18,32,1150,58,43,16,0,1,0,789,308,375,57,576,647,2,263,11,32,664,309,198,1,0,0,0,0,0,0
225,241,1937,1938,346,41,60,1294,68,43,17,0,1,0,734,351,128,43,188,647,2,346,9,60,822,395,271,1,0,0,0,0,0,0
59,65,1938,1939,234,25,30,1120,65,42,17,0,1,0,234,273,362,50,372,647,2,234,10,30,670,504,176,1,0,0,0,0,0,0
18,21,484,484,152,22,27,976,92,58,17,1,0,4,55,143,222,24,293,647,2,152,6,27,736,1147,105,1,0,0,0,0,0,0
16,21,695,695,122,17,18,830,89,58,16,1,0,4,49,219,493,37,423,647,2,122,8,18,606,1178,91,1,0,0,0,0,0,0
19,23,710,709,105,24,25,743,87,58,16,1,0,4,59,887,277,30,300,647,2,105,7,25,699,1171,111,1,0,0,0,0,0,0
16,21,1067,1067,233,19,33,1180,81,64,15,1,0,4,49,135,230,37,392,647,2,233,8,33,729,1152,161,1,0,0,0,0,0,0
14,18,1109,1109,240,45,55,1214,96,65,16,1,0,4,42,801,120,30,65,612,2,240,7,54,830,1337,221,1,0,0,0,0,0,0
13,16,1127,1127,91,16,23,714,110,63,16,1,0,4,39,757,256,24,372,647,2,91,6,23,710,1423,92,1,0,0,0,0,0,0
15,19,1195,1195,140,18,21,959,93,65,16,1,0,4,47,92,403,30,376,647,2,140,7,21,658,1310,95,1,0,0,0,0,0,0
17,21,1210,1210,131,16,20,926,91,65,16,1,0,4,51,107,422,30,407,647,2,131,7,20,651,1356,90,1,0,0,0,0,0,0
725,763,1485,1486,109,31,16,807,106,58,79,1,0,8,973,1034,586,71,478,477,0,109,17,13,313,1355,128,0,1,0,0,0,0,0
7,14,16,16,42,11,5,236,98,49,14,1,0,4,21,92,478,51,788,647,0,42,10,5,243,1077,31,0,1,0,0,0,0,0
36,45,51,51,208,31,30,1097,90,49,14,1,0,4,130,682,551,78,398,466,2,208,14,24,568,844,188,0,1,0,0,0,0,0
38,43,71,71,342,39,55,1260,61,34,14,1,0,4,139,392,163,51,245,647,2,342,10,55,792,145,272,0,1,0,0,0,0,0
172,182,91,91,70,17,10,445,89,35,14,1,0,4,598,435,692,51,553,647,0,70,10,10,372,702,61,0,1,0,0,0,0,0
137,138,118,118,49,18,14,348,99,55,14,1,0,4,482,1222,642,64,634,464,0,49,12,11,347,1194,78,0,1,0,0,0,0,0
38,52,145,145,518,124,166,1495,70,33,14,1,0,4,139,1071,83,110,37,614,2,518,19,154,859,268,387,0,1,0,0,0,0,0
133,160,164,164,550,164,155,1533,86,44,14,1,0,4,469,1215,217,203,79,522,2,550,39,132,741,732,387,0,1,0,0,0,0,0
64,88,181,182,375,87,53,1373,94,52,14,1,0,4,251,1280,595,182,339,489,2,375,33,45,531,1150,385,0,1,0,0,0,0,0
76,82,195,195,329,52,58,1273,82,44,15,1,0,4,296,727,180,57,155,545,2,329,11,54,776,545,286,0,1,0,0,0,0,0
0,12,212,212,301,51,55,1197,69,35,12,1,0,4,0,1151,262,86,279,511,2,301,15,49,708,167,314,0,1,0,0,0,0,0
89,90,235,235,187,31,35,1047,88,42,14,1,0,4,343,954,265,51,315,593,2,187,10,34,706,790,197,0,1,0,0,0,0,0
10,16,247,247,121,14,22,419,37,10,15,1,0,4,31,495,508,43,619,496,2,121,9,19,596,34,103,0,1,0,0,0,0,0
3,10,264,264,266,33,41,987,38,15,15,1,0,4,10,610,222,50,299,647,2,266,10,41,736,41,224,0,1,0,0,0,0,0
16,19,287,287,57,10,12,258,76,27,15,1,0,4,49,297,543,24,596,647,2,57,6,12,576,246,48,0,1,0,0,0,0,0
136,130,296,296,42,14,18,232,99,43,14,1,0,4,479,852,256,11,324,557,2,42,4,17,710,1053,50,0,1,0,0,0,0,0
30,32,318,318,40,15,14,167,87,49,14,1,0,4,99,1125,552,30,426,546,2,40,7,13,567,720,58,0,1,0,0,0,0,0
60,72,329,329,331,47,41,1228,68,20,15,1,0,4,237,476,514,97,336,468,2,331,17,33,593,135,266,0,1,0,0,0,0,0
153,152,342,342,68,20,20,467,95,44,16,1,0,4,540,664,438,24,315,491,2,68,6,17,645,959,67,0,1,0,0,0,0,0
147,146,356,356,55,12,13,342,88,42,16,1,0,4,520,942,576,37,646,647,2,55,8,13,547,763,65,0,1,0,0,0,0,0
159,172,367,367,100,36,20,700,96,51,14,1,0,4,556,995,536,105,423,345,0,100,18,11,279,1101,113,0,1,0,0,0,0,0
359,381,385,385,143,26,18,802,79,28,14,1,0,4,1143,850,634,78,473,647,2,143,14,18,506,334,145,0,1,0,0,0,0,0
25,30,391,391,43,13,11,104,60,13,14,1,0,4,83,1190,769,51,733,647,1,43,10,11,411,73,67,0,1,0,0,0,0,0
9,13,405,405,60,13,10,96,27,8,15,1,0,4,28,147,620,30,507,647,2,60,7,10,515,20,45,0,1,0,0,0,0,0
166,177,413,413,61,21,11,402,94,44,15,1,0,4,579,1076,642,64,519,647,0,61,12,11,347,876,78,0,1,0,0,0,0,0
128,136,437,437,440,91,92,1430,84,41,15,1,0,4,449,1160,192,117,136,537,2,440,20,84,765,680,387,0,1,0,0,0,0,0
76,193,450,450,638,353,253,1652,83,58,16,1,0,4,294,1319,659,301,58,86,2,638,105,139,486,1172,387,0,1,0,0,0,0,0
295,319,461,461,301,63,39,1217,74,28,15,1,0,4,935,976,578,123,307,464,2,301,21,31,545,270,293,0,1,0,0,0,0,0
34,34,469,469,45,11,11,147,75,22,14,1,0,4,115,491,559,24,527,647,2,45,6,11,560,229,43,0,1,0,0,0,0,0
713,744,478,478,60,17,12,427,99,49,14,1,0,4,602,999,698,57,615,535,0,60,11,11,375,1139,73,0,1,0,0,0,0,0
219,236,489,489,41,10,6,183,91,41,15,1,0,4,723,377,528,50,817,647,0,41,10,6,273,764,37,0,1,0,0,0,0,0
1,11,498,498,330,48,55,1022,24,8,14,1,0,4,3,921,219,71,255,556,2,330,13,52,739,12,303,0,1,0,0,0,0,0
193,215,507,507,109,26,15,681,85,35,15,1,0,4,669,590,527,97,610,418,0,109,17,10,272,624,100,0,1,0,0,0,0,0
285,302,518,518,64,22,11,395,85,36,15,1,0,4,913,407,769,43,381,529,1,64,9,10,411,649,56,0,1,0,0,0,0,0
