 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ?), Operating Profit Per Share (Yuan ?), Per Share Net profit before tax (Yuan ?), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability,BankruptClass
1199,1710,1269,2506,2524,1285,2320,2367,2055,1780,1469,1116,2546,449,0,874,881,882,501,627,772,356,607,2846,5423,2346,2339,1683,994,1507,1161,1218,770,928,2407,2235,1863,2344,3534,2106,1640,1197,2139,527,51,817,838,293,99,77,1845,983,4314,780,145,97,50,853,206,575,2337,6538,3292,179,765,913,4055,4694,3430,4368,5828,4727,790,2777,2973,3745,179,913,3337,2970,2973,2233,2963,5986,0,3860,6658,1953,5135,3672,3044,4884,4786,0,3782,0
585,1387,664,3204,3211,1258,1717,1881,1605,661,1849,1078,2741,600,0,659,666,667,350,647,525,350,526,1173,1004,2291,2282,195,1328,1736,1175,1780,2006,1734,3058,1925,1639,2568,2338,1681,1353,1148,1537,1173,42,270,3347,1948,9,68,1274,956,4750,1494,650,550,1024,1821,1924,1371,2980,5413,4107,740,1368,1641,3415,2102,2054,6221,1003,5214,2315,2789,3500,4755,740,1641,2388,3283,3379,2758,3240,4491,0,2702,5555,2204,6170,2520,2617,5654,5556,0,4209,0
1368,1420,1364,1894,1916,1839,1621,1542,911,1640,479,0,2321,476,1266,553,560,561,505,685,1314,459,550,3876,6116,5462,5474,5516,1477,1310,1796,1945,1023,1171,3158,3750,2877,1330,1991,3041,1170,2053,1719,2733,83,431,2070,3,151,156,3968,1753,5628,1144,1415,1572,2833,1041,2583,4074,2821,6308,3393,1691,1159,4488,2633,1587,2361,4390,275,5072,1111,3589,1498,4377,1691,4488,2505,1469,1655,3118,1364,5690,0,2507,5682,1476,3946,2598,4955,5705,5607,0,1871,0
1033,1093,1006,982,1000,1190,1253,1239,1141,1268,115,1059,3195,606,0,604,611,612,437,716,1378,350,478,3534,5143,4635,4636,4552,1371,1281,1508,2061,2731,2455,3737,2338,1941,2266,1336,1697,1131,1147,1216,2335,97,482,1799,35,105,155,3351,961,5421,2551,1783,1898,3386,2626,3709,2671,3935,4827,4396,1547,2363,2794,1747,1667,1493,3732,6184,5015,2313,3603,4441,5390,1547,2794,1374,4655,4646,3951,4563,3638,0,1492,5111,2607,1745,1480,3187,54,6196,0,3639,0
1672,1854,1837,1497,1501,1906,2199,2343,1450,2303,2916,0,4806,773,0,818,825,826,580,760,958,438,611,4191,5029,5440,5451,5470,973,2347,1789,2097,4827,4393,2817,1758,1515,2692,1131,1907,118,1878,2168,1384,68,366,2494,124,2444,100,3338,1603,6253,3031,1288,957,1050,5254,3008,413,4627,3233,5416,174,2684,606,3641,4116,5626,1203,211,5194,3838,3293,1017,6218,174,606,3074,1133,1027,4390,1272,1329,0,4484,4623,6294,3035,4114,2408,4394,4296,0,4418,0
1808,1773,1642,3097,3103,2239,2149,1929,1018,1936,1498,971,4134,380,1852,670,677,855,552,808,1262,526,658,2417,2470,2006,1993,1921,1038,2215,994,2525,3213,2765,2224,2063,1746,2461,3036,1851,906,2543,2353,2105,99,438,2027,2349,271,143,3485,1932,4834,2557,1428,1349,116,3174,244,1707,4741,4490,4661,896,2294,1952,3314,2228,2654,6172,6137,4989,2501,2776,2946,4154,896,1952,2868,2941,2937,4782,2943,3087,0,4020,5424,2495,6031,3780,2799,4403,4305,0,4027,0
1325,1577,1306,1710,1723,1434,3580,3432,2438,3275,665,1050,1685,423,192,896,903,904,514,592,123,347,575,4135,5542,5459,5471,5730,1458,1859,1574,1351,828,1330,2411,952,873,3334,4059,1334,301,1128,1898,198,13,517,1633,2235,2397,18,2035,1069,6163,821,323,166,2611,1384,4130,883,1950,6427,2087,1336,789,894,3392,4531,5517,436,4468,3296,1113,1787,2304,3140,1336,894,1435,2823,2693,1788,2857,5921,0,3385,6136,979,3555,2899,1278,5021,4923,0,5548,0
2219,2091,2028,2882,2896,2383,2611,2374,1418,2403,1135,0,3796,537,1528,1031,1037,1039,650,740,1380,573,749,3002,3959,4074,4081,4283,1451,2285,1615,1907,4445,2899,2164,1427,1271,2936,3627,1513,813,2831,3057,1958,84,480,1811,2252,170,118,2249,1656,3074,3702,1676,1994,638,4246,1457,1189,4427,4160,5736,1012,3129,1290,2728,5748,3753,5429,658,5135,3865,3181,2453,3597,1012,1290,2253,2415,2192,3878,2523,1726,0,5127,3940,2969,5739,4650,1955,4502,4404,0,4871,0
1620,1569,1640,716,719,1368,1509,1465,1270,1495,2630,976,3485,519,633,689,696,697,512,854,2636,425,573,2382,3177,2914,2915,2280,1389,1944,1273,2460,1301,1237,3185,3630,2801,1406,604,3349,3,1782,1886,2632,153,859,765,797,132,307,5216,1747,6539,1399,1477,1540,584,1347,662,3664,4232,5985,3490,1389,1448,4138,3463,2623,3123,2889,5619,4476,1070,2945,3053,6254,1389,4138,3487,3131,3109,4993,3138,5351,0,2855,4734,996,1110,3012,4806,5794,5696,0,2020,0
1295,1279,1188,3572,3580,1811,1722,1513,1039,1569,1999,0,2645,450,2332,721,728,729,485,648,1042,433,553,2099,1681,1442,1433,1256,1380,1398,902,1632,3844,3255,2444,1388,1243,2964,1317,852,3,1837,1741,1893,79,446,1986,1888,49,110,302,1027,1908,3342,1796,2050,3947,3636,4543,1783,3307,4356,5309,1927,2825,1761,761,2233,1834,6630,821,5183,3597,3885,4328,5619,1927,1761,583,4311,4636,2821,4109,2376,0,2421,2802,2488,6602,2221,1900,4626,4528,0,4926,0
1254,1313,1207,3122,3133,2008,2242,2004,1398,1948,1628,1070,5240,0,1866,1021,1027,1029,505,734,577,414,575,1505,2142,2113,2102,1821,1401,1400,1171,1723,5437,5475,1173,1980,1680,2527,1970,8,3,1689,1902,280,36,762,938,220,2438,55,2501,1471,5913,2433,790,336,1624,6151,5142,81,3864,1928,4558,21,2140,144,0,3982,2697,3565,1028,825,4707,3700,733,4615,21,144,3,1300,1240,3644,1424,698,0,2673,6160,3735,6063,2505,2691,2009,1911,0,4135,0
1630,1654,1541,1814,1836,1714,1880,1745,1302,1779,512,1077,3902,669,1456,934,940,942,569,851,2039,490,648,1958,3924,3956,3962,4300,1411,2121,1390,2447,4382,4578,2030,2130,1790,2417,2206,841,3,2280,2436,2988,116,248,3574,292,276,184,3332,1437,4253,4991,4608,4023,4815,5127,4834,2634,4880,2599,3655,1768,4766,2683,0,3485,3190,4894,932,470,4004,3916,5442,4360,1768,2683,3,5853,5764,5060,5771,1793,0,3847,1773,4231,3782,3636,2886,4330,4232,0,3940,0
1773,1640,1826,2918,2925,1953,1728,1716,903,1748,1461,0,3905,649,42,733,740,741,546,922,1769,522,592,4060,5914,5407,5415,5434,1330,2141,2037,2504,1270,1690,3109,3811,2917,1290,446,2964,329,2517,2023,2038,84,581,1399,199,3,184,523,1094,3318,1298,1562,1147,1981,1824,2201,3145,4476,5669,2339,875,1354,3856,3672,2976,2290,6215,6087,5040,1209,3371,3226,6473,875,3856,3671,3270,3239,5372,3304,5391,0,3181,3156,2165,5783,3509,5023,5765,5667,0,1803,0
1441,1359,1309,2051,2071,1902,1518,1387,753,1548,598,0,2369,545,2316,909,916,917,501,915,1777,512,544,2915,3993,1589,1673,3105,1445,1317,1221,2438,500,1430,3571,5034,3788,419,383,4107,3,2441,1677,1931,55,445,1987,246,8,154,1925,1300,5558,447,3430,2397,5584,1391,4199,5935,3073,363,722,2642,357,6227,2733,3644,1878,3480,3606,3097,428,1731,4314,5588,2642,6227,3517,3995,3682,4104,4421,6291,0,1867,6291,1233,4300,2030,6342,6059,5961,0,484,0
1736,1598,1533,1281,1289,1671,1546,1444,995,1517,2283,0,2477,656,2130,636,643,644,532,883,2869,569,603,3956,4458,2688,2686,2548,1369,1825,1457,2781,630,1280,3432,5062,3810,397,259,4120,3,2808,2108,4569,123,297,3081,235,115,373,3551,1448,5563,635,2920,2807,869,1121,519,5889,3206,68,2025,2511,590,6233,2970,2304,2386,4372,6149,5073,684,3160,3043,5997,2511,6233,3847,3086,3040,4330,3144,6148,0,2536,1572,1226,2508,3186,6371,5940,5842,0,455,0
593,701,619,2283,2301,905,455,445,228,455,1541,1080,3123,636,0,375,382,383,338,663,320,324,369,1905,91,1719,1707,1383,1304,392,1171,1862,881,1331,258,3823,2923,1284,1716,3002,1274,948,697,1047,28,270,3337,2244,2405,54,1045,818,5487,861,376,220,703,1184,1548,1190,2738,6407,2711,173,860,2230,4012,1039,794,4499,1125,5313,993,3419,3637,5133,173,2230,3709,3264,3225,3038,3288,5865,0,761,5261,1793,4741,704,5035,305,207,0,1791,0
1911,1639,1818,3334,3343,2255,2186,1984,1036,2076,1718,1056,3971,588,1638,786,793,794,557,814,1065,502,621,2321,3029,2399,2390,2428,1413,1703,1248,2241,592,1471,2515,1839,1578,2629,520,1292,3,2363,2242,939,73,420,2135,691,2345,109,783,1226,4433,662,1018,431,1309,1573,1791,2490,5041,196,826,2062,660,2475,2673,4537,2561,6086,5944,5012,674,3317,2441,6452,2062,2475,1403,2452,2334,5081,2532,6188,0,3714,2292,2112,6337,3424,2504,4630,4532,0,4322,0
2405,2136,2214,2077,2100,2336,2519,2302,1355,2247,130,1092,5370,834,1498,867,874,875,601,986,1230,541,705,2932,2998,4214,4213,3888,1419,1871,1640,2758,5134,4535,1995,361,350,3857,1337,155,3,2646,2812,1872,99,522,1617,1970,80,117,2988,1843,5529,4676,2176,2660,4258,5227,5294,859,6685,3802,6119,5027,3482,720,0,4768,5220,3140,452,5105,4174,3827,2220,5948,5027,720,3,2073,1334,6527,2302,1006,0,5381,1242,5539,4347,4473,454,3851,3753,0,6372,0
1559,1645,1495,1166,1210,1317,2124,1964,1902,1826,217,1022,4353,709,1357,756,763,764,518,799,1000,364,605,2523,1930,4362,4363,3364,1353,1942,1388,2415,4343,3117,2687,1756,1513,2694,2059,1200,643,1270,2128,2639,69,236,3717,2211,45,106,1711,993,4339,3844,1453,2269,343,3533,734,1465,5035,4609,5970,951,3405,1658,2191,3412,3764,3083,1825,5181,4417,3066,1335,4958,951,1658,1834,1368,1255,5005,1523,1834,0,3591,2342,3661,2211,3320,2404,5226,5128,0,4422,0
324,397,342,810,814,1235,807,786,464,795,2847,965,1108,727,0,275,282,283,114,459,2830,381,142,3902,5826,927,920,1431,921,684,643,841,308,407,309,5350,4051,156,280,4207,1844,1421,140,4186,143,1044,516,149,373,485,4606,1102,5409,147,2596,2934,362,572,116,6594,1207,323,1981,4076,91,6663,681,454,721,6085,5660,4931,411,2839,1912,4358,4076,6663,1375,1439,1896,950,728,6501,0,373,4115,828,1333,153,6664,354,256,0,162,1
828,1141,867,915,923,815,960,936,1082,647,525,0,842,791,0,101,108,109,327,446,656,300,434,5408,4598,370,328,4099,1398,682,969,918,45,262,3767,5402,4098,109,41,4246,3,780,983,3412,43,535,1559,85,2388,178,1597,738,6096,47,398,315,492,194,275,5748,1032,564,1121,1418,31,6555,3789,104,1165,3353,52,5023,66,3243,4001,6549,1418,6555,4031,3611,3342,744,4278,6771,0,1192,2936,366,1578,793,6717,52,6194,0,109,1
1074,1293,1115,2914,2921,1583,1294,1268,831,1206,1618,1074,2038,714,0,321,327,328,417,717,1577,429,493,1837,4312,4790,4794,4784,858,1351,2547,2038,151,580,3669,5236,3954,253,152,3945,1187,1807,1276,2564,69,600,1337,333,61,243,1580,1102,4261,113,1530,923,1148,566,728,5827,2474,553,817,1994,92,6375,1588,436,1550,6169,6182,5191,231,3288,2758,5158,1994,6375,1762,2761,2826,3137,2597,6663,0,1557,6203,1429,5779,1570,6549,6234,6136,0,277,0
1655,1766,1661,1057,1072,1464,1694,1650,1371,1715,2892,969,2433,571,505,734,741,742,569,687,2313,439,616,2295,2473,2838,2839,2927,1451,1572,1313,1630,2051,2577,2733,2718,2195,2012,2858,2570,3,1867,2194,2521,147,517,1634,790,520,241,3682,1262,3614,2236,2878,2279,239,2931,252,3697,3113,4201,2187,2401,2153,3672,2487,3351,3591,4023,5967,4973,1546,2784,2630,3927,2401,3672,2381,2368,2366,3174,2397,4442,0,3857,5850,2842,1933,3821,3683,5326,5228,0,3143,0
1276,1298,1310,1346,1354,1012,1530,1498,1668,1568,698,0,2819,625,260,944,950,952,493,680,1339,316,534,1976,20,2689,2687,2679,1431,1632,1248,1894,3231,3767,2400,978,898,3309,2468,513,3,882,1597,1223,92,417,2155,862,170,118,2177,833,3777,2919,2912,1992,4325,4302,4581,2289,4179,2495,1850,4922,2302,1932,0,3220,2308,4488,162,5374,2858,3919,1584,4552,4922,1932,3,1445,1068,3202,1696,3065,0,2467,1470,3647,2664,2211,1315,5022,4924,0,5511,0
1431,1408,1458,809,813,1424,1377,1346,1072,1413,2673,0,2184,583,618,663,670,671,498,677,3210,500,541,2467,2623,2397,2388,3623,1369,1017,1248,1431,3031,2778,3204,2996,2380,1827,2472,2488,277,2347,1654,4071,258,570,1426,715,847,438,3837,1249,2165,4149,4519,4525,428,3495,337,4656,2924,4008,3643,3579,4323,4475,1172,2541,2104,5471,5850,4821,1712,2753,2984,3998,3579,4475,1499,3025,3020,3030,3024,3293,0,2483,5057,3558,1331,2455,4033,5809,5711,0,2793,0
1056,1655,1030,2530,2549,1242,2231,2266,2021,1272,1508,1088,3098,496,0,809,816,817,444,644,768,351,595,2784,2187,2731,2729,854,997,1618,1318,1353,1018,1222,2765,2942,2345,1862,3690,2775,1682,1161,2043,474,48,836,805,364,93,80,2117,970,4669,865,148,79,44,1232,226,388,2415,6256,2961,59,852,799,4115,3564,3099,4543,5817,4748,908,2600,2965,3645,59,799,3878,2964,2965,2444,2962,5696,0,3480,6667,2091,5175,3543,3963,5314,5216,0,2863,0
838,857,906,3150,3153,1442,818,829,407,937,1790,1072,2269,488,0,478,485,486,404,642,516,364,419,2309,5360,541,536,4130,1501,644,687,1749,771,935,206,3559,2750,1457,2306,3130,711,1267,906,1528,43,383,2375,2176,7,73,1262,1023,4795,820,513,540,1785,775,2279,2535,2441,6542,3571,632,817,3259,3861,1321,1297,5717,1502,5193,850,3676,4774,4600,632,3259,3608,4135,3998,2594,4199,5984,0,1109,5595,1678,6103,1066,4716,288,190,0,2110,0
1128,1236,1109,1768,1784,1610,1456,1342,964,1370,557,0,2155,512,2381,508,515,516,459,638,1108,409,516,1366,1732,1242,1233,1064,1373,1037,1089,1670,2453,2095,3527,3846,2935,1272,1602,2962,1199,1651,1464,2876,69,331,2773,1963,89,138,3740,1433,5927,2198,1421,1532,2166,2189,2642,2529,2293,5129,4431,530,2475,3410,3327,1638,1804,4135,793,5177,2605,3492,1772,5041,530,3410,3411,1826,1968,2447,1733,3965,0,1826,5551,2260,3687,1852,5063,5977,5879,0,1763,0
1172,1203,1136,1020,1038,1259,1345,1331,1210,1389,86,1050,3273,686,0,619,626,627,463,655,1346,361,502,2433,5175,5602,5617,5397,1360,1493,1368,1732,4867,4268,3402,1952,1658,2549,1702,1242,1082,1245,1348,2367,98,457,1929,110,115,152,3394,1026,5401,3918,1627,1911,2709,4839,4291,803,3155,3934,5963,332,3572,1076,2690,1895,1892,3418,6165,4965,3476,3453,1867,5358,332,1076,2297,1660,1539,2952,1787,1287,0,1880,4870,4009,1844,1835,2655,6042,5944,0,4171,0
1274,1357,1378,729,732,1083,1459,1535,1522,1182,2914,0,4084,689,0,736,743,744,430,691,772,333,510,476,804,1216,1208,867,1354,1321,1048,1733,4557,4406,3287,1467,1305,2902,1201,1657,3,1020,1420,1125,59,329,2790,268,2427,84,3033,863,6186,2968,1598,1028,1277,5243,3093,564,4077,2728,4239,345,2525,719,3346,2445,2741,1636,685,87,3966,3361,3331,6104,345,719,2566,3260,3388,3535,3203,1606,0,2281,4385,755,1138,2129,2006,6033,5935,0,4820,0
1695,1782,1470,3283,3288,2494,2358,2056,936,1825,1565,1070,3619,394,2112,683,690,763,529,778,1193,567,678,3031,3792,3489,3481,2310,1549,2016,1469,2394,1935,1849,2399,2792,2244,1963,2668,2184,1039,2794,2572,2032,82,394,2297,2321,174,133,3401,2113,5313,1655,1136,1009,132,1980,233,2241,4071,5329,3748,823,1617,2675,3646,2067,2701,6092,5690,5018,1768,2830,3084,4434,823,2675,3363,3078,3085,4378,3068,4576,0,4052,5521,2241,6273,4040,3775,4501,4403,0,3051,0
1330,1622,1329,1462,1469,1220,3605,3466,2453,3312,596,1065,1556,460,0,925,931,933,519,590,130,342,581,1918,1221,3400,3394,3261,1477,1961,1376,1341,558,1007,2407,1163,1058,3149,4395,1516,515,1091,1942,193,13,545,1517,2235,2410,18,2150,959,5996,655,459,208,2674,1170,3742,1486,1839,169,1512,2019,662,1438,3121,4545,5278,701,4719,3695,434,1824,5038,2625,2019,1438,1314,3519,3826,1742,3400,6225,0,3505,6146,694,2956,3061,1572,5075,4977,0,5254,0
1757,1698,1648,2862,2873,2105,2243,2028,1295,2099,1333,0,3092,493,1670,970,976,978,570,714,1163,488,642,1794,1914,1853,1847,1836,1432,1458,910,1577,3339,1982,2498,1665,1450,2757,3831,1764,769,2264,2395,1858,72,411,2186,2217,243,101,1862,1393,2611,2973,1754,1974,2475,3131,3155,2192,3922,4570,4945,1951,2600,2165,2388,5223,2834,5612,1434,5295,3556,3569,5052,3223,1951,2165,1905,4925,5095,3511,4748,2942,0,3791,3864,2627,5709,3441,2273,4949,4851,0,4553,0
1982,1855,1948,954,970,1692,1744,1676,1186,1726,2581,976,3137,553,818,780,787,788,600,852,2687,548,666,4066,5293,4919,4920,5323,1438,2044,1591,2215,730,846,2768,3500,2715,1492,637,3151,3,2685,2561,2671,154,898,703,494,151,295,5252,2465,6528,798,1343,1567,899,831,806,4518,4145,6571,3238,2494,791,4637,2936,3629,4483,2538,5835,4735,764,3106,3263,6025,2494,4637,2828,3505,3466,4820,3540,6031,0,4105,4673,496,1670,4378,4639,5350,5252,0,2187,0
1714,1453,1539,3564,3572,1982,1978,1701,1133,1955,1976,0,3384,466,2287,672,679,680,542,735,1084,461,593,2852,4037,4731,4732,5557,1471,1622,1476,2166,2863,2662,2100,1808,1555,2652,1225,925,3,2071,2026,2074,85,449,1963,2154,62,121,351,1068,2028,2741,2011,2075,3697,2877,3914,2734,4526,4645,4344,2487,2391,2615,952,2670,2003,6610,775,5233,2901,3802,2910,5586,2487,2615,746,2895,2875,4302,2905,3479,0,3036,2801,2405,6594,2784,2471,4204,4106,0,4355,0
