variance,skewness,curtosis,entropy,class
723,531,218,760,1
687,806,25,97,1
39,967,510,19,1
146,466,893,759,1
203,164,1085,957,1
315,128,1028,772,1
628,479,284,891,1
793,826,17,261,1
632,852,7,33,1
20,1107,488,41,1
125,654,567,511,1
235,323,718,812,1
429,314,435,712,1
621,596,147,600,1
685,759,81,377,1
485,721,148,243,1
70,757,443,172,1
8,1079,582,164,1
50,753,628,480,1
137,430,623,698,1
308,461,350,554,1
491,646,172,457,1
460,604,242,474,1
266,557,409,478,1
177,602,457,341,1
316,346,883,801,1
112,146,1209,486,1
32,172,1214,503,1
138,813,453,372,1
515,553,328,491,1
238,192,1101,762,1
51,5,1264,232,1
56,80,1237,425,1
132,385,835,942,1
452,690,366,400,1
599,336,750,991,1
365,64,1186,1096,1
140,21,1255,734,1
205,107,1182,1152,1
418,448,665,1139,1
364,729,249,328,1
518,670,312,313,1
624,355,685,847,1
489,84,1096,863,1
323,55,1190,748,1
508,181,1007,1118,1
594,483,422,986,1
554,713,118,235,1
29,931,502,20,1
395,616,447,396,1
505,279,968,1044,1
380,37,1198,464,1
171,29,1235,279,1
481,159,1003,855,1
666,486,365,875,1
709,777,48,136,1
166,815,451,150,1
410,327,858,772,1
336,74,1116,468,1
348,50,1129,387,1
676,251,780,1064,1
893,589,176,777,1
787,812,31,168,1
64,913,566,55,1
213,350,948,776,1
345,141,1084,809,1
520,178,955,790,1
827,511,280,959,1
935,833,8,262,1
735,837,18,53,1
24,1043,591,74,1
172,579,649,644,1
402,296,759,948,1
658,343,372,855,1
834,618,164,744,1
851,782,79,386,1
564,722,169,276,1
106,810,471,169,1
16,1029,634,226,1
85,651,670,562,1
264,393,627,791,1
527,510,316,617,1
633,632,196,605,1
581,586,257,618,1
368,529,472,605,1
320,542,589,502,1
423,293,1011,901,1
169,81,1232,549,1
57,168,1224,665,1
290,796,400,467,1
619,491,438,779,1
349,108,1178,965,1
131,0,1269,350,1
147,95,1229,753,1
279,414,808,1106,1
339,754,362,317,1
592,434,503,780,1
359,112,1118,1103,1
124,28,1250,601,1
148,62,1217,1040,1
283,373,779,1138,1
358,662,261,360,1
421,725,299,227,1
582,463,477,736,1
450,138,1050,999,1
268,54,1181,700,1
447,143,1046,1000,1
523,394,541,989,1
544,696,126,275,1
10,924,713,28,1
260,735,392,263,1
433,330,854,990,1
331,58,1172,711,1
129,11,1246,281,1
403,96,1060,852,1
567,357,557,1083,1
663,769,49,181,1
94,853,419,60,1
305,441,729,677,1
271,135,1083,714,1
242,39,1165,366,1
593,233,788,1027,1
805,525,239,875,1
788,800,19,157,1
36,998,515,11,1
152,482,904,709,1
249,174,1058,1027,1
430,130,1024,768,1
713,451,311,1009,1
844,823,38,316,1
690,856,2,37,1
17,1118,455,34,1
122,673,564,470,1
292,326,720,865,1
501,313,474,740,1
711,595,166,715,1
724,758,113,436,1
516,717,141,274,1
105,719,414,210,1
3,1086,525,187,1
47,755,642,528,1
160,454,608,796,1
391,435,367,639,1
530,629,181,507,1
473,572,260,563,1
278,536,432,557,1
248,609,448,393,1
400,341,862,873,1
151,123,1221,539,1
44,147,1228,501,1
173,802,505,480,1
586,560,333,565,1
351,199,1086,874,1
93,8,1261,322,1
103,63,1239,527,1
170,363,892,1109,1
455,664,358,407,1
569,331,745,978,1
309,60,1188,1030,1
117,25,1251,641,1
159,125,1170,1141,1
319,453,667,1112,1
254,731,252,309,1
524,671,294,323,1
613,334,700,907,1
465,77,1108,860,1
297,46,1191,749,1
462,183,1005,1110,1
537,477,434,960,1
480,748,108,203,1
42,936,494,29,1
422,615,445,435,1
504,265,971,1080,1
338,31,1208,514,1
157,27,1236,337,1
442,154,1008,966,1
610,462,381,887,1
608,787,43,108,1
185,804,439,192,1
431,316,878,917,1
321,61,1127,588,1
318,42,1135,522,1
616,257,743,1107,1
819,601,170,741,1
698,820,35,136,1
78,883,622,79,1
234,349,930,988,1
334,116,1103,1021,1
497,166,985,1023,1
758,530,245,939,1
858,838,6,228,1
636,845,14,48,1
31,1036,545,96,1
188,571,678,750,1
389,297,767,1019,1
590,338,386,955,1
734,622,167,743,1
764,784,63,358,1
475,708,177,257,1
81,811,471,170,1
19,1011,624,259,1
98,645,677,694,1
230,392,652,881,1
476,502,313,719,1
551,650,201,592,1
513,574,263,564,1
280,536,433,553,1
291,539,572,496,1
378,298,993,842,1
141,92,1231,529,1
41,186,1215,630,1
247,779,413,460,1
579,481,467,763,1
295,119,1183,802,1
104,1,1265,294,1
109,131,1219,637,1
196,439,788,1041,1
478,685,351,423,1
641,340,715,1017,1
394,65,1176,1038,1
145,9,1258,591,1
212,100,1174,1121,1
413,440,688,1128,1
353,733,246,331,1
533,678,296,330,1
650,347,669,980,1
517,76,1106,979,1
371,43,1194,799,1
542,167,1022,1123,1
611,443,446,1039,1
558,724,120,245,1
33,934,529,30,1
408,626,454,417,1
500,255,986,1120,1
390,32,1203,634,1
192,17,1243,361,1
509,144,1023,1066,1
668,449,394,1036,1
693,791,42,147,1
161,822,428,161,1
392,320,870,911,1
352,59,1141,648,1
379,40,1147,499,1
708,242,769,1127,1
891,583,183,825,1
778,803,36,174,1
58,898,629,58,1
199,335,977,993,1
332,111,1105,1077,1
495,160,975,1051,1
811,489,274,1053,1
913,832,9,280,1
704,842,23,50,1
21,1040,561,76,1
156,581,661,649,1
360,304,765,971,1
574,332,385,933,1
784,611,156,807,1
813,775,75,403,1
536,702,182,286,1
87,795,480,178,1
11,1033,605,231,1
69,660,646,576,1
190,408,634,793,1
448,500,304,643,1
552,639,185,591,1
525,580,253,583,1
301,520,485,579,1
310,565,547,492,1
398,310,983,924,1
144,82,1234,612,1
45,163,1225,689,1
293,798,423,477,1
634,497,415,785,1
341,134,1166,854,1
110,2,1267,306,1
133,91,1230,615,1
237,406,804,1070,1
270,747,360,290,1
535,402,550,751,1
250,88,1139,1028,1
75,19,1256,526,1
128,71,1212,1042,1
296,372,736,1134,1
354,664,234,320,1
366,744,302,197,1
534,455,475,681,1
373,126,1067,853,1
198,47,1201,701,1
383,132,1065,1015,1
521,408,499,1057,1
528,667,110,243,1
6,945,682,10,1
221,659,424,266,1
405,308,877,941,1
245,48,1189,560,1
101,12,1245,287,1
356,94,1066,814,1
559,361,458,1018,1
647,734,39,155,1
66,836,440,68,1
248,356,811,651,1
218,83,1111,596,1
182,33,1184,357,1
547,215,828,1031,1
754,512,238,886,1
750,797,12,137,1
30,983,552,13,1
136,419,928,650,1
207,158,1080,788,1
372,129,1021,530,1
701,437,296,863,1
849,806,27,305,1
700,841,3,39,1
12,1116,539,24,1
96,634,645,498,1
269,303,783,895,1
471,298,528,802,1
706,575,155,733,1
752,752,82,390,1
548,714,131,236,1
91,764,468,175,1
2,1093,579,93,1
43,706,712,448,1
143,405,698,787,1
344,411,405,677,1
514,640,194,538,1
468,606,236,455,1
285,543,421,456,1
139,584,570,316,1
265,329,929,864,1
113,129,1220,727,1
35,157,1227,672,1
116,805,523,338,1
493,577,323,484,1
257,202,1090,805,1
62,7,1263,273,1
74,68,1242,411,1
155,358,905,1012,1
216,766,339,267,1
477,426,548,710,1
206,103,1125,970,1
54,13,1257,391,1
99,69,1211,869,1
220,378,756,1068,1
303,674,244,318,1
294,783,285,171,1
479,485,441,632,1
335,139,1057,885,1
167,45,1200,604,1
327,127,1059,923,1
473,417,501,926,1
499,684,116,239,1
4,963,644,6,1
181,726,387,239,1
363,328,813,919,1
229,51,1180,635,1
97,22,1244,271,1
306,99,1051,737,1
503,370,473,900,1
598,749,44,124,1
55,850,420,56,1
224,392,751,646,1
197,106,1087,598,1
164,36,1173,340,1
496,216,850,911,1
686,520,259,801,1
688,801,28,105,1
25,981,558,8,1
115,470,861,647,1
180,162,1073,868,1
325,118,1033,625,1
640,438,300,908,1
802,821,29,296,1
635,851,4,32,1
7,1140,491,18,1
73,642,671,494,1
208,315,758,856,1
415,308,514,742,1
627,610,137,589,1
689,780,73,346,1
486,750,125,198,1
71,792,418,133,1
0,1111,586,90,1
37,770,675,415,1
121,452,639,698,1
286,436,378,551,1
470,665,161,472,1
444,625,214,427,1
227,570,391,420,1
120,592,573,311,1
252,345,907,786,1
108,152,1205,552,1
34,175,1216,544,1
84,816,497,339,1
439,587,342,439,1
223,208,1093,764,1
53,10,1262,249,1
67,73,1238,402,1
130,354,881,975,1
228,774,332,264,1
487,433,533,682,1
187,110,1123,937,1
48,23,1254,414,1
88,79,1202,900,1
214,395,757,1087,1
274,694,228,314,1
313,760,297,177,1
510,478,467,590,1
324,144,1061,821,1
158,52,1197,573,1
312,149,1056,905,1
453,428,493,897,1
472,723,107,221,1
5,942,647,6,1
210,704,395,248,1
397,324,831,883,1
225,56,1177,543,1
82,15,1247,219,1
277,102,1054,640,1
492,384,456,834,1
583,788,37,127,1
63,848,439,63,1
236,377,776,659,1
209,85,1113,587,1
150,34,1179,321,1
466,210,845,914,1
678,521,247,775,1
673,801,20,113,1
27,990,543,12,1
134,458,898,674,1
179,161,1075,898,1
298,126,1026,661,1
615,431,307,940,1
782,817,26,295,1
638,846,5,36,1
9,1135,542,21,1
79,649,635,483,1
193,317,742,813,1
404,303,518,719,1
