Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
1589,1231,631,4266,1072,1072,1574,1589,8371,13155,13306,12495,9117,13080,12495,13489,5
1592,1411,199,6173,88,88,1599,1592,8193,8549,12276,13451,7249,13474,13451,10055,5
1593,1796,569,4436,898,898,1630,1593,8499,3698,9498,12660,8953,13139,12660,13470,5
1597,1611,698,4177,1162,1162,1619,1597,9926,5541,11188,12384,9238,13017,12384,12517,5
1619,1189,270,5721,193,193,1606,1619,8868,12459,13480,13352,7656,13438,13352,12531,5
1633,1167,197,6315,76,76,1624,1633,8184,12306,13518,13465,7043,13482,13465,13281,5
1638,1177,182,6537,54,54,1626,1638,8412,12563,13515,13491,6831,13489,13491,13241,5
1639,1544,168,6756,42,42,1666,1639,10534,5836,11800,13499,6673,13494,13499,9899,5
1644,1509,184,6603,51,51,1659,1644,7000,7879,11970,13492,6806,13490,13492,10569,5
1648,1536,1136,3558,1762,1762,1652,1648,9145,10136,11905,11777,9898,12393,11777,9892,5
1653,1295,670,4444,1007,1007,1640,1653,7955,12461,13214,12539,8971,13082,12539,12341,5
1655,1486,261,5924,156,156,1669,1655,8930,8446,12186,13388,7424,13446,13388,12605,5
1661,1229,256,6012,143,143,1639,1661,9209,13140,13483,13400,7367,13451,13400,11939,5
1664,2017,1620,2989,2345,2345,1693,1664,9344,5042,8337,11202,10502,11597,11202,7630,5
1672,1830,668,4521,975,975,1713,1672,7609,3607,10078,12582,8892,13094,12582,12192,5
1674,1381,552,4829,716,716,1667,1674,6856,12184,12861,12832,8567,13192,12832,12794,5
1687,1560,338,5741,243,243,1700,1687,6845,8332,12037,13300,7645,13401,13300,11508,5
1697,1668,498,5112,561,561,1722,1697,7102,7335,11576,12992,8254,13274,12992,13425,5
1701,1507,558,4952,678,678,1712,1701,6218,8751,12295,12866,8476,13201,12866,12066,5
1705,1896,478,5179,517,517,1749,1705,8541,3186,9890,13047,8164,13294,13047,13501,5
1711,1270,462,5273,464,464,1698,1711,7211,12727,13481,13084,8107,13308,13084,12644,5
1713,1557,453,5320,441,441,1728,1713,8627,8404,12188,13097,8058,13316,13097,11897,5
1715,1479,554,4966,664,664,1711,1715,9397,11390,12523,12894,8409,13213,12894,13526,5
1720,1325,348,5825,232,232,1730,1720,10590,9049,13326,13314,7528,13404,13314,12920,5
1726,1409,317,6084,165,165,1729,1726,9869,11780,13013,13374,7295,13429,13374,12023,5
1728,1508,493,5294,482,482,1739,1728,9546,9683,12455,13071,8071,13296,13071,12982,5
1734,1631,482,5339,454,454,1753,1734,9709,7812,11966,13090,8031,13303,13090,12820,5
1739,2226,505,5302,493,493,1774,1739,6684,4330,7538,13054,8081,13288,13054,12118,5
1740,1246,379,5760,271,271,1727,1740,9782,13342,13528,13271,7590,13388,13271,12929,5
1749,1516,408,5704,310,310,1767,1749,7820,9277,12579,13239,7657,13371,13239,13083,5
1754,1525,717,4805,911,911,1766,1754,7309,11417,12610,12646,8588,13100,12646,13243,5
1766,1388,496,5508,429,429,1783,1766,9889,10078,13317,13117,7874,13315,13117,12838,5
1767,1463,481,5534,416,416,1775,1767,6667,11814,12996,13132,7837,13325,13132,13317,5
1767,1566,456,5630,363,363,1782,1767,11084,10346,12498,13181,7743,13341,13181,13043,5
1768,1840,709,4913,848,848,1812,1768,7782,3343,11072,12700,8508,13115,12700,12386,5
1776,1644,824,4614,1111,1111,1792,1776,9482,10421,12252,12440,8762,12980,12440,13236,5
1778,1408,660,5040,742,742,1786,1778,8161,12598,13324,12818,8329,13149,12818,13510,5
1787,1878,344,6409,149,149,1816,1787,12590,6025,11083,13384,7079,13424,13384,7264,5
1791,1627,1516,3593,1966,1966,1793,1791,9120,12291,12379,11571,9897,11990,11571,7035,5
1804,1493,703,5082,769,769,1809,1804,7619,11753,13053,12787,8286,13133,12787,13373,5
1806,1540,624,5296,622,622,1819,1806,9151,10859,12868,12925,8061,13200,12925,13216,5
1810,1721,243,7006,57,57,1818,1810,11738,11300,12092,13488,6338,13478,13488,13347,5
1814,1619,212,7331,38,38,1828,1814,7795,9735,12584,13504,6078,13492,13504,11524,5
1826,1738,567,5585,472,472,1841,1826,10586,9250,12101,13075,7807,13267,13075,12200,5
1827,1416,418,6135,250,250,1827,1827,8233,12110,13452,13296,7227,13389,13296,13246,5
1834,1444,718,5184,739,739,1831,1834,8652,11791,13377,12816,8193,13134,12816,12784,5
1835,1558,582,5576,494,494,1838,1835,11900,10956,12940,13051,7833,13248,13051,11609,5
1838,1514,413,6203,225,225,1830,1838,5495,12080,13096,13320,7179,13392,13320,12659,5
1845,1660,503,5932,334,334,1852,1845,10543,10450,12530,13203,7461,13338,13203,10426,5
1846,2013,352,6593,136,136,1868,1846,12126,6781,10577,13405,6809,13435,13405,11087,5
1849,1853,1113,4414,1398,1398,1874,1849,5536,6418,11651,12134,9046,12676,12134,9002,5
1857,1582,428,6190,252,252,1862,1857,9384,10312,12951,13293,7176,13383,13293,13477,5
1859,1715,827,4978,962,962,1868,1859,9980,9662,12376,12595,8423,13034,12595,13075,5
1869,2105,376,6529,157,157,1914,1869,8918,3995,10168,13387,6843,13418,13387,13232,5
1870,1616,713,5364,671,671,1878,1870,7742,10388,12869,12875,8019,13158,12875,12113,5
1874,1988,492,6086,298,298,1918,1874,8742,3687,11044,13247,7275,13353,13247,12624,5
1878,1989,127,8466,3,3,1900,1878,7348,6853,11066,13539,4964,13504,13539,12885,5
1880,2727,792,5166,846,846,1961,1880,7990,1825,5969,12688,8266,13078,12688,9871,5
1888,2278,687,5524,607,607,1934,1888,7503,3530,8891,12935,7890,13189,12935,11496,5
1893,2035,605,5747,457,457,1933,1893,6461,4152,10856,13085,7624,13253,13085,12290,5
1894,1910,700,5459,638,638,1913,1894,10779,8280,11631,12921,7906,13184,12921,13523,5
1895,1487,620,5710,486,486,1888,1895,10542,12518,13420,13064,7661,13239,13064,12754,5
1897,1591,663,5587,578,578,1903,1897,7238,10759,13124,12970,7793,13210,12970,12762,5
1904,1818,372,6766,129,129,1925,1904,8909,7862,12151,13412,6618,13431,13412,11873,5
1906,1581,662,5671,554,554,1896,1906,11703,12922,13182,12983,7727,13217,12983,10849,5
1908,1983,521,6129,317,317,1931,1908,9008,7585,11372,13231,7244,13342,13231,12817,5
1915,1708,1545,3890,1853,1853,1899,1915,10265,13062,12686,11700,9510,12111,11700,13239,5
1915,1473,490,6253,267,267,1897,1915,8203,13184,13484,13281,7106,13366,13281,13411,5
1917,1841,315,7184,71,71,1935,1917,8434,7602,12079,13467,6220,13461,13467,10844,5
1918,1523,919,4999,1046,1046,1906,1918,7826,12928,13392,12503,8406,12960,12503,12315,5
1932,1375,546,6121,336,336,1915,1932,7891,13381,13539,13214,7235,13328,13214,13466,5
1935,1522,543,6177,323,323,1924,1935,10317,13055,13438,13223,7201,13333,13223,12937,5
1941,2422,1419,4202,1687,1687,1965,1941,6921,7825,8374,11853,9239,12327,11853,10544,5
1943,1537,533,6256,295,295,1928,1943,10599,13022,13410,13244,7154,13344,13244,11088,5
1952,1873,1254,4469,1472,1472,1959,1952,8352,10598,12132,12085,8924,12573,12085,13118,5
1969,1743,146,8565,5,5,1991,1969,7687,7804,12724,13537,4873,13502,13537,12488,5
1971,1723,1133,4753,1303,1303,1953,1971,10257,12935,12847,12258,8635,12745,12258,13202,5
1973,1689,321,7374,64,64,1973,1973,6573,11207,12993,13478,6025,13468,13478,11746,5
1983,3375,1466,4228,1704,1704,2067,1983,6749,1793,3855,11844,9189,12303,11844,11988,5
1990,2071,980,5110,1055,1055,2014,1990,9560,7430,11359,12497,8278,12936,12497,12478,5
1993,1998,704,5900,507,507,2026,1993,11320,5860,11692,13029,7481,13218,13029,11440,5
1995,2191,622,6120,396,396,2015,1995,11668,7805,10502,13150,7248,13287,13150,13094,5
1996,1517,658,6039,436,436,1980,1996,10592,13197,13509,13107,7334,13246,13107,11711,5
1998,2370,436,6824,158,158,2061,1998,8179,3043,9178,13385,6552,13403,13385,11997,5
2000,1697,1246,4632,1403,1403,2003,2000,8751,11788,13092,12156,8747,12622,12156,13050,5
2002,1763,722,5851,549,549,2012,2002,7143,9490,12761,12996,7513,13202,12996,12183,5
2011,1706,568,6385,293,293,2025,2011,9448,9512,13107,13252,6980,13336,13252,12632,5
2014,1876,501,6676,210,210,2033,2014,6952,9221,12391,13336,6698,13381,13336,13190,5
2021,1556,389,7141,106,106,2011,2021,7148,12809,13507,13436,6228,13443,13436,12773,5
2023,1693,640,6178,402,402,2019,2023,8279,12384,13196,13147,7193,13280,13147,13265,5
2025,1899,906,5404,865,865,2047,2025,6223,8692,12315,12697,7974,13045,12697,13282,5
2027,1677,996,5208,1028,1028,2021,2027,10800,12387,13260,12524,8167,12940,12524,12756,5
2028,1945,414,7049,122,122,2046,2028,10396,9008,12160,13428,6295,13426,13428,13412,5
2030,1634,702,6077,450,450,2020,2030,8756,12659,13375,13082,7324,13228,13082,10455,5
2033,1602,645,6230,378,378,2021,2033,7637,12883,13468,13149,7178,13278,13149,10940,5
2034,1864,757,5876,582,582,2048,2034,7920,9761,12500,12950,7539,13166,12950,10062,5
2037,1575,378,7280,94,94,2035,2037,10074,11632,13503,13452,6094,13449,13452,13357,5
2040,1719,665,6167,417,417,2031,2040,10881,12508,13142,13134,7192,13266,13134,13445,5
2049,1641,881,5555,784,784,2030,2049,9421,13262,13413,12764,7839,13074,12764,12716,5
2056,1629,369,7423,77,77,2049,2056,9672,13053,13460,13466,5930,13453,13466,13496,5
2057,1671,858,5687,710,710,2050,2057,6836,13002,13383,12836,7698,13106,12836,12029,5
2058,1793,615,6461,316,316,2081,2058,7230,7938,12916,13226,6927,13317,13226,11646,5
2061,1503,200,8406,13,13,2060,2061,9678,12388,13537,13530,4995,13499,13530,13482,5
2067,2014,880,5667,737,737,2078,2067,4967,10211,11973,12791,7752,13085,12791,10212,5
2070,1926,676,6274,390,390,2086,2070,6991,9462,12407,13165,7082,13273,13165,13427,5
2072,1649,508,6890,184,184,2068,2072,8554,12398,13453,13367,6464,13390,13367,13498,5
2073,1686,618,6505,309,309,2072,2073,5662,11904,13374,13236,6891,13322,13236,12381,5
2080,2802,226,8331,19,19,2164,2080,7991,2180,7039,13524,5104,13496,13524,11901,5
2083,2058,561,6705,246,246,2111,2083,9642,7120,11919,13304,6636,13358,13304,13517,5
2085,1705,318,7839,43,43,2084,2085,10982,12090,13359,13502,5549,13479,13502,13322,5
2086,2011,696,6343,387,387,2110,2086,7097,7890,12123,13146,7061,13259,13146,10914,5
2088,1816,682,6368,367,367,2085,2088,10061,12556,12963,13175,7003,13279,13175,12648,5
2113,1862,1186,5195,1175,1175,2100,2113,7450,12906,12886,12369,8211,12796,12369,11274,5
2118,2109,1151,5290,1114,1114,2135,2118,12155,10034,11867,12424,8117,12840,12424,10836,5
2121,1592,491,7172,142,142,2101,2121,10151,13209,13532,13404,6188,13405,13404,13423,5
2135,1909,374,7728,59,59,2153,2135,8881,10532,12782,13487,5644,13459,13487,13467,5
2140,2018,1072,5522,961,961,2158,2140,9748,10481,12325,12594,7871,12944,12594,12662,5
2145,1610,447,7449,103,103,2137,2145,10355,13178,13535,13439,5935,13427,13439,12868,5
2149,1752,573,7005,206,206,2159,2149,9504,11691,13401,13340,6375,13370,13340,12115,5
2152,2085,771,6287,468,468,2163,2152,7200,11451,12161,13083,7080,13203,13083,13089,5
2155,2027,504,7312,132,132,2184,2155,10065,7378,12350,13411,6081,13406,13411,12858,5
2158,1866,1422,4897,1436,1436,2157,2158,9387,12490,13062,12123,8512,12520,12123,12965,5
2159,2534,734,6546,370,370,2215,2159,8537,4293,9529,13167,6879,13247,13167,10632,5
2160,1806,476,7392,113,113,2166,2160,8098,11888,13255,13429,5982,13414,13429,13218,5
2161,1994,1129,5453,1030,1030,2168,2161,11797,11817,12527,12527,7931,12903,12527,13272,5
2164,1949,903,5973,660,660,2176,2164,10331,10464,12740,12898,7361,13117,12898,13433,5
2178,1924,639,6861,262,262,2192,2178,7083,11180,12921,13284,6488,13334,13284,13367,5
2182,1964,1181,5485,1070,1070,2188,2182,10730,12007,12783,12471,7941,12850,12471,10592,5
2182,1997,1460,4924,1449,1449,2205,2182,6960,10566,12618,12108,8481,12494,12108,12901,5
2188,2808,1805,4405,1811,1811,2239,2188,7943,6001,7901,11746,9007,12034,11746,13381,5
2188,1967,1316,5214,1252,1252,2204,2188,8041,11339,12777,12300,8170,12700,12300,12186,5
2189,1927,539,7324,148,148,2194,2189,7277,12312,12946,13397,6074,13393,13397,12097,5
2190,2148,1302,5253,1226,1226,2227,2190,9978,8129,12066,12318,8141,12721,12318,11905,5
2194,2012,402,7841,62,62,2210,2194,8947,11825,12603,13482,5546,13454,13482,13344,5
2195,1835,581,7230,171,171,2207,2195,7275,12381,13310,13366,6187,13376,13366,10805,5
2199,1718,970,5974,713,713,2203,2199,9485,12851,13519,12842,7372,13076,12842,13197,5
2203,2053,1189,5574,1035,1035,2222,2203,8985,11797,12497,12494,7860,12860,12494,10182,5
2206,1918,813,6433,456,456,2236,2206,6165,10660,13077,13093,6920,13195,13093,13284,5
2210,2298,867,6317,541,541,2262,2210,6569,4666,11483,13006,7049,13160,13006,12834,5
2212,2104,1265,5441,1145,1145,2231,2212,5305,11728,12351,12402,7967,12792,12402,12046,5
2214,1785,433,7794,72,72,2234,2214,10454,11811,13461,13470,5595,13448,13470,13237,5
2217,1993,1102,5788,878,878,2232,2217,11986,12615,12838,12666,7577,12967,12666,12352,5
2220,2421,875,6360,544,544,2262,2220,7037,6716,10895,12999,7030,13152,12999,12198,5
2224,1960,998,6070,712,712,2246,2224,11604,11423,13009,12829,7320,13060,12829,11200,5
2227,2173,479,7713,91,91,2260,2227,8470,8106,12112,13454,5672,13432,13454,12913,5
2233,1934,1544,5014,1464,1464,2242,2233,11254,13085,13131,12087,8400,12443,12087,11610,5
2234,1985,656,7081,235,235,2258,2234,7968,10244,12929,13317,6254,13345,13317,13492,5
2236,2184,1178,5712,978,978,2283,2236,5881,5602,12116,12579,7667,12909,12579,12515,5
2236,1784,780,6706,376,376,2240,2236,8944,13406,13504,13162,6691,13231,13162,11799,5
2242,2290,705,7024,265,265,2280,2242,8924,7202,11714,13278,6337,13321,13278,12443,5
2244,1761,630,7261,200,200,2253,2244,8151,13233,13521,13347,6102,13359,13347,13441,5
2248,2002,896,6520,502,502,2267,2248,6543,11823,12944,13023,6912,13155,13023,9989,5
2248,1756,808,6697,405,405,2246,2248,8423,13509,13527,13138,6682,13222,13138,12537,5
2249,2307,1327,5470,1172,1172,2281,2249,8354,9494,11701,12381,7898,12749,12381,13437,5
2250,2123,592,7443,155,155,2280,2250,9789,9654,12510,13391,5922,13384,13391,13460,5
2254,1928,1283,5641,1086,1086,2265,2254,7845,12931,13275,12453,7781,12808,12453,10472,5
2260,2578,1039,6183,704,704,2326,2260,9169,3674,10342,12835,7230,13052,12835,11037,5
2263,2139,892,6510,503,503,2274,2263,10945,12001,12471,13056,6853,13162,13056,13495,5
2264,2001,628,7362,182,182,2279,2264,8563,11324,13014,13361,6018,13367,13361,12824,5
2266,2264,861,6616,443,443,2295,2266,7905,9105,11948,13099,6750,13191,13099,13068,5
2270,2776,1006,6261,657,657,2328,2270,7115,4397,8958,12890,7141,13084,12890,11510,5
2277,2101,1106,6092,780,780,2294,2277,9492,11014,12678,12758,7307,13005,12758,11022,5
2281,2116,458,8046,66,66,2289,2281,11436,12512,12663,13476,5384,13450,13476,10942,5
2283,2026,890,6607,471,471,2303,2283,10231,10892,12987,13079,6756,13173,13079,13138,5
2286,2299,1150,6013,839,839,2321,2286,11026,7830,11911,12708,7356,12969,12708,12420,5
2287,1902,979,6374,609,609,2286,2287,9072,13175,13412,12943,6979,13112,12943,13154,5
2288,1979,1030,6313,655,655,2284,2288,12689,13345,13222,12888,7105,13075,12888,10358,5
2291,2205,1811,4813,1679,1679,2301,2291,9655,12265,12296,11876,8584,12162,11876,13229,5
2300,2410,2500,3907,2387,2387,2332,2300,11073,8912,11549,11180,9523,11102,11180,11782,5
2301,2034,1128,6157,774,774,2325,2301,9447,10677,13055,12770,7234,13002,12770,11975,5
2302,1889,1196,5981,888,888,2298,2302,10733,13380,13479,12658,7376,12933,12658,12775,5
2303,2360,1025,6391,631,631,2336,2303,8175,8301,11768,12908,7015,13088,12908,11144,5
2309,2584,1266,5920,963,963,2343,2309,11885,7604,10707,12567,7496,12870,12567,9262,5
2310,1956,1395,5572,1180,1180,2310,2310,10229,13070,13351,12372,7801,12724,12372,13376,5
2313,2709,638,7524,162,162,2369,2313,8540,4314,9856,13382,5840,13373,13382,13478,5
2314,2331,1262,5970,941,941,2333,2314,6341,10437,11946,12584,7472,12880,12584,7978,5
2315,2419,1280,5826,1008,1008,2338,2315,6671,9090,11568,12548,7520,12849,12548,13208,5
2316,2722,1020,6514,600,600,2375,2316,8888,3898,9777,12923,6955,13096,12923,8081,5
2320,2238,936,6636,509,509,2349,2320,10671,7995,12308,13043,6737,13144,13043,13065,5
2321,2586,1445,5601,1200,1200,2364,2321,9841,5669,10776,12317,7882,12642,12317,7077,5
2325,2519,711,7461,205,205,2357,2325,5457,6896,11155,13332,5990,13343,13332,9359,5
2328,2241,2698,3779,2578,2578,2315,2328,7914,13469,12323,10994,9679,10841,10994,10969,5
2331,1944,1062,6404,647,647,2330,2331,10527,12822,13422,12896,6989,13070,12896,11387,5
2333,2132,740,7307,251,251,2335,2333,10990,12171,12815,13299,6068,13324,13299,13374,5
2334,2312,2098,4522,1909,1909,2367,2334,8712,7069,12080,11648,8895,11773,11648,11839,5
2337,2699,1372,5833,1085,1085,2420,2337,5029,2198,10105,12423,7658,12753,12423,6123,5
2340,2198,1326,5832,1042,1042,2351,2340,10011,10635,12505,12505,7541,12812,12505,12177,5
2344,2341,1634,5250,1434,1434,2369,2344,5635,8185,12039,12124,8133,12424,12124,12975,5
2346,1992,1080,6384,662,662,2336,2346,9692,13042,13336,12893,6965,13064,12893,13170,5
2351,1981,688,7534,177,177,2352,2351,10004,11881,13381,13369,5836,13357,13369,13403,5
2352,2174,1216,6119,857,857,2367,2352,10012,9765,12655,12698,7255,12941,12698,12732,5
2354,2774,298,8857,15,15,2424,2354,7693,2931,9676,13528,4560,13495,13528,13430,5
2355,2083,1493,5548,1246,1246,2349,2355,7802,12682,13094,12311,7829,12625,12311,13203,5
2355,2023,818,7129,320,320,2350,2355,10135,12664,13266,13230,6240,13252,13230,12783,5
2372,2051,1345,5904,1033,1033,2355,2372,9411,13276,13243,12518,7443,12810,12518,12930,5
2373,2158,1175,6271,767,767,2381,2373,8891,11535,12858,12792,7081,12996,12792,13453,5
2374,2615,777,7320,270,270,2419,2374,9318,5079,10906,13273,6077,13295,13273,12470,5
2378,2539,1574,5490,1326,1326,2405,2378,7174,7948,11400,12234,7901,12536,12234,12620,5
2379,2219,905,7009,392,392,2397,2379,6740,10482,12614,13144,6387,13197,13144,11315,5
2381,1980,1212,6276,796,796,2377,2381,6995,12596,13457,12743,7137,12958,12743,10926,5
2383,2087,1320,6099,945,945,2379,2383,5460,12624,13168,12577,7337,12845,12577,8172,5
2384,2047,989,6751,516,516,2394,2384,6859,11420,13299,13040,6593,13135,13040,13326,5
2385,1975,825,7244,299,299,2387,2385,7208,12394,13467,13245,6143,13264,13245,12770,5
2386,2301,1452,5771,1160,1160,2400,2386,6566,10052,12353,12373,7641,12694,12373,9834,5
2395,2435,745,7556,208,208,2414,2395,11530,9130,11859,13333,5856,13332,13333,11027,5
2397,2206,1547,5623,1258,1258,2407,2397,7397,10410,12727,12293,7772,12593,12293,11857,5
2399,1995,775,7424,254,254,2398,2399,8907,12025,13451,13289,5968,13304,13289,12563,5
2400,2028,1161,6475,691,691,2392,2400,8649,13185,13366,12850,6924,13024,12850,11455,5
2406,2814,1365,6059,994,994,2458,2406,5646,4866,9908,12537,7345,12818,12537,10238,5
2407,2261,1117,6595,630,630,2411,2407,8299,11449,12558,12910,6801,13063,12910,11637,5
2410,2063,840,7322,290,290,2403,2410,10613,12887,13337,13254,6066,13263,13254,12815,5
2414,2092,946,7044,414,414,2417,2414,8794,11767,13273,13120,6364,13185,13120,10209,5
2415,2070,915,7101,371,371,2409,2415,8892,12650,13332,13172,6262,13204,13172,13035,5
2421,2127,1441,5868,1123,1123,2417,2421,9761,12366,13164,12433,7459,12735,12433,13474,5
2422,2015,470,8471,45,45,2418,2422,7948,12298,13440,13500,4955,13458,13500,13220,5
2424,2233,584,8134,84,84,2434,2424,12299,10610,12735,13457,5289,13412,13457,11730,5
2425,2666,1154,6578,661,661,2456,2425,10090,7758,10968,12886,6823,13044,12886,11723,5
2426,2710,1021,6873,499,499,2466,2426,8759,6880,10730,13050,6504,13131,13050,12367,5
2427,2025,1237,6405,771,771,2422,2427,6010,12603,13436,12769,7000,12965,12769,11023,5
2429,2525,1099,6696,597,597,2461,2429,9740,7831,11681,12947,6672,13090,12947,12897,5
2430,2121,899,7218,344,344,2437,2430,7125,11094,13231,13207,6162,13225,13207,12836,5
2431,2316,928,7126,375,375,2450,2431,9306,9378,12462,13169,6245,13198,13169,12653,5
2435,2302,1125,6809,584,584,2444,2435,3963,10724,12543,12927,6709,13071,12927,5973,5
2437,2894,897,7219,343,343,2496,2437,9880,5501,9663,13210,6131,13226,13210,13520,5
2438,2949,1737,5478,1405,1405,2475,2438,5594,7783,9298,12130,7964,12384,12130,9355,5
2438,2096,1645,5579,1337,1337,2421,2438,9888,13240,13321,12220,7808,12499,12220,12821,5
2440,2114,791,7523,244,244,2441,2440,9835,11568,13285,13305,5844,13311,13305,13455,5
2453,2243,1218,6566,709,709,2448,2453,10453,12386,12820,12827,6863,12999,12827,10677,5
2453,2055,617,8137,95,95,2442,2453,10251,12823,13433,13447,5282,13408,13447,12343,5
2455,2659,1619,5720,1280,1280,2495,2455,6887,8430,11206,12267,7706,12539,12267,10125,5
2457,2186,1088,6830,565,565,2440,2457,8215,13058,13039,12984,6519,13108,12984,12875,5
2466,2400,693,7940,127,127,2506,2466,10977,7929,12281,13416,5449,13379,13416,12522,5
2472,2102,731,7856,154,154,2476,2472,7330,11950,13363,13392,5534,13360,13392,13315,5
2472,2373,986,7121,424,424,2487,2472,9811,10762,12389,13122,6268,13167,13122,11864,5
2473,2794,1598,5789,1231,1231,2520,2473,7870,6490,10504,12305,7620,12570,12305,10422,5
2473,2228,621,8201,89,89,2508,2473,10888,8622,12920,13449,5249,13409,13449,9969,5
2474,2403,1439,6067,1061,1061,2489,2474,10948,10866,12297,12500,7281,12768,12500,13182,5
2475,2144,1255,6531,738,738,2472,2475,11771,12304,13277,12806,6874,12977,12806,11642,5
2478,2313,728,7868,151,151,2493,2478,7108,11101,12640,13398,5512,13365,13398,13499,5
2481,2306,1514,6004,1124,1124,2504,2481,7066,10679,12691,12414,7395,12706,12414,11019,5
2481,2050,1260,6513,756,756,2483,2481,8030,12488,13482,12810,6855,12976,12810,13451,5
2482,2251,1077,6935,528,528,2500,2482,8429,11056,12887,13036,6421,13120,13036,13452,5
2485,7273,3942,4402,3190,3190,3431,2485,2866,0,30,8452,10594,9114,8452,0,5
2489,2708,1063,7067,467,467,2567,2489,6463,3325,11134,13067,6363,13127,13067,9461,5
2490,2503,1223,6668,683,683,2537,2490,10148,6624,12021,12862,6748,13013,12862,11039,5
2494,2216,1486,6075,1091,1091,2496,2494,6776,12691,13045,12464,7292,12733,12464,12601,5
2500,2137,1159,6795,605,605,2505,2500,11546,12423,13350,12945,6548,13069,12945,13287,5
2501,2457,1746,5689,1355,1355,2535,2501,12174,8490,12220,12175,7775,12427,12175,7853,5
2503,2160,1794,5509,1433,1433,2488,2503,6324,13351,13294,12127,7866,12367,12127,13181,5
2503,5193,2283,4934,1866,1866,2718,2503,5252,338,930,11644,8613,11694,11644,4363,5
2505,2156,1490,6102,1077,1077,2512,2505,9541,12364,13309,12472,7266,12737,12472,12560,5
2507,2218,1308,6501,800,800,2514,2507,9931,12431,13081,12754,6882,12934,12754,12758,5
2509,2388,1685,5735,1310,1310,2520,2509,6581,12206,12490,12254,7623,12510,12254,13394,5
2518,2076,1207,6793,635,635,2519,2518,10807,13041,13500,12909,6574,13041,12909,12051,5
2520,2236,1228,6782,653,653,2543,2520,11671,10881,13088,12892,6617,13021,12892,11051,5
2522,2270,738,7987,139,139,2547,2522,11817,10886,12972,13407,5378,13368,13407,13330,5
2523,2375,956,7397,345,345,2536,2523,8833,12318,12604,13205,5983,13209,13205,13084,5
2527,2110,1047,7212,432,432,2527,2527,8879,13308,13466,13112,6181,13147,13112,12022,5
2529,3271,589,8467,61,61,2615,2529,9019,3225,7785,13481,4973,13433,13481,11727,5
