col1,col2,col3,col4,col5,col6,col7,col8,col9,class
9,109,15,50,38,88,44,21,5,0
13,107,28,54,39,84,53,32,6,0
7,115,12,59,37,88,43,21,5,0
2,110,39,53,34,88,74,55,7,0
2,110,14,59,35,85,49,27,6,0
9,106,15,51,38,88,44,21,5,0
10,110,16,54,39,107,44,20,5,0
20,112,16,52,42,88,34,12,5,0
20,110,10,54,15,84,27,75,40,3
6,113,11,54,36,87,43,22,6,0
2,110,11,49,24,88,47,53,20,0
22,113,24,54,43,88,40,17,5,0
2,110,9,54,36,102,44,20,5,0
2,110,10,54,24,80,47,53,19,0
2,110,9,49,32,94,45,30,9,0
14,114,17,54,40,90,41,18,5,0
2,110,10,59,16,78,47,73,30,0
15,106,18,54,40,88,41,19,6,0
16,108,20,54,41,93,42,18,5,0
2,110,26,54,26,95,62,64,17,0
21,110,15,55,42,76,32,11,6,0
8,110,14,57,37,84,44,23,6,0
20,108,41,54,42,85,58,36,6,0
2,110,14,53,35,70,49,27,6,0
10,109,11,51,38,83,39,17,6,0
6,110,10,61,36,88,42,21,6,0
13,111,20,54,39,88,45,24,6,0
8,110,14,54,38,103,43,20,5,0
21,110,29,54,41,85,46,27,7,3
2,110,25,54,30,91,61,52,12,0
11,111,16,54,38,79,43,22,6,0
14,108,10,57,39,58,34,13,6,0
10,110,16,54,38,90,44,22,5,0
21,110,14,54,13,84,31,85,43,3
13,107,42,48,39,88,67,45,6,0
2,110,16,54,34,93,52,32,7,0
15,106,16,54,40,88,39,17,6,0
12,108,8,54,39,88,34,11,5,0
13,111,14,53,39,88,39,17,6,0
20,110,15,54,4,79,32,109,55,3
15,113,40,54,40,88,63,41,5,0
3,110,35,50,34,88,71,52,7,0
2,110,39,71,32,88,75,60,9,0
2,110,10,54,18,69,47,68,27,0
2,110,12,54,31,66,48,36,11,0
8,110,17,54,38,101,47,24,5,0
1,109,14,54,35,88,51,28,5,0
10,111,13,54,39,119,41,17,5,0
20,110,11,54,21,85,29,61,33,3
23,115,21,54,43,88,36,14,6,0
13,110,21,50,39,88,46,24,6,0
63,109,39,56,48,88,10,19,22,4
19,109,19,53,42,86,38,15,5,0
21,114,29,54,41,98,46,27,7,3
44,112,16,54,4,69,12,109,66,4
2,110,30,54,30,58,66,56,12,0
11,107,42,56,39,88,69,46,5,0
2,110,11,54,27,77,48,46,16,0
2,110,11,54,26,78,47,48,17,0
21,110,11,59,12,88,28,84,45,3
20,110,16,59,11,88,33,91,46,3
19,112,13,54,42,88,32,9,5,0
20,110,10,52,32,88,27,31,19,3
2,110,37,45,32,88,73,58,9,0
20,109,12,54,27,88,29,46,25,3
8,107,19,54,37,72,48,27,6,0
6,109,22,54,36,74,54,33,6,0
4,110,40,52,36,88,74,51,5,0
11,110,40,54,39,92,67,43,5,0
2,114,9,54,34,78,45,26,7,0
9,111,9,54,38,96,38,15,5,0
18,110,12,54,42,102,32,7,5,0
9,110,14,53,38,93,43,20,5,0
21,113,32,54,36,88,49,43,14,3
21,110,26,47,40,88,43,27,8,3
2,110,8,52,34,88,44,24,6,0
17,114,17,53,41,86,37,15,5,0
45,110,18,60,5,98,13,109,66,4
2,110,9,54,35,92,45,23,6,0
20,110,25,54,19,110,42,80,35,3
9,112,8,54,38,99,37,14,5,0
8,105,16,54,37,79,45,24,6,0
6,109,9,54,36,64,41,20,6,0
10,110,19,54,38,78,47,25,6,0
20,110,10,54,23,77,28,55,30,3
32,108,43,54,47,88,49,26,5,0
2,53,39,54,35,119,75,52,5,0
21,110,41,54,42,74,58,36,6,0
7,110,19,51,37,88,50,27,5,0
21,110,17,54,42,69,34,13,6,0
3,112,13,54,36,92,48,24,5,0
10,110,19,54,38,85,47,25,6,0
9,110,16,53,38,88,44,22,5,0
10,108,16,54,38,81,43,22,6,0
18,109,21,54,42,92,41,17,5,0
16,110,16,54,41,107,37,14,5,0
6,110,14,54,36,85,47,26,6,0
11,110,21,54,39,88,47,24,5,0
8,110,10,54,37,88,40,19,6,0
10,112,9,51,38,83,37,15,5,0
6,111,30,54,37,92,61,38,5,0
2,110,14,56,31,88,50,38,10,0
48,110,19,54,19,88,11,75,49,4
21,110,14,58,12,88,31,87,45,3
8,110,20,54,37,82,50,29,6,0
21,114,31,50,37,88,48,40,12,3
11,112,11,54,39,97,38,15,5,0
2,110,12,54,31,84,48,36,11,0
8,109,16,54,37,82,45,24,6,0
2,110,16,55,30,88,52,42,12,0
20,110,28,52,40,88,46,29,8,3
21,113,22,54,43,88,39,15,5,0
2,110,11,54,21,77,48,61,23,0
13,111,20,48,39,84,45,24,6,0
2,110,23,54,33,97,59,42,8,0
20,110,29,54,39,97,47,33,9,3
16,107,17,58,41,89,39,15,5,0
2,110,11,54,26,99,47,48,17,0
2,110,30,48,34,88,65,46,7,0
10,109,10,56,38,88,38,16,5,0
14,110,17,54,40,106,41,18,5,0
18,110,14,58,41,66,34,12,6,0
2,112,23,54,32,88,59,45,9,0
2,110,10,55,35,88,47,24,5,0
35,147,15,54,4,84,18,109,62,1
26,108,44,54,44,88,56,35,6,0
24,110,19,54,44,109,34,10,5,0
14,110,28,57,40,92,52,29,5,0
10,112,19,60,38,88,47,25,6,0
10,110,12,54,39,94,39,15,5,0
21,110,11,54,38,89,28,17,11,3
20,107,29,54,42,85,47,25,6,0
14,110,11,54,40,91,35,12,5,0
4,113,10,54,36,88,44,21,5,0
20,109,12,46,29,75,29,41,22,3
21,110,19,54,43,103,37,13,5,0
2,110,14,54,28,62,50,46,14,0
6,110,15,52,36,85,47,26,6,0
10,107,21,54,38,88,50,27,5,0
2,110,16,54,24,112,52,58,20,0
8,110,10,54,37,80,40,19,6,0
49,116,22,54,23,82,13,67,44,4
2,110,12,53,23,65,49,57,21,0
2,110,14,54,36,95,49,25,5,0
8,110,10,54,37,69,40,18,6,0
21,109,31,58,40,111,48,32,8,3
15,111,11,52,40,88,34,12,6,0
4,113,19,54,36,88,54,31,5,0
8,110,14,54,37,78,43,22,6,0
2,110,12,54,35,97,48,26,6,0
23,106,24,54,43,88,39,17,5,0
10,110,26,56,38,88,55,33,5,0
3,113,9,54,36,96,44,20,5,0
2,110,12,51,35,87,47,26,6,0
44,116,16,55,5,101,12,107,65,4
1,109,9,54,35,88,45,22,5,0
50,107,21,54,22,63,11,69,46,4
2,113,10,54,35,88,47,24,5,0
2,110,10,54,31,69,47,35,10,0
10,110,12,54,39,102,40,16,5,0
19,114,10,54,32,88,29,31,18,3
8,105,10,54,38,107,40,16,5,0
6,110,16,56,36,87,48,27,6,0
8,110,10,64,37,54,40,19,6,0
21,112,14,58,19,88,31,69,36,3
20,110,15,54,8,97,32,98,50,3
2,110,36,54,30,104,72,63,12,0
15,111,23,57,40,88,45,24,6,0
10,110,17,62,38,80,45,24,6,0
13,110,22,58,39,81,47,25,6,0
50,110,21,51,23,88,11,66,45,4
12,108,39,54,39,88,65,43,5,0
2,104,11,54,25,88,48,51,18,0
2,73,39,15,33,71,75,58,8,2
23,110,24,56,43,88,39,17,6,0
11,110,11,47,39,93,38,15,5,0
20,110,28,52,40,78,46,29,8,3
21,110,15,54,43,98,32,8,5,0
20,110,25,54,39,85,43,29,9,3
4,108,19,54,36,88,52,30,5,0
16,112,14,49,40,88,36,15,6,0
2,110,8,54,29,99,44,37,13,0
6,108,13,54,36,68,45,24,6,0
18,110,19,54,41,78,39,17,6,0
11,112,21,54,39,91,48,24,5,0
2,110,11,54,23,84,47,56,21,0
9,110,12,52,38,88,41,18,5,0
3,107,9,54,36,88,44,20,5,0
17,114,24,54,41,88,44,22,5,0
2,110,26,54,27,92,61,60,16,0
21,110,10,54,12,111,27,83,45,3
9,114,15,47,38,89,44,21,5,0
2,110,12,50,30,88,48,38,12,0
11,110,20,47,39,88,47,24,5,0
17,107,19,54,41,84,39,17,5,0
6,110,12,54,36,88,45,24,6,0
21,110,13,54,42,73,30,9,6,0
47,111,19,54,18,88,11,77,50,4
25,105,44,54,44,88,56,34,6,0
9,111,21,54,38,92,50,27,5,0
11,111,20,54,39,95,47,24,5,0
17,107,21,54,41,88,41,19,5,0
2,110,11,54,20,82,48,64,25,0
8,110,11,47,37,88,41,20,6,0
2,110,17,54,28,63,53,49,14,0
7,106,18,54,37,88,49,27,6,0
8,110,12,57,37,88,43,21,6,0
43,108,15,54,5,88,12,106,65,4
13,110,21,54,39,88,45,24,6,0
20,110,23,54,42,88,42,19,5,0
43,110,15,52,5,88,12,106,65,4
4,111,10,56,36,88,44,21,5,0
8,111,10,54,37,88,40,18,6,0
65,108,41,52,48,60,9,21,24,4
20,109,14,48,42,80,32,10,5,0
6,110,39,54,36,60,70,50,6,0
23,106,18,54,43,88,34,11,5,0
2,110,9,54,34,101,45,25,7,0
7,109,11,54,37,88,42,20,6,0
7,115,15,54,37,88,46,24,5,0
18,110,36,53,41,71,56,34,6,0
7,112,8,54,37,88,39,17,5,0
2,114,39,54,28,88,74,71,15,0
14,109,14,54,40,93,39,15,5,0
11,110,10,59,39,88,37,13,5,0
21,114,28,54,38,114,46,34,11,3
6,111,40,54,36,81,72,51,6,0
21,110,10,54,25,93,28,50,28,3
2,110,9,52,31,89,45,33,11,0
9,106,10,54,38,92,40,17,5,0
14,108,16,54,40,88,40,17,5,0
21,110,11,54,26,107,28,48,26,3
17,112,14,54,41,88,35,12,5,0
2,110,10,54,22,77,46,58,22,0
20,110,15,54,11,72,32,91,46,3
2,110,16,54,23,83,53,61,21,0
20,110,28,54,39,115,46,32,9,3
11,114,10,54,38,67,38,17,6,0
16,111,14,54,41,100,35,12,5,0
2,110,39,54,32,79,75,61,9,0
19,113,16,51,42,88,35,12,5,0
60,110,36,54,49,112,9,14,20,4
27,110,42,54,45,111,54,30,5,0
20,110,26,54,40,113,43,27,8,3
9,110,15,55,38,89,44,21,5,0
10,114,20,53,38,88,48,26,6,0
10,110,14,54,38,85,42,20,6,0
21,110,10,54,29,60,28,40,23,3
2,109,9,51,29,81,45,38,13,0
21,110,12,54,26,99,29,49,26,3
10,110,21,56,38,88,50,27,5,0
9,110,20,49,38,88,49,26,5,0
2,107,10,54,36,96,45,21,5,0
2,110,10,55,29,88,46,39,13,0
2,95,11,54,25,88,48,51,18,0
21,111,13,54,43,89,30,6,5,0
12,106,19,54,39,88,45,22,5,0
14,106,40,53,40,88,64,41,5,0
22,110,15,54,43,88,31,8,5,0
6,111,41,54,37,98,72,49,5,0
2,110,12,54,25,101,48,51,18,0
27,108,41,54,44,88,51,31,6,0
8,110,19,54,38,109,49,25,5,0
20,110,20,53,43,106,38,13,5,0
12,109,19,52,39,88,45,22,5,0
10,106,14,55,38,67,42,20,6,0
22,110,21,53,43,88,37,14,5,0
2,110,9,54,33,65,46,28,8,0
6,109,33,54,37,88,65,42,5,0
14,109,12,54,40,89,36,13,5,0
2,110,37,52,27,74,73,72,16,0
20,110,25,54,33,81,43,44,17,3
65,108,41,53,48,65,9,21,24,4
20,110,31,51,40,106,48,32,8,3
21,113,18,54,43,111,35,11,5,0
9,112,16,54,38,97,45,22,5,0
14,109,19,54,40,92,43,20,5,0
2,110,11,54,24,109,47,53,20,0
64,110,40,49,48,88,9,20,23,4
2,110,11,54,26,79,47,48,17,0
8,110,35,54,38,103,65,41,5,0
21,110,25,54,43,88,42,18,5,0
7,110,12,60,37,88,42,20,6,0
2,110,26,47,26,88,61,63,17,0
31,110,42,54,47,92,49,25,5,0
4,110,12,53,36,86,47,24,5,0
2,110,12,57,24,88,48,54,20,0
49,111,20,54,19,88,11,75,49,4
16,106,19,54,41,105,41,17,5,0
17,107,17,54,41,88,37,15,5,0
14,110,28,54,39,82,53,32,6,0
2,110,28,54,28,110,64,60,15,0
15,107,14,54,40,88,37,15,6,0
9,110,14,56,37,76,43,22,6,0
2,110,9,54,29,68,46,38,13,0
10,110,15,54,38,77,43,21,6,0
2,110,11,54,22,64,48,58,22,0
8,110,14,47,37,88,44,23,6,0
6,109,14,54,37,88,45,22,5,0
20,110,15,54,6,82,32,104,52,3
10,109,21,54,38,88,50,27,5,0
2,110,39,54,34,76,75,55,7,0
10,110,12,54,39,93,40,16,5,0
2,110,12,54,25,192,48,52,18,0
41,110,14,62,5,97,13,105,63,4
9,109,18,54,38,91,47,24,5,0
8,109,9,54,38,107,38,15,5,0
21,108,30,56,37,72,47,39,12,3
21,112,21,54,42,83,38,16,6,0
13,110,14,50,39,88,38,17,6,0
20,111,10,54,42,88,29,6,5,0
2,112,30,54,34,86,66,47,7,0
20,110,11,53,21,85,29,61,33,3
21,110,29,58,34,88,46,45,16,3
9,110,19,54,37,69,48,27,6,0
20,106,29,54,40,88,47,30,8,3
2,110,11,54,20,92,48,64,25,0
14,111,28,51,40,88,52,29,5,0
2,110,28,55,25,88,64,67,18,0
9,110,32,53,37,72,62,41,6,0
65,106,41,54,48,88,9,21,23,4
2,110,10,54,31,81,47,35,10,0
21,110,19,55,43,88,37,13,5,0
21,110,9,54,16,69,26,72,39,3
7,110,13,47,37,88,44,22,5,0
2,110,9,54,35,91,45,22,5,0
45,111,17,54,10,88,12,95,59,4
10,113,12,54,38,86,40,18,6,0
8,110,22,59,37,88,52,31,6,0
9,111,19,54,38,92,49,25,5,0
15,109,19,54,40,87,42,20,5,0
16,109,19,54,40,82,42,20,6,0
10,109,11,48,39,102,39,15,5,0
11,110,19,54,39,92,47,23,5,0
2,110,16,54,33,65,52,35,8,0
7,115,17,55,37,88,48,26,5,0
21,110,22,54,43,88,39,15,5,0
2,110,12,49,31,88,49,37,10,0
7,109,21,54,37,88,51,29,6,0
2,110,8,54,29,93,44,37,13,0
2,110,29,54,28,59,65,61,14,0
50,110,22,54,23,114,12,67,45,4
21,110,29,52,41,87,46,27,7,3
18,110,17,54,42,99,38,13,5,0
21,110,12,53,23,85,29,57,30,3
2,110,14,54,30,70,50,40,12,0
2,110,10,59,31,88,46,34,10,0
6,110,9,54,37,113,41,18,5,0
6,105,21,54,37,98,53,29,5,0
10,106,40,54,38,69,68,46,6,0
21,110,40,54,43,114,57,33,5,0
14,111,39,54,39,85,64,43,6,0
10,111,19,51,38,88,46,25,6,0
15,108,14,48,40,80,38,15,5,0
13,108,28,54,39,85,53,32,6,0
21,110,30,52,41,89,47,28,7,3
21,110,26,56,39,88,43,29,10,3
2,110,16,53,28,88,53,48,14,0
6,110,15,54,36,67,47,26,6,0
20,110,10,55,14,96,27,78,42,3
27,110,42,54,45,99,54,30,5,0
21,110,30,54,41,109,47,29,7,3
8,108,10,54,37,72,40,19,6,0
15,110,43,55,40,88,66,44,6,0
2,110,10,54,34,86,46,27,7,0
13,106,12,54,39,88,37,16,6,0
2,110,10,54,21,78,46,60,23,0
14,111,11,54,40,102,35,12,5,0
20,111,14,54,42,88,33,10,5,0
23,113,14,49,43,88,30,7,5,0
2,110,14,59,34,89,49,30,7,0
11,108,26,57,39,93,53,29,5,0
6,107,11,54,37,100,43,20,5,0
11,115,19,54,39,95,46,22,5,0
21,110,29,54,42,102,46,25,6,0
7,107,32,54,37,88,63,41,6,0
10,107,18,53,38,88,47,24,5,0
6,110,14,54,37,105,46,22,5,0
11,110,21,54,38,62,48,27,6,0
45,106,17,54,15,88,12,82,53,4
50,110,21,55,20,88,11,74,49,4
2,110,8,54,31,111,44,32,11,0
21,109,29,54,42,91,46,25,6,0
20,110,11,54,23,57,29,56,30,3
20,109,12,48,29,68,30,42,22,3
6,112,19,59,37,98,51,28,5,0
2,110,10,54,31,86,47,35,10,0
48,110,19,54,18,67,11,77,50,4
21,111,10,54,27,87,28,45,25,3
6,108,14,54,37,94,46,22,5,0
20,110,11,54,30,64,29,38,21,3
9,107,19,54,38,88,48,25,5,0
9,112,17,54,38,103,46,23,5,0
9,110,9,55,38,96,38,15,5,0
2,110,10,54,32,219,46,31,9,0
2,110,14,54,30,83,50,40,12,0
9,113,9,54,38,100,38,15,5,0
2,110,10,53,34,90,46,26,7,0
2,110,12,54,35,80,48,26,6,0
19,109,15,54,42,88,34,11,5,0
14,110,28,56,40,89,52,29,5,0
2,110,9,54,32,112,45,31,9,0
9,111,19,54,38,110,48,25,5,0
10,110,10,54,38,74,38,17,6,0
7,108,18,54,37,88,49,27,5,0
16,110,16,54,41,97,38,15,5,0
2,110,11,50,32,88,47,33,9,0
7,110,11,51,37,88,43,20,5,0
20,110,29,55,37,83,47,38,12,3
12,110,9,61,39,88,36,13,5,0
22,110,15,59,43,88,31,8,5,0
21,110,28,54,42,89,45,24,6,0
20,110,15,54,16,75,32,78,39,3
21,115,13,54,20,92,30,66,34,3
63,110,39,51,49,96,9,17,22,4
21,110,15,54,43,115,32,8,5,0
10,110,10,54,39,119,37,13,5,0
22,110,14,57,43,88,30,7,5,0
24,110,19,54,44,91,34,10,5,0
20,111,29,58,40,88,47,30,8,3
2,110,14,54,29,94,50,43,13,0
8,110,10,47,37,88,40,19,6,0
16,115,35,54,41,97,57,33,5,0
2,110,28,52,28,78,64,60,14,0
21,110,10,54,17,93,27,70,38,3
2,110,14,54,36,97,49,25,5,0
23,110,21,59,43,88,36,14,6,0
2,110,39,54,30,86,75,66,12,0
8,108,14,54,37,78,43,22,6,0
7,114,19,54,37,88,49,27,6,0
8,109,16,54,37,85,46,25,6,0
8,111,35,54,37,88,66,44,6,0
21,110,23,54,42,72,40,18,6,0
9,110,19,52,37,58,48,27,6,0
8,110,19,56,37,87,49,28,6,0
20,110,10,50,32,76,27,31,19,3
2,110,39,61,35,88,75,53,6,0
29,110,46,54,45,76,54,34,6,0
9,113,14,54,37,75,43,22,6,0
2,110,12,50,35,83,47,26,6,0
2,110,11,54,25,108,47,51,18,0
10,110,19,60,38,76,47,25,6,0
6,110,16,54,37,97,47,24,5,0
14,110,15,54,40,99,39,16,5,0
41,112,14,55,5,99,13,105,64,4
18,110,19,55,41,74,39,18,6,0
2,110,9,53,33,88,45,28,8,0
20,114,19,54,42,88,36,15,6,0
15,113,10,59,40,88,33,11,6,0
2,109,39,51,35,83,75,52,5,0
6,110,16,54,37,98,47,24,5,0
2,110,31,54,33,75,67,50,8,0
4,107,11,60,36,88,45,22,5,0
2,108,8,54,35,75,43,22,6,0
2,110,10,54,11,85,47,86,36,0
20,110,16,54,9,86,33,97,48,3
8,110,14,54,37,84,44,23,6,0
14,113,35,54,40,90,59,36,5,0
3,107,10,60,36,88,45,21,5,0
10,110,9,53,38,82,37,15,6,0
2,105,10,54,35,89,46,24,5,0
11,112,16,54,39,98,43,20,5,0
2,110,28,54,27,81,64,62,16,0
2,110,16,55,20,88,52,68,25,0
24,110,19,54,43,83,33,12,6,0
2,110,16,54,27,64,53,51,16,0
10,109,12,54,39,97,40,16,5,0
10,109,21,54,38,72,48,27,6,0
20,112,5,41,21,89,23,55,33,3
3,110,40,54,36,93,75,51,5,0
10,106,12,54,38,73,39,18,6,0
9,107,10,54,38,105,39,16,5,0
46,110,17,54,12,75,12,91,57,4
2,110,14,53,35,88,50,28,5,0
13,110,15,53,39,86,40,18,6,0
6,110,13,56,37,88,45,22,5,0
6,106,10,54,37,88,42,19,5,0
12,113,19,56,39,88,46,23,5,0
2,110,11,54,28,83,47,43,14,0
6,110,12,58,37,93,44,21,5,0
7,112,19,55,37,88,50,28,6,0
27,110,42,56,44,88,53,32,6,0
14,110,18,54,40,96,42,19,5,0
29,111,46,57,45,88,55,34,6,0
2,110,10,58,24,88,47,53,19,0
2,110,10,52,24,88,46,52,19,0
13,110,17,62,39,88,42,20,6,0
10,110,18,55,39,106,46,22,5,0
12,110,19,47,39,88,45,23,5,0
21,115,29,54,40,89,46,30,9,3
2,110,16,54,22,65,52,63,22,0
2,110,14,54,20,101,50,67,25,0
19,111,15,54,42,88,34,11,5,0
8,111,9,54,37,88,39,17,6,0
20,110,11,53,24,89,29,53,29,3
6,109,14,54,37,103,47,23,5,0
44,110,16,54,9,126,12,97,60,4
2,110,14,50,29,89,50,44,13,0
16,110,19,54,41,93,41,17,5,0
21,110,28,54,43,92,45,22,5,0
2,110,39,54,30,75,74,65,12,0
13,114,10,54,39,88,34,13,6,0
10,109,14,54,38,71,42,20,6,0
10,114,41,54,38,88,69,47,5,0
6,105,41,54,37,88,73,50,5,0
2,110,9,54,34,107,45,26,7,0
11,113,23,54,39,99,50,26,5,0
19,110,21,52,42,88,40,16,5,0
2,106,23,54,32,88,59,45,9,0
8,110,18,55,37,88,48,27,6,0
6,110,21,51,36,76,54,33,6,0
20,106,13,52,29,81,31,42,22,3
7,105,17,54,37,88,48,26,6,0
20,110,25,54,19,93,42,80,35,3
16,114,18,54,40,77,40,19,6,0
2,110,11,54,19,104,48,66,26,0
3,108,25,54,31,119,60,49,11,0
6,110,12,53,36,88,45,24,6,0
10,110,21,54,38,76,48,27,6,0
20,114,10,54,42,88,28,6,5,0
2,110,14,55,35,88,49,27,6,0
10,109,17,54,38,83,44,23,6,0
13,109,17,51,39,83,42,21,6,0
48,110,19,54,20,109,11,72,48,4
2,110,38,54,28,110,74,70,14,0
9,110,19,52,38,90,49,25,5,0
16,105,10,54,41,88,32,8,5,0
2,110,16,54,24,109,52,58,20,0
20,114,22,54,42,88,40,18,5,0
6,110,16,58,36,81,48,27,6,0
2,110,28,54,25,102,64,67,18,0
2,110,13,54,26,99,49,50,17,0
7,110,14,58,37,88,45,22,5,0
2,110,37,54,31,63,72,61,11,0
4,111,19,61,36,88,52,30,5,0
17,108,16,54,41,88,38,15,5,0
7,110,19,53,37,88,50,28,6,0
2,110,14,54,26,87,50,51,17,0
21,111,31,54,38,87,48,37,11,3
2,110,38,59,28,88,74,70,14,0
9,109,12,54,37,58,42,21,6,0
20,110,16,54,42,87,34,12,6,0
2,110,10,54,36,92,45,21,5,0
20,110,12,54,27,70,29,46,25,3
2,110,40,55,33,88,76,59,8,0
7,110,17,53,37,87,48,26,6,0
20,110,10,47,27,98,28,45,25,3
14,110,15,54,40,93,39,16,5,0
14,110,21,54,39,80,46,25,6,0
10,110,21,54,39,110,48,24,5,0
18,110,21,57,41,78,41,19,6,0
16,110,15,54,40,76,37,16,6,0
2,110,15,52,34,88,51,31,6,0
6,110,16,54,37,95,47,24,5,0
10,110,39,54,39,102,67,43,5,0
8,110,14,54,38,110,43,20,5,0
10,110,9,54,39,113,36,12,5,0
21,110,9,54,20,91,26,62,34,3
13,111,27,55,39,88,52,31,6,0
13,110,28,54,39,88,53,32,6,0
2,110,28,54,25,88,64,67,18,0
11,110,19,30,39,88,46,23,5,0
17,109,16,54,41,88,37,14,5,0
11,111,10,54,39,94,38,14,5,0
6,110,13,54,37,106,45,22,5,0
10,112,26,54,39,111,54,30,5,0
6,110,17,54,36,60,49,28,6,0
20,109,20,54,42,86,38,16,6,0
8,109,20,54,37,73,50,29,6,0
21,110,9,50,14,88,26,77,42,3
3,112,9,54,36,98,44,20,5,0
14,110,17,57,40,88,41,18,5,0
6,111,11,54,36,74,43,22,6,0
2,110,8,54,32,130,44,29,9,0
