col1,col2,col3,col4,col5,col6,col7,class
161,136,167,149,175,129,118,1
159,146,85,168,141,140,125,1
148,126,166,136,149,40,108,1
186,165,95,180,161,22,129,1
146,122,164,122,150,178,92,1
153,128,183,136,155,62,113,1
168,144,151,152,171,66,112,1
116,103,86,131,92,144,99,1
128,114,70,126,109,131,99,1
119,102,122,120,112,164,102,1
116,93,163,84,121,102,82,1
145,125,108,153,139,96,117,1
120,109,41,133,86,52,104,1
121,108,53,124,94,57,96,1
132,111,127,128,124,111,109,1
69,64,34,83,55,175,80,2
73,65,62,92,64,203,83,2
74,66,63,67,65,193,70,2
45,34,72,38,49,182,60,2
31,39,12,51,23,145,53,2
12,25,4,48,8,195,67,2
23,25,16,30,16,36,43,2
53,43,74,46,49,142,26,2
58,54,36,65,43,84,75,2
2,12,3,52,3,181,57,2
32,31,37,45,33,172,70,2
35,46,7,71,22,202,66,2
46,51,15,72,30,153,79,2
10,19,11,37,9,87,25,2
19,20,21,29,18,119,65,2
11,20,8,43,5,190,58,2
17,10,58,8,36,89,27,2
41,55,0,68,17,155,59,2
29,46,1,80,6,139,73,2
25,30,10,50,10,179,73,2
54,53,26,81,38,75,87,2
36,35,38,59,28,132,71,2
37,40,24,46,35,167,32,2
55,49,46,57,50,141,52,2
9,5,46,6,25,197,33,2
39,26,110,16,45,34,34,2
51,50,32,53,41,161,66,2
42,42,27,76,32,105,76,2
18,24,13,30,4,138,43,2
14,16,18,13,13,95,37,2
8,16,5,56,11,201,50,2
26,23,30,28,34,200,19,2
16,15,25,11,20,135,24,2
20,22,20,20,20,186,38,2
5,14,2,47,1,171,56,2
3,1,56,2,29,154,35,2
15,17,17,33,12,177,40,2
1,4,14,25,2,151,23,2
24,20,33,31,19,191,26,2
44,44,29,61,40,17,53,2
21,13,47,13,21,163,12,2
52,40,86,40,56,166,47,2
43,37,52,41,42,157,49,2
28,21,51,17,37,173,44,2
67,58,44,87,57,196,75,2
27,33,6,62,7,121,55,2
30,42,6,75,14,159,78,2
6,6,19,11,5,127,19,2
13,7,57,12,29,204,20,2
0,0,71,0,24,165,10,2
7,6,22,7,15,180,31,2
16,9,48,14,27,116,25,2
34,18,112,19,46,100,43,2
4,8,9,31,0,156,38,2
40,32,68,40,52,125,28,2
65,44,132,27,70,158,18,2
64,47,109,38,61,184,21,2
75,59,126,54,71,148,39,2
56,53,35,73,43,85,64,2
62,38,155,9,76,61,14,2
50,41,61,36,54,183,31,2
57,34,157,3,73,44,6,2
10,3,79,5,28,120,13,2
58,40,138,32,66,206,24,2
49,44,50,34,48,113,25,2
43,28,107,21,53,104,16,2
13,11,39,24,26,136,27,2
71,52,141,40,87,205,34,2
33,29,40,29,31,101,30,2
47,36,81,42,51,188,35,2
