day,month,year,Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
12,3,0,6,22,10,0,142,17,89,99,21,18,3
13,3,0,5,54,6,0,111,25,107,61,31,100,3
14,3,0,9,24,4,0,143,39,122,81,46,123,3
15,3,0,10,3,4,0,169,66,135,34,72,57,3
16,3,0,11,17,3,0,164,83,140,24,81,53,3
17,3,0,13,6,4,1,155,85,161,98,86,44,3
18,3,0,6,14,17,1,106,82,177,49,88,99,3
19,3,0,11,31,4,2,82,51,179,44,78,85,6
20,3,0,12,7,8,0,163,77,195,33,89,71,3
21,3,0,10,37,4,0,144,87,5,83,102,35,3
22,3,0,12,29,5,0,145,93,9,87,109,42,3
23,3,0,3,22,16,21,32,20,77,6,19,4,6
24,3,0,5,43,6,0,84,32,93,46,29,79,6
25,3,0,7,38,5,0,117,39,112,63,41,106,3
26,3,0,5,59,6,29,6,141,164,1,145,0,6
27,3,0,4,59,15,5,10,99,153,4,93,2,6
28,3,0,1,27,9,1,83,116,25,17,129,7,6
29,3,0,1,37,6,2,46,101,34,12,121,5,7
