Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation
267,1,0,11,1,2,15,7,1,3,3,4,11,1
274,0,0,16,4,2,15,10,2,3,2,12,11,1
42,0,2,10,0,0,7,6,2,16,3,21,11,0
197,1,0,14,1,4,7,7,2,7,2,1,8,0
305,1,2,14,4,2,7,10,2,3,3,12,10,0
338,11,0,14,1,4,7,10,2,3,3,12,8,1
443,5,0,0,1,4,7,7,2,3,3,12,11,0
88,5,0,14,0,2,15,12,1,15,3,12,4,0
448,1,0,0,1,3,7,6,2,3,3,20,2,1
49,1,2,13,1,3,7,10,1,9,3,12,11,0
208,1,3,0,0,4,3,4,1,3,3,12,11,1
158,5,2,16,4,3,15,10,1,3,3,12,0,1
418,1,2,9,4,3,7,10,2,9,3,12,0,0
440,1,0,0,0,2,7,6,2,15,3,11,11,1
143,1,0,12,4,0,7,10,2,15,3,21,11,1
112,10,0,11,1,2,7,12,2,15,3,12,4,0
437,3,0,0,2,4,14,4,2,3,3,12,8,0
96,1,0,15,2,4,14,4,2,3,3,12,11,1
323,10,2,12,0,0,7,10,2,3,3,12,11,1
236,6,2,11,1,3,15,10,2,15,3,12,10,1
447,12,0,0,1,0,11,10,2,15,3,3,8,0
362,7,1,0,1,2,15,4,2,16,3,12,11,1
351,1,0,0,4,2,7,7,2,3,3,11,9,0
393,1,0,16,1,3,7,7,1,15,3,12,0,0
97,1,0,13,1,5,7,10,2,3,3,21,11,0
406,5,2,6,2,0,7,10,1,3,3,12,11,1
335,1,0,16,1,0,15,7,2,3,2,2,11,0
381,1,2,0,4,3,15,6,2,18,2,1,11,0
34,1,3,11,2,4,7,4,2,15,3,12,8,1
260,12,0,14,0,3,15,7,2,15,3,11,11,0
433,1,3,0,1,0,15,7,1,15,3,12,11,0
186,6,0,16,4,3,15,10,2,3,1,12,10,1
460,10,2,0,1,2,15,7,2,15,14,20,11,1
247,5,0,8,1,4,15,10,2,3,5,12,11,0
111,1,2,14,4,2,7,4,2,3,21,12,11,0
32,1,2,10,2,0,7,10,2,15,3,12,11,0
87,1,2,13,0,2,7,7,2,2,3,3,2,0
159,1,0,16,3,4,3,4,2,3,3,12,4,1
386,1,2,0,4,2,15,10,2,3,3,12,10,0
265,1,0,0,4,2,7,10,2,3,3,12,11,0
272,6,6,13,4,4,15,10,2,15,3,12,11,1
427,1,2,16,1,3,15,10,1,15,3,20,0,0
232,9,0,13,1,2,15,10,2,15,3,11,11,0
302,5,2,16,4,2,7,4,2,3,21,12,13,0
277,11,2,12,1,3,7,7,2,3,3,12,10,0
399,1,0,0,4,4,7,6,1,15,3,11,11,0
352,1,5,15,0,3,3,7,2,3,3,12,8,1
373,1,2,0,2,0,7,4,2,3,3,2,11,1
319,5,0,6,2,0,15,10,2,16,3,12,8,1
333,5,2,16,1,0,7,4,2,3,3,12,10,1
164,0,0,12,1,4,9,12,2,3,3,12,11,0
446,1,0,0,0,2,3,10,2,3,3,1,8,1
54,1,0,14,0,4,7,7,2,3,3,17,11,1
453,4,3,0,1,4,6,6,2,3,3,21,11,0
200,5,2,14,1,2,7,6,2,18,3,12,11,0
419,1,3,0,2,2,15,4,2,3,3,12,0,1
345,1,3,0,1,2,15,12,2,18,3,20,11,1
214,1,0,0,1,2,7,10,2,18,3,12,10,0
444,1,0,0,4,4,15,4,2,3,3,20,10,0
341,11,2,14,2,3,7,7,2,3,3,20,10,0
129,5,2,14,0,3,15,4,2,3,7,1,10,1
154,8,0,6,4,3,8,4,2,3,3,22,11,0
152,1,0,13,0,3,15,7,2,3,3,12,10,1
434,1,2,0,4,4,7,6,2,15,21,12,8,1
211,6,2,14,4,3,7,7,2,3,3,12,0,1
7,12,3,12,0,4,12,7,1,3,3,0,11,0
216,11,0,13,0,3,7,7,2,3,3,4,11,0
81,7,2,13,1,2,7,7,1,15,3,20,2,1
50,1,2,12,4,0,7,4,2,3,3,12,11,1
325,1,3,0,4,2,7,10,2,3,2,22,11,1
92,1,0,13,0,0,7,6,2,3,3,12,11,0
407,5,0,0,0,0,15,10,1,3,3,12,8,0
124,1,2,13,4,4,7,10,2,3,7,12,11,1
355,1,0,0,1,0,7,7,1,15,3,1,10,0
146,7,0,14,0,0,11,10,2,3,3,11,11,0
349,9,0,16,1,2,7,6,2,3,3,12,11,1
264,7,0,9,0,4,7,10,2,3,3,12,11,0
308,1,0,11,0,2,7,7,2,3,3,12,8,0
334,1,2,13,0,0,7,4,2,3,3,12,10,0
290,1,2,11,4,0,15,7,2,18,21,12,11,0
229,10,0,4,0,4,15,4,2,15,20,2,11,1
181,12,0,14,0,4,15,7,2,10,2,12,11,0
384,11,0,0,4,3,7,10,2,3,3,12,11,0
133,5,2,12,4,2,7,4,2,3,3,12,6,1
388,5,2,0,4,4,15,10,1,3,3,12,11,1
205,12,0,12,0,2,7,7,1,3,7,12,8,0
261,1,0,10,1,3,7,7,1,3,3,12,8,0
193,7,2,15,1,0,7,7,2,2,3,3,2,0
218,5,2,12,4,3,15,10,2,3,2,2,11,0
138,9,0,10,4,0,15,12,2,3,3,12,11,0
369,1,0,0,4,2,7,7,2,3,3,12,11,1
454,1,2,0,1,3,15,4,2,0,3,12,11,0
69,5,0,12,1,4,7,4,2,15,3,12,8,1
82,12,0,12,1,2,15,4,2,3,3,12,11,0
64,7,0,13,0,4,7,10,2,2,3,12,11,0
347,6,0,13,0,0,7,10,2,3,3,12,11,0
468,7,1,0,1,4,7,12,1,18,3,12,8,0
439,1,0,0,3,4,7,7,1,15,3,4,11,0
311,3,0,15,0,0,7,7,2,15,3,12,10,1
3,1,2,13,1,0,7,4,2,3,3,12,11,0
259,7,0,9,4,3,3,10,2,3,3,12,11,1
426,5,2,0,4,0,11,7,1,3,3,11,11,0
10,7,2,13,3,3,7,7,1,2,3,3,10,0
392,5,5,11,0,2,7,10,2,3,3,12,11,0
287,1,0,13,1,0,7,10,2,3,3,12,0,1
432,1,0,0,0,2,3,10,2,3,3,12,11,1
219,7,5,13,4,3,7,10,2,3,3,12,10,1
136,1,5,10,4,3,14,10,2,3,3,12,11,0
221,1,0,14,0,7,15,7,1,15,3,20,11,0
306,11,0,9,4,7,7,7,2,2,3,12,10,0
339,7,5,11,0,3,7,10,2,3,3,21,11,1
13,1,0,10,1,3,14,10,2,2,3,12,11,0
402,11,3,0,2,4,14,6,2,3,2,12,9,0
18,5,5,13,4,3,14,10,2,3,3,12,11,1
438,11,1,0,0,3,7,7,2,3,3,12,10,0
456,1,5,0,4,2,15,12,2,18,3,12,11,1
387,5,0,0,2,0,11,7,2,3,3,12,11,0
281,1,2,0,4,2,7,7,2,3,3,11,11,0
149,7,3,16,4,4,7,10,2,18,3,12,11,1
192,1,2,13,4,3,7,10,2,3,3,12,10,0
220,5,2,14,4,2,15,10,2,3,3,22,11,1
168,1,0,11,0,4,7,7,2,3,3,3,8,0
470,11,0,0,2,2,7,4,2,10,3,8,10,0
161,1,0,5,4,0,3,4,2,3,3,12,11,1
337,11,0,14,0,4,7,10,2,3,3,12,8,0
121,7,0,0,3,2,3,4,2,3,21,1,2,1
150,1,0,0,0,4,8,7,2,10,13,1,11,1
379,10,3,16,1,4,7,10,1,15,3,3,11,0
86,0,0,15,4,3,11,10,2,3,3,12,11,0
145,1,1,15,2,2,7,12,2,3,3,12,2,1
114,0,0,12,4,4,7,4,2,10,3,21,11,0
73,1,2,11,4,4,7,4,2,10,21,1,11,0
314,1,2,14,3,3,7,7,1,10,3,21,4,0
238,5,3,12,0,3,7,7,2,20,7,12,11,0
372,1,0,11,1,4,15,10,2,3,3,4,13,0
359,12,0,0,2,0,7,10,2,6,3,12,8,0
459,1,2,0,0,4,7,10,1,15,3,12,6,0
289,7,5,16,0,4,7,12,2,18,3,21,10,0
116,0,0,9,1,2,7,4,2,10,21,22,8,1
74,5,5,10,4,0,7,4,1,3,3,12,6,0
445,7,5,0,4,3,9,7,1,3,2,1,10,0
11,1,0,11,4,3,7,7,2,3,3,12,11,1
266,5,5,13,1,4,11,10,2,13,3,21,11,1
4,1,5,13,4,2,7,10,1,3,3,12,3,0
38,1,3,14,1,4,9,7,2,15,3,12,8,0
16,5,5,9,4,4,15,10,2,18,21,12,11,1
435,6,0,0,0,4,14,4,2,10,3,12,11,0
249,1,2,0,4,3,7,4,2,3,3,12,8,0
209,7,3,14,4,2,11,10,2,15,3,21,11,1
380,5,0,0,2,0,15,10,1,3,3,2,11,0
131,1,2,12,2,2,7,4,2,3,3,12,11,1
85,11,3,13,4,2,14,10,2,10,3,12,11,1
165,12,5,13,4,3,7,4,1,3,3,12,11,0
102,7,0,14,1,3,7,7,2,3,3,18,11,0
206,7,0,0,1,3,7,7,2,3,3,12,10,0
9,1,0,13,1,7,7,4,2,3,3,12,0,0
77,1,5,12,4,7,7,4,2,15,3,1,11,1
215,9,0,16,4,3,15,10,2,3,3,12,11,0
368,1,0,0,4,3,15,10,2,3,3,12,8,0
113,5,0,16,0,7,7,12,2,15,3,12,4,0
228,5,0,14,4,4,7,10,2,15,3,8,11,0
196,1,0,13,2,3,15,7,2,3,3,12,2,0
182,1,0,7,1,0,15,4,2,3,3,21,11,1
315,1,0,16,3,0,7,7,2,2,3,12,11,0
353,5,0,16,1,3,15,10,1,3,3,22,11,1
284,12,0,12,0,3,11,7,2,3,3,12,11,0
389,1,0,11,1,3,9,10,2,3,3,12,11,0
99,11,0,11,0,0,7,10,1,3,21,12,11,0
403,1,0,0,1,3,7,12,2,13,2,12,11,1
268,7,0,13,0,3,7,10,2,3,21,12,10,0
137,6,2,13,4,4,7,7,2,13,3,21,10,0
356,1,5,16,4,2,11,10,1,20,3,12,13,1
397,1,0,16,1,4,7,10,2,3,3,21,11,1
185,1,0,9,4,3,7,10,2,3,21,12,13,0
118,12,5,11,1,4,15,12,2,3,3,12,8,0
109,1,0,9,2,2,3,4,2,3,3,12,8,1
400,1,0,10,0,0,7,6,2,3,4,12,0,0
17,10,2,9,1,0,8,7,2,5,3,12,10,0
110,1,2,12,4,3,7,4,2,3,21,12,11,1
115,1,5,12,0,4,7,4,2,3,3,12,11,0
303,1,0,12,1,2,7,10,2,3,3,21,11,1
332,1,5,0,4,0,9,12,1,3,3,12,11,0
253,1,0,13,2,2,7,6,1,3,3,12,11,1
457,1,0,0,2,3,7,10,1,3,3,12,11,0
298,1,5,14,4,3,7,10,2,3,3,12,10,1
383,1,0,16,2,4,7,10,1,15,3,12,9,0
428,5,6,0,4,4,15,10,2,15,9,12,11,0
231,1,5,10,4,3,7,10,2,15,3,21,10,0
66,1,0,14,1,0,15,7,2,3,3,8,10,1
245,1,0,16,4,3,15,10,2,11,3,12,8,0
84,5,5,14,1,0,15,4,2,3,3,12,10,1
71,1,0,12,4,4,15,4,2,3,6,12,13,0
244,1,0,12,1,4,15,4,2,2,3,12,11,0
385,1,5,16,2,2,7,10,2,2,3,12,10,0
463,7,0,0,1,4,7,7,2,15,3,21,11,0
5,1,5,14,4,2,7,10,2,2,3,12,10,1
212,1,0,12,1,0,7,7,1,15,3,1,2,0
320,6,0,16,1,2,11,10,1,3,3,20,11,1
189,1,2,15,4,7,7,10,1,18,3,21,10,1
343,1,0,13,0,3,7,10,2,18,3,2,11,0
53,1,3,12,1,7,7,4,2,1,3,12,11,1
202,1,0,13,1,7,15,10,1,15,3,1,10,0
318,5,0,13,1,7,15,10,2,15,2,12,8,0
375,1,0,3,1,7,15,7,2,3,3,12,11,0
140,1,0,14,1,7,7,12,2,3,3,12,10,1
39,1,0,0,1,7,7,4,2,3,7,9,11,1
58,1,5,12,1,3,7,10,2,3,3,21,13,0
123,1,0,13,0,2,15,6,2,3,2,12,10,1
134,1,5,11,4,3,7,4,2,3,3,4,11,0
243,1,0,13,1,3,7,10,2,15,3,12,1,0
78,1,5,11,1,4,7,7,2,2,3,12,11,0
60,1,5,13,2,6,7,4,2,3,3,12,8,0
455,7,2,0,4,3,3,10,2,3,3,12,10,0
51,9,6,16,1,2,11,10,2,2,3,10,11,1
321,1,0,15,1,0,15,10,2,15,3,12,11,1
412,9,6,0,0,4,15,10,2,15,18,2,11,0
364,9,6,0,1,4,15,2,2,3,3,12,11,0
239,1,2,10,1,4,15,15,2,3,3,12,11,1
409,9,6,0,1,2,15,13,2,7,15,1,11,1
442,9,4,0,1,4,1,10,2,3,3,14,11,0
398,9,4,0,1,2,1,10,2,13,3,12,11,0
363,9,0,16,1,4,7,3,1,15,3,12,11,1
24,9,4,13,1,4,13,9,2,3,3,10,11,0
43,9,0,14,4,4,7,10,1,3,3,8,11,1
396,9,0,11,0,3,7,4,2,3,3,12,11,1
296,9,6,15,1,2,1,8,1,3,3,2,11,1
27,9,4,12,1,7,1,10,2,3,3,12,11,0
376,9,0,16,1,2,1,10,2,15,3,12,11,1
80,9,6,14,0,2,1,10,1,8,11,2,11,1
358,9,6,0,1,4,1,10,2,15,3,2,11,1
19,9,4,12,0,2,11,10,1,18,3,2,11,0
104,9,0,14,0,3,1,10,1,3,3,16,11,1
223,9,3,12,2,4,0,7,1,3,3,6,11,0
29,9,6,15,1,2,1,10,2,18,3,2,11,1
130,9,3,14,2,2,15,10,1,3,3,12,11,1
106,9,6,8,0,4,15,10,2,3,3,12,11,1
45,1,2,10,4,3,7,10,2,3,3,12,11,1
76,9,6,7,1,4,0,7,2,3,10,1,11,1
452,9,6,0,1,4,7,4,2,3,3,9,11,1
48,1,4,12,1,3,1,10,1,3,3,2,11,1
28,9,0,13,4,4,7,10,2,15,3,12,11,0
26,9,6,13,0,4,11,10,1,21,3,2,11,1
56,9,6,11,1,2,15,2,2,3,3,12,11,1
103,9,0,13,4,2,1,10,1,16,3,2,11,1
141,9,4,14,1,3,1,10,3,3,15,12,11,1
90,9,4,12,1,3,11,10,2,3,3,12,11,1
33,9,3,13,1,4,7,10,1,3,3,4,11,1
95,7,0,10,4,2,1,10,1,20,18,19,11,1
257,9,0,16,1,2,7,10,2,3,3,12,11,1
52,9,6,14,4,2,1,10,2,15,3,2,11,1
25,9,3,14,1,2,7,10,2,18,3,6,11,1
89,9,6,15,0,2,11,10,2,3,3,10,11,1
410,9,3,0,4,4,15,7,1,3,3,12,11,1
361,12,0,16,4,4,7,5,2,8,3,12,11,0
0,9,6,15,1,2,15,10,1,3,15,2,11,1
282,1,4,16,4,3,15,10,2,13,3,12,11,1
295,1,6,0,6,2,7,4,2,3,3,1,11,0
217,1,3,13,1,2,7,10,2,3,3,3,11,1
285,9,0,0,1,2,15,10,2,3,3,12,11,1
169,1,0,10,4,3,11,10,1,3,3,12,11,1
40,1,6,12,1,7,7,7,2,3,3,10,11,1
93,1,2,10,4,7,5,10,2,3,3,7,11,1
180,9,4,11,1,7,7,10,2,3,3,12,11,1
405,1,0,14,4,3,7,10,2,3,3,12,11,0
357,5,0,16,1,3,7,9,2,15,2,18,11,0
213,11,0,15,4,3,7,16,1,3,3,12,11,0
248,11,0,13,2,3,14,7,1,3,3,12,11,0
329,12,0,15,1,3,12,6,1,15,15,21,11,0
63,1,5,13,0,2,7,7,2,2,3,12,11,0
61,1,0,14,0,0,7,7,2,1,3,12,11,0
220,5,5,13,4,2,15,9,2,3,3,22,11,1
340,1,0,0,2,4,11,6,2,13,2,12,11,0
293,1,0,8,2,4,15,10,1,14,3,11,8,0
471,3,0,0,4,3,7,4,2,3,15,11,11,0
1,1,2,9,4,3,2,10,1,2,3,6,11,0
391,1,0,5,1,3,3,10,2,6,3,12,11,0
342,1,0,16,4,7,7,10,2,15,2,12,11,1
158,5,5,16,4,2,15,10,1,3,3,12,11,0
408,7,2,0,4,4,7,10,2,3,3,12,11,0
328,11,0,14,1,3,15,4,2,16,13,12,11,1
347,6,0,14,0,4,7,10,2,15,3,12,11,0
234,6,0,0,4,2,7,10,2,16,3,12,13,1
139,5,0,11,1,3,4,10,2,3,3,12,11,0
416,3,3,8,1,4,7,6,2,15,3,11,0,1
171,1,2,16,4,2,15,4,2,3,3,12,11,1
348,1,0,16,0,4,7,14,2,15,3,1,11,0
203,1,2,14,1,4,15,10,2,15,3,12,10,0
237,6,2,16,4,2,7,7,2,13,7,21,10,1
382,1,5,16,4,2,4,10,2,18,3,1,10,0
279,1,2,16,1,2,7,8,2,2,3,12,11,1
175,7,0,9,1,3,7,10,2,3,3,12,11,0
465,3,0,0,4,7,7,7,2,15,2,12,11,1
210,7,5,0,0,2,7,10,1,3,3,12,11,1
275,5,2,14,4,2,11,10,2,3,2,22,11,0
241,5,2,14,4,3,11,10,1,18,3,12,11,0
101,1,2,10,1,4,7,10,2,15,3,12,11,0
346,1,0,11,1,4,7,10,2,15,3,19,13,0
60,1,2,13,2,3,7,4,2,3,3,12,8,0
231,1,5,10,4,2,7,10,2,15,3,21,10,0
294,12,0,15,1,4,11,7,2,15,2,20,11,0
162,7,3,12,4,2,7,7,2,2,3,11,11,1
174,1,2,13,4,2,7,6,2,18,3,21,10,0
395,1,2,13,1,4,7,4,1,15,3,12,10,1
262,1,0,14,1,2,7,10,2,3,3,11,10,0
200,5,2,14,0,3,7,10,2,3,3,12,11,1
349,1,0,9,1,2,7,6,2,3,3,12,11,1
204,1,0,13,3,7,15,7,1,9,3,12,10,0
292,1,2,0,0,7,15,4,2,3,3,12,11,0
83,5,0,13,1,0,11,10,2,13,3,18,11,0
225,1,2,13,4,7,7,10,2,3,3,12,11,1
283,1,4,0,0,7,15,4,2,15,3,12,11,0
107,1,2,13,0,3,7,10,2,18,21,12,8,0
21,1,0,13,4,3,15,4,2,3,3,21,11,0
119,1,0,0,4,4,15,4,2,1,3,12,11,1
15,1,5,13,4,3,7,3,2,2,3,12,10,1
8,1,0,13,1,3,7,14,2,2,3,19,11,0
255,5,5,11,4,3,11,10,2,15,0,12,11,0
278,11,5,6,4,3,14,7,2,3,19,11,11,0
227,5,5,13,4,3,15,10,2,3,3,12,11,0
135,6,5,16,4,3,7,10,1,3,2,23,10,1
85,1,5,13,2,4,7,8,2,4,3,12,11,0
273,5,0,11,2,4,15,10,2,15,3,12,11,0
64,7,0,13,1,3,7,10,2,2,3,21,12,0
450,11,2,0,4,3,7,10,2,3,1,12,10,1
190,1,0,7,0,7,7,10,2,15,3,12,11,1
312,1,0,8,1,7,15,4,1,15,3,12,8,1
240,0,0,14,4,7,15,6,2,15,2,12,11,0
86,0,0,15,4,4,7,10,2,3,3,12,11,0
288,5,0,14,2,4,15,10,1,15,3,12,11,0
184,1,0,13,0,4,7,10,2,15,3,12,8,0
126,11,0,13,1,3,15,7,2,16,3,2,10,0
354,1,0,14,4,3,7,10,2,3,3,21,11,0
98,5,2,13,1,4,15,10,2,15,3,12,13,0
72,1,0,16,5,2,14,4,1,3,21,12,11,0
324,1,2,1,1,2,7,6,2,3,3,12,11,0
207,5,0,7,4,3,15,10,2,3,3,12,11,1
378,1,2,6,4,3,15,10,2,3,2,11,10,0
389,12,0,13,1,2,15,10,2,3,3,12,11,1
67,7,0,12,4,2,15,4,2,3,3,12,11,1
201,1,2,16,1,2,7,10,2,20,7,12,10,0
372,1,0,13,1,0,15,10,2,3,3,12,13,1
77,1,5,12,4,7,7,4,2,15,3,1,11,0
160,1,0,11,0,3,7,7,2,3,7,17,11,0
148,7,0,12,1,0,7,14,2,18,3,21,10,0
155,1,2,12,4,0,7,6,2,2,3,12,5,1
170,1,2,13,0,3,7,10,2,3,3,12,11,1
461,5,2,0,0,3,7,10,1,19,3,12,13,0
280,6,0,6,4,4,7,10,2,15,3,20,13,0
75,1,5,13,4,3,7,4,2,3,3,12,11,1
310,12,0,0,1,3,15,10,2,3,21,12,11,1
166,6,0,7,4,3,7,14,2,3,3,11,11,0
411,1,0,0,1,2,7,6,2,3,3,12,11,0
194,0,2,12,1,3,7,7,2,3,3,12,0,0
473,7,2,0,4,2,15,10,1,2,3,12,11,1
270,1,0,16,1,2,7,14,2,20,3,12,11,0
226,1,2,16,4,7,7,4,2,22,3,1,11,0
336,11,0,11,0,7,7,7,1,3,3,22,8,1
120,1,0,11,4,3,7,7,2,15,3,12,11,0
304,6,2,10,0,3,4,7,2,3,3,12,2,0
430,1,4,0,0,7,15,14,2,15,3,20,11,1
263,1,0,14,4,7,7,10,2,15,3,21,11,0
176,0,2,13,1,4,7,4,2,3,3,12,8,0
62,1,3,0,4,4,4,4,2,1,8,12,11,1
393,1,0,13,1,4,7,7,1,15,16,12,0,0
300,9,0,0,1,3,7,4,2,3,3,12,8,1
188,6,0,14,2,3,15,7,2,3,3,12,11,0
269,5,0,15,4,3,12,10,2,15,3,21,10,0
420,1,0,2,1,2,14,7,1,15,3,21,8,0
251,1,5,13,0,0,7,7,2,15,16,12,8,1
122,1,0,9,1,0,7,10,2,15,3,15,11,0
429,1,0,0,3,4,15,7,1,15,16,17,11,1
252,1,2,16,4,3,7,10,2,12,7,15,11,1
464,11,0,0,0,3,12,7,1,3,3,12,2,1
108,1,2,13,4,7,7,10,2,9,3,12,0,0
360,11,0,16,1,3,15,14,2,15,3,12,10,0
246,1,2,13,0,3,7,4,2,10,21,12,8,1
47,6,0,12,1,2,7,10,2,17,16,21,11,0
79,9,0,14,1,3,7,4,2,3,3,12,11,1
258,6,2,12,4,3,15,10,2,3,2,2,11,0
55,9,6,12,4,3,7,10,1,16,3,11,11,0
193,7,2,14,1,2,7,7,2,17,16,3,2,1
330,11,0,0,1,2,7,6,1,15,3,12,0,0
178,1,3,15,0,4,7,7,2,3,2,21,11,0
185,1,0,8,4,3,7,10,2,3,21,12,13,1
153,1,0,15,1,3,7,7,0,3,3,20,8,0
276,6,2,16,3,2,15,14,2,3,16,12,10,1
191,1,0,13,1,3,7,10,2,3,3,12,2,0
401,1,0,0,4,3,4,6,2,3,3,12,11,0
423,1,0,0,4,3,7,10,2,3,3,12,3,0
425,5,3,0,4,7,7,10,2,15,3,22,11,0
16,5,5,10,4,0,15,10,2,3,21,12,11,0
233,5,0,0,4,2,15,4,2,3,19,12,11,1
65,0,0,15,3,2,11,4,2,3,3,21,11,0
123,1,0,13,3,3,15,6,2,3,2,12,10,1
374,1,0,0,4,0,15,4,2,3,3,12,11,0
91,1,0,14,1,3,15,4,2,3,16,12,11,0
44,1,3,15,0,2,12,10,1,3,3,12,10,0
253,9,0,13,1,2,7,6,1,3,16,12,8,0
94,5,5,10,4,3,4,10,2,21,3,3,11,0
125,6,2,12,4,7,7,10,1,15,3,12,8,1
12,1,2,12,4,1,7,4,2,16,3,12,11,1
173,5,2,11,4,3,7,10,1,3,3,21,11,1
366,5,2,0,4,7,15,10,0,3,3,12,11,1
458,1,0,0,3,2,4,10,2,10,3,12,11,0
472,5,0,0,4,1,7,4,2,15,15,11,11,0
301,5,2,14,4,2,15,10,2,3,3,12,13,1
195,0,2,13,4,1,7,10,2,3,16,22,11,0
187,5,4,16,1,3,15,10,2,10,3,12,13,0
390,1,0,12,0,3,4,4,0,3,3,12,8,0
22,7,3,15,2,3,4,10,1,3,3,3,8,1
311,3,0,15,1,1,7,7,2,15,3,13,10,0
70,1,2,9,4,2,7,4,2,3,3,21,7,1
59,1,2,13,2,1,7,10,2,3,3,12,11,0
23,1,0,14,0,1,3,10,2,3,3,21,11,0
322,7,0,11,0,7,15,10,2,15,7,21,11,1
11,1,0,10,4,3,7,3,2,3,3,12,11,0
222,9,0,0,1,2,7,10,2,3,3,12,11,1
331,5,2,0,4,3,15,10,0,3,3,12,11,1
84,1,2,14,0,3,15,14,2,3,3,12,10,0
235,12,0,16,1,3,7,11,2,3,3,12,11,1
394,3,0,16,4,3,7,9,2,3,3,12,10,0
20,1,2,12,4,2,15,10,2,18,3,7,11,0
41,1,0,11,1,3,7,4,2,3,3,12,11,0
400,1,0,11,0,2,3,14,2,3,4,12,0,1
105,1,0,11,4,1,7,6,2,3,3,11,11,1
474,7,2,0,1,3,3,7,2,3,3,21,11,0
144,9,0,15,1,7,7,6,2,3,3,12,11,1
254,1,0,14,1,3,7,6,2,3,3,12,11,0
14,1,2,10,0,3,7,10,2,3,3,12,11,0
256,1,0,9,1,7,11,9,2,15,3,21,11,0
286,7,0,13,0,3,7,10,2,15,2,12,11,0
424,5,0,0,2,3,15,10,2,3,3,12,11,1
151,1,2,10,4,3,7,10,2,3,3,12,0,0
127,7,4,9,1,2,3,4,2,15,17,12,11,1
250,12,0,14,1,7,14,4,2,3,3,12,11,0
163,1,0,12,1,2,7,6,2,15,3,12,11,0
404,5,2,0,4,3,15,10,1,3,3,12,11,0
46,1,4,15,3,7,15,4,1,3,3,22,11,0
422,5,2,0,4,7,7,10,2,7,3,11,11,0
230,7,0,16,1,1,15,10,2,3,3,12,11,0
307,7,2,0,4,2,15,10,2,18,21,12,8,1
198,1,2,10,4,3,7,4,2,3,3,17,11,0
371,1,0,0,0,2,7,10,2,2,3,22,11,0
350,7,0,13,1,2,7,4,2,16,3,2,11,1
179,1,0,12,1,7,15,6,2,18,3,21,11,1
57,1,2,10,4,3,7,4,2,3,3,12,11,1
309,1,2,16,1,0,7,10,1,3,3,12,10,1
413,1,0,0,4,7,7,7,2,15,3,5,11,0
467,5,0,0,4,7,11,10,2,3,2,22,11,1
2,1,2,10,1,3,7,6,1,2,3,3,11,0
451,7,0,0,0,3,7,10,1,3,3,12,11,1
36,1,2,14,4,7,4,4,2,15,3,3,11,0
297,1,0,16,0,3,7,10,2,3,3,12,11,1
177,7,0,12,1,2,7,6,2,0,3,12,11,0
132,6,2,12,4,3,7,10,2,3,3,13,11,1
317,0,0,13,1,7,7,6,2,0,3,12,13,0
