Channel,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Region(class)
0,288,314,202,225,6,346,2
0,254,306,216,171,44,88,2
0,109,246,128,339,99,322,2
0,281,276,297,58,238,351,2
0,432,413,382,418,333,398,2
0,36,337,318,69,366,33,2
0,411,417,392,424,85,402,2
0,18,45,208,9,119,3,2
0,209,293,30,248,18,54,2
0,100,14,21,313,213,155,2
0,81,329,312,367,291,0,2
1,207,322,336,287,363,90,2
1,40,371,333,42,310,299,2
0,324,286,84,378,43,17,2
0,295,7,42,131,11,21,2
0,157,95,113,82,66,93,2
1,10,195,393,145,343,139,2
0,191,53,154,115,125,222,2
0,326,256,229,385,116,286,2
0,400,311,214,422,192,354,0
1,80,307,315,167,318,261,0
0,270,141,258,315,171,146,0
0,239,149,100,77,139,81,0
1,104,384,405,328,390,156,0
1,134,388,408,316,403,280,0
0,380,370,305,349,105,396,0
0,29,26,110,71,214,4,0
0,67,41,228,194,1,238,0
1,47,373,406,144,386,150,0
0,180,31,25,129,106,61,0
1,84,240,244,293,341,24,0
0,59,213,240,235,289,169,0
1,159,380,378,124,397,168,0
0,340,122,45,232,89,313,0
1,276,412,424,345,410,353,0
0,195,53,96,186,86,288,0
0,112,297,259,188,307,228,0
1,79,295,332,137,346,167,0
0,94,361,371,193,344,333,0
1,83,395,423,26,400,141,0
0,336,96,94,274,46,225,0
1,2,319,368,184,331,394,0
0,128,11,44,259,30,27,0
0,303,43,43,228,17,160,0
0,154,318,319,11,314,52,0
0,146,65,147,380,94,85,0
1,93,160,233,358,196,242,0
0,194,25,53,110,22,137,0
0,286,186,194,97,191,165,0
1,356,273,301,226,272,271,0
0,124,144,57,258,96,144,0
0,66,18,11,143,330,41,0
0,220,166,129,377,182,191,0
1,255,275,239,390,215,316,0
0,78,359,187,200,245,107,0
0,383,112,189,93,105,174,0
0,44,251,169,142,140,1,0
0,311,164,188,333,115,341,0
0,65,292,144,180,229,66,0
0,219,34,159,260,144,48,0
0,342,219,14,343,8,228,0
0,197,12,13,164,24,44,0
0,424,161,183,352,202,328,0
0,366,197,268,408,120,342,0
0,378,115,126,253,143,204,0
0,338,25,151,322,170,128,0
0,260,198,223,85,250,334,0
0,174,325,323,177,284,307,0
1,103,280,360,34,384,350,0
0,224,157,74,229,146,130,0
0,294,10,8,244,12,137,0
0,313,259,120,83,167,126,0
0,207,216,98,370,211,65,0
0,110,132,76,222,83,150,0
1,172,407,421,374,408,385,0
0,182,118,209,382,72,282,0
0,394,328,379,65,128,248,0
0,248,399,210,344,244,368,0
0,403,13,51,306,40,131,0
0,256,253,232,70,135,84,0
0,214,126,78,348,297,193,0
0,428,237,101,373,187,370,0
0,426,248,273,296,219,170,0
0,227,245,106,49,195,120,0
0,205,63,27,375,14,62,0
0,373,88,69,148,145,135,0
0,75,65,257,334,280,94,0
1,46,350,370,7,348,233,0
0,165,408,357,405,203,374,0
1,28,351,402,254,332,341,0
0,358,76,134,329,188,373,0
1,275,330,390,159,350,147,0
0,308,5,29,273,118,42,0
0,140,56,26,356,68,12,0
0,70,252,57,166,50,270,0
0,25,333,260,78,34,202,0
0,410,175,50,347,73,294,2
0,41,110,77,106,190,224,2
0,34,105,3,123,36,87,2
0,392,214,261,340,174,340,2
0,225,35,16,419,177,29,2
0,271,151,132,362,100,251,2
1,330,282,309,187,298,284,2
0,115,173,121,146,55,214,2
1,280,308,248,162,265,310,2
0,425,224,197,364,220,250,2
0,382,202,91,406,113,246,2
0,430,234,348,394,189,335,2
0,416,24,180,155,147,4,2
0,193,147,36,213,230,26,2
0,309,139,145,391,133,200,2
0,318,21,39,121,150,58,2
0,419,6,7,195,9,5,2
0,90,142,139,75,218,266,2
0,171,192,165,271,74,143,2
0,95,177,198,323,201,206,2
1,122,368,346,133,345,158,1
0,362,133,255,135,197,298,1
1,200,123,230,62,263,56,1
0,347,81,181,298,184,179,1
1,208,182,264,201,300,116,1
1,184,236,313,141,324,201,1
0,22,40,95,39,107,59,1
1,319,284,250,116,275,308,1
1,152,386,394,233,382,35,1
1,97,261,310,54,349,123,1
1,85,210,359,74,391,14,1
1,9,317,409,91,393,336,1
1,14,383,296,112,306,43,1
1,181,382,399,234,373,269,1
0,329,154,146,170,122,183,1
0,186,55,156,61,95,136,1
1,42,402,354,204,364,169,1
0,189,98,119,410,108,219,1
0,395,152,288,299,130,23,1
1,74,212,386,183,406,30,1
0,241,47,119,338,64,68,1
0,250,114,278,205,207,230,1
1,56,391,339,99,305,372,1
0,192,89,109,283,28,205,1
0,48,178,246,147,200,277,1
0,272,165,178,247,183,10,1
1,240,409,381,168,396,275,1
0,63,211,115,76,101,174,1
0,226,123,226,285,80,216,1
0,314,27,168,320,239,49,1
0,292,50,335,138,248,127,1
0,384,199,123,264,48,212,1
0,406,398,356,425,232,390,1
0,130,105,48,314,134,174,1
0,27,43,67,60,31,113,1
0,323,145,172,384,73,267,1
0,148,97,204,350,157,157,1
0,243,113,222,317,63,203,1
1,261,390,412,181,388,213,1
0,367,183,49,252,61,344,1
1,216,250,428,18,415,228,1
1,322,49,143,409,117,371,1
1,388,301,322,192,313,317,1
0,297,99,41,94,49,164,1
0,230,84,138,388,149,177,1
0,0,8,266,416,5,121,1
0,88,72,235,400,168,306,1
1,20,225,308,55,370,244,2
1,76,271,330,107,340,320,2
0,15,270,242,53,326,238,2
1,61,304,411,202,405,8,2
0,101,69,72,255,76,87,2
0,49,162,290,58,302,70,2
1,91,302,372,284,353,218,2
1,391,310,344,288,328,199,2
0,116,155,93,190,227,138,2
1,169,389,395,240,395,101,2
0,119,61,86,230,59,195,2
1,51,355,404,224,399,364,2
0,30,62,56,118,32,39,2
1,7,288,397,33,381,215,2
0,298,315,133,371,235,329,2
0,11,29,90,37,65,25,2
0,371,2,2,303,3,120,2
1,4,79,403,21,358,22,2
0,38,400,66,365,164,376,2
0,39,272,99,51,82,163,2
0,350,172,88,279,152,110,2
0,141,23,22,179,53,91,2
0,72,104,122,84,62,151,2
0,138,52,199,28,236,72,2
0,87,39,55,163,160,105,2
1,139,278,283,213,323,362,2
0,235,146,67,175,77,103,2
0,118,42,9,203,92,79,2
0,368,73,120,242,38,124,2
0,175,9,16,160,10,67,2
1,415,223,217,191,162,327,2
0,354,120,81,387,185,166,2
0,121,217,62,128,137,382,2
1,305,287,274,207,258,363,2
0,178,148,68,206,112,143,2
0,163,94,31,90,154,19,2
1,108,339,355,360,329,253,2
0,413,180,140,153,36,232,2
0,111,189,79,43,20,217,2
1,125,257,315,17,198,36,2
0,393,50,103,325,173,60,2
0,334,238,60,403,90,117,2
0,407,316,291,275,251,355,2
0,64,85,177,330,137,83,2
0,251,405,369,319,103,384,2
0,269,46,59,278,67,209,2
0,50,203,148,237,124,189,2
0,359,124,58,238,81,187,2
0,242,36,33,218,70,92,2
0,231,100,46,297,79,142,2
0,114,71,40,357,112,196,2
0,89,167,116,134,35,295,2
0,26,227,180,96,45,134,2
0,374,299,190,393,132,171,2
0,282,37,163,198,51,104,2
0,236,82,37,292,205,64,2
1,135,374,302,281,288,325,2
0,267,108,47,376,19,159,2
0,265,56,12,355,26,54,2
0,237,18,24,212,153,85,2
0,132,44,35,318,52,198,2
0,389,170,102,412,33,305,2
0,387,241,221,32,4,78,2
0,381,365,206,15,179,63,2
0,337,239,175,334,210,153,2
0,185,58,32,243,172,86,2
0,379,254,219,402,223,186,2
1,196,381,384,289,377,122,2
1,211,220,251,214,277,80,2
0,221,204,245,262,261,387,2
0,183,137,203,196,256,303,2
0,73,188,167,209,84,378,2
0,6,200,345,13,281,15,2
0,145,244,256,420,209,337,2
0,168,131,174,361,225,64,2
1,204,277,292,219,296,301,2
1,129,364,325,121,356,194,2
0,147,268,327,54,293,207,2
1,33,336,383,19,357,163,2
0,223,215,111,92,247,265,2
0,133,258,351,0,361,249,2
1,327,243,299,152,290,291,2
0,386,90,195,118,212,229,2
1,332,209,207,157,255,140,2
1,325,173,343,127,285,55,2
0,262,156,136,415,39,302,2
0,289,346,361,301,337,304,2
0,401,396,238,414,148,227,2
0,102,274,215,250,206,73,2
0,218,111,179,5,29,339,2
0,106,228,376,86,87,311,2
0,215,269,225,413,237,263,2
0,360,68,211,41,234,88,2
0,68,184,50,210,126,257,2
0,321,222,282,103,266,175,2
0,396,375,374,411,63,324,2
0,414,91,18,341,34,331,2
1,302,392,418,67,404,300,2
0,246,130,112,154,56,315,2
0,92,109,130,8,155,11,2
